YKL062W	YCR096C	YOL067C	YGL254W	YMR019W	YBL103C	YKL020C	YJR147W	YCR097W	YDR253C	YCR040W	YGR044C	YPR199C	YOL089C	YIR017C	YCL067C	YOR140W	YDR463W	YPL038W	YJL056C	YDR421W	YKR034W	YNL103W	YDR081C	YHR006W	YLR262C	YIL162W	YFL002WA	YNL014W	YLR180W	YDR375C	YGR271CA	YOR115C	YCR095C	YMR238W	YHR145C	YML065W	YMR228W	YDR078C	YDR101C	YJR044C	YPR168W	YJL188C	YDR098CA	YGR206W	YBR166C	YIL014W	YDR041W	YLR304C	YLR065C
0.1263271	0.1009475	0.5690174	0.7092351	0.3928539	0.7087142	0.6851927	0.6332530	0.3681593	0.7760332	0.1688552	0.1318367	0.5255368	0.7466541	0.7403597	0.7325299	0.0040240	0.5089430	0.8183914	0.4436194	0.8814517	0.6040156	0.5065117	0.4648396	0.6062274	0.4731270	0.4168575	0.1942231	0.2028435	0.8175239	0.2593025	0.0697094	0.3235437	0.2807704	0.6155237	0.4111726	0.2119334	0.4163379	0.4141907	0.2032452	0.0237012	0.1624850	0.6910473	0.3892168	0.6858493	0.4424415	0.6429801	0.6366143	0.4663847	0.5509283
0.1468476	0.0084756	0.6318568	0.7258679	0.4877742	0.8011477	0.6589483	0.6262765	0.3100984	0.8307429	0.2968683	0.2952738	0.6358582	0.7403305	0.7102712	0.6697807	0.2308175	0.4415868	0.3379596	0.7882481	0.7742533	0.7342931	0.7736440	0.4656276	0.5795464	0.4102072	0.0554235	0.1725107	0.2631854	0.6958007	0.3143453	0.1759812	0.3599629	0.0616360	0.7489955	0.2076925	0.5748259	0.2893591	0.3637323	0.1523803	0.0616687	0.3806302	0.5374422	0.1817368	0.6853908	0.2476776	0.5576774	0.6051702	0.3777276	0.6595735
0.0558313	0.1035412	0.4466138	0.7434590	0.5566863	0.7571029	0.5248055	0.5163895	0.4134229	0.6737175	0.1799538	0.1718721	0.4166922	0.6593961	0.7971554	0.5671595	0.2715154	0.4755294	0.6437721	0.5117853	0.6243218	0.7354384	0.5692900	0.5095657	0.6505817	0.4287150	0.0038386	0.0781895	0.2751006	0.6774236	0.2213859	0.0068141	0.4986567	0.1883128	0.6076797	0.2560926	0.2090651	0.3054258	0.3098277	0.2113995	0.0403438	0.1402708	0.4610168	0.1561522	0.7874390	0.2694395	0.3229030	0.5717660	0.4981960	0.4898857
0.2331794	0.0089296	0.6571352	0.6733452	0.4672319	0.5590151	0.7176142	0.4556250	0.5805138	0.5614673	0.3444111	0.7116615	0.6305092	0.4001057	0.6526345	0.7101215	0.2883716	0.5087643	0.7036763	0.5778605	0.5512313	0.2869370	0.6228223	0.5172609	0.7386425	0.5490833	0.0241305	0.1771121	0.3784831	0.6706518	0.3462327	0.2281754	0.4559906	0.2564213	0.8641307	0.2352794	0.5207874	0.3828426	0.4502338	0.0018078	0.0613520	0.0764838	0.6696512	0.4078163	0.6812115	0.0379643	0.2070845	0.4450477	0.5748009	0.6612594
0.0502603	0.0736832	0.6810721	0.7871513	0.4087384	0.5991683	0.6377576	0.6835584	0.6530814	0.8541889	0.1431431	0.2817540	0.6355532	0.7880361	0.6347891	0.6243973	0.2504539	0.5161155	0.6627884	0.5917835	0.2868221	0.7049966	0.6812191	0.6899728	0.5963380	0.4304966	0.0007201	0.2128591	0.1598413	0.6797278	0.2783786	0.0441278	0.3078669	0.3007801	0.7054522	0.3517517	0.3983546	0.5296048	0.3283286	0.0605049	0.0296339	0.0747650	0.6321635	0.3413341	0.8118198	0.6973459	0.2184640	0.4632671	0.4338315	0.5747991
0.1431337	0.0774541	0.6419454	0.7665136	0.3169862	0.6902615	0.6647059	0.7282252	0.6187713	0.5073811	0.4212311	0.5488459	0.6153751	0.6505299	0.7033491	0.7210568	0.3383126	0.5963095	0.5212282	0.7387986	0.6847437	0.4934483	0.6375156	0.7471959	0.6634947	0.5215682	0.0256474	0.1391486	0.2865983	0.6095103	0.2102694	0.0303125	0.4631259	0.0861785	0.7526048	0.2323413	0.3539712	0.2166305	0.1847121	0.0728843	0.0359617	0.3011070	0.6376925	0.4189758	0.6677481	0.1274088	0.2116893	0.7853840	0.4966079	0.5792758
0.1533710	0.0830399	0.5523205	0.7212624	0.5030482	0.6854353	0.4820406	0.6877196	0.5992828	0.7327548	0.1955787	0.7256259	0.6094630	0.6541647	0.5762386	0.6708571	0.2806123	0.6142316	0.6061301	0.6816149	0.6364679	0.4276238	0.5665798	0.6517689	0.6551244	0.3997663	0.0127630	0.1014513	0.2186236	0.7708058	0.1620317	0.1328185	0.2749108	0.2485700	0.5895199	0.2147885	0.5574390	0.0932658	0.3117759	0.1706347	0.0952774	0.3518976	0.8712588	0.2044990	0.6861697	0.1807237	0.0010314	0.5925785	0.5195680	0.6047388
0.1536586	0.1654199	0.8201034	0.6167883	0.3710642	0.4371180	0.6797187	0.6998341	0.5386757	0.4377839	0.2407829	0.5204792	0.5919513	0.6488209	0.7288648	0.2872327	0.2464393	0.5433160	0.5508652	0.6193508	0.5828175	0.7872097	0.5433807	0.7439878	0.5303453	0.4430681	0.0461814	0.1687934	0.2272124	0.6549814	0.2581722	0.1358925	0.3557129	0.3822074	0.9511924	0.1642582	0.3605914	0.0589096	0.4948458	0.2886519	0.0517738	0.5005110	0.6484892	0.2483206	0.6571686	0.2554054	0.6683167	0.4189564	0.6010954	0.5498820
0.1935119	0.0014996	0.7292768	0.7158973	0.3882851	0.6000096	0.4285479	0.7606534	0.4283475	0.7365933	0.0550595	0.6549813	0.7837706	0.6241509	0.5812350	0.6978959	0.1442928	0.6187424	0.6433653	0.6263718	0.2069372	0.6669463	0.6218379	0.6592414	0.7081200	0.4030447	0.0223951	0.1303357	0.1893075	0.6101313	0.4055900	0.1726977	0.4057646	0.1866219	0.7673983	0.3423664	0.4951166	0.0276938	0.2511736	0.1409107	0.0179299	0.1832780	0.5354638	0.1291747	0.6502806	0.4392532	0.1510960	0.4638558	0.4586332	0.7166315
0.0716264	0.2880729	0.5962830	0.5990100	0.5209885	0.6897817	0.6702376	0.7496520	0.6733211	0.6884784	0.4068471	0.5744286	0.5426525	0.7438747	0.6941718	0.3978437	0.2863156	0.5948921	0.5113129	0.8662638	0.7051490	0.5243256	0.4873172	0.6771622	0.6270622	0.6533364	0.0365749	0.0764021	0.1324155	0.7177243	0.1538726	0.0756463	0.2183492	0.1646108	0.8222910	0.2695062	0.6447538	0.0259978	0.1929632	0.1624286	0.0562749	0.2307026	0.4797404	0.3743414	0.7904508	0.5077939	0.4603365	0.4966018	0.4474943	0.6638296
