YBR182C	YBL111C	-
YBR182C	YBR057C	-
YBR182C	YHL027W	-
YBR182C	YOL121C	-
YBR182C	YOR140W	+
YBR182C	YOR268C	+
YBR182C	YOR269W	-
YBR182C	YPR124W	+
YBR297W	YAL062W	-
YBR297W	YIL101C	-
YDL106C	YER045C	-
YDL106C	YGL234W	+
YDL106C	YGR106C	-
YDR043C	YBR018C	-
YDR043C	YER045C	-
YDR043C	YGL013C	+
YDR043C	YGR249W	+
YDR043C	YIL101C	-
YDR043C	YJR158W	-
YDR043C	YKL043W	+
YDR043C	YLR410WB	-
YDR043C	YLR413W	+
YDR043C	YMR070W	-
YDR043C	YMR195W	-
YDR043C	YOR140W	+
YDR043C	YPL230W	+
YGL013C	YBL111C	+
YGL013C	YBR057C	-
YGL013C	YDL148C	+
YGL013C	YLL065W	-
YGL013C	YOL078W	-
YGL013C	YOR140W	-
YGL013C	YOR268C	-
YGL013C	YOR269W	-
YGL013C	YOR318C	+
YGL162W	YER045C	-
YGL162W	YGR249W	+
YGL162W	YHL027W	+
YGL162W	YJR158W	+
YGL162W	YMR070W	+
YGL162W	YPL230W	-
YHL027W	YCR021C	-
YHL027W	YER045C	-
YHL027W	YGR249W	+
YHL027W	YJR158W	-
YHL027W	YLR413W	+
YHL027W	YPR065W	+
YIL101C	YBR057C	+
YIL101C	YBR182C	-
YIL101C	YCR021C	-
YIL101C	YER045C	-
YIL101C	YGR249W	+
YIL101C	YJR147W	-
YIL101C	YJR158W	+
YIL101C	YML053C	+
YJR147W	YGR249W	+
YKL032C	YKL043W	-
YKL032C	YOR024W	-
YKL043W	YAL062W	+
YKL043W	YER045C	+
YKL043W	YGR249W	+
YKL043W	YIL101C	-
YKL043W	YJR158W	+
YKL043W	YKL110C	-
YKL043W	YMR195W	+
YKL043W	YPL230W	+
YMR021C	YBR297W	-
YMR021C	YLR410WB	-
YMR021C	YPR108WA	+
YMR021C	YPR124W	-
YMR070W	YCR021C	-
YMR070W	YJR158W	+
YNL167C	YMR070W	-
YNL167C	YOR318C	+
YOR032C	YHR006W	+
YOR113W	YIL101C	-
YOR113W	YOL121C	-
YOR363C	YIL101C	-
YPL248C	MEL1	-
YPL248C	YBL111C	+
YPL248C	YBR018C	-
YPL248C	YBR057C	-
YPL248C	YGL134W	+
YPL248C	YLL065W	-
YPL248C	YML053C	-
YPL248C	YOR140W	-
YPR065W	YBL111C	+
YPR065W	YER184C	-
YPR065W	YGL013C	+
YPR065W	YGL134W	+
YPR065W	YGL162W	+
YPR065W	YGL234W	+
YPR065W	YIL101C	-
YPR065W	YJR158W	+
YPR065W	YKL110C	+
YPR065W	YLL065W	-
YPR065W	YOL078W	-
YPR065W	YOL121C	+
YPR065W	YOR032C	-
YPR065W	YOR318C	-
YPR065W	YPL230W	-
YPR065W	YPR108WA	+
