YOR363C	YIL101C	YJR147W	YER045C	YOR113W	YHL027W	YBR297W	YGL162W	YBR182C	YMR021C	YPL230W	YOR140W	YKL043W	YPR065W	YER184C	YMR070W	YGR249W	YOR032C	YDR043C	YPL248C	YKL032C	YHR006W	YNL167C	YGL013C	YDL106C	YAL062W	YBR057C	YPR124W	YPR108WA	YGL234W	YLR413W	YOR024W	YML053C	YGR106C	YBL111C	YJR158W	YOR318C	MEL1	YLL065W	YOR269W	YLR410WB	YMR195W	YGL134W	YOR268C	YOL078W	YKL110C	YBR018C	YDL148C	YOL121C	YCR021C
0.3444910	0.2845679	0.3919981	0.4388139	0.9280954	0.0644723	0.0380171	0.0390610	0.3938913	0.6670033	0.1931892	0.7695867	0.2948071	0.0268224	0.4836056	0.0000063	0.4748805	0.7334590	0.7485226	0.7512231	0.7299083	0.6058429	0.7748303	0.4833782	0.6631423	0.2533798	0.3515492	0.2307727	0.4403613	0.5380250	0.2977900	0.0626112	0.2382630	0.2913335	0.4276624	0.1022620	0.6594672	0.3052579	0.5867552	0.6120117	0.3397947	0.2849788	0.4745728	0.2534373	0.2621600	0.0061418	0.0645127	0.5578931	0.1977152	0.7808394
0.6155795	0.2249562	0.5594691	0.4914294	0.8023198	0.0269758	0.0447248	0.0337233	0.6299791	0.7583661	0.2072321	0.8078721	0.2746294	0.0358153	0.6650711	0.0000487	0.1495163	0.8038890	0.7098899	0.7538029	0.6498932	0.5929498	0.7144095	0.5619957	0.6119174	0.2245909	0.3443459	0.3387734	0.4025791	0.5669456	0.2377595	0.1103589	0.2498817	0.4511957	0.2878055	0.1197994	0.7021626	0.4769122	0.6832788	0.4973243	0.3172421	0.2945780	0.1618366	0.2559632	0.2150581	0.0121616	0.1081473	0.4177596	0.1622034	0.6786399
0.7579053	0.2908646	0.1690426	0.4339164	0.6332110	0.0887822	0.0494971	0.0461387	0.3291145	0.6684106	0.2037861	0.6669159	0.3309946	0.0739458	0.5495967	0.0007183	0.5174343	0.7783215	0.7192765	0.5965264	0.7560056	0.7012281	0.7768803	0.5963883	0.7635348	0.2259810	0.5403653	0.0721848	0.4894591	0.4246801	0.2363154	0.0874862	0.3201111	0.3021593	0.4940487	0.1404482	0.7894582	0.3110245	0.6140779	0.7234662	0.4338768	0.3339846	0.2880801	0.1518300	0.2151117	0.0048333	0.1046938	0.4511612	0.3108893	0.5883304
0.8148978	0.2971454	0.4173948	0.2420585	0.8705884	0.0503008	0.0545398	0.0525626	0.2835385	0.6599924	0.1788275	0.6903238	0.3375025	0.0837765	0.4216251	0.0000690	0.5740695	0.6928346	0.7959583	0.7552805	0.8421102	0.6897634	0.6319179	0.5602229	0.6931666	0.2265060	0.4560994	0.1157081	0.5382601	0.4643402	0.2782467	0.0908150	0.3091977	0.3859151	0.4039383	0.1428374	0.6329315	0.2906305	0.4954283	0.6408587	0.4370219	0.3423990	0.2337213	0.1328342	0.1915250	0.0176995	0.1203309	0.5924863	0.5007626	0.8413450
0.8771704	0.2962805	0.3428536	0.4839670	0.3507763	0.0538503	0.0376756	0.0466971	0.3185041	0.7589727	0.1898357	0.7223217	0.2715577	0.0424695	0.6690396	0.0002903	0.5282086	0.7060571	0.8634080	0.7157350	0.6466362	0.6007313	0.6854604	0.4657714	0.8388887	0.2700487	0.3003654	0.1456921	0.6474593	0.4404107	0.1781864	0.0716099	0.3431346	0.4298795	0.4201277	0.0898570	0.7687566	0.4592987	0.6104771	0.6347745	0.4374293	0.3264875	0.3611427	0.1587434	0.2041093	0.0150624	0.1172580	0.3883136	0.6570358	0.6858644
0.8419224	0.3025957	0.4101667	0.4279578	0.7274311	0.0173643	0.0265017	0.0676279	0.3495181	0.8786780	0.2148447	0.5926000	0.2915786	0.0407187	0.4544822	0.0000011	0.2699609	0.6847437	0.6951270	0.6916224	0.7668383	0.5836947	0.6554506	0.6161529	0.8499968	0.2818680	0.4293189	0.0923611	0.6449308	0.3730026	0.2425612	0.0911361	0.2861258	0.2659341	0.4851353	0.1428169	0.7601944	0.4123787	0.6029927	0.6414786	0.3738340	0.3651007	0.3340131	0.1819230	0.2278159	0.0158978	0.1389237	0.5113586	0.3004717	0.8046659
0.7620375	0.2930020	0.3935954	0.3651748	0.7170777	0.0478717	0.0160174	0.0715000	0.4352995	0.7287146	0.1705637	0.7904468	0.3082814	0.0460210	0.5165424	0.0000404	0.4287331	0.6045804	0.7840160	0.7220300	0.7723477	0.6934170	0.8062699	0.5896853	0.7561958	0.2911752	0.2962215	0.1933533	0.4331276	0.4453847	0.2177779	0.0746805	0.2934016	0.3103365	0.4226310	0.1164466	0.6506279	0.3753497	0.5830635	0.6829313	0.3783757	0.3235598	0.3352823	0.2653102	0.2900593	0.0053626	0.1214687	0.5418113	0.2451787	0.5815461
0.7956020	0.2889211	0.3748319	0.4610443	0.8386399	0.0428003	0.0258728	0.0464867	0.4030801	0.6217843	0.2248737	0.6643937	0.2747574	0.0595563	0.5334406	0.0000073	0.6263502	0.7061042	0.7496322	0.6695897	0.7661430	0.7410697	0.8274187	0.4876080	0.9126897	0.2951499	0.4642358	0.1357300	0.3343396	0.4547654	0.2390373	0.0611369	0.2625593	0.3181644	0.4264730	0.0796853	0.6683907	0.3238441	0.6773506	0.6669978	0.4641760	0.2919744	0.2228660	0.2617669	0.1712829	0.0042037	0.1353044	0.4020447	0.2961937	0.8089165
0.7118098	0.3000399	0.3954041	0.4246591	0.6895614	0.1135572	0.0490029	0.0325070	0.1928285	0.6756871	0.1734160	0.6370488	0.3423417	0.0886493	0.5029520	0.0000212	0.5050506	0.6759004	0.6880729	0.6842521	0.7887594	0.5677718	0.7849394	0.4540406	0.7431245	0.2027758	0.4027143	0.0492716	0.5709299	0.4772648	0.2663541	0.0800861	0.2418698	0.4230248	0.5914758	0.1237077	0.7410373	0.3059875	0.5766737	0.7507390	0.4828933	0.2427079	0.4665451	0.1532519	0.1886601	0.0088310	0.1540629	0.6195875	0.6064791	0.6986677
0.6561538	0.2819732	0.3901474	0.4052961	0.6721715	0.0802573	0.0893508	0.0791546	0.3010027	0.3507399	0.2159087	0.5807481	0.2485052	0.0625023	0.5925165	0.0000493	0.4695291	0.7230131	0.7836124	0.7062653	0.7301203	0.7537019	0.8558029	0.6235044	0.8649210	0.0861170	0.3811875	0.2431810	0.2085899	0.4059743	0.2271134	0.0874772	0.3533755	0.3334720	0.4612948	0.1701060	0.7310349	0.2961878	0.7349233	0.7643629	0.5521061	0.3154237	0.1353929	0.1606847	0.1857676	0.0198291	0.1114711	0.4674632	0.2777761	0.8953054
