YOR363C	YIL101C	YJR147W	YER045C	YOR113W	YHL027W	YBR297W	YGL162W	YBR182C	YMR021C	YPL230W	YOR140W	YKL043W	YPR065W	YER184C	YMR070W	YGR249W	YOR032C	YDR043C	YPL248C	YKL032C	YHR006W	YNL167C	YGL013C	YDL106C	YAL062W	YBR057C	YPR124W	YPR108WA	YGL234W	YLR413W	YOR024W	YML053C	YGR106C	YBL111C	YJR158W	YOR318C	MEL1	YLL065W	YOR269W	YLR410WB	YMR195W	YGL134W	YOR268C	YOL078W	YKL110C	YBR018C	YDL148C	YOL121C	YCR021C
0.6503429	0.2015078	0.5535875	0.3921802	0.8017145	0.0621931	0.0563064	0.1834820	0.3271133	0.6848964	0.0192096	0.6939995	0.5470453	0.1813964	0.1155606	0.0076725	0.5808585	0.2188536	0.4761801	0.8440277	0.7485412	0.3288973	0.7151527	0.2031807	0.5950796	0.4168713	0.7509114	0.1345351	0.5514864	0.6094993	0.1859023	0.0566628	0.1653056	0.4300681	0.4655717	0.0059126	0.2933379	0.1540941	0.5636119	0.5072314	0.4474108	0.4252664	0.7692531	0.4596239	0.2453734	0.0258650	0.2515841	0.1127088	0.1733558	0.8638753
0.7140866	0.2113324	0.5480312	0.4944172	0.7379552	0.0237674	0.0158128	0.0998875	0.5280127	0.7534885	0.4258212	0.4744246	0.3715371	0.0009204	0.7238253	0.0000020	0.3346090	0.5982505	0.6545240	0.6366027	0.7487468	0.5752465	0.6846521	0.4224653	0.7433195	0.3204011	0.4480611	0.1970870	0.4070695	0.4222823	0.4788545	0.1612717	0.1379776	0.1613153	0.3095112	0.0157861	0.5960667	0.3388415	0.5813237	0.5048111	0.5189450	0.2724310	0.0015607	0.1400400	0.4862118	0.0848396	0.1397495	0.3822431	0.2067946	0.6327083
0.8132039	0.1593942	0.8179970	0.1758662	0.7601461	0.4111601	0.0374538	0.0848082	0.5314146	0.6437110	0.4056646	0.6886466	0.2920402	0.1702721	0.0112291	0.0001268	0.6567119	0.0719497	0.7662386	0.7205838	0.5233951	0.0003361	0.4589678	0.5744669	0.6188085	0.2385644	0.4760253	0.3851168	0.6450793	0.7203516	0.4910701	0.0718081	0.2165433	0.4611069	0.6298273	0.2495678	0.6433581	0.3078063	0.5291230	0.5330057	0.4685662	0.3048286	0.8345245	0.0690322	0.0711721	0.2027211	0.0875978	0.5581570	0.1098358	0.4244102
0.6702227	0.2167717	0.5073262	0.2989591	0.5420946	0.2794984	0.0064121	0.0854677	0.4587066	0.6749161	0.0995785	0.6869104	0.2757945	0.1605089	0.1598974	0.0000379	0.5324175	0.3766259	0.6819503	0.3398386	0.6597685	0.1975136	0.9040795	0.4579068	0.4260260	0.2216290	0.1950407	0.2294640	0.5724128	0.7265276	0.6041406	0.0516971	0.3834030	0.2356705	0.3176537	0.2168691	0.5923458	0.7638075	0.5274435	0.5239669	0.3343300	0.4086678	0.5729118	0.3389357	0.2545181	0.0231101	0.1681232	0.5113549	0.2222939	0.5173226
0.6921910	0.1045677	0.8325439	0.2108941	0.6826003	0.0173256	0.0007970	0.0001689	0.6027993	0.7309696	0.6837142	0.5449417	0.2779971	0.0056381	0.6862570	0.0003497	0.2456120	0.4157104	0.6604014	0.4906873	0.4313576	0.4721168	0.5374126	0.6332521	0.6115367	0.2166744	0.4300133	0.2335457	0.2676581	0.3834410	0.2777920	0.1981193	0.0976551	0.1895746	0.4263650	0.0000028	0.5790044	0.4526333	0.5260785	0.4362576	0.3848550	0.2396976	0.2090618	0.4975394	0.4997545	0.1248116	0.1183250	0.4311241	0.1391176	0.5661139
0.8110931	0.5293722	0.1958819	0.0625899	0.6501226	0.2503401	0.0727959	0.0726455	0.1267139	0.5538090	0.0276774	0.7930411	0.1442925	0.1621911	0.1208080	0.1437709	0.6037019	0.2055458	0.6301954	0.4904618	0.8370831	0.2368495	0.4811068	0.5807944	0.6312394	0.3841864	0.7176805	0.0732034	0.7838881	0.5143502	0.3405373	0.1037337	0.4992092	0.3731144	0.6569822	0.0671384	0.0710175	0.6183957	0.7908663	0.6442020	0.3746377	0.2484130	0.5618042	0.0979046	0.0137972	0.1587266	0.4241069	0.4688739	0.6422898	0.3208369
0.6089966	0.2497742	0.3134387	0.4565870	0.6367121	0.0362520	0.0330281	0.1617440	0.2712360	0.8433517	0.5035701	0.5050406	0.2007853	0.0003486	0.7296139	0.1010683	0.3451749	0.7044517	0.6703807	0.7164920	0.7030983	0.6460276	0.6689634	0.5140585	0.7901310	0.1931565	0.4290109	0.1812171	0.3447744	0.3549313	0.2457639	0.0847587	0.1252012	0.3493335	0.1698261	0.0082941	0.7231711	0.3740533	0.5452463	0.8744348	0.2347978	0.3204375	0.0294303	0.0975610	0.6190954	0.0662323	0.0874741	0.5446733	0.6154678	0.4090212
0.8088329	0.2331399	0.2347797	0.5285419	0.4513405	0.0779295	0.0574921	0.0817413	0.3740988	0.2750665	0.4450497	0.6786057	0.4432543	0.0861001	0.1149978	0.0003103	0.5136229	0.3227858	0.6559927	0.7728131	0.7412322	0.4371908	0.5175010	0.4985671	0.7466363	0.1506546	0.4195583	0.4356080	0.6332950	0.6635063	0.2252321	0.0604158	0.1351873	0.2151906	0.4789478	0.3356808	0.7518230	0.3734349	0.3772165	0.5158829	0.3682045	0.3292182	0.6492483	0.2185239	0.0290050	0.0167587	0.0836468	0.5064100	0.4741513	0.4613812
0.5760665	0.3354727	0.2788821	0.2976956	0.6425602	0.1384454	0.0027901	0.1565510	0.2570626	0.5559198	0.0752748	0.7250823	0.1763292	0.2916729	0.0073414	0.0013453	0.8592230	0.0035268	0.7538264	0.3829461	0.5172578	0.1775350	0.4525113	0.5335410	0.5810220	0.3289518	0.4657432	0.3378581	0.7162435	0.6518911	0.4854596	0.1142425	0.6178848	0.4246305	0.7034393	0.0754962	0.8087318	0.6149071	0.5488513	0.4112389	0.4505511	0.3946051	0.6168331	0.1769639	0.2011515	0.1575618	0.3661010	0.4972023	0.5123685	0.7228988
0.6879060	0.0233781	0.4658154	0.5206917	0.4262647	0.0028712	0.0070608	0.0007691	0.7079712	0.6233699	0.3508478	0.6209352	0.4045536	0.0000229	0.5370753	0.1161108	0.0012551	0.8390093	0.4547020	0.8455130	0.6634218	0.5202576	0.8239109	0.3059289	0.7838322	0.2957228	0.0385314	0.4671665	0.1849698	0.5013659	0.2230857	0.1040864	0.5161345	0.2421772	0.0103971	0.1558829	0.6230623	0.2619912	0.7033326	0.1206981	0.6263910	0.3478978	0.0004219	0.5065651	0.4489878	0.2213445	0.1352696	0.2216152	0.1891555	0.7603294
