YOR363C	YIL101C	YJR147W	YER045C	YOR113W	YHL027W	YBR297W	YGL162W	YBR182C	YMR021C	YPL230W	YOR140W	YKL043W	YPR065W	YER184C	YMR070W	YGR249W	YOR032C	YDR043C	YPL248C	YKL032C	YHR006W	YNL167C	YGL013C	YDL106C	YAL062W	YBR057C	YPR124W	YPR108WA	YGL234W	YLR413W	YOR024W	YML053C	YGR106C	YBL111C	YJR158W	YOR318C	MEL1	YLL065W	YOR269W	YLR410WB	YMR195W	YGL134W	YOR268C	YOL078W	YKL110C	YBR018C	YDL148C	YOL121C	YCR021C
0.5055134	0.4300163	0.6055186	0.5778797	1.0703815	0.0722197	0.0538402	0.0634620	0.5728512	1.0387712	0.2431766	0.9589359	0.3929409	0.0510707	0.6432002	0.0000073	0.6681825	0.9580709	0.9971527	0.9734397	1.0793028	0.8764215	1.1279617	0.7505580	0.9731413	0.3256042	0.5164424	0.2743174	0.5955734	0.5933821	0.3874289	0.1008853	0.3615196	0.3999610	0.6199955	0.1378464	0.9593163	0.4527835	0.8231539	0.7965143	0.5131952	0.4134948	0.4796857	0.2933660	0.3429333	0.0141912	0.1259225	0.7203952	0.2877812	1.0162217
0.9438425	0.2732177	0.9299371	0.6965764	1.0121469	0.0335025	0.0652232	0.0656388	0.7820799	1.0704112	0.3135553	1.0809589	0.4428370	0.0568464	0.8272995	0.0002303	0.1669748	1.0268803	1.1010112	0.9742504	1.1223315	0.9113407	0.9530009	0.6933333	0.9677117	0.2433104	0.4908462	0.4641181	0.5252188	0.6524989	0.3487457	0.1281842	0.3448083	0.5185394	0.3644749	0.1734320	0.9915411	0.5305291	0.8278481	0.6361319	0.4742735	0.4249199	0.2327732	0.3344297	0.3598378	0.0151714	0.1285886	0.6617794	0.2431544	0.9709182
0.9996836	0.4172088	0.2315760	0.5666101	0.9869730	0.0824560	0.0447839	0.0808553	0.4239974	0.9471705	0.2966039	0.9531727	0.3659057	0.0547087	0.7162357	0.0021967	0.7763936	0.9494879	0.9925902	0.9803820	1.0607908	0.9587965	0.9856689	0.6550884	1.0727324	0.3176885	0.6419542	0.1594818	0.6999725	0.6010182	0.3537164	0.0946913	0.4141049	0.4268359	0.7351481	0.1754587	0.9885014	0.4473475	0.8009207	0.9058352	0.6142501	0.4245476	0.3742648	0.2074698	0.3070770	0.0117925	0.1637449	0.7004239	0.4802652	0.9446374
1.0490452	0.4279730	0.6095300	0.3066851	1.0365772	0.0884295	0.0549449	0.0614398	0.4706306	0.9829246	0.2888628	0.9570475	0.3853306	0.0800744	0.6640364	0.0000711	0.7247288	1.0373651	1.0486541	1.0374659	1.1022429	0.9626365	1.0239836	0.7532720	1.0243418	0.3197665	0.6455032	0.1261862	0.6639430	0.6030790	0.3424091	0.1409851	0.3978300	0.4309474	0.5977604	0.1600119	0.9219811	0.4280258	0.8055673	0.9251864	0.5895800	0.4392333	0.3296183	0.2343661	0.2890372	0.0062954	0.1664766	0.7349671	0.6116228	1.0517518
1.1187448	0.3689223	0.5124856	0.5328718	0.4924668	0.0883236	0.0508550	0.0830614	0.4978685	1.0493133	0.2669986	0.9566081	0.3748142	0.0720897	0.6357976	0.0002424	0.6775155	0.9820280	0.9997310	1.0011089	0.9075117	0.9105159	0.9724257	0.7030067	1.0005448	0.4074067	0.5207322	0.2110893	0.8103299	0.6417139	0.3371340	0.1177055	0.4685583	0.5158545	0.5848007	0.1621206	0.9827584	0.4847742	0.8484361	0.9547621	0.5986700	0.4242488	0.5484970	0.2382354	0.3081536	0.0210990	0.1815369	0.6100727	0.8651857	1.0135849
1.0606399	0.3693559	0.6353620	0.6527304	0.9861814	0.0366290	0.0496545	0.0715911	0.5166934	1.1126717	0.2757226	0.9035703	0.4659590	0.0507494	0.6610049	0.0000028	0.3868720	0.9226362	1.0346355	0.9131594	1.0851872	0.7649892	1.0153619	0.8328574	1.1674490	0.3303710	0.5904996	0.1892983	0.7090813	0.6723928	0.3284696	0.1291967	0.3861909	0.4289505	0.6297534	0.1516454	1.0786781	0.5423874	0.8349416	0.8906358	0.5387543	0.4029338	0.4432696	0.2523059	0.2860713	0.0175605	0.1713457	0.6265717	0.3855870	1.0092308
1.0330481	0.4492707	0.5579959	0.5139782	1.0214523	0.0701791	0.0245323	0.0897418	0.5270512	0.9473494	0.2782836	0.9482841	0.3836486	0.0609904	0.7080575	0.0000158	0.6277087	0.9367291	0.9704473	0.9594660	1.0777138	0.8868475	1.0342482	0.8118938	1.0820176	0.3076048	0.5073953	0.2785346	0.6893026	0.6703080	0.3787084	0.0964167	0.4629274	0.4738906	0.5473456	0.1627815	0.9738100	0.5038907	0.8601466	0.8482202	0.5150616	0.4550347	0.4406618	0.3227115	0.3081969	0.0148896	0.1610975	0.7556459	0.3268466	0.9349023
1.0220175	0.3484414	0.4970175	0.7138815	0.9718236	0.0738482	0.0481742	0.0441044	0.4793618	0.9520067	0.3027246	0.9844977	0.3932757	0.0526626	0.8040468	0.0000292	0.7003909	0.9990642	0.9967968	0.9904568	1.0186713	0.9432541	1.0375325	0.6979743	1.0877419	0.3655504	0.6004091	0.2067264	0.5017461	0.6754673	0.3089425	0.1148941	0.3731025	0.5008309	0.5997469	0.1553355	0.9702958	0.4747612	0.8358891	0.9302732	0.6353554	0.4348600	0.3434508	0.3333925	0.2894771	0.0155831	0.1584939	0.6171407	0.4257045	1.0075146
1.0124858	0.3919062	0.5717659	0.6483802	0.9755827	0.1948955	0.0450115	0.0761511	0.2755809	0.9509576	0.3078400	0.8444746	0.4662449	0.0691391	0.6648133	0.0000279	0.7357069	0.9464274	0.9719600	1.0142727	1.1066839	0.8090540	1.0090689	0.6858080	1.0297471	0.3056731	0.6638000	0.0815840	0.7373583	0.6093909	0.3964095	0.1129238	0.3601543	0.4398453	0.7297652	0.1480545	0.9712599	0.4719526	0.8732130	1.0222893	0.5747202	0.3961012	0.5773440	0.2066175	0.2978687	0.0156189	0.1901698	0.7334177	0.8239996	1.0216636
0.9682901	0.4277707	0.5481122	0.5392570	0.9865779	0.0879377	0.1001230	0.0917645	0.4596568	0.5262288	0.2820407	0.8417108	0.3524526	0.0563032	0.8025736	0.0000083	0.7075058	0.9555338	0.9571752	0.9851029	1.0509909	0.8952208	1.0652862	0.7347195	0.9950406	0.1723111	0.5384106	0.3013017	0.2856096	0.6074722	0.3332055	0.1638243	0.5000885	0.4800077	0.5667109	0.1749740	1.1083161	0.5015411	0.8365948	0.9405353	0.7182794	0.3925498	0.1900974	0.2352488	0.3158958	0.0168353	0.1785835	0.6661919	0.3915773	1.0657532
