YOR363C	YIL101C	YJR147W	YER045C	YOR113W	YHL027W	YBR297W	YGL162W	YBR182C	YMR021C	YPL230W	YOR140W	YKL043W	YPR065W	YER184C	YMR070W	YGR249W	YOR032C	YDR043C	YPL248C	YKL032C	YHR006W	YNL167C	YGL013C	YDL106C	YAL062W	YBR057C	YPR124W	YPR108WA	YGL234W	YLR413W	YOR024W	YML053C	YGR106C	YBL111C	YJR158W	YOR318C	MEL1	YLL065W	YOR269W	YLR410WB	YMR195W	YGL134W	YOR268C	YOL078W	YKL110C	YBR018C	YDL148C	YOL121C	YCR021C
0.9511440	0.3210217	0.6539204	0.5833794	0.9611218	0.0805596	0.0560629	0.2275861	0.5560886	1.0396679	0.0379582	0.9932652	0.8145378	0.2295471	0.1620644	0.0045514	0.8214892	0.3364885	0.5394897	1.0660177	1.0369159	0.5197368	1.0145868	0.2547586	0.9898441	0.4961656	0.9316752	0.1639188	0.9583112	0.7503486	0.2314977	0.0931773	0.2681968	0.4912872	0.5610315	0.0128207	0.3717153	0.2675391	0.8179016	0.7374074	0.7128483	0.5436107	0.9818863	0.5937380	0.3908852	0.0564824	0.3386932	0.1334299	0.3331479	0.9870641
1.0008659	0.2959212	0.7132415	0.6626676	0.9174622	0.0292520	0.0129607	0.1579219	0.6446186	0.9784983	0.6851876	0.6398758	0.4942898	0.0018634	0.9076693	0.0000092	0.5002366	0.7570863	0.8250099	0.9992928	1.0795321	0.7566281	1.0101262	0.5425481	1.0190528	0.4181947	0.6414522	0.2938948	0.4703552	0.6033701	0.5429575	0.1468930	0.1651545	0.2493761	0.4786515	0.0262537	0.7305833	0.4615488	0.8549491	0.6890374	0.7496304	0.4601943	0.0015858	0.2486204	0.6715355	0.1416967	0.1825437	0.5136864	0.2806822	0.8557454
1.0710382	0.2184383	0.9621931	0.2642019	1.0339940	0.5424284	0.0112277	0.1102242	0.6384146	0.9587905	0.5364373	0.8478025	0.3772655	0.2737402	0.0140858	0.0002442	0.9644454	0.1171537	1.0530622	1.0311907	0.7296716	0.0002871	0.7146419	0.8579046	0.6650017	0.3468375	0.6132703	0.5538549	0.8357679	1.0721679	0.6726380	0.1198019	0.3437480	0.6701282	0.8320425	0.3323110	0.8422020	0.4082181	0.7377934	0.6513097	0.5395017	0.3988098	1.0141225	0.1052206	0.1981926	0.3000364	0.1572827	0.7437607	0.2052035	0.6005650
0.9955458	0.2949355	0.7893271	0.4273709	0.7921051	0.4207630	0.0053807	0.1270003	0.5906083	1.0619371	0.1257703	0.8999095	0.3674078	0.1930089	0.2183627	0.0000438	0.6768483	0.4251941	0.8219689	0.4541208	1.0178501	0.2901417	1.0347602	0.6588864	0.6165943	0.2607691	0.2608560	0.3461148	0.9345846	1.0273691	0.7663109	0.0820648	0.5981605	0.3698936	0.5187835	0.2329953	0.8018380	0.8766549	0.7930141	0.7467112	0.4626758	0.5457035	0.6587680	0.3427012	0.3539276	0.0281908	0.1799342	0.6441601	0.3173354	0.7589158
1.0094415	0.1363126	1.0194122	0.3336262	1.0803956	0.0277018	0.0016471	0.0002634	0.8637903	1.0751922	0.9026183	0.8423048	0.3576942	0.0153703	1.0150233	0.0004103	0.3092534	0.6750315	1.0089219	0.8284671	0.5171998	0.7222805	0.6753776	0.7028405	0.8100845	0.3022524	0.6045093	0.3061142	0.3607064	0.6013817	0.3425284	0.2121237	0.1518695	0.2579906	0.4110967	0.0000086	0.8868792	0.5961284	0.6625457	0.6273120	0.5454798	0.3404699	0.2821203	0.6422212	0.6318248	0.2259556	0.1385535	0.5399342	0.2517408	0.8601207
1.0551629	0.8348287	0.2514104	0.0681689	0.9358045	0.3480034	0.0696497	0.0703129	0.1835957	0.7636918	0.0402361	1.0021523	0.1685651	0.2217984	0.1406993	0.2022263	0.7092412	0.2204514	0.8836779	0.5050114	0.9986925	0.3347420	0.7742997	0.8867894	0.8538751	0.5781008	0.9767189	0.0942305	0.9840552	0.7294601	0.4988279	0.1010436	0.6411847	0.3024140	0.9294367	0.0985173	0.0904827	0.8070755	0.9944741	0.9495725	0.5241938	0.3346025	0.7170879	0.1765235	0.0317271	0.1850745	0.5842790	0.7186553	0.8148322	0.4719659
0.9557477	0.5010689	0.3613459	0.6796175	0.6585072	0.0361225	0.0502189	0.2304657	0.2689319	0.9792033	0.7484386	0.7400553	0.3104340	0.0014508	1.0562756	0.1470260	0.3993061	0.9392580	0.9798384	1.0000178	0.9642897	0.8955928	0.8748125	0.6641615	1.0284288	0.3191321	0.6534168	0.3522817	0.4814891	0.5192064	0.3388198	0.0971850	0.1508949	0.4307492	0.1988039	0.0128324	0.9325540	0.5244094	0.8106594	1.0181076	0.3692315	0.4220204	0.0735535	0.1491352	0.7484753	0.1100719	0.1448853	0.7297217	0.8950643	0.5385801
1.0865022	0.3795995	0.3611583	0.7035940	0.6100680	0.1173586	0.0899277	0.1066104	0.5471967	0.4116241	0.5722270	0.9386178	0.6347417	0.1755668	0.1948870	0.0008069	0.6835500	0.4446298	0.9531538	1.0567363	0.9607951	0.6673691	0.5903808	0.6299013	1.0189447	0.2282934	0.6484565	0.5475607	0.9486088	0.9110573	0.3733423	0.0990303	0.1862209	0.2870524	0.7747751	0.4464123	0.8536116	0.4212152	0.4661880	0.7931019	0.6142655	0.3862410	0.8944151	0.3029784	0.0167971	0.0157195	0.1515700	0.6742489	0.6412659	0.6801966
0.7492022	0.5098386	0.4126812	0.4430406	0.7978762	0.1927480	0.0072988	0.2447292	0.3463307	0.9415167	0.1664310	0.9935530	0.2729539	0.4148507	0.0287388	0.0002469	1.0087407	0.0127893	1.0135496	0.5138149	0.6700401	0.2765041	0.6561207	0.7890949	0.9264327	0.4379382	0.7630731	0.4528200	1.0814969	0.9757899	0.6630168	0.1580809	0.6880598	0.5160982	0.9137736	0.0834368	1.0110690	0.8767012	0.7437177	0.5207570	0.5626799	0.5694127	0.8699168	0.3098796	0.2362205	0.2238813	0.4290843	0.7564173	0.7438727	0.8674387
0.9988764	0.0177220	0.6937994	0.8004227	0.6690020	0.0099217	0.0069291	0.0015096	1.0091374	0.9239768	0.5363297	0.8465794	0.6126890	0.0000681	0.7532962	0.1800857	0.0002746	0.8277369	0.6696998	1.0691436	0.9204719	0.8246463	1.0477966	0.4777232	0.9575773	0.4762967	0.0363710	0.7403716	0.2883985	0.7309487	0.2616268	0.1026270	0.7755557	0.4311923	0.0158452	0.2217645	0.9243524	0.4405627	0.8509898	0.2260612	0.8102348	0.5095545	0.0005810	0.5593326	0.6358046	0.3629800	0.2191681	0.3384524	0.2783705	1.0638977
