YOR363C	YIL101C	YJR147W	YER045C	YOR113W	YHL027W	YBR297W	YGL162W	YBR182C	YMR021C	YPL230W	YOR140W	YKL043W	YPR065W	YER184C	YMR070W	YGR249W	YOR032C	YDR043C	YPL248C	YKL032C	YHR006W	YNL167C	YGL013C	YDL106C	YAL062W	YBR057C	YPR124W	YPR108WA	YGL234W	YLR413W	YOR024W	YML053C	YGR106C	YBL111C	YJR158W	YOR318C	MEL1	YLL065W	YOR269W	YLR410WB	YMR195W	YGL134W	YOR268C	YOL078W	YKL110C	YBR018C	YDL148C	YOL121C	YCR021C
0.4771613	0.4012496	0.5989966	0.6208571	1.0729033	0.0457830	0.0359168	0.1006510	0.5938738	0.9511805	0.2753874	0.9943976	0.3784401	0.0589045	0.6841215	0.0009457	0.6881647	0.9884999	1.0706422	1.0754470	1.0866741	0.9850781	1.0050329	0.6885831	1.1030508	0.3419357	0.5342351	0.2741804	0.6252456	0.5619822	0.3749020	0.0811707	0.4038476	0.4554807	0.7457383	0.1391093	0.9960215	0.4564107	0.8082295	0.8920090	0.5685324	0.4533066	0.4523163	0.2677039	0.3185273	0.0154138	0.1494928	0.7280362	0.3052984	0.9874521
1.0252565	0.2562255	0.9655234	0.6615434	1.0232536	0.0276619	0.0576533	0.0574455	0.7979067	1.0831974	0.3600018	1.0499814	0.3751588	0.0567218	0.8547277	0.0006677	0.1776297	0.9544426	1.0542158	1.0385468	0.9810620	0.9353470	0.9934640	0.6294272	0.9417011	0.2846187	0.4759447	0.5008123	0.5003604	0.6568827	0.3897558	0.1629117	0.3689783	0.4086967	0.3424212	0.1456931	1.1530527	0.5422669	0.8445432	0.6090980	0.5845153	0.3978184	0.2261749	0.2975166	0.3071864	0.0166393	0.1902271	0.6399705	0.2691675	1.0170670
1.0510367	0.4562654	0.1878712	0.6924044	0.9798423	0.0886253	0.0539552	0.0764026	0.4027584	1.1126385	0.2950691	0.9621254	0.3830335	0.0635507	0.7102723	0.0019689	0.7956237	1.0100580	0.9961716	1.0301304	1.0921341	0.9275998	0.9769996	0.7030820	1.1677276	0.3306960	0.5584778	0.1795390	0.6172366	0.5796599	0.3358825	0.1240356	0.4059676	0.4395079	0.6646995	0.1646373	0.9325817	0.4296496	0.8440441	0.9098884	0.6553590	0.3933677	0.3009998	0.2327814	0.3514872	0.0066478	0.1567842	0.7336375	0.4356364	0.9160136
1.0632932	0.4140412	0.5466371	0.2664846	0.8813141	0.0835492	0.0548807	0.0775257	0.4558320	0.9863434	0.2480767	0.9387738	0.4550334	0.0589953	0.6989689	0.0008081	0.7512274	0.9745885	1.0675500	0.9765161	0.9522506	1.0018454	1.0150710	0.8376271	1.0458690	0.2942716	0.5668666	0.1695276	0.6516114	0.5654727	0.3498522	0.0964943	0.4650787	0.4991614	0.5923955	0.1640229	0.9888883	0.4086979	0.8280927	0.8831628	0.4790264	0.4672387	0.3066834	0.2350910	0.3181560	0.0168639	0.1851966	0.6574242	0.5444793	1.0480728
1.1327924	0.3881406	0.5586079	0.6153406	0.5258739	0.0998406	0.0495806	0.0959505	0.5050241	1.1113432	0.2721141	0.8623577	0.3835881	0.0857442	0.6716428	0.0006815	0.6757073	1.0526320	0.9319908	0.9454364	0.9373627	0.9063731	0.9742385	0.7890443	0.9633070	0.3200255	0.5501216	0.2885401	0.6693500	0.6048566	0.3702611	0.1462039	0.4131371	0.4668348	0.5817781	0.1297651	0.9579191	0.4616378	0.9158708	0.7861275	0.5835239	0.4556211	0.5941217	0.2514518	0.3204324	0.0190969	0.2042310	0.7121026	0.9513466	0.9418512
1.0225332	0.3472499	0.5240868	0.6279095	1.0566887	0.0262236	0.0499239	0.0753815	0.4666926	1.0641848	0.2737693	0.9000119	0.4212140	0.0580393	0.7379951	0.0001618	0.4479689	0.8714639	0.9455987	1.0135184	1.0512228	0.7980171	0.9076068	0.7613919	1.1342090	0.3549033	0.5770516	0.2482922	0.7627826	0.7147192	0.3178840	0.1233188	0.3426551	0.4500927	0.7444438	0.1520478	1.0031579	0.5628446	0.8405995	0.8534795	0.5710081	0.3561201	0.4874004	0.2835417	0.3137245	0.0149899	0.1335353	0.7957454	0.3327616	1.0362125
0.9152270	0.4411676	0.5840753	0.5169670	0.9592507	0.0519600	0.0165315	0.0845488	0.5327429	0.9380563	0.2898234	0.9110434	0.3609275	0.0575958	0.7192204	0.0030863	0.6331523	0.9258679	0.9729326	0.9296231	1.0649935	0.8757482	0.9882020	0.8785285	1.1123954	0.2851265	0.5544426	0.2679888	0.8141725	0.6453870	0.3024810	0.0854478	0.4487404	0.4533110	0.5176814	0.1840500	0.9995812	0.5007989	0.8142724	0.7662360	0.5299077	0.4224541	0.5094093	0.2625207	0.3003590	0.0205447	0.1699439	0.6060037	0.2681328	0.9166695
0.9650311	0.4224779	0.5269414	0.7575161	0.9727121	0.0739984	0.0460138	0.0318779	0.5343717	1.1461420	0.3065380	0.9754926	0.4620908	0.0567808	0.8660401	0.0016004	0.6706766	0.9533551	0.9657858	1.0307186	0.9813454	0.9496752	1.0531260	0.7004125	1.0446698	0.3393395	0.5688612	0.2156643	0.4220853	0.6646166	0.2791249	0.1075276	0.4213075	0.4624897	0.5891246	0.1639188	0.9819065	0.4818722	0.8218039	0.8904970	0.6091318	0.3747176	0.2678439	0.3280082	0.3288055	0.0132632	0.1572544	0.6725049	0.3987873	1.1046682
1.0322313	0.4065247	0.5269705	0.7020704	0.9850874	0.1486475	0.0269103	0.0875704	0.2801484	1.0236304	0.3333412	0.9134881	0.4344962	0.0653855	0.6367651	0.0005713	0.8313617	0.9883409	1.0030078	1.0566179	1.0969462	0.8112970	1.0190274	0.7973443	1.0399114	0.2850774	0.6500739	0.0701358	0.8571568	0.7117198	0.4150216	0.0895457	0.3703391	0.4188118	0.7434583	0.1672351	0.9270046	0.4747554	0.9330864	0.9713298	0.6485374	0.4333049	0.6554421	0.2299738	0.3094500	0.0168845	0.1961623	0.6573712	0.7524702	0.9491009
0.9345993	0.4039732	0.6330819	0.5014696	1.0178679	0.0888778	0.1102140	0.0901623	0.4764747	0.5324956	0.2622678	0.8961668	0.3797423	0.0481310	0.8509287	0.0000103	0.7130268	0.9323999	1.0193738	0.8767426	0.9809090	0.9232885	0.9882345	0.7373604	0.9297344	0.1817181	0.5896183	0.3070070	0.3464296	0.6248159	0.3666256	0.1287200	0.4509159	0.4717929	0.5905706	0.1429034	0.9929557	0.4906523	0.8142529	0.9398579	0.7789672	0.3524732	0.2418944	0.2683633	0.2768054	0.0153346	0.1598536	0.6389388	0.4084212	1.1260365
