YOR363C	YIL101C	YJR147W	YER045C	YOR113W	YHL027W	YBR297W	YGL162W	YBR182C	YMR021C	YPL230W	YOR140W	YKL043W	YPR065W	YER184C	YMR070W	YGR249W	YOR032C	YDR043C	YPL248C	YKL032C	YHR006W	YNL167C	YGL013C	YDL106C	YAL062W	YBR057C	YPR124W	YPR108WA	YGL234W	YLR413W	YOR024W	YML053C	YGR106C	YBL111C	YJR158W	YOR318C	MEL1	YLL065W	YOR269W	YLR410WB	YMR195W	YGL134W	YOR268C	YOL078W	YKL110C	YBR018C	YDL148C	YOL121C	YCR021C
0.0000000	0.3572466	0.6585035	0.6909162	1.0247358	0.0781150	0.0601254	0.1047729	0.5518801	0.9844737	0.2506157	0.9884497	0.4270690	0.0630031	0.6346938	0.0025834	0.6717243	0.9651836	0.9664005	0.9964798	0.9737076	0.8307764	1.0379803	0.7286159	1.0398594	0.3343517	0.4591305	0.2539207	0.7865453	0.6266977	0.4072783	0.1344903	0.3642804	0.4852267	0.5383527	0.1459413	0.9501932	0.4908117	0.7518668	0.7875576	0.5908802	0.3551969	0.6045155	0.2425758	0.2891067	0.0182498	0.1192833	0.6130513	0.3539853	1.0927567
0.9704439	0.0000000	1.0371240	0.8029157	1.1478188	0.0338082	0.0698809	0.0839860	1.0535458	0.9908634	0.2390004	0.9937395	0.4132888	0.0850131	0.5723535	0.0001458	0.0622977	0.8629423	0.9859713	0.8821842	1.0036598	1.0077809	0.9995307	0.7243275	0.9835687	0.3003745	0.0178712	0.5874023	0.7272393	0.5824755	0.3280264	0.1066357	0.2124826	0.5123934	0.4042781	0.1595170	1.0531294	0.3779604	0.8480737	0.4417040	0.5436617	0.3818643	0.5218861	0.3506199	0.2635996	0.0119696	0.2091556	0.6583029	0.2334569	1.0888627
1.0200578	0.4119813	0.0000000	0.6531192	0.9385721	0.1069137	0.0364128	0.1091240	0.6357009	1.0423979	0.2494179	0.8827395	0.4097651	0.0339751	0.7690490	0.0016422	0.7101596	0.9419247	1.0527427	0.9642528	0.9870523	0.9375853	1.0574201	0.7968645	0.9077905	0.2911492	0.5402827	0.2867221	0.6916851	0.6355636	0.4240878	0.1394647	0.4397371	0.5215289	0.5873773	0.1429109	0.9973547	0.5127258	0.8384779	0.7844268	0.6472534	0.3499954	0.3532054	0.2916483	0.3441037	0.0113698	0.2080130	0.8061813	0.3512310	1.0064733
0.9876156	0.3546826	0.6104248	0.0000000	1.0848737	0.0770871	0.0652922	0.0790552	0.5309249	0.9806018	0.2738158	1.0066051	0.4753958	0.0488254	0.7621550	0.0005801	0.7532791	1.0248857	1.1223489	1.0157966	1.0553323	0.9140607	1.0009684	0.6755652	1.1075997	0.2753210	0.5309174	0.2579419	0.6768344	0.6386889	0.3654099	0.1068725	0.3702460	0.5065124	0.5282515	0.1482012	0.9711225	0.4923240	0.8666955	0.8571327	0.5658209	0.3886095	0.4024684	0.2827463	0.3785434	0.0060952	0.1316447	0.6367193	0.3581184	0.9896684
0.9780043	0.4184138	0.6601952	0.5830160	0.0000000	0.0372812	0.0556192	0.0749923	0.6610790	0.9307263	0.3052149	0.9404666	0.3824489	0.0823199	0.7019461	0.0017557	0.6926104	0.9706884	0.9445406	1.0690426	0.9219453	0.8754214	1.0349302	0.7510830	1.0095341	0.2488138	0.4899359	0.2755531	0.6220786	0.5831497	0.3681967	0.1477917	0.3859691	0.4262716	0.6241327	0.1698850	1.0327863	0.4233551	0.7910198	0.8316214	0.5221462	0.4268257	0.3735207	0.2084594	0.3304295	0.0213826	0.1485410	0.6284990	1.0139096	1.0058796
1.0448533	0.3855853	0.5740050	0.6839031	1.0835251	0.0000000	0.0310448	0.0674448	0.4955472	0.9729955	0.2583289	0.8800706	0.4652671	0.0771912	0.5851053	0.0024578	0.0305283	0.9820286	0.9502241	0.9223572	0.9546490	0.8941989	1.0604299	0.6763536	0.9811935	0.2734339	0.6560472	0.2064820	0.7236191	0.6208788	0.2812956	0.1432300	0.3856488	0.4256250	0.6029583	0.2084827	1.0001016	0.6096587	0.8908794	0.9466680	0.5915902	0.4761411	0.5414775	0.2696594	0.3344444	0.0116848	0.1641419	0.6569019	0.3449598	1.0568258
1.0064860	0.3606086	0.6243762	0.5795754	1.0670264	0.0516832	0.0000000	0.0915345	0.6127655	0.9462515	0.2597203	0.9092500	0.3576125	0.0872195	0.8199157	0.0001484	0.6956719	1.0730177	1.0019040	0.9872516	0.9647805	1.0380030	1.0744371	0.7927394	0.9405679	0.3449956	0.4844931	0.2463550	0.7561193	0.6724343	0.3485009	0.1263586	0.4575847	0.4514685	0.6522718	0.1935937	0.9954367	0.3934051	0.8398285	0.8678723	0.5240455	0.3904649	0.4838609	0.2481885	0.3141234	0.0249674	0.1650680	0.7072757	0.3711588	0.9997320
1.0021349	0.3647794	0.5412698	0.6278577	0.9944462	0.0847597	0.0405777	0.0000000	0.5002228	0.9800662	0.2990111	0.9134206	0.3732940	0.0712712	0.6422994	0.0002323	0.6665931	0.9733860	1.0319612	1.0198394	1.0118487	0.9905264	1.0613752	0.7773682	1.0322828	0.2357196	0.6369131	0.1624520	0.6462826	0.6537687	0.4312429	0.0948524	0.3951870	0.4174310	0.6034547	0.1636392	1.0639012	0.4650153	0.8351994	0.8514964	0.6477478	0.4479810	0.4115615	0.2642172	0.3401931	0.0167814	0.2005172	0.5694539	0.4261854	0.9865828
1.0412661	0.4247513	0.3877504	0.3701883	1.0127623	0.4430414	0.0669121	0.2050073	0.0000000	0.9907921	0.2067439	0.7765326	0.4344553	0.3123729	0.1138750	0.0042638	0.7484295	0.1023660	1.0246178	1.0204376	1.0510513	0.0895772	1.0175621	0.7579596	1.0269445	0.3018136	0.9365862	0.0481375	0.9733250	0.9262029	0.5419040	0.1389941	0.4629451	0.3708980	1.0592900	0.1317175	0.6605006	0.4304914	0.6569688	0.9321284	0.5338604	0.3552697	0.9699077	0.0709761	0.2575593	0.0810622	0.1938583	0.6972532	1.1449983	0.7103894
0.9867276	0.3241439	0.7466949	0.6614800	1.0158098	0.0536234	0.9739357	0.0929857	0.7056541	0.0000000	0.2542744	0.9966486	0.4204549	0.0695787	0.7444668	0.0007301	0.5773899	1.1175605	0.9828307	0.9515909	1.0284717	0.9114106	0.9418426	0.7125054	1.0401104	0.0400852	0.5275753	0.8650221	0.4926136	0.6481052	0.4071474	0.1298960	0.3349581	0.4534249	0.4756361	0.1117079	1.1109089	0.4926214	0.7982634	0.7242491	1.1493013	0.4391230	0.4034039	0.3326562	0.2967500	0.0256993	0.1770192	0.6631475	0.2279883	0.9793500
1.0150832	0.3838920	0.5066864	0.6519389	1.0387016	0.0478723	0.0694429	0.0843909	0.5858750	1.0835525	0.0014919	0.9730878	0.4763886	0.0678340	0.7806976	0.0047673	0.7557307	0.9092723	1.1007607	1.0130314	1.0137902	0.8596429	1.1013426	0.7991194	1.0518751	0.2699839	0.5838293	0.3542353	0.7568613	0.7045422	0.3949319	0.1065364	0.3992419	0.4910430	0.6450742	0.1390377	1.0001020	0.4050464	0.7757182	0.8269345	0.6705513	0.4374643	0.4245952	0.3029408	0.2798209	0.0070798	0.1721286	0.6201357	0.3443710	1.0981083
0.9446335	0.4047575	0.6453623	0.6864733	0.9342372	0.0595453	0.0393652	0.0838462	0.5549047	1.0112751	0.2786477	0.0000000	0.3675267	0.1085863	0.7193835	0.0010030	0.7234495	0.9820028	1.0633974	0.9522883	0.9889787	0.9684050	1.0173645	0.6748891	0.8910854	0.2820981	0.5624638	0.2363706	0.6300838	0.6760698	0.4409980	0.1023096	0.3724454	0.5664971	0.5274776	0.1596710	1.0124035	0.5108037	0.7970522	0.8573649	0.6106745	0.4593076	0.4758183	0.2719557	0.2788355	0.0226462	0.1748890	0.6960286	0.3770116	0.9190069
1.0000607	1.0304918	0.2514718	0.0174165	0.9718449	0.3654057	0.0457642	0.1238603	0.0975810	1.1351825	0.2083432	0.7099664	0.0000000	0.2760984	0.1530518	0.0005952	0.0467798	0.2645090	0.9638795	1.1155097	0.9623515	0.0632828	0.8519483	0.7938012	1.0409570	0.0247273	0.9634075	0.0276678	1.0006038	0.7569609	0.5535866	0.1368168	0.5112279	0.4863085	0.8867566	0.1379847	0.7425663	0.3906589	0.8289738	1.0750692	0.6353409	0.0453746	1.0537591	0.1386173	0.2988961	0.0537137	0.1574508	0.6726580	0.9677495	0.7761742
1.0420737	0.3771976	0.5023968	0.6312162	1.0062962	0.0424657	0.0468912	0.0866928	0.4594757	1.1355979	0.8447011	0.8864053	0.4629314	0.0000000	0.9825654	0.0004234	0.7776510	0.8986769	1.0300145	1.0572664	1.2000037	0.8678695	1.0125934	0.7441259	1.0959454	0.3328863	0.5447994	0.1618954	0.4233537	0.5787734	0.4148040	0.1457402	0.4347169	0.4463705	0.3680689	0.1625409	1.0614551	0.5125631	0.7676983	0.8537803	0.5965637	0.4029169	0.0080133	0.2319176	0.8298226	0.0148517	0.1706128	0.6604611	0.4548135	0.9439661
1.0659867	0.4125577	0.5736361	0.6119933	1.0437297	0.0808739	0.0631429	0.0840657	0.5407711	0.9571965	0.2887820	1.0136232	0.3635153	0.0601454	0.0000000	0.0011990	0.6866531	0.9650930	1.0364019	1.0160778	0.9176520	0.8667531	0.9516364	0.8358664	1.0991984	0.2761644	0.5494697	0.2089859	0.5598714	0.7213718	0.3391630	0.1233782	0.3795697	0.3829285	0.6120035	0.1677059	1.0740590	0.3789858	0.7260513	0.9713674	0.5456744	0.4252153	0.2465767	0.2656404	0.3022837	0.0043148	0.1385207	0.7180860	0.3482096	1.0669264
0.9155011	0.4762608	0.5450589	0.6794543	1.0590482	0.0729662	0.0476501	0.0707358	0.5630394	1.0249008	0.2492087	0.9360673	0.3819752	0.0716936	0.6930914	0.0000000	0.7166917	0.9912750	0.9808195	1.0112266	1.0545102	1.0083153	0.9658157	0.7230412	0.9849528	0.2857310	0.5767949	0.2820625	0.5761604	0.5304185	0.3732324	0.1348200	0.3871028	0.4395786	0.5527394	0.1353178	1.1258464	0.4549056	0.8145110	0.8193738	0.5730594	0.3836216	0.3850783	0.2660042	0.2877358	0.0164639	0.1694694	0.6534690	0.3662082	1.0099099
1.0334542	0.3470755	0.6127829	0.6686035	0.9593496	0.0646182	0.0557953	0.0644555	0.5365905	0.9873484	0.2991859	0.9860644	0.4068075	0.0583530	0.7954788	0.0010420	0.0000000	0.9885465	1.0680759	1.0904854	1.0447370	0.8888688	1.0314464	0.7578683	1.0511794	0.2939215	0.5309897	0.2648491	0.6105278	0.5813975	0.3384247	0.1343771	0.3694864	0.4235580	0.6036792	0.1633362	0.9970861	0.4230625	0.7260246	0.8917809	0.4815878	0.4335211	0.3421635	0.2851763	0.3140846	0.0190931	0.1637084	0.6604591	0.3658828	1.0811909
0.9513338	0.3605050	0.5918061	0.5497705	0.9767472	0.0566925	0.0348468	0.0987838	0.5926593	0.9492979	0.2843481	0.9950184	0.3849580	0.0801615	0.6236399	0.0003523	0.5650270	0.0000000	1.1095263	1.0519464	0.9563192	0.0496453	1.0099716	0.7911141	1.0634844	0.3333274	0.5004025	0.2064857	0.7133183	0.6179428	0.3107376	0.0836007	0.4140390	0.4761672	0.6170246	0.1773739	1.0251036	0.4307687	0.7161496	0.8996862	0.4762610	0.4219201	0.5800992	0.2110788	0.3586839	0.0165110	0.1334462	0.6420987	0.3607203	1.0419994
0.9855557	1.0378224	0.2797635	0.0229013	1.0920633	0.4055180	0.0364539	0.1287328	0.1052873	0.9686226	0.0031344	0.9676324	0.0083014	0.1963993	0.1486020	0.2953356	0.0552390	0.3362266	0.0000000	0.9151754	1.0870940	0.0996053	0.9276703	0.0722153	1.1279879	0.0220873	1.0571096	0.0539130	0.9627001	0.8759886	0.1882984	0.0778869	0.5278900	0.4147233	0.6072767	0.1362433	0.1908055	0.5030677	0.9007932	0.9913299	0.9262813	0.0461307	1.0523406	0.4145972	0.3837278	0.0466011	1.0622900	0.0729328	1.0795697	0.3889288
1.0605766	0.4807481	0.5580068	0.4759056	0.9703921	0.0667966	0.0559433	0.0724353	0.4655973	1.0336089	0.3789142	0.8957369	0.3557085	0.0567500	0.8046844	0.0000821	0.5018245	0.8322932	1.0713559	0.0000000	1.0851643	0.8382668	0.9888031	0.7428850	1.1276327	0.2579109	1.0374972	0.2465948	0.4863828	0.6222465	0.3578345	0.0738233	0.6350282	0.3986783	0.3281179	0.1814620	0.9838238	0.9789480	0.9871495	0.7740300	0.4673931	0.3822320	0.0222003	0.3027529	0.3780045	0.0071856	1.0673773	0.6367447	0.3565365	1.0429951
1.0820605	0.3292841	0.7368980	0.7523513	0.9984295	0.0445816	0.0444082	0.0999324	0.6360729	1.0293496	0.3018058	0.9553530	1.0265824	0.0713195	0.8100397	0.0029528	0.8129660	0.8765266	1.0273520	1.0799610	0.0000000	0.8561034	1.0676900	0.8458138	1.0608976	0.4723708	0.6134181	0.3587260	0.6642240	0.7049650	0.3605143	1.0418840	0.3579977	0.4262292	0.6017478	0.1971876	1.0762426	0.4937447	0.9057300	0.6059450	0.5858868	0.4090384	0.5189642	0.2905637	0.3007956	0.0080725	0.1426468	0.7565673	0.2677262	0.9876248
1.0289290	0.4586193	0.5062768	0.6232542	1.1091606	0.0584361	0.0451284	0.0743416	0.5243053	1.0745104	0.2798349	0.8702639	0.3409661	0.0747798	0.8514464	0.0003691	0.6862455	1.0987850	0.9633054	1.0544407	0.9546650	0.0000000	0.9858674	0.6787047	1.0114965	0.2904715	0.5201381	0.2181118	0.4955222	0.5188307	0.3833275	0.1447714	0.4520412	0.4755287	0.5568685	0.1924532	1.0638816	0.4799954	0.7531739	0.9961912	0.5715151	0.4734502	0.3184412	0.2779077	0.3232837	0.0036840	0.1700222	0.6167355	0.4131814	0.9991933
1.0934337	0.3365606	0.6043305	0.5473262	0.9612415	0.0742177	0.0415339	0.0764622	0.5180251	0.9721325	0.3135786	0.9981226	0.3793894	0.0857996	0.5986917	0.0007580	0.7541656	1.0426429	1.0143110	1.0423781	1.0247766	0.8335240	0.0000000	0.7305198	1.0664996	0.3885787	0.5426234	0.2599332	0.7184871	0.6756079	0.3720295	0.1409218	0.4411243	0.4945395	0.5633228	0.1236133	0.6533987	0.4697568	0.7895705	0.9438848	0.5450643	0.3511593	0.4441901	0.2580255	0.3605825	0.0264799	0.1442775	0.5708648	0.4065524	0.9825563
