YOR363C	YIL101C	YJR147W	YER045C	YOR113W	YHL027W	YBR297W	YGL162W	YBR182C	YMR021C	YPL230W	YOR140W	YKL043W	YPR065W	YER184C	YMR070W	YGR249W	YOR032C	YDR043C	YPL248C	YKL032C	YHR006W	YNL167C	YGL013C	YDL106C	YAL062W	YBR057C	YPR124W	YPR108WA	YGL234W	YLR413W	YOR024W	YML053C	YGR106C	YBL111C	YJR158W	YOR318C	MEL1	YLL065W	YOR269W	YLR410WB	YMR195W	YGL134W	YOR268C	YOL078W	YKL110C	YBR018C	YDL148C	YOL121C	YCR021C
0.5000302	0.3914655	0.5406091	0.6234982	1.0000000	0.0612262	0.0474624	0.0766455	0.5188728	1.0000000	0.2819248	0.9291416	0.4000044	0.0536538	0.7542783	0.0000001	0.6864348	0.9819935	1.0000000	1.0000000	1.0000000	0.9053194	1.0000000	0.7227560	1.0000000	0.2944315	0.5283511	0.2256032	0.5951562	0.6252347	0.3520265	0.1119451	0.3902108	0.4502243	0.5803992	0.1538009	0.9853258	0.4539970	0.7924118	0.8529424	0.5427061	0.4009627	0.3486926	0.2652728	0.3109246	0.0113847	0.1586552	0.6652999	0.3567352	0.9983213
1.0000000	0.1957333	0.9730443	0.6930017	1.0000000	0.0260779	0.0474624	0.0760169	0.8701769	1.0000000	0.2868936	0.9803753	0.4000044	0.0484619	0.7953394	0.0000001	0.1260025	0.9873475	1.0000000	1.0000000	1.0000000	0.9073396	1.0000000	0.7227462	1.0000000	0.2944315	0.4872328	0.4776775	0.5512335	0.6204173	0.3314493	0.1119451	0.3012376	0.4502243	0.4264171	0.1538009	0.9863270	0.4539970	0.7924587	0.5535494	0.5427061	0.4009627	0.2865472	0.3368394	0.3217068	0.0110407	0.1586552	0.6652929	0.2210784	0.9998627
1.0000000	0.3914618	0.2703100	0.6234990	1.0000000	0.0612250	0.0474624	0.0766455	0.5188787	1.0000000	0.2819249	0.9291432	0.4000044	0.0536536	0.7542794	0.0000001	0.6863517	0.9819936	1.0000000	1.0000000	1.0000000	0.9053194	1.0000000	0.7227560	1.0000000	0.2944315	0.5283496	0.2256084	0.5951550	0.6252346	0.3520259	0.1119451	0.3902095	0.4502243	0.5803963	0.1538009	0.9853258	0.4539970	0.7924118	0.8529382	0.5427061	0.4009627	0.3486909	0.2652742	0.3109249	0.0113847	0.1586552	0.6652999	0.3567295	0.9983214
1.0000000	0.3914618	0.5406180	0.3117504	1.0000000	0.0612250	0.0474624	0.0766455	0.5188787	1.0000000	0.2819249	0.9291432	0.4000044	0.0536536	0.7542794	0.0000001	0.6864293	0.9819936	1.0000000	1.0000000	1.0000000	0.9053194	1.0000000	0.7227560	1.0000000	0.2944315	0.5283496	0.2256084	0.5951550	0.6252346	0.3520259	0.1119451	0.3902095	0.4502243	0.5803963	0.1538009	0.9853258	0.4539970	0.7924118	0.8529382	0.5427061	0.4009627	0.3486909	0.2652742	0.3109249	0.0113847	0.1586552	0.6652999	0.3567295	0.9983214
1.0000000	0.3914639	0.5406130	0.6234985	0.5000001	0.0612257	0.0474624	0.0766455	0.5188754	1.0000000	0.2819248	0.9291423	0.4000044	0.0536537	0.7542787	0.0000001	0.6864325	0.9819935	1.0000000	1.0000000	1.0000000	0.9053194	1.0000000	0.7227560	1.0000000	0.2944315	0.5283505	0.2256054	0.5951558	0.6252346	0.3520263	0.1119451	0.3902102	0.4502243	0.5803980	0.1538009	0.9853258	0.4539970	0.7924118	0.8529406	0.5427061	0.4009627	0.3486920	0.2652734	0.3109247	0.0113847	0.1586552	0.6652999	0.9147658	0.9983214
1.0000000	0.3914662	0.5406073	0.6268528	1.0000000	0.0305623	0.0474624	0.0760679	0.5188716	1.0000000	0.2863665	0.9291415	0.4000044	0.0489066	0.7918747	0.0000001	0.5254673	0.9869404	1.0000000	1.0000000	1.0000000	0.9071879	1.0000000	0.7227470	1.0000000	0.2944315	0.5283535	0.2256019	0.5549529	0.6208307	0.3341683	0.1119451	0.3902111	0.4502243	0.5645345	0.1538009	0.9862536	0.4539970	0.7924551	0.8529434	0.5427061	0.4009627	0.2918156	0.2652740	0.3206858	0.0110684	0.1586552	0.6652935	0.3566632	0.9997812
1.0000000	0.3914994	0.5405252	0.6234904	1.0000000	0.0612369	0.0237348	0.0766457	0.5188174	1.0000000	0.2819236	0.9291259	0.4000044	0.0536557	0.7542666	0.0000001	0.6864880	0.9819917	1.0000000	1.0000000	1.0000000	0.9053189	1.0000000	0.7227561	1.0000000	0.3442718	0.5283655	0.2255530	0.5951692	0.6252360	0.3520321	0.1119451	0.3902234	0.4502243	0.5804284	0.1538009	0.9853254	0.4539970	0.7924118	0.8529824	0.5427061	0.4009627	0.3487113	0.2652590	0.3109217	0.0113848	0.1586552	0.6652999	0.3567890	0.9983205
1.0000000	0.3914626	0.5406161	0.6241895	1.0000000	0.0565955	0.0474624	0.0382659	0.5188775	1.0000000	0.2868606	0.9291429	0.4000044	0.0527531	0.7613797	0.0000001	0.6731468	0.9830098	1.0000000	1.0000000	1.0000000	0.9056993	1.0000000	0.7227542	1.0000000	0.2944315	0.5283503	0.2256073	0.5875697	0.6244146	0.3494136	0.1119451	0.3902097	0.4502243	0.5775294	0.1538009	0.9855215	0.4539970	0.7924207	0.8529391	0.5427061	0.4009627	0.3379511	0.2652742	0.3126129	0.0113223	0.1586552	0.6652986	0.3567160	0.9986664
1.0000000	0.3914319	0.5406926	0.5850848	1.0000000	0.1738908	0.0474624	0.0839433	0.2594640	1.0000000	0.2719669	0.8036225	0.4000044	0.0936026	0.4638100	0.0000001	0.7748829	0.8851254	1.0000000	1.0000000	1.0000000	0.8587105	1.0000000	0.7229459	1.0000000	0.2944315	0.7169381	0.0542298	0.8503677	0.6607478	0.4076005	0.1119451	0.3901982	0.4502243	0.7815193	0.1538010	0.9601666	0.4539970	0.7915162	0.9793409	0.5427061	0.4009627	0.7258480	0.1847008	0.2719236	0.0155184	0.1586552	0.6654342	0.8377824	0.9668361
1.0000000	0.3912158	0.5412295	0.6235560	1.0000000	0.0611465	0.0977192	0.0766437	0.5192827	0.5000000	0.2819349	0.9292598	0.4000044	0.0536388	0.7543826	0.0000001	0.6860310	0.9820090	1.0000000	1.0000000	1.0000000	0.9053245	1.0000000	0.7227560	1.0000000	0.1820159	0.5282431	0.3097141	0.4550581	0.6252229	0.3519835	0.1119451	0.3901174	0.4502243	0.5801704	0.1538009	0.9853288	0.4539970	0.7924120	0.8526453	0.6810352	0.4009627	0.3485303	0.2653755	0.3109496	0.0113837	0.1586552	0.6652999	0.3563350	0.9983275
1.0000000	0.3914618	0.5406180	0.6234990	1.0000000	0.0612250	0.0474624	0.0766455	0.5188787	1.0000000	0.1409664	0.9291432	0.4000044	0.0536536	0.7542792	0.0000001	0.6864293	0.9819936	1.0000000	1.0000000	1.0000000	0.9053194	1.0000000	0.7227560	1.0000000	0.2944315	0.5283496	0.2256084	0.5951551	0.6252346	0.3520259	0.1119451	0.3902095	0.4502243	0.5803963	0.1538009	0.9853258	0.4539970	0.7924118	0.8529382	0.5427061	0.4009627	0.3486910	0.2652742	0.3109248	0.0113847	0.1586552	0.6652999	0.3567295	0.9983214
1.0000000	0.3914618	0.5406180	0.6234990	1.0000000	0.0612250	0.0474624	0.0766455	0.5188787	1.0000000	0.2819249	0.4645793	0.4000044	0.0536536	0.7542794	0.0000001	0.6864293	0.9819936	1.0000000	1.0000000	1.0000000	0.9053194	1.0000000	0.7227560	1.0000000	0.2944315	0.5283496	0.2256084	0.5951550	0.6252346	0.3520259	0.1119451	0.3902095	0.4502243	0.5803962	0.1538009	0.9853258	0.4539970	0.7924118	0.8529382	0.5427061	0.4009627	0.3486909	0.2652742	0.3109249	0.0113847	0.1586552	0.6652999	0.3567295	0.9983214
1.0000000	0.6260023	0.2777200	0.0944326	1.0000000	0.1829906	0.0474624	0.0850543	0.2490578	1.0000000	0.2671026	0.7974942	0.2000022	0.0981527	0.4378344	0.0000001	0.7529410	0.8670980	1.0000000	1.0000000	1.0000000	0.8475000	1.0000000	0.7229851	1.0000000	0.1562465	0.7325976	0.0514019	0.8667636	0.6645692	0.4114969	0.1119451	0.4613439	0.4502243	0.7917906	0.1538012	0.9545302	0.4539970	0.7913323	0.9817129	0.5427061	0.3970164	0.7523240	0.1807365	0.2698005	0.0163008	0.1586552	0.6654620	0.8578940	0.9619921
1.0000000	0.3914875	0.5405539	0.6235605	1.0000000	0.0608005	0.0474624	0.0741549	0.5188363	1.0000000	0.4037487	0.9291318	0.4000044	0.0267843	0.9396330	0.0000001	0.6853240	0.9984192	1.0000000	1.0000000	1.0000000	0.9113782	1.0000000	0.7227257	1.0000000	0.2944315	0.5283678	0.2255693	0.4073962	0.6001646	0.3517876	0.1119451	0.3902191	0.4502243	0.4713490	0.1538009	0.9880558	0.4539970	0.7925574	0.8529692	0.5427061	0.4009627	0.0760775	0.2652689	0.4145823	0.0100540	0.1586552	0.6652783	0.3564922	0.9983552
1.0000000	0.3914618	0.5406180	0.6234990	1.0000000	0.0612250	0.0474624	0.0766455	0.5188787	1.0000000	0.2819249	0.9291432	0.4000044	0.0536536	0.3772463	0.0000001	0.6864293	0.9819936	1.0000000	1.0000000	1.0000000	0.9053194	1.0000000	0.7227560	1.0000000	0.2944315	0.5283496	0.2256084	0.5951550	0.6252346	0.3520259	0.1119451	0.3902095	0.4502243	0.5803963	0.1538009	0.9853258	0.4539970	0.7924118	0.8529382	0.5427061	0.4009627	0.3486909	0.2652742	0.3109249	0.0113847	0.1586552	0.6652999	0.3567295	0.9983214
1.0000000	0.3914618	0.5406181	0.6234989	1.0000000	0.0612252	0.0474624	0.0766457	0.5188787	1.0000000	0.2819229	0.9291432	0.4000044	0.0536542	0.7542411	0.0000001	0.6864322	0.9819904	1.0000000	1.0000000	1.0000000	0.9053153	1.0000000	0.7227561	1.0000000	0.2944314	0.5283497	0.2256084	0.5951781	0.6252415	0.3520264	0.1119451	0.3902095	0.4502243	0.5804190	0.1538009	0.9853252	0.4539970	0.7924118	0.8529382	0.5427062	0.4009627	0.3487203	0.2652742	0.3109202	0.0113848	0.1586552	0.6652999	0.3567295	0.9983213
1.0000000	0.3914618	0.5406180	0.6234990	1.0000000	0.0612250	0.0474624	0.0766455	0.5188787	1.0000000	0.2819249	0.9291432	0.4000044	0.0536536	0.7542792	0.0000001	0.3432383	0.9819936	1.0000000	1.0000000	1.0000000	0.9053194	1.0000000	0.7227560	1.0000000	0.2944315	0.5283496	0.2256084	0.5951551	0.6252346	0.3520259	0.1119451	0.3902095	0.4502243	0.5803963	0.1538009	0.9853258	0.4539970	0.7924118	0.8529382	0.5427061	0.4009627	0.3486910	0.2652742	0.3109248	0.0113847	0.1586552	0.6652999	0.3567295	0.9983214
1.0000000	0.3914618	0.5406180	0.6234990	1.0000000	0.0612250	0.0474624	0.0766455	0.5188787	1.0000000	0.2819249	0.9291432	0.4000044	0.0536536	0.7542795	0.0000001	0.6864293	0.4909973	1.0000000	1.0000000	1.0000000	0.3458070	1.0000000	0.7227560	1.0000000	0.2944315	0.5283496	0.2256084	0.5951549	0.6252346	0.3520259	0.1119451	0.3902095	0.4502243	0.5803962	0.1538009	0.9853258	0.4539970	0.7924118	0.8529382	0.5427061	0.4009627	0.3486908	0.2652742	0.3109249	0.0113847	0.1586552	0.6652999	0.3567295	0.9983214
