YOR363C	YIL101C	YJR147W	YER045C	YOR113W	YHL027W	YBR297W	YGL162W	YBR182C	YMR021C	YPL230W	YOR140W	YKL043W	YPR065W	YER184C	YMR070W	YGR249W	YOR032C	YDR043C	YPL248C	YKL032C	YHR006W	YNL167C	YGL013C	YDL106C	YAL062W	YBR057C	YPR124W	YPR108WA	YGL234W	YLR413W	YOR024W	YML053C	YGR106C	YBL111C	YJR158W	YOR318C	MEL1	YLL065W	YOR269W	YLR410WB	YMR195W	YGL134W	YOR268C	YOL078W	YKL110C	YBR018C	YDL148C	YOL121C	YCR021C
0.0000005	0.3915069	0.5405055	0.6234884	1.0000000	0.0612396	0.0474624	0.0766459	0.5188042	1.0000000	0.2819227	0.9291213	0.4000044	0.0536566	0.7542566	0.0000001	0.6865044	0.9819903	1.0000000	1.0000000	1.0000000	0.9053182	1.0000000	0.7227561	1.0000000	0.2944315	0.5283697	0.2255396	0.5951794	0.6252372	0.3520341	0.1119451	0.3902264	0.4502243	0.5804405	0.1538009	0.9853252	0.4539970	0.7924118	0.8529925	0.5427061	0.4009627	0.3487254	0.2652552	0.3109195	0.0113849	0.1586552	0.6652999	0.3568030	0.9983202
1.0000000	0.0000000	1.0000000	0.8961114	1.0000000	0.0210367	0.0474624	0.0759686	1.0000000	1.0000000	0.2874236	0.9866152	0.4000044	0.0480390	0.7986957	0.0000001	0.0428335	0.9877317	1.0000000	1.0000000	1.0000000	0.9074871	1.0000000	0.7227455	1.0000000	0.2944315	0.0084809	0.5209096	0.5476580	0.6200127	0.3283565	0.1119451	0.1954555	0.4502243	0.3932850	0.1538009	0.9863957	0.4539970	0.7924620	0.4529671	0.5427061	0.4009627	0.2814877	0.3564766	0.3227101	0.0110143	0.1586552	0.6652924	0.2107511	0.9999270
1.0000000	0.3914618	0.0000000	0.6234990	1.0000000	0.0612250	0.0474624	0.0766455	0.5188787	1.0000000	0.2819249	0.9291432	0.4000044	0.0536536	0.7542795	0.0000001	0.6863454	0.9819936	1.0000000	1.0000000	1.0000000	0.9053194	1.0000000	0.7227560	1.0000000	0.2944315	0.5283496	0.2256084	0.5951549	0.6252346	0.3520259	0.1119451	0.3902095	0.4502243	0.5803962	0.1538009	0.9853258	0.4539970	0.7924118	0.8529382	0.5427061	0.4009627	0.3486908	0.2652742	0.3109249	0.0113847	0.1586552	0.6652999	0.3567295	0.9983214
1.0000000	0.3914618	0.5406180	0.0000000	1.0000000	0.0612250	0.0474624	0.0766455	0.5188787	1.0000000	0.2819249	0.9291432	0.4000044	0.0536536	0.7542795	0.0000001	0.6864293	0.9819936	1.0000000	1.0000000	1.0000000	0.9053194	1.0000000	0.7227560	1.0000000	0.2944315	0.5283496	0.2256084	0.5951549	0.6252346	0.3520259	0.1119451	0.3902095	0.4502243	0.5803962	0.1538009	0.9853258	0.4539970	0.7924118	0.8529382	0.5427061	0.4009627	0.3486908	0.2652742	0.3109249	0.0113847	0.1586552	0.6652999	0.3567295	0.9983214
1.0000000	0.3915069	0.5405061	0.6234886	0.0000000	0.0612394	0.0474624	0.0766458	0.5188048	1.0000000	0.2819232	0.9291220	0.4000044	0.0536563	0.7542622	0.0000001	0.6865014	0.9819910	1.0000000	1.0000000	1.0000000	0.9053187	1.0000000	0.7227561	1.0000000	0.2944315	0.5283690	0.2255410	0.5951741	0.6252365	0.3520336	0.1119451	0.3902263	0.4502243	0.5804365	0.1538009	0.9853253	0.4539970	0.7924118	0.8529918	0.5427061	0.4009627	0.3487181	0.2652557	0.3109207	0.0113848	0.1586552	0.6652999	1.0000000	0.9983203
1.0000000	0.3914677	0.5406033	0.6277200	1.0000000	0.0000000	0.0474624	0.0758768	0.5188690	1.0000000	0.2885077	0.9291408	0.4000044	0.0472187	0.8050567	0.0000001	0.0425191	0.9884459	1.0000000	1.0000000	1.0000000	0.9077527	1.0000000	0.7227442	1.0000000	0.2944315	0.5283549	0.2255994	0.5408302	0.6192483	0.3151636	0.1119451	0.3902117	0.4502243	0.5585423	0.1538009	0.9865223	0.4539970	0.7924683	0.8529453	0.5427061	0.4009627	0.2718067	0.2652738	0.3246936	0.0109645	0.1586552	0.6652915	0.3566425	0.9999999
1.0000000	0.3915069	0.5405055	0.6234884	1.0000000	0.0612396	0.0000010	0.0766459	0.5188043	1.0000000	0.2819229	0.9291214	0.4000044	0.0536565	0.7542584	0.0000001	0.6865039	0.9819905	1.0000000	1.0000000	1.0000000	0.9053184	1.0000000	0.7227561	1.0000000	0.3636286	0.5283696	0.2255398	0.5951778	0.6252370	0.3520340	0.1119451	0.3902264	0.4502243	0.5804394	0.1538009	0.9853252	0.4539970	0.7924118	0.8529925	0.5427061	0.4009627	0.3487233	0.2652553	0.3109199	0.0113849	0.1586552	0.6652999	0.3568029	0.9983202
1.0000000	0.3914628	0.5406156	0.6243402	1.0000000	0.0555219	0.0474624	0.0000000	0.5188771	1.0000000	0.2878289	0.9291429	0.4000044	0.0525520	0.7630170	0.0000001	0.6697153	0.9832366	1.0000000	1.0000000	1.0000000	0.9057879	1.0000000	0.7227538	1.0000000	0.2944315	0.5283505	0.2256070	0.5858345	0.6242236	0.3488021	0.1119451	0.3902098	0.4502243	0.5768568	0.1538009	0.9855648	0.4539970	0.7924227	0.8529394	0.5427061	0.4009627	0.3354998	0.2652742	0.3130075	0.0113082	0.1586552	0.6652983	0.3567130	0.9987393
1.0000000	0.3913784	0.5408263	0.3640458	1.0000000	0.4989178	0.0474624	0.1980233	0.0000000	1.0000000	0.2355358	0.7303174	0.4000044	0.3158550	0.0882179	0.0000114	0.7928309	0.1269855	1.0000000	1.0000000	1.0000000	0.0823818	1.0000000	0.7357588	1.0000000	0.2944315	0.9999473	0.0338638	0.9957953	0.7929705	0.5107748	0.1119451	0.3901781	0.4502243	0.9472630	0.1539089	0.6508788	0.4539970	0.7337492	1.0000000	0.5427061	0.4009627	0.9890911	0.0623215	0.2403597	0.0739187	0.1586552	0.6743994	1.0000000	0.7360938
1.0000000	0.3375697	0.6900325	0.6369428	1.0000000	0.0462858	0.9999999	0.0763114	0.6133746	0.0000000	0.2841928	0.9516701	0.4000044	0.0509711	0.7756367	0.0000001	0.5591957	0.9849266	1.0000000	1.0000000	1.0000000	0.9064308	1.0000000	0.7227507	1.0000000	0.0284587	0.5090185	0.7798619	0.3653504	0.6227486	0.3434731	0.1119451	0.3688213	0.4502243	0.5280049	0.1538009	0.9858837	0.4539970	0.7924375	0.7779888	0.9999992	0.4009627	0.3164518	0.2878540	0.3161959	0.0112013	0.1586552	0.6652961	0.2874814	0.9992614
1.0000000	0.3914618	0.5406180	0.6234990	1.0000000	0.0612250	0.0474624	0.0766455	0.5188787	1.0000000	0.0000006	0.9291432	0.4000044	0.0536536	0.7542794	0.0000001	0.6864293	0.9819936	1.0000000	1.0000000	1.0000000	0.9053194	1.0000000	0.7227560	1.0000000	0.2944315	0.5283496	0.2256084	0.5951550	0.6252346	0.3520259	0.1119451	0.3902095	0.4502243	0.5803962	0.1538009	0.9853258	0.4539970	0.7924118	0.8529382	0.5427061	0.4009627	0.3486909	0.2652742	0.3109249	0.0113847	0.1586552	0.6652999	0.3567295	0.9983214
1.0000000	0.3914618	0.5406180	0.6234990	1.0000000	0.0612250	0.0474624	0.0766455	0.5188787	1.0000000	0.2819249	0.0000001	0.4000044	0.0536536	0.7542795	0.0000001	0.6864293	0.9819936	1.0000000	1.0000000	1.0000000	0.9053194	1.0000000	0.7227560	1.0000000	0.2944315	0.5283496	0.2256084	0.5951549	0.6252346	0.3520259	0.1119451	0.3902095	0.4502243	0.5803962	0.1538009	0.9853258	0.4539970	0.7924118	0.8529382	0.5427061	0.4009627	0.3486908	0.2652742	0.3109249	0.0113847	0.1586552	0.6652999	0.3567295	0.9983214
1.0000000	0.9997342	0.2430305	0.0253582	1.0000000	0.3729040	0.0474624	0.1361751	0.1065295	1.0000000	0.2256941	0.7384218	0.0000000	0.2214372	0.1359690	0.0000011	0.0423586	0.2896755	1.0000000	1.0000000	1.0000000	0.1160331	1.0000000	0.7268526	1.0000000	0.0262280	0.9572939	0.0345941	0.9872964	0.7488776	0.4780893	0.1119451	0.5281306	0.4502243	0.9161779	0.1538537	0.7130214	0.4539970	0.7735882	0.9985934	0.5427061	0.0458456	0.9699709	0.1185340	0.2480114	0.0502567	0.1586552	0.6682001	0.9942032	0.8173659
1.0000000	0.3915069	0.5405055	0.6235750	1.0000000	0.0606838	0.0474624	0.0734261	0.5188043	1.0000000	0.8598847	0.9291224	0.4000044	0.0000007	0.9999936	0.0000001	0.6850266	1.0000000	1.0000000	1.0000000	1.0000000	0.9119379	1.0000000	0.7227226	1.0000000	0.2944315	0.5283771	0.2255397	0.3706893	0.5783068	0.3517219	0.1119451	0.3902264	0.4502243	0.3309112	0.1538009	0.9882107	0.4539970	0.7925726	0.8529926	0.5427061	0.4009627	0.0129914	0.2652613	0.8371132	0.0097044	0.1586552	0.6652761	0.3564743	0.9983645
1.0000000	0.3914618	0.5406180	0.6234990	1.0000000	0.0612250	0.0474624	0.0766455	0.5188787	1.0000000	0.2819249	0.9291432	0.4000044	0.0536536	0.0000023	0.0000001	0.6864293	0.9819936	1.0000000	1.0000000	1.0000000	0.9053194	1.0000000	0.7227560	1.0000000	0.2944315	0.5283496	0.2256084	0.5951549	0.6252346	0.3520259	0.1119451	0.3902095	0.4502243	0.5803962	0.1538009	0.9853258	0.4539970	0.7924118	0.8529382	0.5427061	0.4009627	0.3486908	0.2652742	0.3109249	0.0113847	0.1586552	0.6652999	0.3567295	0.9983214
1.0000000	0.3914618	0.5406181	0.6234989	1.0000000	0.0612252	0.0474624	0.0766457	0.5188787	1.0000000	0.2819229	0.9291432	0.4000044	0.0536542	0.7542411	0.0000000	0.6864322	0.9819904	1.0000000	1.0000000	1.0000000	0.9053153	1.0000000	0.7227561	1.0000000	0.2944314	0.5283497	0.2256084	0.5951781	0.6252415	0.3520264	0.1119451	0.3902095	0.4502243	0.5804190	0.1538009	0.9853252	0.4539970	0.7924118	0.8529382	0.5427062	0.4009627	0.3487203	0.2652742	0.3109202	0.0113848	0.1586552	0.6652999	0.3567295	0.9983213
1.0000000	0.3914618	0.5406180	0.6234990	1.0000000	0.0612250	0.0474624	0.0766455	0.5188787	1.0000000	0.2819249	0.9291432	0.4000044	0.0536536	0.7542795	0.0000001	0.0000004	0.9819936	1.0000000	1.0000000	1.0000000	0.9053194	1.0000000	0.7227560	1.0000000	0.2944315	0.5283496	0.2256084	0.5951549	0.6252346	0.3520259	0.1119451	0.3902095	0.4502243	0.5803962	0.1538009	0.9853258	0.4539970	0.7924118	0.8529382	0.5427061	0.4009627	0.3486908	0.2652742	0.3109249	0.0113847	0.1586552	0.6652999	0.3567295	0.9983214
1.0000000	0.3914618	0.5406180	0.6234990	1.0000000	0.0612250	0.0474624	0.0766455	0.5188787	1.0000000	0.2819249	0.9291432	0.4000044	0.0536536	0.7542795	0.0000001	0.6864293	0.0000009	1.0000000	1.0000000	1.0000000	0.0814474	1.0000000	0.7227560	1.0000000	0.2944315	0.5283496	0.2256084	0.5951549	0.6252346	0.3520259	0.1119451	0.3902095	0.4502243	0.5803962	0.1538009	0.9853258	0.4539970	0.7924118	0.8529382	0.5427061	0.4009627	0.3486908	0.2652742	0.3109249	0.0113847	0.1586552	0.6652999	0.3567295	0.9983214
1.0000000	0.9999995	0.2430259	0.0253496	1.0000000	0.3729856	0.0474624	0.1362085	0.1064814	1.0000000	0.0000218	0.9944484	0.0017119	0.2214968	0.1359191	0.3209157	0.0423187	0.2895017	0.0000000	1.0000000	1.0000000	0.1159463	1.0000000	0.0600891	1.0000000	0.0264339	0.9999873	0.0345929	0.9873068	0.7489096	0.1748548	0.1119451	0.5281653	0.4502243	0.4846493	0.1538553	0.2292731	0.4539970	0.9785585	0.9999712	1.0000000	0.0458456	0.9699935	0.4693906	0.4099021	0.0502802	1.0000000	0.0918313	0.9942136	0.3966764
1.0000000	0.3914618	0.5406180	0.6234990	1.0000000	0.0612250	0.0474624	0.0766455	0.5188787	1.0000000	0.2819249	1.0000000	0.4000044	0.0536536	0.7542795	0.0000001	0.6864293	0.9819936	1.0000000	0.0000012	1.0000000	0.9053194	1.0000000	0.7227560	1.0000000	0.2944315	0.9999472	0.2256084	0.5951549	0.6252346	0.3520259	0.1119451	0.6711216	0.4502243	0.3308067	0.1538009	0.9853258	1.0000000	0.9998229	0.8529382	0.5427061	0.4009627	0.0129913	0.2652742	0.3109249	0.0113847	1.0000000	0.6652999	0.3567295	0.9983214
1.0000000	0.3373622	0.6905756	0.7695454	1.0000000	0.0462503	0.0474624	0.0763122	0.6137084	1.0000000	0.2873157	0.9517088	0.9128850	0.0509724	0.7755579	0.0000001	0.7775743	0.9849175	1.0000000	1.0000000	0.0000000	0.9064249	1.0000000	0.7227507	1.0000000	0.5107604	0.5089895	0.3120719	0.5724388	0.6227583	0.3434691	1.0000000	0.3687454	0.4502243	0.5279790	0.1538009	0.9858820	0.4539970	0.7924374	0.7777472	0.5427061	0.4010474	0.3165543	0.2879046	0.3161780	0.0111346	0.1586552	0.6652961	0.2873407	0.9992618
1.0000000	0.3914618	0.5406180	0.6234990	1.0000000	0.0612250	0.0474624	0.0766455	0.5188787	1.0000000	0.2819249	0.9291432	0.4000044	0.0536536	0.7542795	0.0000001	0.6864293	0.9819936	1.0000000	1.0000000	1.0000000	0.0000000	1.0000000	0.7227560	1.0000000	0.2944315	0.5283496	0.2256084	0.5951549	0.6252346	0.3520259	0.1119451	0.3902095	0.4502243	0.5803962	0.1538009	0.9853258	0.4539970	0.7924118	0.8529382	0.5427061	0.4009627	0.3486908	0.2652742	0.3109249	0.0113847	0.1586552	0.6652999	0.3567295	0.9983214
