YOR363C	YIL101C	YJR147W	YER045C	YOR113W	YHL027W	YBR297W	YGL162W	YBR182C	YMR021C	YPL230W	YOR140W	YKL043W	YPR065W	YER184C	YMR070W	YGR249W	YOR032C	YDR043C	YPL248C	YKL032C	YHR006W	YNL167C	YGL013C	YDL106C	YAL062W	YBR057C	YPR124W	YPR108WA	YGL234W	YLR413W	YOR024W	YML053C	YGR106C	YBL111C	YJR158W	YOR318C	MEL1	YLL065W	YOR269W	YLR410WB	YMR195W	YGL134W	YOR268C	YOL078W	YKL110C	YBR018C	YDL148C	YOL121C	YCR021C
1.0000000	0.3431967	0.6732830	0.5614439	0.8673314	0.0740705	0.0474624	0.2054480	0.6030235	1.0000000	0.0582690	0.9794743	0.7125467	0.1911084	0.1678513	0.0000017	0.8404180	0.3968182	0.5162723	1.0000000	0.9885081	0.5900496	0.9543047	0.2235096	1.0000000	0.4198085	0.9338975	0.1435749	0.9822576	0.7281716	0.2469303	0.0727664	0.2274201	0.4213549	0.5166362	0.0272289	0.3870534	0.2418961	0.8237435	0.7834685	0.7377304	0.5219157	0.9416645	0.5656201	0.4086420	0.0571385	0.3313001	0.0826627	0.3826897	0.9970699
1.0000000	0.2763715	0.7966504	0.7148161	1.0000000	0.0333438	0.0053601	0.1390718	0.7285911	1.0000000	0.7208244	0.6544741	0.4244786	0.0019977	0.9998522	0.0000015	0.3443089	0.7100473	0.7923639	1.0000000	1.0000000	0.7550700	0.9835247	0.5309498	1.0000000	0.4271168	0.6293019	0.3090666	0.4683045	0.5761319	0.5282978	0.1119451	0.1548655	0.2548358	0.5123761	0.0383447	0.7080722	0.4539970	0.8127909	0.6405333	0.7215532	0.4764961	0.0000358	0.2505872	0.7969548	0.1500116	0.2053734	0.5587165	0.2446235	0.7871262
1.0000000	0.2111739	0.9601666	0.2578086	1.0000000	0.5276362	0.0055784	0.1132118	0.7073318	0.9205217	0.5403442	0.9376869	0.3720628	0.2901070	0.0157693	0.0000003	0.9717680	0.0972273	1.0000000	1.0000000	0.7057743	0.0002866	0.7447941	0.8629111	0.6636856	0.3510422	0.6046739	0.5660243	0.9282138	0.9995931	0.6089238	0.1380777	0.3652121	0.6205432	0.7993622	0.2905132	0.7943454	0.4408159	0.7149177	0.6185686	0.5554503	0.3550746	0.9898505	0.0745341	0.1815595	0.3098710	0.1292658	0.7649321	0.2262355	0.6394529
1.0000000	0.2494805	0.9092851	0.4952430	0.8432340	0.3715571	0.0054156	0.1279793	0.6573181	1.0000000	0.1399808	0.8402510	0.3379433	0.1732368	0.1943029	0.0000002	0.7072584	0.3560385	0.7942941	0.4698946	0.9937236	0.2005508	1.0000000	0.6488213	0.6505765	0.2868438	0.2307398	0.3064802	0.9070296	0.9993499	0.7291575	0.0787679	0.5373083	0.4118114	0.5622647	0.2560905	0.7204828	0.8430141	0.8327661	0.7406234	0.5290373	0.5895277	0.6087274	0.3174223	0.2904684	0.0222976	0.2013175	0.6482529	0.3549207	0.8183996
1.0000000	0.1190748	0.9980717	0.3005749	1.0000000	0.0269238	0.0027608	0.0000138	0.7536791	1.0000000	0.8889213	0.8637001	0.3709462	0.0041994	0.9991740	0.0000001	0.3074701	0.7414865	1.0000000	0.8112278	0.5579667	0.6566911	0.6652347	0.6701227	0.8685036	0.3144055	0.5953628	0.3229473	0.3703240	0.5774582	0.3316091	0.1950337	0.1441822	0.2801483	0.4289675	0.0000000	0.9285834	0.5925502	0.7050651	0.6549483	0.5427061	0.3550724	0.3020420	0.6360687	0.6648368	0.2284577	0.1601707	0.5374246	0.2388206	0.8764608
1.0000000	0.6908094	0.2626051	0.0733602	1.0000000	0.3760907	0.0584858	0.0790943	0.2080796	0.7217345	0.0506068	0.9596929	0.1756305	0.2489185	0.0917493	0.1966378	0.7386701	0.1722901	0.8828232	0.4661370	1.0000000	0.3547534	0.6795459	0.7988907	0.8311394	0.5533395	0.9660341	0.0723984	0.9921943	0.7646451	0.5117151	0.1119451	0.6310917	0.2277437	0.8639934	0.1039299	0.0769047	0.7894759	0.9429834	0.9893171	0.5830212	0.3766417	0.7670620	0.1333439	0.0516649	0.1706448	0.5600622	0.6355229	0.8845201	0.4362266
0.8386421	0.5413930	0.3179456	0.5545956	0.6406256	0.0259606	0.0474624	0.2281978	0.3210470	1.0000000	0.8135851	0.6781699	0.2396558	0.0012305	0.9999550	0.1657721	0.3028140	1.0000000	1.0000000	1.0000000	1.0000000	0.9187101	0.8510791	0.6701227	1.0000000	0.2541763	0.5604029	0.2940421	0.5333695	0.5756555	0.3310150	0.1119451	0.1220280	0.3981812	0.1789093	0.0065463	0.9691265	0.4539970	0.7421549	0.9613234	0.3994554	0.4389938	0.0710359	0.1488908	0.7166143	0.0762526	0.1285798	0.7539686	0.8575150	0.6087577
1.0000000	0.3478969	0.5020330	0.7177103	0.6399005	0.1276706	0.1014717	0.1264526	0.5944606	0.4899517	0.4855773	0.9477441	0.6251035	0.2065988	0.1499183	0.0000005	0.7423888	0.3375459	0.9541194	1.0000000	0.9161349	0.6662384	0.5874795	0.6500484	1.0000000	0.2139630	0.6775026	0.5901753	0.9126821	0.8836709	0.3907256	0.0953820	0.1620117	0.2496148	0.8174547	0.4609178	0.8149058	0.4539970	0.5313032	0.7942271	0.5784714	0.3705860	0.9505202	0.2833523	0.0057143	0.0239855	0.1668916	0.6658343	0.6685222	0.7185553
0.7526379	0.4646365	0.3969647	0.5145419	0.7529432	0.2077789	0.0068747	0.2169308	0.4098521	0.9263483	0.1658561	0.9792966	0.2936700	0.4331597	0.0168186	0.0000186	0.9858170	0.0150798	0.9933540	0.4891425	0.6248403	0.2402325	0.7210361	0.6998981	0.8493000	0.4284058	0.8022353	0.4266554	0.9984784	0.9470103	0.6344336	0.1853719	0.7078618	0.5231414	0.8988697	0.0865832	0.9676226	0.8499853	0.7711833	0.5158626	0.5593887	0.5867800	0.9411562	0.3751750	0.2565679	0.2051108	0.4512594	0.6690621	0.7608278	0.9471864
1.0000000	0.0139114	0.6995201	0.7445104	0.6504808	0.0077531	0.0034456	0.0000000	0.9998728	1.0000000	0.5678206	0.8086332	0.6515191	0.0001192	0.7966221	0.1715551	0.0000071	0.8091129	0.6623596	1.0000000	0.8704493	0.8024529	1.0000000	0.3958380	1.0000000	0.5756965	0.0749632	0.7083665	0.3046415	0.7144391	0.2862709	0.1493742	0.7500099	0.4502243	0.0155550	0.1531985	0.9462869	0.4539970	0.9216823	0.2381939	0.8345413	0.5645197	0.0000000	0.6099601	0.6792802	0.3633904	0.2162104	0.2603359	0.3080525	0.9978378
