YOR363C	YIL101C	YJR147W	YER045C	YOR113W	YHL027W	YBR297W	YGL162W	YBR182C	YMR021C	YPL230W	YOR140W	YKL043W	YPR065W	YER184C	YMR070W	YGR249W	YOR032C	YDR043C	YPL248C	YKL032C	YHR006W	YNL167C	YGL013C	YDL106C	YAL062W	YBR057C	YPR124W	YPR108WA	YGL234W	YLR413W	YOR024W	YML053C	YGR106C	YBL111C	YJR158W	YOR318C	MEL1	YLL065W	YOR269W	YLR410WB	YMR195W	YGL134W	YOR268C	YOL078W	YKL110C	YBR018C	YDL148C	YOL121C	YCR021C
0.5001673	0.3914655	0.5406094	0.6234982	1.0000000	0.0612261	0.0474624	0.0766455	0.5188729	1.0000000	0.2819248	0.9291418	0.4000044	0.0536538	0.7542784	0.0000001	0.6864344	0.9819935	1.0000000	1.0000000	1.0000000	0.9053194	1.0000000	0.7227560	1.0000000	0.2944315	0.5283510	0.2256034	0.5951560	0.6252347	0.3520264	0.1119451	0.3902108	0.4502243	0.5803990	0.1538009	0.9853258	0.4539970	0.7924118	0.8529423	0.5427061	0.4009627	0.3486923	0.2652729	0.3109246	0.0113847	0.1586552	0.6652999	0.3567348	0.9983213
1.0000000	0.1957335	0.9730413	0.6929979	1.0000000	0.0260790	0.0474624	0.0760182	0.8701758	1.0000000	0.2868881	0.9803668	0.4000044	0.0484631	0.7953117	0.0000001	0.1260456	0.9873431	1.0000000	1.0000000	1.0000000	0.9073295	1.0000000	0.7227463	1.0000000	0.2944315	0.4872356	0.4776711	0.5512939	0.6204284	0.3314517	0.1119451	0.3012387	0.4502243	0.4264978	0.1538009	0.9863249	0.4539970	0.7924585	0.5535534	0.5427061	0.4009627	0.2866858	0.3368335	0.3216901	0.0110411	0.1586552	0.6652931	0.2210807	0.9998625
1.0000000	0.3914618	0.2703605	0.6234990	1.0000000	0.0612250	0.0474624	0.0766455	0.5188787	1.0000000	0.2819249	0.9291432	0.4000044	0.0536536	0.7542793	0.0000001	0.6863518	0.9819936	1.0000000	1.0000000	1.0000000	0.9053194	1.0000000	0.7227560	1.0000000	0.2944315	0.5283496	0.2256084	0.5951551	0.6252346	0.3520259	0.1119451	0.3902095	0.4502243	0.5803964	0.1538009	0.9853258	0.4539970	0.7924118	0.8529382	0.5427061	0.4009627	0.3486911	0.2652742	0.3109248	0.0113847	0.1586552	0.6652999	0.3567295	0.9983214
1.0000000	0.3914618	0.5406180	0.3118544	1.0000000	0.0612250	0.0474624	0.0766455	0.5188787	1.0000000	0.2819249	0.9291432	0.4000044	0.0536536	0.7542793	0.0000001	0.6864293	0.9819936	1.0000000	1.0000000	1.0000000	0.9053194	1.0000000	0.7227560	1.0000000	0.2944315	0.5283496	0.2256084	0.5951551	0.6252346	0.3520259	0.1119451	0.3902095	0.4502243	0.5803964	0.1538009	0.9853258	0.4539970	0.7924118	0.8529382	0.5427061	0.4009627	0.3486911	0.2652742	0.3109248	0.0113847	0.1586552	0.6652999	0.3567295	0.9983214
1.0000000	0.3914639	0.5406131	0.6234985	0.5000071	0.0612257	0.0474624	0.0766455	0.5188754	1.0000000	0.2819248	0.9291423	0.4000044	0.0536537	0.7542787	0.0000001	0.6864324	0.9819935	1.0000000	1.0000000	1.0000000	0.9053194	1.0000000	0.7227560	1.0000000	0.2944315	0.5283505	0.2256055	0.5951557	0.6252347	0.3520262	0.1119451	0.3902102	0.4502243	0.5803980	0.1538009	0.9853258	0.4539970	0.7924118	0.8529406	0.5427061	0.4009627	0.3486919	0.2652734	0.3109247	0.0113847	0.1586552	0.6652999	0.9145834	0.9983214
1.0000000	0.3914662	0.5406074	0.6268525	1.0000000	0.0305625	0.0474624	0.0760689	0.5188716	1.0000000	0.2863623	0.9291415	0.4000044	0.0489073	0.7918506	0.0000001	0.5254878	0.9869368	1.0000000	1.0000000	1.0000000	0.9071773	1.0000000	0.7227470	1.0000000	0.2944315	0.5283534	0.2256020	0.5550031	0.6208414	0.3341688	0.1119451	0.3902111	0.4502243	0.5645800	0.1538009	0.9862517	0.4539970	0.7924550	0.8529434	0.5427061	0.4009627	0.2919379	0.2652741	0.3206723	0.0110688	0.1586552	0.6652936	0.3566631	0.9997811
1.0000000	0.3914993	0.5405270	0.6234907	1.0000000	0.0612365	0.0237410	0.0766457	0.5188178	1.0000000	0.2819238	0.9291272	0.4000044	0.0536556	0.7542675	0.0000001	0.6864853	0.9819919	1.0000000	1.0000000	1.0000000	0.9053190	1.0000000	0.7227561	1.0000000	0.3441593	0.5283646	0.2255549	0.5951672	0.6252358	0.3520317	0.1119451	0.3902232	0.4502243	0.5804263	0.1538009	0.9853255	0.4539970	0.7924118	0.8529816	0.5427061	0.4009627	0.3487075	0.2652598	0.3109222	0.0113848	0.1586552	0.6652999	0.3567867	0.9983206
1.0000000	0.3914626	0.5406162	0.6241879	1.0000000	0.0565962	0.0474624	0.0382686	0.5188775	1.0000000	0.2868552	0.9291430	0.4000044	0.0527549	0.7613443	0.0000001	0.6731677	0.9830025	1.0000000	1.0000000	1.0000000	0.9056862	1.0000000	0.7227542	1.0000000	0.2944315	0.5283503	0.2256074	0.5876507	0.6244265	0.3494154	0.1119451	0.3902097	0.4502243	0.5775771	0.1538009	0.9855183	0.4539970	0.7924205	0.8529391	0.5427061	0.4009627	0.3381266	0.2652742	0.3125944	0.0113229	0.1586552	0.6652987	0.3567160	0.9986657
1.0000000	0.3914319	0.5406923	0.5850965	1.0000000	0.1738858	0.0474624	0.0839307	0.2594640	1.0000000	0.2719716	0.8036242	0.4000044	0.0935939	0.4639156	0.0000001	0.7748797	0.8852198	1.0000000	1.0000000	1.0000000	0.8589884	1.0000000	0.7229454	1.0000000	0.2944315	0.7169383	0.0542298	0.8502278	0.6607003	0.4075962	0.1119451	0.3901983	0.4502243	0.7814084	0.1538010	0.9602331	0.4539970	0.7915186	0.9793410	0.5427061	0.4009627	0.7254950	0.1847011	0.2719421	0.0155137	0.1586552	0.6654319	0.8377825	0.9668467
1.0000000	0.3912162	0.5412233	0.6235549	1.0000000	0.0611477	0.0977149	0.0766439	0.5192813	0.5000003	0.2819342	0.9292554	0.4000044	0.0536393	0.7543786	0.0000001	0.6860406	0.9820081	1.0000000	1.0000000	1.0000000	0.9053238	1.0000000	0.7227560	1.0000000	0.1820823	0.5282459	0.3097069	0.4550725	0.6252238	0.3519847	0.1119451	0.3901181	0.4502243	0.5801791	0.1538009	0.9853285	0.4539970	0.7924120	0.8526480	0.6809944	0.4009627	0.3485475	0.2653730	0.3109476	0.0113838	0.1586552	0.6652999	0.3563426	0.9983272
1.0000000	0.3914618	0.5406180	0.6234990	1.0000000	0.0612250	0.0474624	0.0766455	0.5188787	1.0000000	0.1409790	0.9291432	0.4000044	0.0536536	0.7542791	0.0000001	0.6864293	0.9819936	1.0000000	1.0000000	1.0000000	0.9053194	1.0000000	0.7227560	1.0000000	0.2944315	0.5283496	0.2256084	0.5951552	0.6252347	0.3520259	0.1119451	0.3902095	0.4502243	0.5803965	0.1538009	0.9853258	0.4539970	0.7924118	0.8529382	0.5427061	0.4009627	0.3486914	0.2652742	0.3109248	0.0113847	0.1586552	0.6652999	0.3567295	0.9983214
1.0000000	0.3914618	0.5406180	0.6234990	1.0000000	0.0612250	0.0474624	0.0766455	0.5188787	1.0000000	0.2819249	0.4647883	0.4000044	0.0536536	0.7542794	0.0000001	0.6864293	0.9819936	1.0000000	1.0000000	1.0000000	0.9053194	1.0000000	0.7227560	1.0000000	0.2944315	0.5283496	0.2256084	0.5951550	0.6252346	0.3520259	0.1119451	0.3902095	0.4502243	0.5803963	0.1538009	0.9853258	0.4539970	0.7924118	0.8529382	0.5427061	0.4009627	0.3486909	0.2652742	0.3109249	0.0113847	0.1586552	0.6652999	0.3567295	0.9983214
1.0000000	0.6260023	0.2777201	0.0944328	1.0000000	0.1829848	0.0474624	0.0850401	0.2490578	1.0000000	0.2671100	0.7974976	0.2000022	0.0981425	0.4379384	0.0000001	0.7529340	0.8672100	1.0000000	1.0000000	1.0000000	0.8478172	1.0000000	0.7229846	1.0000000	0.1562465	0.7325947	0.0514021	0.8666314	0.6645233	0.4114920	0.1119451	0.4613439	0.4502243	0.7916900	0.1538012	0.9546090	0.4539970	0.7913351	0.9817129	0.5427061	0.3970164	0.7519949	0.1807374	0.2698184	0.0162951	0.1586552	0.6654598	0.8578922	0.9620053
1.0000000	0.3914875	0.5405540	0.6235603	1.0000000	0.0608006	0.0474624	0.0741551	0.5188363	1.0000000	0.4037308	0.9291318	0.4000044	0.0267846	0.9396261	0.0000001	0.6853255	0.9984189	1.0000000	1.0000000	1.0000000	0.9113770	1.0000000	0.7227258	1.0000000	0.2944315	0.5283677	0.2255693	0.4074054	0.6001705	0.3517878	0.1119451	0.3902191	0.4502243	0.4713833	0.1538009	0.9880557	0.4539970	0.7925574	0.8529692	0.5427061	0.4009627	0.0761051	0.2652689	0.4145664	0.0100541	0.1586552	0.6652784	0.3564921	0.9983552
1.0000000	0.3914618	0.5406180	0.6234990	1.0000000	0.0612250	0.0474624	0.0766455	0.5188787	1.0000000	0.2819249	0.9291432	0.4000044	0.0536536	0.3772962	0.0000001	0.6864293	0.9819936	1.0000000	1.0000000	1.0000000	0.9053194	1.0000000	0.7227560	1.0000000	0.2944315	0.5283496	0.2256084	0.5951551	0.6252346	0.3520259	0.1119451	0.3902095	0.4502243	0.5803964	0.1538009	0.9853258	0.4539970	0.7924118	0.8529382	0.5427061	0.4009627	0.3486911	0.2652742	0.3109248	0.0113847	0.1586552	0.6652999	0.3567295	0.9983214
1.0000000	0.3914618	0.5406180	0.6234985	1.0000000	0.0612255	0.0474624	0.0766463	0.5188787	1.0000000	0.2819214	0.9291425	0.4000044	0.0536547	0.7542284	0.0000001	0.6864359	0.9819881	1.0000000	1.0000000	1.0000000	0.9053088	1.0000000	0.7227561	1.0000000	0.2944312	0.5283501	0.2256084	0.5952037	0.6252471	0.3520268	0.1119451	0.3902095	0.4502243	0.5804418	0.1538009	0.9853239	0.4539970	0.7924119	0.8529382	0.5427063	0.4009627	0.3487814	0.2652741	0.3109147	0.0113850	0.1586552	0.6652975	0.3567297	0.9983210
