YOR363C	YIL101C	YJR147W	YER045C	YOR113W	YHL027W	YBR297W	YGL162W	YBR182C	YMR021C	YPL230W	YOR140W	YKL043W	YPR065W	YER184C	YMR070W	YGR249W	YOR032C	YDR043C	YPL248C	YKL032C	YHR006W	YNL167C	YGL013C	YDL106C	YAL062W	YBR057C	YPR124W	YPR108WA	YGL234W	YLR413W	YOR024W	YML053C	YGR106C	YBL111C	YJR158W	YOR318C	MEL1	YLL065W	YOR269W	YLR410WB	YMR195W	YGL134W	YOR268C	YOL078W	YKL110C	YBR018C	YDL148C	YOL121C	YCR021C
0.0000029	0.3915069	0.5405055	0.6234884	1.0000000	0.0612396	0.0474624	0.0766459	0.5188043	1.0000000	0.2819228	0.9291214	0.4000044	0.0536565	0.7542568	0.0000001	0.6865043	0.9819904	1.0000000	1.0000000	1.0000000	0.9053183	1.0000000	0.7227561	1.0000000	0.2944315	0.5283697	0.2255397	0.5951789	0.6252371	0.3520341	0.1119451	0.3902264	0.4502243	0.5804401	0.1538009	0.9853252	0.4539970	0.7924118	0.8529925	0.5427061	0.4009627	0.3487245	0.2652553	0.3109196	0.0113849	0.1586552	0.6652999	0.3568029	0.9983202
1.0000000	0.0000001	0.9999999	0.8961096	1.0000000	0.0210368	0.0474624	0.0759689	1.0000000	1.0000000	0.2874224	0.9866142	0.4000044	0.0480392	0.7986890	0.0000001	0.0428336	0.9877308	1.0000000	1.0000000	1.0000000	0.9074842	1.0000000	0.7227455	1.0000000	0.2944315	0.0084893	0.5209095	0.5476715	0.6200160	0.3283568	0.1119451	0.1954557	0.4502243	0.3933052	0.1538009	0.9863952	0.4539970	0.7924620	0.4529672	0.5427061	0.4009627	0.2815210	0.3564763	0.3227064	0.0110144	0.1586552	0.6652925	0.2107512	0.9999270
1.0000000	0.3914618	0.0000037	0.6234990	1.0000000	0.0612250	0.0474624	0.0766455	0.5188787	1.0000000	0.2819249	0.9291432	0.4000044	0.0536536	0.7542795	0.0000001	0.6863454	0.9819936	1.0000000	1.0000000	1.0000000	0.9053194	1.0000000	0.7227560	1.0000000	0.2944315	0.5283496	0.2256084	0.5951549	0.6252346	0.3520259	0.1119451	0.3902095	0.4502243	0.5803962	0.1538009	0.9853258	0.4539970	0.7924118	0.8529382	0.5427061	0.4009627	0.3486908	0.2652742	0.3109249	0.0113847	0.1586552	0.6652999	0.3567295	0.9983214
1.0000000	0.3914618	0.5406180	0.0000034	1.0000000	0.0612250	0.0474624	0.0766455	0.5188787	1.0000000	0.2819249	0.9291432	0.4000044	0.0536536	0.7542795	0.0000001	0.6864293	0.9819936	1.0000000	1.0000000	1.0000000	0.9053194	1.0000000	0.7227560	1.0000000	0.2944315	0.5283496	0.2256084	0.5951549	0.6252346	0.3520259	0.1119451	0.3902095	0.4502243	0.5803962	0.1538009	0.9853258	0.4539970	0.7924118	0.8529382	0.5427061	0.4009627	0.3486908	0.2652742	0.3109249	0.0113847	0.1586552	0.6652999	0.3567295	0.9983214
1.0000000	0.3915068	0.5405075	0.6234889	0.0000011	0.0612391	0.0474624	0.0766458	0.5188051	1.0000000	0.2819234	0.9291231	0.4000044	0.0536561	0.7542631	0.0000001	0.6864989	0.9819913	1.0000000	1.0000000	1.0000000	0.9053188	1.0000000	0.7227561	1.0000000	0.2944315	0.5283683	0.2255426	0.5951719	0.6252363	0.3520332	0.1119451	0.3902262	0.4502243	0.5804344	0.1538009	0.9853254	0.4539970	0.7924118	0.8529911	0.5427061	0.4009627	0.3487141	0.2652563	0.3109211	0.0113848	0.1586552	0.6652999	0.9999970	0.9983204
1.0000000	0.3914677	0.5406034	0.6277199	1.0000000	0.0000000	0.0474624	0.0758771	0.5188690	1.0000000	0.2885060	0.9291408	0.4000044	0.0472189	0.8050474	0.0000001	0.0425259	0.9884447	1.0000000	1.0000000	1.0000000	0.9077484	1.0000000	0.7227442	1.0000000	0.2944315	0.5283548	0.2255995	0.5408477	0.6192533	0.3151637	0.1119451	0.3902117	0.4502243	0.5585635	0.1538009	0.9865217	0.4539970	0.7924683	0.8529453	0.5427061	0.4009627	0.2718526	0.2652739	0.3246886	0.0109646	0.1586552	0.6652916	0.3566424	0.9999999
1.0000000	0.3915069	0.5405057	0.6234885	1.0000000	0.0612396	0.0000028	0.0766458	0.5188043	1.0000000	0.2819230	0.9291218	0.4000044	0.0536564	0.7542590	0.0000001	0.6865031	0.9819907	1.0000000	1.0000000	1.0000000	0.9053185	1.0000000	0.7227561	1.0000000	0.3636257	0.5283694	0.2255401	0.5951765	0.6252368	0.3520339	0.1119451	0.3902264	0.4502243	0.5804384	0.1538009	0.9853252	0.4539970	0.7924118	0.8529924	0.5427061	0.4009627	0.3487208	0.2652554	0.3109202	0.0113848	0.1586552	0.6652999	0.3568025	0.9983203
1.0000000	0.3914628	0.5406157	0.6243395	1.0000000	0.0555219	0.0474624	0.0000037	0.5188772	1.0000000	0.2878256	0.9291429	0.4000044	0.0525529	0.7629911	0.0000001	0.6697229	0.9832315	1.0000000	1.0000000	1.0000000	0.9057766	1.0000000	0.7227538	1.0000000	0.2944315	0.5283505	0.2256071	0.5858926	0.6242333	0.3488026	0.1119451	0.3902098	0.4502243	0.5768958	0.1538009	0.9855624	0.4539970	0.7924225	0.8529393	0.5427061	0.4009627	0.3356317	0.2652742	0.3129942	0.0113087	0.1586552	0.6652984	0.3567130	0.9987390
1.0000000	0.3913784	0.5408263	0.3641235	1.0000000	0.4988439	0.0474624	0.1979198	0.0000000	1.0000000	0.2355629	0.7303210	0.4000044	0.3157944	0.0882315	0.0000114	0.7928286	0.1270537	1.0000000	1.0000000	1.0000000	0.0823864	1.0000000	0.7357422	1.0000000	0.2944315	0.9999473	0.0338638	0.9957911	0.7929309	0.5107574	0.1119451	0.3901781	0.4502243	0.9472380	0.1539085	0.6509165	0.4539970	0.7338207	1.0000000	0.5427061	0.4009627	0.9890778	0.0623252	0.2403714	0.0738863	0.1586552	0.6743740	1.0000000	0.7361557
1.0000000	0.3375633	0.6901399	0.6369548	1.0000000	0.0462744	0.9999998	0.0763122	0.6133989	0.0000000	0.2841903	0.9516969	0.4000044	0.0509700	0.7756190	0.0000001	0.5590597	0.9849237	1.0000000	1.0000000	1.0000000	0.9064206	1.0000000	0.7227507	1.0000000	0.0284587	0.5090012	0.7799249	0.3654102	0.6227570	0.3434655	0.1119451	0.3688101	0.4502243	0.5280006	0.1538009	0.9858820	0.4539970	0.7924374	0.7779378	0.9999976	0.4009627	0.3165534	0.2878804	0.3161862	0.0112016	0.1586552	0.6652962	0.2874252	0.9992622
