YOR363C	YIL101C	YJR147W	YER045C	YOR113W	YHL027W	YBR297W	YGL162W	YBR182C	YMR021C	YPL230W	YOR140W	YKL043W	YPR065W	YER184C	YMR070W	YGR249W	YOR032C	YDR043C	YPL248C	YKL032C	YHR006W	YNL167C	YGL013C	YDL106C	YAL062W	YBR057C	YPR124W	YPR108WA	YGL234W	YLR413W	YOR024W	YML053C	YGR106C	YBL111C	YJR158W	YOR318C	MEL1	YLL065W	YOR269W	YLR410WB	YMR195W	YGL134W	YOR268C	YOL078W	YKL110C	YBR018C	YDL148C	YOL121C	YCR021C
1.0000000	0.3431967	0.6732834	0.5614459	0.8673314	0.0740683	0.0474624	0.2054450	0.6030236	1.0000000	0.0582692	0.9794662	0.7125468	0.1911071	0.1678542	0.0000017	0.8404155	0.3968314	0.5162723	1.0000000	0.9885081	0.5900863	0.9543047	0.2235099	1.0000000	0.4198088	0.9338842	0.1435750	0.9822564	0.7281672	0.2469280	0.0727664	0.2274201	0.4213549	0.5166617	0.0272289	0.3870971	0.2418961	0.8237408	0.7834675	0.7377280	0.5219155	0.9416599	0.5656111	0.4086419	0.0571379	0.3313000	0.0827221	0.3826892	0.9970708
1.0000000	0.2763690	0.7966685	0.7148300	1.0000000	0.0333430	0.0053602	0.1390717	0.7285983	1.0000000	0.7208244	0.6544592	0.4244797	0.0019993	0.9998497	0.0000015	0.3443669	0.7100473	0.7923640	1.0000000	1.0000000	0.7550730	0.9835248	0.5309617	1.0000000	0.4271203	0.6292702	0.3090717	0.4683050	0.5761476	0.5282991	0.1119451	0.1548635	0.2548381	0.5124714	0.0383448	0.7080991	0.4539970	0.8127238	0.6405204	0.7215119	0.4764943	0.0000399	0.2505525	0.7967354	0.1500116	0.2053724	0.5590693	0.2446217	0.7871262
1.0000000	0.2111740	0.9601661	0.2578268	1.0000000	0.5276160	0.0055784	0.1131517	0.7073316	0.9205217	0.5403623	0.9376861	0.3720628	0.2900814	0.0157728	0.0000003	0.9717647	0.0972738	1.0000000	1.0000000	0.7057743	0.0002885	0.7447942	0.8629079	0.6636856	0.3510422	0.6046743	0.5660233	0.9282100	0.9995929	0.6089186	0.1380777	0.3652123	0.6205428	0.7993497	0.2905132	0.7943680	0.4408159	0.7149545	0.6185692	0.5554503	0.3550746	0.9898418	0.0745343	0.1815635	0.3098555	0.1292658	0.7649256	0.2262126	0.6394749
1.0000000	0.2494805	0.9092857	0.4952486	0.8432340	0.3715524	0.0054156	0.1279683	0.6573182	1.0000000	0.1399831	0.8402510	0.3379434	0.1732301	0.1943167	0.0000002	0.7072560	0.3560884	0.7942941	0.4698948	0.9937236	0.2006910	1.0000000	0.6488205	0.6505765	0.2868438	0.2307382	0.3064810	0.9070215	0.9993498	0.7291562	0.0787679	0.5373080	0.4118114	0.5622415	0.2560905	0.7205380	0.8430134	0.8327699	0.7406230	0.5290372	0.5895276	0.6086396	0.3174231	0.2904708	0.0222929	0.2013168	0.6482521	0.3549174	0.8184092
1.0000000	0.1190823	0.9980671	0.3005163	1.0000000	0.0269275	0.0027608	0.0000140	0.7536688	1.0000000	0.8889150	0.8636838	0.3709444	0.0042013	0.9991708	0.0000001	0.3074946	0.7414865	1.0000000	0.8112346	0.5579667	0.6566920	0.6652355	0.6701228	0.8685036	0.3143977	0.5953773	0.3229198	0.3703251	0.5774723	0.3316141	0.1950324	0.1441927	0.2801452	0.4290847	0.0000001	0.9285846	0.5925277	0.7050470	0.6549744	0.5427061	0.3550724	0.3020441	0.6360536	0.6646300	0.2284577	0.1601617	0.5374352	0.2388348	0.8764605
1.0000000	0.6908094	0.2626051	0.0733603	1.0000000	0.3760824	0.0584858	0.0790615	0.2080796	0.7217345	0.0506091	0.9596930	0.1756305	0.2489056	0.0917598	0.1966378	0.7386688	0.1723425	0.8828232	0.4661370	1.0000000	0.3547656	0.6795459	0.7988886	0.8311394	0.5533395	0.9660347	0.0723984	0.9921907	0.7646223	0.5117116	0.1119451	0.6310917	0.2277437	0.8639682	0.1039299	0.0769469	0.7894759	0.9430030	0.9893171	0.5830211	0.3766417	0.7669557	0.1333445	0.0516665	0.1706309	0.5600621	0.6355170	0.8845199	0.4362423
0.8386421	0.5413927	0.3179484	0.5545966	0.6406256	0.0259596	0.0474624	0.2281978	0.3210479	1.0000000	0.8135852	0.6781913	0.2396558	0.0012299	0.9999551	0.1657721	0.3027373	1.0000000	1.0000000	1.0000000	1.0000000	0.9187101	0.8510791	0.6701227	1.0000000	0.2541764	0.5603750	0.2940464	0.5333695	0.5756532	0.3310130	0.1119451	0.1220276	0.3981812	0.1788890	0.0065463	0.9691265	0.4539970	0.7421549	0.9613221	0.3994555	0.4389939	0.0710358	0.1488953	0.7166494	0.0762526	0.1285798	0.7539688	0.8575089	0.6087591
1.0000000	0.3478996	0.5019572	0.7177059	0.6399005	0.1276683	0.1014670	0.1264346	0.5944475	0.4899520	0.4855841	0.9476735	0.6251026	0.2065953	0.1499327	0.0000005	0.7423885	0.3375958	0.9541195	1.0000000	0.9161349	0.6663777	0.5874820	0.6500480	1.0000000	0.2140607	0.6775313	0.5901002	0.9126749	0.8836538	0.3907236	0.0953817	0.1620160	0.2496172	0.8174983	0.4609173	0.8149540	0.4539970	0.5313056	0.7942633	0.5784352	0.3705858	0.9504983	0.2833147	0.0057153	0.0239824	0.1668915	0.6658699	0.6686621	0.7185585
0.7526379	0.4646366	0.3969637	0.5145781	0.7529432	0.2076800	0.0068747	0.2167897	0.4098518	0.9263483	0.1659018	0.9792965	0.2936700	0.4331050	0.0168237	0.0000185	0.9857974	0.0150904	0.9933540	0.4891429	0.6248403	0.2402326	0.7210361	0.6998642	0.8493000	0.4284058	0.8022702	0.4266542	0.9984771	0.9469985	0.6343976	0.1853719	0.7078615	0.5231413	0.8988317	0.0865810	0.9676139	0.8499840	0.7713309	0.5158629	0.5593887	0.5867800	0.9411076	0.3751852	0.2565954	0.2050623	0.4512559	0.6689826	0.7608222	0.9473282
1.0000000	0.0139114	0.6995201	0.7445047	0.6504809	0.0077531	0.0034456	0.0000000	0.9998728	1.0000000	0.5678207	0.8086288	0.6515193	0.0001193	0.7966219	0.1715551	0.0000073	0.8091129	0.6623596	1.0000000	0.8704493	0.8024531	1.0000000	0.3958418	1.0000000	0.5756969	0.0749860	0.7083662	0.3046415	0.7144401	0.2862710	0.1493741	0.7500103	0.4502243	0.0155616	0.1531975	0.9463099	0.4539970	0.9216543	0.2381932	0.8345279	0.5645192	0.0000004	0.6099378	0.6792679	0.3633904	0.2162101	0.2605581	0.3080530	0.9978364
1.0000000	0.7655083	0.2531101	0.2065024	0.9839562	0.6065342	0.0049360	0.3008884	0.1720910	1.0000000	0.0452344	0.7285763	0.0546218	0.4182905	0.0186917	0.0858436	0.7985781	0.0735064	0.8819695	1.0000000	1.0000000	0.3287617	1.0000000	0.6342855	0.8430610	0.0311317	0.9175390	0.1085278	0.9991558	0.8245060	0.5128437	0.0736391	0.3687227	0.5265945	0.9557229	0.2765144	0.8289676	0.3791070	0.6954455	0.9063000	0.5572747	0.1283217	0.9821596	0.3153356	0.2127454	0.1510912	0.1237556	0.5521813	0.9654093	0.4690760
0.3406590	0.1809395	0.9197459	0.7320189	1.0000000	0.3275888	0.0098826	0.5431374	0.6354048	0.8393857	0.1211899	0.7631058	0.4470878	0.6344133	0.0560088	0.0514687	0.9487561	0.0048280	1.0000000	0.8024800	1.0000000	0.2900822	0.8571210	0.8722880	0.7568515	0.3687564	0.4514578	0.5669742	0.9812509	0.9195699	0.4639657	0.0780871	0.4963161	0.5111532	0.9267664	0.0357147	0.6031194	0.5995558	0.2411427	0.7587839	0.5709744	0.3551567	0.9973624	0.0694958	0.0432021	0.1171001	0.1993283	0.7417773	0.5117591	0.7984680
1.0000000	0.5389268	0.3092194	0.0784565	0.8032940	0.7613098	0.0060140	0.6234691	0.3235228	0.8553036	0.4783271	0.8542644	0.2410307	0.6831121	0.0063891	0.2301890	0.7518774	0.0450868	0.8584531	0.8338244	0.7186270	0.0000095	0.3723479	0.7486496	0.7868125	0.2013491	0.9736546	0.4366244	0.9997506	0.9614514	0.5356975	0.2249317	0.6145263	0.5593676	0.9279566	0.4938317	0.6840694	0.5746831	0.3003127	0.8429264	0.6036855	0.3909151	0.9848662	0.1205539	0.2310876	0.2570195	0.2173913	0.5948949	0.5540543	0.2558498
0.7888034	0.5312490	0.0627578	0.2289285	1.0000000	0.4586447	0.0032795	0.3854858	0.3313800	1.0000000	0.1002034	0.7624649	0.2454242	0.2385119	0.1229329	0.3712107	0.7452966	0.2441657	0.9212894	1.0000000	1.0000000	0.0165494	1.0000000	0.6331575	1.0000000	0.2059020	0.6460518	0.2768276	0.9903220	0.7877211	0.5132698	0.1119451	0.7176619	0.4502243	0.8740936	0.1780157	0.5166500	0.4539970	0.7770507	0.9576336	0.6063058	0.3737023	0.9713734	0.3136632	0.1052950	0.0452786	0.1734072	0.5066731	0.6290745	0.4134742
1.0000000	0.3951595	0.4035843	0.8302062	0.9719879	0.0291850	0.0052860	0.3473161	0.4775120	1.0000000	0.2893527	0.8435127	0.3913746	0.3698339	0.0199007	0.1309923	0.6257353	0.0391304	0.8100020	0.9616472	0.7800882	0.3481841	1.0000000	0.5706181	0.9162491	0.4632383	0.5920171	0.0572749	0.9979540	0.8095052	0.2966981	0.0847054	0.4007550	0.4883187	0.8151119	0.0485974	0.5048095	0.3792968	0.7282396	0.8823081	0.7054683	0.4069018	0.9791377	0.4583239	0.0717307	0.0822323	0.2049392	0.6001537	0.4724716	0.7875764
1.0000000	0.8625581	0.2468763	0.0138549	1.0000000	0.8755318	0.0129359	0.6644647	0.1012382	0.7776748	0.2165443	0.3959556	0.1178497	0.5128534	0.0111681	0.0191035	0.7945729	0.0155429	1.0000000	1.0000000	1.0000000	0.1661691	1.0000000	0.8742528	1.0000000	0.0843624	0.8687800	0.0340759	0.9990591	0.8487683	0.6458120	0.1119451	0.7613364	0.4502243	0.9914387	0.0964789	0.8171798	0.4172671	0.5563329	0.9723263	0.3235786	0.2913912	0.9843259	0.0497434	0.1738658	0.2135207	0.1514876	0.7510685	0.9952701	0.4967183
0.7519222	0.1710822	0.9866809	0.9984419	0.9651396	0.0000001	0.0061444	0.0023215	0.9055958	0.8830206	0.4192742	0.9856100	0.8567533	0.0460355	0.8141790	0.2671118	0.0714403	0.8793978	0.6518047	0.8151733	0.7487095	0.7792589	0.5908412	0.4497648	1.0000000	0.5870594	0.3874137	0.6757923	0.4319903	0.8184919	0.2407598	0.2061678	0.2362802	0.3905628	0.3503822	0.5064171	0.9182797	0.5227570	0.5663134	0.3401464	0.7249552	0.4622496	0.1410315	0.5916711	0.2794316	0.0011543	0.2042408	0.5547809	0.2215459	0.8777127
1.0000000	0.3416367	0.6780541	0.8940409	1.0000000	0.0496979	0.0033748	0.1522559	0.6058633	1.0000000	0.1119500	0.8937911	0.7517862	0.2449675	0.1187049	0.1633635	0.7240218	0.2293588	0.9638729	1.0000000	0.6438530	0.1234369	1.0000000	0.6578568	1.0000000	0.7872080	0.7079358	0.2676131	0.9909464	0.9998255	0.3388393	0.2824810	0.4635787	0.1863272	0.9109301	0.3267608	0.1396222	0.3737701	0.7888223	0.7846890	0.5709870	0.3640676	0.9812690	0.5641070	0.2047484	0.0243895	0.1650598	0.5274907	0.0939563	0.7892780
0.3789212	0.9047305	0.0337308	0.0364205	1.0000000	0.8584784	0.0051505	0.5977929	0.0675760	1.0000000	0.2229984	0.7031606	0.0624039	0.6004137	0.0571122	0.0000001	0.9489978	0.0487066	0.9095564	1.0000000	1.0000000	0.0000134	0.9270185	0.7799393	0.8803647	0.0570497	0.9941873	0.0763438	0.9333954	0.8661835	0.5595271	0.0797211	0.3218656	0.5064809	0.9999548	0.2639564	0.7360629	0.4539970	0.1528220	0.9996470	0.6163659	0.1785659	0.9988210	0.0438783	0.0222926	0.2858432	0.1758747	0.6152233	0.9990509	0.4848079
1.0000000	0.0153663	0.9993972	0.7592823	1.0000000	0.0088098	0.0051359	0.0364174	0.3956750	1.0000000	0.9214814	0.8381846	0.5733043	0.0001527	0.9999990	0.2993880	0.0468862	0.5588791	0.9839805	1.0000000	0.6673623	0.4517157	1.0000000	0.8606385	1.0000000	0.7277967	0.2520383	0.1126333	0.3046415	0.5751270	0.3434618	0.2282126	0.1811686	0.2996507	0.4432421	0.3725608	0.8531984	0.4539970	0.7564311	0.9293029	0.5550448	0.4995573	0.0000004	0.2373226	0.7706902	0.0000000	0.1614236	0.6610520	0.5365136	0.9695906
0.5170464	0.4210346	0.1594815	0.6865077	1.0000000	0.1446741	0.0038860	0.1844515	0.4719146	1.0000000	0.3530680	0.8973443	0.3441225	0.1649901	0.2090983	0.2436068	0.8379848	0.5186833	1.0000000	0.9263116	1.0000000	0.4137250	0.6228559	0.6716601	1.0000000	0.4682307	0.6125835	0.1708588	0.9027717	0.7115027	0.3941812	0.1119451	0.5178551	0.4502243	0.8413967	0.2740925	0.7977030	0.4919832	0.8273333	0.8855091	0.4815447	0.5120847	0.9010240	0.3192752	0.1104218	0.0200774	0.1410650	0.6469412	0.4163225	0.5511346
0.7759786	0.3445841	0.6694699	0.7456102	0.7538856	0.2583498	0.0523059	0.0107465	0.6004921	0.8304716	0.4378676	0.9263881	0.6854572	0.0944876	0.3775688	0.0000001	0.7506687	0.7047884	1.0000000	1.0000000	0.9890505	0.6121531	1.0000000	0.6703543	1.0000000	0.3913499	0.4213634	0.0465345	0.8501174	0.9997413	0.5035915	0.0733149	0.6257017	0.4502243	0.6696494	0.3493542	0.8130290	0.2260466	0.8085580	0.6703523	0.5728588	0.3551985	0.7188206	0.2639841	0.0187484	0.0055315	0.1586552	0.8490655	0.3629128	0.6922902
0.9184004	0.1546041	0.8228373	0.6641210	0.7685628	0.2345118	0.0120750	0.2037346	0.7669954	1.0000000	0.0273959	0.8285467	0.4017853	0.4170930	0.0149918	0.0021442	0.5813318	0.0295972	0.4331360	0.7766163	1.0000000	0.4100868	1.0000000	0.1795525	0.8217107	0.3338324	0.8642046	0.6459532	0.9986273	0.8241611	0.6326625	0.0568134	0.1229678	0.2667884	0.1596679	0.0000743	0.2900691	0.6204464	0.3747180	0.7919771	0.9640356	0.7770881	0.9757009	0.3762784	0.4036827	0.0937021	0.4387212	0.1672528	0.3146418	0.9265321
1.0000000	0.4291524	0.4567998	0.5022246	0.8762579	0.2452478	0.0151519	0.4709326	0.4597028	0.7159448	0.3775507	0.7046063	0.3327134	0.0862345	0.5093372	0.0031793	0.7421945	0.6894213	0.8381350	0.3923057	0.8698591	0.6859588	1.0000000	0.7691636	0.8783417	0.2766825	0.7581225	0.4552157	0.8696746	0.9877656	0.4062055	0.0835684	0.9883112	0.5075391	0.2781613	0.0000096	0.6203028	0.8857368	0.7104380	0.8650949	0.5014985	0.5110745	0.0811407	0.3308019	0.2531680	0.0048872	0.7021308	0.6688505	0.5514878	0.6976442
1.0000000	0.3379079	0.6889819	0.0952070	0.9227421	0.6260391	0.0051595	0.2436538	0.6127068	1.0000000	0.5785464	0.9516505	0.8858480	0.4656783	0.0644969	0.2322231	0.9997915	0.0166452	1.0000000	0.9388748	1.0000000	0.3161559	0.9720804	0.9282615	1.0000000	0.5984496	0.5321788	0.4610129	0.9992885	0.8517325	0.5371684	0.1119451	0.2010739	0.3272416	0.6021398	0.5162113	0.6482993	0.3815529	0.6107700	0.7781178	0.5427061	0.4799038	0.9826252	0.5524012	0.1525893	0.1592027	0.1375398	0.6930352	0.4353056	0.4621798
0.8931805	0.1696999	0.9872431	0.2453886	0.8524155	0.2394207	0.0664850	0.5952701	0.6846168	0.6423427	0.1602254	0.9718965	0.4671351	0.3403367	0.0819306	0.0116718	0.8294076	0.1079726	1.0000000	0.8080785	1.0000000	0.0004569	0.8259119	0.7397560	1.0000000	0.2539914	0.3432177	0.4774452	0.9444932	0.7991394	0.5623154	0.0727751	0.2847607	0.2116430	0.8696912	0.2311805	0.3903632	0.5950712	0.7902364	0.7160132	0.4117565	0.4793343	0.9692360	0.2826331	0.0426722	0.0627052	0.1974437	0.5889968	0.3737480	0.5471572
0.9736916	0.4272004	0.4606197	0.2017443	0.5579447	0.2123709	0.0539688	0.0943712	0.4626119	0.7946641	0.2019074	0.6518605	0.3351437	0.1669851	0.2053354	0.1792181	0.7329029	0.4134949	1.0000000	0.8006236	0.8998837	0.3179975	1.0000000	0.8655800	0.8048791	0.2133158	0.3551482	0.0828851	0.9543777	0.7126335	0.4232100	0.1392183	0.4328750	0.5245177	0.6072353	0.3923779	0.7733626	0.5396542	0.8390777	0.8288512	0.5808427	0.6376974	0.8582237	0.0888340	0.1873164	0.0206685	0.1636182	0.8055344	0.9070529	0.5998476
1.0000000	0.3370015	0.5568726	0.5404837	0.8170870	0.1856026	0.0545460	0.2430441	0.6143677	0.7836876	0.5657086	0.9889567	0.9331650	0.0522853	0.7653674	0.0000167	0.7531647	0.9023753	1.0000000	0.5119026	0.9693944	0.7870712	1.0000000	0.8473144	1.0000000	0.4860981	0.4586031	0.5326542	0.4595463	0.8598573	0.5126442	0.0845347	0.6528755	0.4502243	0.2449489	0.0000002	0.9941880	0.8198824	0.8596817	0.7768459	0.5834195	0.3552020	0.1667612	0.3217214	0.2039034	0.0015046	0.4602809	0.6540938	0.2711537	0.9605032
1.0000000	0.2153694	0.9559729	0.9946994	0.6136399	0.0178045	0.0554587	0.0000315	0.7527667	0.7675937	0.7410553	0.8932542	0.6437657	0.0061734	0.9979699	0.0000000	0.2465252	0.9894358	1.0000000	0.9061285	0.6517604	0.9419760	1.0000000	0.8170671	0.7780109	0.6094164	0.7262852	0.8338740	0.4305071	0.7842072	0.7762562	0.2564458	0.1354786	0.5447974	0.2060732	0.0000000	0.9993605	0.2837934	0.8060483	0.5940295	0.5873340	0.6495905	0.0006799	0.2545507	0.5577250	0.0000125	0.1726359	0.7486151	0.5201838	0.9575877
0.5606600	0.1034350	0.9990960	0.2296393	1.0000000	0.2974636	0.0060078	0.0178630	0.4123752	0.9021989	0.0293786	0.9962226	0.2828128	0.1203248	0.3337073	0.0220423	0.1566110	0.4164250	0.3708747	1.0000000	1.0000000	0.9503518	0.9773496	0.0794036	0.9868582	0.2391963	0.7580464	0.0231075	0.9171709	0.6792385	0.2964995	0.1119451	0.1415736	0.4558223	0.5077684	0.2019358	0.3422544	0.3563677	0.6178956	0.9954538	0.6720967	0.6825538	0.8509494	0.6135214	0.2631218	0.1485656	0.3414866	0.0073138	0.5063588	0.7641956
0.9565701	0.9745028	0.2435004	0.0449533	0.9668694	0.5889786	0.0474624	0.5988608	0.1113078	1.0000000	0.0278847	0.7181869	0.0628919	0.6573903	0.0553688	0.2024974	0.6817594	0.0063689	0.9055823	1.0000000	0.7987451	0.3665813	0.6842347	0.7034932	0.7685134	0.4316707	0.9964942	0.1349957	0.9646501	0.9012256	0.5757558	0.1795134	0.2697102	0.2692593	0.8569456	0.3039235	0.6416275	0.3169739	0.4742368	0.9983937	0.5851790	0.6269543	0.9930675	0.3622773	0.2536116	0.3286428	0.1456688	0.8279425	0.9847762	0.3411358
1.0000000	0.3999492	0.5199342	0.2972305	0.5533357	0.2784014	0.0476349	0.0561681	0.5050137	0.9909940	0.1531326	0.9519484	0.3807369	0.2095586	0.0762633	0.0000011	0.7428377	0.3273958	0.5975278	0.6557883	1.0000000	0.2268945	1.0000000	0.5688736	0.9279999	0.5722225	0.7356968	0.4426588	0.9904579	0.7680987	0.3615977	0.1119451	0.5599112	0.2146827	0.4179398	0.2142015	0.4785291	0.7202010	0.7856303	0.5467310	0.8827332	0.6370768	0.8825249	0.3463955	0.0063222	0.2352138	0.2475477	0.6167899	0.8789097	0.8943738
0.6258649	0.5483716	0.3132489	0.0851033	1.0000000	0.2657223	0.0052385	0.0123488	0.2740113	1.0000000	0.1488081	0.6732964	0.2054784	0.1010220	0.4223092	0.1875209	0.9788333	0.8550582	0.6430572	1.0000000	0.6760065	0.7583227	1.0000000	0.5258098	1.0000000	0.3012278	0.8696485	0.3370038	0.8099534	0.6636990	0.3691513	0.2556526	0.6596499	0.3689268	0.5727431	0.1088311	0.9538590	0.3859455	0.7465223	0.8638871	0.7175744	0.4611628	0.7986925	0.5545218	0.3469341	0.0070318	0.2610490	0.6077940	0.6799385	0.6099038
1.0000000	0.3862762	0.5537435	0.3249386	1.0000000	0.3064170	0.0118170	0.0615574	0.3421680	0.7682106	0.3138804	0.5898442	0.3653434	0.2193102	0.1377735	0.2682957	0.7529166	0.2959620	1.0000000	0.9071214	1.0000000	0.0453266	0.7669858	0.8492140	1.0000000	0.4628172	0.5158110	0.1303774	0.9189066	0.7445092	0.4847747	0.1119451	0.1425319	0.4502243	0.5391123	0.5255973	0.7765888	0.5188907	0.7820129	0.9533283	0.5871848	0.3550609	0.9643162	0.4581167	0.1646913	0.1318939	0.1724498	0.7392138	0.2966866	0.3997517
0.9385414	0.7791199	0.2519281	0.0174529	1.0000000	0.6393628	0.0484529	0.1984216	0.0893949	0.9525985	0.3567666	0.8072520	0.1459853	0.3698218	0.0760870	0.0000169	0.9926547	0.0914044	0.5679431	1.0000000	0.8881635	0.0002187	0.5485827	0.3126098	0.9207732	0.0883761	0.9800621	0.0288524	0.9937025	0.8094075	0.5902830	0.1431267	0.3511438	0.4861110	0.6750131	0.3933509	0.5726413	0.4539970	0.7738451	0.9992374	0.9030408	0.4703406	0.9800814	0.3863200	0.3686187	0.4496836	0.3007525	0.1674364	0.9971097	0.6818598
0.5095781	0.3455643	0.2477120	0.4735107	0.5641507	0.0341755	0.0506290	0.0000033	0.5987106	0.8749478	0.6232771	0.7145735	0.6697779	0.0020979	0.9998352	0.0000006	0.6762887	0.7734763	0.6450258	1.0000000	1.0000000	0.8801520	0.7749251	0.3754503	1.0000000	0.3915940	0.6179553	0.6033484	0.2570003	0.7375035	0.2605154	0.0493497	0.2652205	0.2147661	0.2177623	0.2419232	0.8818615	0.2696766	0.9134247	0.7650933	0.8550544	0.5203569	0.0000433	0.5595838	0.9560847	0.0000011	0.2047664	0.5611916	0.7755071	0.9996950
1.0000000	0.3929986	0.5353256	0.5123579	0.7949153	0.1246104	0.0474624	0.0050472	0.5163507	1.0000000	0.3519804	0.8954337	0.3963585	0.0249278	0.9410702	0.4105295	0.8660125	0.8593547	0.9671326	0.5687127	1.0000000	0.8635628	0.9016443	0.7605607	1.0000000	0.6888877	0.8039926	0.1867641	0.3621587	0.7188245	0.4149519	0.0694410	0.4292198	0.4144855	0.1631259	0.6766497	0.8533078	0.7904689	0.8745158	0.8546814	0.4591457	0.3631608	0.4305104	0.2930070	0.3460915	0.0002967	0.3765888	0.6029840	0.5571580	0.6810275
