YOR363C	YIL101C	YJR147W	YER045C	YOR113W	YHL027W	YBR297W	YGL162W	YBR182C	YMR021C	YPL230W	YOR140W	YKL043W	YPR065W	YER184C	YMR070W	YGR249W	YOR032C	YDR043C	YPL248C	YKL032C	YHR006W	YNL167C	YGL013C	YDL106C	YAL062W	YBR057C	YPR124W	YPR108WA	YGL234W	YLR413W	YOR024W	YML053C	YGR106C	YBL111C	YJR158W	YOR318C	MEL1	YLL065W	YOR269W	YLR410WB	YMR195W	YGL134W	YOR268C	YOL078W	YKL110C	YBR018C	YDL148C	YOL121C	YCR021C
0.2993709	0.3136443	0.3865106	0.4597983	0.6948950	0.0343113	0.0207583	0.0560817	0.4653080	0.6624044	0.1996982	0.6649114	0.2714070	0.0336414	0.5318838	0.0017828	0.5656828	0.7035313	0.7798124	0.7344164	0.7893566	0.6570767	0.6349243	0.5031448	0.8566567	0.2627911	0.3622941	0.1852763	0.4629086	0.4075717	0.2563753	0.0489023	0.3109182	0.3495758	0.4786334	0.1218864	0.7281645	0.3697855	0.6203379	0.5735956	0.3781341	0.2629529	0.4385690	0.2018979	0.1552533	0.0060927	0.1180147	0.4447894	0.2147739	0.6310302
0.8147095	0.1961008	0.5607334	0.3777190	0.6776450	0.0260105	0.0304223	0.0480685	0.5761280	0.8706846	0.2521817	0.8077490	0.2429147	0.0393143	0.5614770	0.0002826	0.0867647	0.7465893	0.7855151	0.7007608	0.7788950	0.7041445	0.7121699	0.3854614	0.6643457	0.1373678	0.3074413	0.3695232	0.3820889	0.4310916	0.3335354	0.1279010	0.3324435	0.2356643	0.2363628	0.0690165	0.8191747	0.3840778	0.5728861	0.3843083	0.3326976	0.3011279	0.1568480	0.1975951	0.2047670	0.0082721	0.1413808	0.5466916	0.1561750	0.8154200
0.8292620	0.3252525	0.1346125	0.4531712	0.6914803	0.0626991	0.0420464	0.0601463	0.2736365	0.8680309	0.1937869	0.6415925	0.3047485	0.0440259	0.5487584	0.0081082	0.6437646	0.7359777	0.7230190	0.7526245	0.8306282	0.6987807	0.7223147	0.6807360	0.7979884	0.2405474	0.3956390	0.1286433	0.4823373	0.3881075	0.2223826	0.0737778	0.2579865	0.3702207	0.4766386	0.1446217	0.5740264	0.3070267	0.5917674	0.6395118	0.4947851	0.2991604	0.2175635	0.1853638	0.2063382	0.0015785	0.1876698	0.6494559	0.3717367	0.6788972
0.7902756	0.4097954	0.3920716	0.2600843	0.7054355	0.0743356	0.0537437	0.0572651	0.3177952	0.7129613	0.1995575	0.7347451	0.3239510	0.0269926	0.5522584	0.0005796	0.5419774	0.7378607	0.8326219	0.7267886	0.7556689	0.7345100	0.7273766	0.7226566	0.7783181	0.2129112	0.4648663	0.1367334	0.4329695	0.4066512	0.2740050	0.0917319	0.2895921	0.4336951	0.4865962	0.0846610	0.7417181	0.2653254	0.6053294	0.6814448	0.3328021	0.3431876	0.1436370	0.1802966	0.2143774	0.0112047	0.1087034	0.4125057	0.3913635	0.8097148
0.7437997	0.3249542	0.4072377	0.5035055	0.3328658	0.0927385	0.0252027	0.0456042	0.3311141	0.8039498	0.1710693	0.6359102	0.2887520	0.0502950	0.4224869	0.0004507	0.5383986	0.7686738	0.6167539	0.7226508	0.7096826	0.6570423	0.7292516	0.5224798	0.6232261	0.2500063	0.3444989	0.1973936	0.4448770	0.3981776	0.3003364	0.0959121	0.3020157	0.2991002	0.3360958	0.0938274	0.6237839	0.3652873	0.6293965	0.4704899	0.4223687	0.2887764	0.4341364	0.1576316	0.2257669	0.0172787	0.1841258	0.5392298	0.7741319	0.7178091
0.6742556	0.2213676	0.3132513	0.4654574	0.7696697	0.0152523	0.0515706	0.0340229	0.3623944	0.8233432	0.1904879	0.6619827	0.2898151	0.0620823	0.6172790	0.0000708	0.2974777	0.6144016	0.6364980	0.7337891	0.7661970	0.5486143	0.6090875	0.5672645	0.7666588	0.2638862	0.5219201	0.2754894	0.4224897	0.5838404	0.2777620	0.0800452	0.2468365	0.2673996	0.4733459	0.1158570	0.7385055	0.4768764	0.5782035	0.6340457	0.4060805	0.2518365	0.3516848	0.2005199	0.2199782	0.0186115	0.0930024	0.6228111	0.2761598	0.7774757
0.7028887	0.2593886	0.3452317	0.3756774	0.6256553	0.0462481	0.0170973	0.0601995	0.3967473	0.7939981	0.2093008	0.7527513	0.3019528	0.0441989	0.6408377	0.0078043	0.4712882	0.7242733	0.6825456	0.5596364	0.8883570	0.6641092	0.6840394	0.6065601	0.8568332	0.2403689	0.4130182	0.2424708	0.5820696	0.4139095	0.1907837	0.0491570	0.3128441	0.3555782	0.3956623	0.1284386	0.6420401	0.4329462	0.6001358	0.5517720	0.3418115	0.3496146	0.3781964	0.1805887	0.2050799	0.0198586	0.1044016	0.5267884	0.2273460	0.6700335
0.7548192	0.2949687	0.4350360	0.6133998	0.7392367	0.0363074	0.0351227	0.0201310	0.3928800	0.8720039	0.2602108	0.6857916	0.3159938	0.0425883	0.6658528	0.0015455	0.5142994	0.6565186	0.6810119	0.6776374	0.7032865	0.6869501	0.8060172	0.5603751	0.8394276	0.2530451	0.4199918	0.1620325	0.2659179	0.5324824	0.2472090	0.0752018	0.3093363	0.2862524	0.3945656	0.1246356	0.7273287	0.4091434	0.6662590	0.6193648	0.4275197	0.2036294	0.2160798	0.2241392	0.2088772	0.0047347	0.1240330	0.4048226	0.2871363	0.8032079
0.7790059	0.2917140	0.4115095	0.5981215	0.7639954	0.1236027	0.0106013	0.0524318	0.2245779	0.7401568	0.2290999	0.5892678	0.2985118	0.0457893	0.4298204	0.0001900	0.5376916	0.6460708	0.8390373	0.7670273	0.7132459	0.6600183	0.7056079	0.5724057	0.7646237	0.1735374	0.4472733	0.0297001	0.5650206	0.5535163	0.3445004	0.0460155	0.2563329	0.2748519	0.5096729	0.1060686	0.6860267	0.3792863	0.6343766	0.7127136	0.5530555	0.3129295	0.3677105	0.2007133	0.2085367	0.0059951	0.0973809	0.5300596	0.4996880	0.6400929
0.5770556	0.3149080	0.4445408	0.3834276	0.5718281	0.0503528	0.0816123	0.0584641	0.3326618	0.3602927	0.2183410	0.7064618	0.2919567	0.0413761	0.5733805	0.0000126	0.5627324	0.6676704	0.7467873	0.6395674	0.6705155	0.7730818	0.7839384	0.5447858	0.6254626	0.1519691	0.4466176	0.1890224	0.2669609	0.4738235	0.2383132	0.1118704	0.3488230	0.3225150	0.3832120	0.1077509	0.7454387	0.4721086	0.6717038	0.6082074	0.4742272	0.2527841	0.1760267	0.2149378	0.2358311	0.0097338	0.1385047	0.4758699	0.2432560	0.7768138
