YOR363C	YIL101C	YJR147W	YER045C	YOR113W	YHL027W	YBR297W	YGL162W	YBR182C	YMR021C	YPL230W	YOR140W	YKL043W	YPR065W	YER184C	YMR070W	YGR249W	YOR032C	YDR043C	YPL248C	YKL032C	YHR006W	YNL167C	YGL013C	YDL106C	YAL062W	YBR057C	YPR124W	YPR108WA	YGL234W	YLR413W	YOR024W	YML053C	YGR106C	YBL111C	YJR158W	YOR318C	MEL1	YLL065W	YOR269W	YLR410WB	YMR195W	YGL134W	YOR268C	YOL078W	YKL110C	YBR018C	YDL148C	YOL121C	YCR021C
0.0000000	0.3522146	0.5105160	0.4566174	0.6996989	0.0382981	0.0419666	0.0636825	0.4365288	0.6865237	0.1719722	0.7464994	0.2994454	0.0291357	0.4561807	0.0003297	0.5237158	0.6445374	0.6649683	0.6298270	0.7721857	0.6256207	0.6990982	0.4941784	0.7930293	0.2576370	0.3383784	0.1918659	0.6810097	0.4164658	0.3108776	0.0885164	0.2711055	0.3537596	0.3156412	0.1109873	0.6044616	0.3543426	0.4706071	0.5799900	0.4126754	0.2444934	0.4523446	0.1517069	0.1615049	0.0308183	0.0631157	0.3839273	0.3640865	0.8015170
0.7078097	0.0000000	0.6626476	0.6646452	0.8447459	0.0254174	0.0622605	0.0644101	0.7002564	0.7798501	0.2010894	0.7722089	0.2889529	0.0492857	0.4340163	0.0000640	0.0321185	0.6533231	0.6680615	0.6852426	0.7486169	0.7859281	0.6285694	0.4933907	0.6340854	0.3044000	0.0342879	0.4244559	0.5717432	0.4642433	0.2431750	0.0919949	0.1864810	0.4317381	0.2595344	0.1186225	0.8161736	0.2763399	0.6250199	0.2602720	0.3975252	0.2798275	0.3573360	0.2673536	0.1667703	0.0029480	0.1697613	0.5429926	0.1690066	0.7453550
0.6549281	0.3975019	0.0000000	0.5776089	0.5735819	0.0478771	0.0381351	0.0797994	0.3940773	0.7631822	0.1399701	0.6153153	0.2942790	0.0176819	0.4788233	0.0008321	0.5096089	0.6863515	0.7061299	0.6522650	0.6721678	0.6393712	0.7393153	0.5761060	0.6018353	0.1819670	0.4267268	0.2661406	0.5457195	0.4275735	0.3712356	0.0842362	0.2611390	0.4482974	0.4948365	0.0820562	0.8179250	0.3877441	0.7354399	0.5716621	0.4656733	0.2309305	0.2271759	0.2504932	0.2490554	0.0371802	0.1443097	0.6000352	0.2480655	0.7722861
0.6209549	0.2413545	0.4459017	0.0000000	0.6891349	0.0344468	0.0691661	0.0453196	0.3901057	0.6546788	0.1663845	0.8033678	0.4552218	0.0241043	0.5627484	0.0004668	0.5889246	0.6593701	0.8140315	0.7773695	0.7440558	0.6979693	0.6919911	0.4585855	0.7186479	0.2237031	0.3522252	0.1890896	0.4619439	0.4677999	0.1832330	0.0622251	0.2655501	0.3069475	0.3819101	0.1295303	0.6864850	0.3941590	0.6861856	0.6677555	0.3291023	0.3143907	0.3083707	0.1654152	0.3219868	0.0092476	0.1125400	0.4541389	0.3230434	0.7071453
0.7509571	0.2810779	0.4263485	0.4639210	0.0000000	0.0337340	0.0225203	0.0543073	0.4463647	0.6750224	0.2044716	0.8036351	0.3528219	0.0643654	0.4216274	0.0017560	0.4835777	0.6450138	0.8013172	0.8433677	0.7833748	0.6721631	0.6735077	0.5917295	0.6865674	0.1832237	0.4088207	0.1651096	0.4553407	0.3927702	0.2820088	0.1185378	0.3379008	0.3174472	0.4694174	0.0991566	0.6625873	0.3528231	0.5142662	0.5124386	0.3645033	0.2866439	0.2306792	0.1491110	0.2615932	0.0227705	0.1102292	0.4776803	0.6313467	0.7656498
0.7753752	0.2711844	0.3934522	0.5033223	0.7698045	0.0000000	0.0263016	0.0508922	0.3751241	0.7096597	0.2529539	0.7006192	0.3195416	0.0560236	0.3379743	0.0034699	0.0277537	0.7145998	0.6834111	0.6908242	0.7530340	0.7232845	0.7476935	0.5029931	0.7702706	0.2410835	0.5336985	0.1425694	0.5328179	0.4360976	0.2244099	0.0955051	0.3055988	0.3064149	0.3724710	0.1039282	0.8413212	0.5693023	0.5605466	0.7489615	0.4154686	0.3606683	0.4390973	0.1497375	0.2766952	0.0175611	0.1001994	0.5051542	0.2132496	0.7841830
0.7865081	0.3178402	0.4666009	0.3721306	0.8472468	0.0529991	0.0000000	0.1176838	0.4271080	0.6451424	0.1611173	0.7128729	0.2360347	0.0642458	0.6583101	0.0002170	0.4973003	0.9379941	0.7288555	0.7222492	0.9491037	0.7303004	0.8506338	0.6788056	0.7009211	0.2979531	0.3855859	0.1758077	0.5994584	0.4002903	0.3354223	0.1221848	0.3067049	0.2967990	0.4605193	0.1483144	0.6262242	0.2968403	0.5297891	0.5233781	0.4049468	0.2420876	0.3170433	0.1391135	0.2541316	0.0117857	0.1143289	0.4647259	0.2738989	0.6640435
0.6953563	0.2348748	0.3989871	0.3995152	0.8556228	0.0646964	0.0296815	0.0000000	0.3722748	0.6776314	0.2322154	0.5645726	0.2606862	0.0631740	0.5216210	0.0002374	0.4850424	0.7333500	0.7740893	0.7657410	0.8002482	0.6768437	0.7254063	0.5708505	0.7753510	0.1960874	0.4850226	0.1123441	0.3952155	0.4342138	0.4376431	0.0907445	0.2776375	0.3561965	0.5338082	0.1734228	0.6527419	0.3443140	0.7676837	0.6754624	0.4085177	0.3134305	0.2566553	0.1918287	0.2055517	0.0104865	0.1900680	0.4180477	0.2671975	0.7479252
0.7818339	0.3051458	0.3276912	0.3075668	0.8428086	0.3839748	0.0381268	0.1398851	0.0000000	0.6704149	0.1174861	0.4934887	0.3744881	0.1737065	0.0674363	0.0007630	0.5890249	0.1037450	0.7267259	0.7903746	0.9068165	0.0753588	0.8375039	0.4508136	0.8709972	0.2422437	0.6187648	0.0276558	0.6916884	0.5862571	0.3996489	0.1064300	0.3737094	0.2465070	0.7649606	0.0854614	0.4642154	0.2538124	0.4540357	0.8283363	0.3925858	0.1890926	0.7526535	0.0435163	0.1969209	0.0292003	0.1627517	0.5196815	0.8331874	0.6155993
0.6694087	0.2257102	0.5655944	0.4777403	0.7016868	0.0439192	0.6451497	0.0722544	0.4853303	0.0000000	0.2056203	0.7891563	0.2731121	0.0861197	0.6362670	0.0010043	0.4029544	0.8319198	0.6744718	0.5871919	0.7051489	0.6496619	0.7294045	0.4561667	0.7398441	0.0250723	0.3601817	0.6353678	0.3584404	0.4215590	0.3144882	0.0834027	0.2705647	0.3614899	0.2985397	0.0676725	0.9178777	0.3099966	0.6241832	0.4025538	0.8884307	0.2862715	0.2555050	0.2174133	0.1739316	0.0231957	0.1332174	0.4857751	0.1707763	0.7040440
0.7701932	0.3004255	0.3563670	0.4294474	0.7899585	0.0466177	0.0386349	0.0693306	0.4382557	0.7858985	0.0010344	0.6591728	0.3791038	0.0395588	0.6652144	0.0013339	0.5997695	0.7045817	0.8467681	0.7089075	0.7812495	0.6325872	0.8453052	0.5359551	0.8323391	0.2139386	0.3312038	0.2485626	0.5663668	0.4976308	0.2990775	0.0840075	0.2919651	0.3499325	0.5139117	0.0819802	0.8112192	0.2485537	0.5324420	0.6180177	0.4218228	0.3504780	0.3082844	0.2195897	0.2329718	0.0135034	0.1241447	0.4452818	0.1883626	0.8020288
0.6673067	0.2396635	0.4557385	0.5905623	0.6492683	0.0355303	0.0355702	0.0775761	0.4451469	0.6992757	0.1575911	0.0000000	0.2884098	0.0681182	0.4999097	0.0006607	0.5265125	0.6876490	0.7043071	0.7507201	0.7751059	0.7786969	0.7318249	0.5222462	0.6469838	0.1344300	0.3460595	0.1931901	0.4696418	0.3828422	0.3534319	0.0683599	0.2771856	0.4677372	0.4212697	0.0687163	0.6113869	0.3546571	0.6305188	0.5695350	0.3841889	0.3559586	0.2937602	0.1938584	0.1826758	0.0103220	0.1390189	0.5566723	0.2256789	0.7465669
0.6317799	0.8131722	0.1744728	0.0127961	0.6842758	0.2512694	0.0250380	0.0755724	0.0590448	0.9262320	0.1669378	0.6634415	0.0000000	0.1726349	0.0987751	0.0038606	0.0248832	0.1663386	0.7681133	0.7056944	0.6818508	0.0711629	0.5015604	0.5959355	0.7214819	0.0175576	0.7094050	0.0144359	0.7392286	0.5659990	0.3869548	0.1043753	0.3073854	0.3237277	0.7079917	0.0834552	0.4802958	0.2685301	0.5580104	0.6739175	0.4649277	0.0405190	0.7452668	0.1118958	0.1876336	0.0415277	0.1245015	0.4969895	0.6430102	0.5361993
0.8289305	0.2226315	0.3528158	0.4534659	0.7053343	0.0451080	0.0296000	0.0770937	0.3268649	0.7647356	0.6314668	0.6315735	0.3197232	0.0000000	0.6992815	0.0003389	0.5107154	0.7187664	0.6914513	0.7605906	0.9275416	0.6516809	0.8299897	0.6163738	0.7954727	0.2150420	0.4259106	0.1550068	0.2762430	0.3737137	0.3335029	0.1084333	0.2636135	0.3126434	0.2321291	0.1088456	0.7676418	0.3895165	0.6032577	0.6791205	0.4332235	0.2983297	0.0053172	0.1756750	0.6242922	0.0146190	0.1301973	0.5201257	0.3577406	0.6176731
0.7737683	0.3105451	0.3586347	0.4158547	0.8169954	0.0591342	0.0413280	0.0478344	0.4292127	0.5728496	0.2519035	0.7403096	0.2708924	0.0381165	0.0000000	0.0006446	0.5006396	0.7239959	0.9071629	0.7730032	0.7256235	0.6556263	0.8260977	0.5327624	0.7469279	0.1506281	0.4539668	0.1565311	0.4046144	0.5834613	0.2425917	0.1174424	0.2489035	0.3100293	0.4519320	0.0996573	0.8568890	0.2937860	0.4490241	0.7427167	0.3619006	0.3831148	0.2090700	0.2646705	0.2219121	0.0033897	0.1263347	0.6095213	0.2976259	0.7952645
0.7844022	0.3455486	0.3886906	0.4687148	0.7436956	0.0562900	0.0457420	0.0614120	0.4203804	0.6594830	0.1993274	0.6458459	0.3135719	0.0710107	0.4882714	0.0000000	0.5089291	0.7351326	0.6910808	0.6620220	0.7297536	0.7028285	0.6757318	0.5663897	0.6753439	0.1912155	0.4302161	0.2187603	0.3952010	0.3699197	0.2304375	0.1349619	0.1772226	0.2865211	0.4263285	0.0987777	0.8127649	0.3159810	0.7300047	0.5683065	0.4211671	0.2344318	0.2314919	0.1879304	0.2310536	0.0286580	0.1104003	0.4734546	0.2352608	0.7327713
0.7862219	0.3537005	0.4789132	0.5340542	0.7835016	0.0240540	0.0346898	0.0392973	0.3611990	0.6259395	0.1952032	0.7081780	0.2836372	0.0367621	0.5429260	0.0015721	0.0000000	0.6426537	0.8293210	0.9468546	0.8089792	0.7084347	0.7803623	0.4873410	0.8493511	0.2156612	0.3648101	0.1615831	0.4527290	0.4661936	0.2484654	0.0775005	0.2607358	0.3277205	0.4580667	0.1132577	0.6991362	0.3116464	0.6068576	0.6589319	0.3909740	0.3570255	0.2678528	0.2322676	0.1327986	0.0143127	0.0772266	0.4798902	0.2631363	0.9312180
0.6787675	0.2520011	0.4754935	0.3716456	0.6298844	0.0345997	0.0464056	0.0905416	0.5060199	0.8149849	0.2730669	0.6783730	0.3195568	0.0572774	0.5062042	0.0008068	0.3834666	0.0000000	0.8262170	0.8516964	0.6926253	0.0382185	0.7722283	0.6200864	0.7309111	0.3009505	0.3921094	0.1374421	0.4588125	0.3461262	0.1976070	0.0680608	0.3195400	0.4311131	0.4705415	0.1315612	0.7504248	0.3482236	0.5377177	0.6024846	0.3477092	0.4187493	0.4089236	0.1200616	0.2600847	0.0308101	0.1041521	0.3602112	0.2432351	0.7447300
