YCR065W	YLR228C	YGL209W	YGL035C	YMR280C	YKL109W	YKL043W	YGR288W	YCL067C	YKL032C	YPL248C	YDR421W	YPL177C	YGR044C	YCR040W	YMR042W	YBR112C	YCL066W	YJL089W	YML099C	YMR019W	YER045C	YOR140W	YDL170W	YOL067C	YCR039C	YDR006C	YIR019C	YIL175W	YNR081W	YDR143C	YFR006W	YDR210WD	YPR020W	YPR187W	YOR303W	YMR250W	YGL230C	YHL049C	YLR037C	YKR102W	YIL166C	YAL064CA	YDR356W	YJR159W	YEL058W	YGL089C	YCR105W	YGR102C	YGL210W
0.0000000	0.0207304	0.0894083	0.7086154	0.0709249	0.5716244	0.0621129	0.0001392	0.6768276	0.7435268	0.3810823	0.7482817	0.8085940	0.5706650	0.6986441	0.7387739	0.0635098	0.3248399	0.0721764	0.8258914	0.0059436	0.8913030	0.4426514	0.7485952	0.7087384	0.2950741	0.1669289	0.1212282	0.5618822	0.7621075	0.0308981	0.8264497	0.3454052	0.3369905	0.7265396	0.2323307	0.0920383	0.0920165	0.7232384	0.6767088	0.0567245	0.6887155	0.0676515	0.0723011	0.0001660	0.0671944	0.1032822	0.6048848	0.6104033	0.0360155
0.6903446	0.0000000	0.8205800	0.1657889	0.6079583	0.6466340	0.0460730	0.4708819	0.7878219	0.6747102	0.6663501	0.7720070	0.6712636	0.5264325	0.6524836	0.5721108	0.1019554	0.5654066	0.5510736	0.5972066	0.0065333	0.7490350	0.6005595	0.6990871	0.7152070	0.3181371	0.0360335	0.1116666	0.5074731	0.7007223	0.8130425	0.6943304	0.2393402	0.4026431	0.7261729	0.3088236	0.4270294	0.5903962	0.1658138	0.4478652	0.0609685	0.7060670	0.1548424	0.5830370	0.0038050	0.5739856	0.1226983	0.6244665	0.6720357	0.4332349
0.7227534	0.6009737	0.0000000	0.7288196	0.0730383	0.6844139	0.0534065	0.4881218	0.5858021	0.7397948	0.3065632	0.7353608	0.6867074	0.4666183	0.6104058	0.8116412	0.0689891	0.3933137	0.0653635	0.7315593	0.0151319	0.8451815	0.3781465	0.6781178	0.6780571	0.2829729	0.3504317	0.1427954	0.6397717	0.6860532	0.7915096	0.8140698	0.2236347	0.2557744	0.6507854	0.2604210	0.3466283	0.0760563	0.3260039	0.4403988	0.0742140	0.8823061	0.1101706	0.6194490	0.0008005	0.4842210	0.0694285	0.5631941	0.7077945	0.4919845
0.6852223	0.5980882	0.7773922	0.0000000	0.6953444	0.6702710	0.0455989	0.5861781	0.6822404	0.7943256	0.6376445	0.7125306	0.7752100	0.5140640	0.6495727	0.8663264	0.1224412	0.6773001	0.8558824	0.7389061	0.0099340	0.7397575	0.5902381	0.8236910	0.9800810	0.2985892	0.0340135	0.1497424	0.5255956	0.6144817	0.7124640	0.7409943	0.2259988	0.3580013	0.6466961	0.2499859	0.4252051	0.6938792	0.2515257	0.4011063	0.0956906	0.7880636	0.1529075	0.7037173	0.2810595	0.5536481	0.0997824	0.7088548	0.6072076	0.5060897
0.7796599	0.6350574	0.7856201	0.1959028	0.0000000	0.7811226	0.0312928	0.5778895	0.7409757	0.6973972	0.7117049	0.7888114	0.6560053	0.6145235	0.7147400	0.7129193	0.0681339	0.4276945	0.0255157	0.6989115	0.0125580	0.6620762	0.6573588	0.6467441	0.7326507	0.2779530	0.0388948	0.1272280	0.4880887	0.7447945	0.6903628	0.7347690	0.2789828	0.2285045	0.7358646	0.1975887	0.4095920	0.0607587	0.1336071	0.3833950	0.0740601	0.6441722	0.1222043	0.5642935	0.0011898	0.6716469	0.1075168	0.5996415	0.6772209	0.5196550
0.7383212	0.5049767	0.7696798	0.1699643	0.5791455	0.0000000	0.0500878	0.5278966	0.0239845	0.6219894	0.6445599	0.7115318	0.7673241	0.0037165	0.6923852	0.6385843	0.0643191	0.7119032	0.6792761	0.6795828	0.0054222	0.7022136	0.4494786	0.6156531	0.7764519	0.6138568	0.0293415	0.1072926	0.7177638	0.6303988	0.7080046	0.7413574	0.2622024	0.6083570	0.0213473	0.2836049	0.3920537	0.5281300	0.8371890	0.3707359	0.0731947	0.6618269	0.0798739	0.5087058	0.0040974	0.5164091	0.7035343	0.7534225	0.6467470	0.5204987
0.6775866	0.4478344	0.6225151	0.1488549	0.6870758	0.6743453	0.0000000	0.4504705	0.6807280	0.7339082	0.7377070	0.6048922	0.6608792	0.4593178	0.6269967	0.7908369	0.1161097	0.5744758	0.6143329	0.8209356	0.0217414	0.7390144	0.6441909	0.6985390	0.6687990	0.2494353	0.0401807	0.0507166	0.5412400	0.6713122	0.7744873	0.7323272	0.2567256	0.2773735	0.7129638	0.2406602	0.2938052	0.5808769	0.4045377	0.5216210	0.0468973	0.7647858	0.0723738	0.6312089	0.0013868	0.5322572	0.1008547	0.6514758	0.5467620	0.5274931
0.6808821	0.4802032	0.7583563	0.2626811	0.6714493	0.6869571	0.0446210	0.0000000	0.8162775	0.7426960	0.8072993	0.7307858	0.7039355	0.5043150	0.6700878	0.7427139	0.0836303	0.5028868	0.6779358	0.7648753	0.0108857	0.7552863	0.6202276	0.7130836	0.6877055	0.3775220	0.0223281	0.1447575	0.5280345	0.8284011	0.8005025	0.8350131	0.2352068	0.3640862	0.7389943	0.2348332	0.3868310	0.5591984	0.1435529	0.4185368	0.0473566	0.8342807	0.0967897	0.5921746	0.0002827	0.5863562	0.1044420	0.6551581	0.6329460	0.5136202
0.7955344	0.5800075	0.8115821	0.2457854	0.8070648	0.6203228	0.0638391	0.6044193	0.0000000	0.7922491	0.8581406	0.6407635	0.7445322	0.0406110	0.5559966	0.6739577	0.1220302	0.7397851	0.8112652	0.7801381	0.0096065	0.7382898	0.5714054	0.8439627	0.7049777	0.2527816	0.0288274	0.1394640	0.4506008	0.6863078	0.6885366	0.7519542	0.2177362	0.3179785	0.6424513	0.1943633	0.4059157	0.4906372	0.3654195	0.4202606	0.0841169	0.6722977	0.0833040	0.5593982	0.0142491	0.6393720	0.6409700	0.6164351	0.8159167	0.4767650
0.0335475	0.0077044	0.0377170	0.7388767	0.1238409	0.4275774	0.7822510	0.0055476	0.7976588	0.0000000	0.3330860	0.6670809	0.6094170	0.4907699	0.6931139	0.6655277	0.5929548	0.5206487	0.1545973	0.6096915	0.6039736	0.3296703	0.4936764	0.7918014	0.7505905	0.3081452	0.1645085	0.1602065	0.2947991	0.6153467	0.5104424	0.7350199	0.2672049	0.5181750	0.6555068	0.2660986	0.1101958	0.0899181	0.7172701	0.6935525	0.1040676	0.4799924	0.0981110	0.1457578	0.0002302	0.0644002	0.1391889	0.6181143	0.7284000	0.0668949
0.7040797	0.5608788	0.5873742	0.1801358	0.5971201	0.6501669	0.0679518	0.5140412	0.0138063	0.5802739	0.0000000	0.6536207	0.6646941	0.0163038	0.7030277	0.8134165	0.0822985	0.2471847	0.8385776	0.7221740	0.0050434	0.7643267	0.0813546	0.7249594	0.6833101	0.3499433	0.7852154	0.1728279	0.4456368	0.0656140	0.7856019	0.8405146	0.2137923	0.2768111	0.6470362	0.3063641	0.4375736	0.5383953	0.1443377	0.4620328	0.1125601	0.7271049	0.1613560	0.5152790	0.0014320	0.5558956	0.7608145	0.0424246	0.0367844	0.5929111
0.7321214	0.6934178	0.6595153	0.1494724	0.6213254	0.5996331	0.0625807	0.3986985	0.0058779	0.6427418	0.6545330	0.0000000	0.6209958	0.0105022	0.5932496	0.7283172	0.0732073	0.5443973	0.8776541	0.6182565	0.0135943	0.8608758	0.5033475	0.6161500	0.7472110	0.2821942	0.0320439	0.1155114	0.4568320	0.5909908	0.7602629	0.6659433	0.2772231	0.2805443	0.7421852	0.2270185	0.3674225	0.4848170	0.1839092	0.3984136	0.0879544	0.5718028	0.1578491	0.5293569	0.0136820	0.6037581	0.7170077	0.5924445	0.6673257	0.5295145
0.7132813	0.5954893	0.7492709	0.1754148	0.6204801	0.8002178	0.0334512	0.4388196	0.7368286	0.7067717	0.7244688	0.6864917	0.0000000	0.5282094	0.5208431	0.9467183	0.0963629	0.4812356	0.6509327	0.7769854	0.0056833	0.6564366	0.5743367	0.8050903	0.8605484	0.2890219	0.0429453	0.5931749	0.5454610	0.6232451	0.7603707	0.0190485	0.2650340	0.3132379	0.6077341	0.2574627	0.3315188	0.5497029	0.2343016	0.5508626	0.0476500	0.7135597	0.1039278	0.5138290	0.1801706	0.6256260	0.1522544	0.5806926	0.8866623	0.3919603
0.7665759	0.6888487	0.7742167	0.2301777	0.7721483	0.6765444	0.0314667	0.4936082	0.6826347	0.7572332	0.8853991	0.7161317	0.7145901	0.0000000	0.6918011	0.7453048	0.0975152	0.5957018	0.6026533	0.7478903	0.0212230	0.6928307	0.5032840	0.7067746	0.7676526	0.2741757	0.0356855	0.1113324	0.5152524	0.7593123	0.7562275	0.6915792	0.1914281	0.3752487	0.7515306	0.2314572	0.3736376	0.4886113	0.2006942	0.4655355	0.0661974	0.9192832	0.0863342	0.5727061	0.0132192	0.6274271	0.0938668	0.6383648	0.7271281	0.5266965
0.7513413	0.6190541	0.7105586	0.1812626	0.6138582	0.8031117	0.0690585	0.5419799	0.6179017	0.6061536	0.6535128	0.7455115	0.6771411	0.5770705	0.0000000	0.7428751	0.1216831	0.5489721	0.7398218	0.7806894	0.0103024	0.7346273	0.5233803	0.8229641	0.8720506	0.3315604	0.0427620	0.1221403	0.4789551	0.7320602	0.7515896	0.7637426	0.2713818	0.2404646	0.7052392	0.1933475	0.4256721	0.5434406	0.1893162	0.4817676	0.0625839	0.7292450	0.1463432	0.5295831	0.0034145	0.5074470	0.7363634	0.6070738	0.6283042	0.4624693
