YCR065W	YLR228C	YGL209W	YGL035C	YMR280C	YKL109W	YKL043W	YGR288W	YCL067C	YKL032C	YPL248C	YDR421W	YPL177C	YGR044C	YCR040W	YMR042W	YBR112C	YCL066W	YJL089W	YML099C	YMR019W	YER045C	YOR140W	YDL170W	YOL067C	YCR039C	YDR006C	YIR019C	YIL175W	YNR081W	YDR143C	YFR006W	YDR210WD	YPR020W	YPR187W	YOR303W	YMR250W	YGL230C	YHL049C	YLR037C	YKR102W	YIL166C	YAL064CA	YDR356W	YJR159W	YEL058W	YGL089C	YCR105W	YGR102C	YGL210W
0.4974284	0.3617311	0.6959444	0.1312504	0.7174383	0.6828995	0.0023323	0.3017111	0.6050682	0.7296576	0.4558628	0.6152513	0.8058682	0.4601166	0.7147223	0.6458405	0.1270403	0.5381385	0.7808523	0.7694444	0.1662142	0.6657695	0.5096958	0.9062579	0.4482852	0.5995192	0.0839370	0.0036936	0.5339494	0.6928691	0.8278524	0.8463087	0.0467209	0.2578830	0.6549280	0.3525771	0.2685175	0.4487232	0.3821533	0.4233280	0.0114059	0.6167359	0.4762913	0.5280912	0.0444100	0.5340145	0.0770170	0.4105370	0.6508301	0.3985052
0.6322070	0.6884933	0.6838682	0.2368624	0.5009537	0.8383972	0.0024183	0.5355362	0.6264402	0.6838248	0.5328320	0.6385472	0.7756144	0.3829904	0.4133522	0.7945542	0.0001147	0.4995096	0.7728764	0.6519711	0.1455114	0.6461271	0.4358523	0.7472699	0.7661629	0.0848774	0.0074731	0.0100249	0.4014284	0.6737710	0.6280761	0.7526699	0.1975577	0.2218317	0.7890065	0.6075389	0.3749648	0.7631660	0.2592855	0.4262147	0.2788325	0.7292140	0.2822325	0.4659028	0.2834506	0.5940314	0.1548033	0.4782230	0.6680184	0.4844175
0.6695108	0.6276860	0.6443168	0.2133698	0.5008675	0.4505708	0.0001376	0.5156636	0.7640665	0.7537266	0.6487837	0.4590119	0.6799021	0.3425161	0.5351602	0.7454485	0.0131944	0.4848745	0.6225965	0.6844843	0.4979731	0.6398422	0.7323177	0.7479773	0.6793981	0.2468051	0.0480375	0.0064959	0.6311234	0.6760271	0.8023374	0.5335747	0.3804400	0.3017809	0.6544236	0.2763483	0.3870782	0.5108206	0.2002886	0.3154850	0.4265071	0.5445378	0.0009673	0.5902932	0.1421008	0.6033963	0.0184081	0.7098403	0.7016888	0.4563995
0.4839407	0.3747784	0.7575697	0.0999888	0.7937564	0.5007219	0.0693435	0.5198046	0.6361569	0.5848234	0.5070873	0.9006498	0.7368511	0.4803819	0.4032720	0.6873279	0.0005257	0.4891778	0.8598839	0.5119999	0.2970051	0.6599884	0.5862375	0.4577850	0.7012878	0.0757954	0.0334353	0.1094485	0.5820862	0.7468316	0.6210838	0.7220672	0.1550395	0.2047803	0.6285563	0.4081973	0.3649863	0.6648998	0.2597840	0.4816366	0.0329966	0.5859306	0.1515652	0.5660455	0.1276804	0.5433757	0.1229264	0.5665937	0.6502740	0.5045148
0.7598934	0.5287695	0.8226409	0.1138691	0.5783014	0.7040736	0.0849417	0.5461747	0.5839777	0.5791669	0.6996299	0.4708987	0.5541530	0.4534335	0.6344034	0.7682806	0.0515234	0.5380385	0.7417519	0.6594325	0.0241123	0.9553960	0.4952947	0.6715468	0.6565862	0.2273697	0.0279455	0.1399768	0.2196405	0.7015298	0.8210249	0.7699773	0.5427895	0.2766688	0.6229698	0.2047737	0.4825325	0.6211532	0.2276202	0.3309633	0.0005135	0.6387765	0.0102926	0.5726150	0.0142570	0.4821567	0.0434597	0.7326699	0.6639910	0.4564090
0.6838381	0.5307102	0.7135640	0.2777616	0.6785749	0.6121411	0.0198257	0.5112219	0.9120762	0.3245785	0.5754912	0.6010652	0.5473631	0.4971100	0.6247213	0.7233835	0.1733161	0.5472169	0.6490422	0.5710518	0.0000797	0.5165477	0.6556313	0.6743636	0.7339849	0.3303579	0.0490159	0.3088969	0.4335861	0.7512517	0.6896602	0.7314455	0.3512420	0.2629407	0.6006447	0.4555207	0.2497070	0.6146632	0.4374820	0.5138068	0.0014757	0.5879909	0.1128982	0.4700590	0.1377808	0.5831037	0.1009388	0.6235187	0.6509185	0.3107640
0.7688920	0.6485371	0.7239684	0.1293105	0.7744197	0.7101125	0.0004356	0.6853306	0.7094300	0.6329186	0.7327128	0.8364395	0.5360542	0.4480627	0.4864288	0.0753029	0.0006980	0.5330152	0.8087718	0.6623394	0.2168953	0.6066161	0.5553484	0.5924830	0.6252080	0.2076488	0.0698997	0.0682972	0.3163921	0.7327960	0.7623017	0.8476706	0.2344460	0.1269136	0.7551157	0.0035782	0.3499484	0.4904646	0.1932663	0.3849970	0.1866932	0.6280304	0.0008064	0.6640560	0.0069981	0.5967053	0.1073377	0.4826198	0.7575343	0.4800037
0.6250457	0.4337523	0.6267194	0.1312500	0.5499500	0.7136806	0.0079209	0.3565235	0.8107067	0.6549960	0.7026478	0.7451080	0.6071188	0.3906674	0.2996140	0.7879898	0.0010649	0.4842591	0.6297148	0.6648090	0.3131681	0.6225646	0.6874672	0.7090295	0.6118462	0.3413985	0.0086594	0.0369522	0.4532662	0.6225901	0.7742423	0.7630785	0.5258426	0.3043062	0.7454189	0.1744411	0.2869638	0.7348429	0.3611065	0.4399564	0.0173854	0.5761729	0.0000548	0.4127089	0.3446973	0.4189934	0.2624842	0.5733207	0.6743687	0.6009310
0.6580001	0.6796367	0.7480049	0.1466200	0.6567539	0.8098185	0.0555756	0.4046539	0.6111990	0.9165289	0.5929871	0.7709163	0.7472373	0.5685331	0.5289793	0.7845746	0.0812227	0.4162978	0.5944884	0.7341902	0.0002091	0.4203143	0.5571869	0.7230856	0.6727644	0.2866703	0.1125956	0.1482017	0.6766603	0.6357209	0.6593243	0.6858984	0.2435334	0.2341375	0.5624536	0.3006179	0.2625387	0.6606524	0.5259796	0.4081417	0.1487262	0.8120481	0.0121103	0.5452750	0.0021465	0.5494062	0.0988439	0.5162040	0.5825768	0.5125963
0.6579270	0.5223175	0.7456241	0.1635747	0.6226194	0.6912428	0.0353933	0.4963404	0.6715571	0.9037424	0.6425708	0.6118450	0.6635321	0.5586327	0.5777444	0.6344717	0.0006210	0.4710080	0.6307044	0.5902757	0.0386625	0.6345637	0.7849659	0.5422506	0.7084747	0.4750298	0.0677955	0.1337871	0.4655683	0.5933448	0.6996309	0.6392358	0.1530228	0.1787204	0.6962386	0.2761192	0.5530000	0.5248455	0.2108059	0.2807690	0.2991912	0.5661817	0.0849576	0.4810867	0.1386976	0.6060157	0.0075609	0.6730626	0.6896545	0.5129925
