YCR065W	YLR228C	YGL209W	YGL035C	YMR280C	YKL109W	YKL043W	YGR288W	YCL067C	YKL032C	YPL248C	YDR421W	YPL177C	YGR044C	YCR040W	YMR042W	YBR112C	YCL066W	YJL089W	YML099C	YMR019W	YER045C	YOR140W	YDL170W	YOL067C	YCR039C	YDR006C	YIR019C	YIL175W	YNR081W	YDR143C	YFR006W	YDR210WD	YPR020W	YPR187W	YOR303W	YMR250W	YGL230C	YHL049C	YLR037C	YKR102W	YIL166C	YAL064CA	YDR356W	YJR159W	YEL058W	YGL089C	YCR105W	YGR102C	YGL210W
0.4976683	0.2458263	0.9476527	0.2438639	0.9386493	1.1069464	0.0782647	0.4330588	1.0412661	0.9962078	0.9785488	1.0381041	0.9565791	0.7173180	0.9478262	1.0076462	0.1172495	0.8030287	1.0440471	0.8984121	0.0140648	1.0477593	0.8254621	0.9766107	1.0137802	0.3827354	0.0545982	0.1871935	0.6856889	1.0269493	0.9929490	1.0501625	0.3077532	0.3569747	0.9786618	0.3729633	0.4098401	0.7441722	0.9273018	0.8709132	0.0930803	1.0321050	0.1319276	0.6414783	0.0054629	0.3936844	0.1399277	0.8481899	0.9786481	0.5129624
1.0171896	0.4213868	0.9731071	0.3357436	0.8389782	0.9743399	0.0616251	0.6387355	1.0761126	1.0182472	0.8995154	1.0324025	1.0511235	0.7034698	0.9620358	0.9997450	0.1147176	0.8082063	0.9819347	1.0247345	0.0132693	0.9686648	0.8125057	1.0702119	1.0143551	0.3642349	0.0639960	0.1830820	0.6872700	0.9754517	1.1047911	1.0447272	0.3533121	0.4283520	1.0057412	0.3692089	0.5446725	0.7376558	0.3764281	0.6258382	0.1003384	1.0088405	0.1743758	0.7839503	0.0051405	0.8700057	0.1358915	0.8422203	0.9778637	0.7635375
1.0142227	0.7350517	0.5154838	0.4646039	0.6598929	1.0320963	0.0726065	0.6780940	0.9261577	1.0179419	0.8767113	1.0540870	1.0454536	0.7024417	0.9193796	1.0234335	0.1285282	0.7355755	0.9132838	0.9686801	0.0149937	0.9411899	0.7624937	1.0717033	0.9890325	0.4168492	0.0720235	0.2157366	0.7024168	1.0455828	0.9978478	0.9998149	0.2922554	0.4440384	1.0026428	0.3233427	0.5570875	0.8307419	0.3460578	0.5333551	0.0883307	1.0138254	0.1563521	0.8056199	0.0011583	0.8234103	0.1820846	0.7865705	0.9435923	0.7092043
1.0477841	0.7802779	0.9511602	0.1630979	0.9827247	0.8779862	0.0544037	0.6980839	0.9339349	1.0870354	1.0134826	1.0239158	0.8933741	0.6318195	0.8979756	1.0820012	0.0936215	0.8539378	1.0417159	1.0855890	0.0127876	1.0099844	0.8252933	0.9589285	0.9952797	0.3662367	0.0488103	0.2132860	0.7958259	0.9369829	1.0259914	1.0394499	0.3376325	0.4078423	1.0864212	0.3848804	0.5475192	0.8138174	0.3443795	0.6151870	0.0950820	0.9889266	0.1956744	0.7835797	0.0405358	0.8702927	0.1359510	0.7935744	1.0048859	0.6547563
0.9577877	0.7605971	1.0359252	0.2948437	0.4675689	0.8804076	0.0536683	0.7056795	1.0232229	1.0658777	0.9727867	0.9700298	0.9733693	0.7191116	0.9143917	1.0638325	0.0947197	0.7991121	0.8452623	1.0782211	0.0211011	1.0722194	0.8563240	0.9593214	1.0434181	0.4185242	0.0387822	0.1930285	0.7900795	1.0612066	1.0849829	1.0496476	0.4056546	0.4193885	0.9335985	0.3853942	0.5247715	0.6835009	0.2869027	0.5188629	0.0874342	1.0371267	0.1469874	0.7605485	0.0074906	0.7866063	0.1116364	0.8703313	0.9987774	0.7269093
1.0623763	0.8001170	0.9591170	0.2468847	0.9515882	0.5047640	0.1062378	0.6534974	1.0352165	1.0405961	0.9801778	0.9992701	0.9782650	0.7489889	0.9457853	1.0055972	0.1191371	0.8631673	0.9863990	1.0014954	0.0151918	1.0288138	0.9189406	0.9859849	1.0757909	0.5960774	0.0657001	0.2053910	0.9365353	0.9481164	1.1287161	1.0700935	0.3458684	0.6949762	0.9219316	0.3650681	0.5015554	0.7546966	0.4270746	0.5917135	0.1001564	1.0638326	0.1545780	0.7432684	0.0089884	0.8371261	0.1221076	0.8470737	0.9884087	0.7191601
1.0840846	0.7472508	0.9392874	0.2843478	0.9970230	1.0641025	0.0401927	0.7149142	0.9966948	1.0523693	0.9697282	1.0507614	1.0143336	0.7739351	0.8896215	1.0324740	0.0949174	0.8680862	1.0365470	1.0520655	0.0139223	0.9049598	0.9182417	1.0386886	1.0052984	0.3871921	0.0428985	0.2148190	0.7562184	0.9657184	1.0096485	1.1090409	0.3640724	0.3675136	1.0183919	0.3282338	0.5921802	0.8662673	0.2984682	0.5968769	0.1032313	1.0497141	0.1446448	0.9138036	0.0034266	0.8794582	0.1358610	0.8407705	1.0787983	0.7221629
0.9700365	0.8431644	1.0428039	0.3098808	0.9388187	0.9766963	0.0698772	0.3231500	1.0911913	1.0077691	0.8360461	0.9944689	0.9981005	0.6592290	0.8639083	0.9578285	0.1035798	0.7765727	1.0369418	0.9981822	0.0206543	1.0140390	0.8680720	0.9712671	0.9756298	0.3823537	0.0611031	0.2169921	0.7793276	1.0471799	0.9736540	0.9256208	0.3334210	0.4163493	0.9475237	0.3438351	0.5778750	0.7738911	0.2660192	0.4960361	0.1074045	0.9802030	0.2023998	0.7617614	0.0047161	0.8000878	0.1532347	0.8633079	0.9775508	0.7267594
1.0718934	0.7527863	1.0371632	0.2218808	0.9065685	1.0204940	0.0535308	0.7677644	0.5338324	1.0777484	0.9060950	0.9889133	1.0819482	0.1253013	0.8804745	1.0518838	0.1244665	0.8618401	0.9094870	0.9479951	0.0148451	0.9908851	0.7652677	0.9121641	1.0395914	0.3705947	0.0588454	0.2178979	0.7423809	1.0104288	1.0718392	1.0754785	0.4196197	0.3450586	1.0425077	0.3585336	0.5632779	0.7753074	0.3260466	0.5949010	0.1118642	0.9250007	0.1784280	0.7293975	0.0186340	0.8230200	0.1856338	0.8077640	0.9189182	0.6811263
1.0721089	0.7572300	0.9345390	0.2647967	0.8992522	1.0147653	0.0784912	0.7492071	1.0472474	0.5445640	1.0084347	1.0630794	1.0321920	0.7567911	0.8376434	0.9678210	0.0885172	0.7830812	1.0015900	0.9563315	0.0131924	1.1292357	0.7786059	0.9739388	1.0427437	0.3716338	0.0658709	0.2005197	0.7171762	1.0080948	1.0188881	0.9933897	0.3034713	0.3770733	0.9217382	0.3109244	0.4944285	0.7930232	0.3135227	0.5092196	0.1109495	0.9240974	0.1567883	0.7612815	0.0065922	0.7824411	0.1380037	0.8974034	0.9753733	0.7233720
0.9866767	0.8587135	0.9717675	0.2889407	1.0305302	0.9927738	0.0917874	0.6412280	1.0319833	0.9866763	0.5059144	0.9709885	1.0644320	0.7944122	0.9066242	0.9855267	0.1028449	0.6014040	1.0484306	1.0721287	0.0081646	1.0194546	0.6299441	1.0401913	0.9755817	0.3755535	0.2139550	0.1868075	0.7199988	0.8382340	0.9510087	0.9902245	0.3655430	0.4511463	1.0079581	0.3849011	0.5200229	0.8672362	0.4339404	0.5778137	0.1086851	1.0329644	0.1364788	0.7449620	0.0079634	0.8592433	0.1423847	0.7271392	0.9698579	0.7455516
1.0919774	0.7273788	0.9732572	0.2562477	0.8559510	1.0871421	0.0769142	0.5964006	0.9592416	1.0263867	0.9805015	0.5053397	0.9895917	0.7105141	0.9006681	1.0742692	0.1274541	0.8215861	0.9380489	0.9518265	0.0207411	0.9937258	0.8450145	1.0443442	0.9428479	0.4014183	0.0455513	0.2133725	0.6868213	0.9235071	0.8888036	1.0140875	0.3363667	0.3416790	0.9673705	0.3499921	0.5806140	0.7993837	0.2941923	0.5717901	0.0988911	0.9803187	0.1329862	0.6967423	0.0010435	0.8072588	0.1283741	0.8068429	0.9973802	0.6602805
1.0525125	0.8736591	0.9645893	0.2343708	0.8792832	0.9120682	0.0619006	0.6484618	0.9872967	1.0391893	0.9556161	0.9220884	0.5068011	0.7203001	0.8871438	1.0224837	0.1246045	0.7571346	1.0450015	0.9760370	0.0150529	0.9916500	0.8343467	1.0044966	1.0343364	0.3791954	0.0717536	0.3505486	0.7296685	1.0140241	1.0023453	0.8621407	0.3298323	0.4444795	0.9807048	0.3246107	0.4996347	0.8043291	0.3411530	0.5671887	0.1185498	0.9036941	0.1601751	0.7334140	0.0031456	0.7717981	0.1420411	0.8974102	1.0732966	0.8088442
1.0670825	0.7671556	0.9524052	0.2833067	0.9356686	0.9858440	0.0748858	0.6306028	0.9186124	1.0013182	1.0422820	0.9761756	1.0274550	0.3207706	0.8716851	0.9919458	0.0998409	0.8379746	0.9462186	1.0153554	0.0166420	0.9592982	0.8732038	0.9283465	1.0239761	0.3887020	0.0412679	0.2002168	0.7197847	1.0950977	1.0507989	1.0371070	0.3255831	0.4084920	0.9131853	0.3268670	0.5541305	0.7667247	0.3324723	0.5874835	0.1048986	0.9284088	0.1647572	0.8052605	0.0032775	0.8388648	0.1832703	0.8241627	0.9987856	0.7166119
0.9698204	0.7862565	0.9404650	0.2919201	0.8021767	0.9802758	0.0737003	0.6606857	1.0654770	1.0589838	0.9901622	0.9660804	0.9345027	0.7031357	0.4330688	1.0261672	0.1127807	0.7057595	0.9191464	0.9867481	0.0272728	1.0067349	0.8686648	1.0042394	1.0488000	0.4066650	0.0739134	0.2081168	0.7176251	0.9495211	1.0351550	1.0262382	0.4213610	0.3462549	0.9073795	0.3349211	0.6229653	0.8100563	0.2285909	0.5621978	0.0861232	0.9939124	0.1827397	0.7808576	0.0076878	0.9131031	0.2933544	0.8328908	1.0175483	0.7656639
1.0365026	0.7752864	1.0079590	0.2796788	0.9944128	1.0786508	0.0705727	0.7409075	1.0431356	1.0165401	0.9939564	0.9930018	1.1179087	0.7437755	0.8892537	0.5058261	0.1258768	0.7670123	1.0274059	1.0636386	0.0063472	1.0605296	0.7779858	1.0160708	0.9565922	0.4424016	0.0585652	0.2047107	0.7501176	1.0931277	0.9825171	0.9752207	0.3411526	0.4026664	1.0039296	0.1823315	0.5228570	0.8528843	0.3679741	0.6442889	0.0830479	1.1393532	0.1448470	0.8489450	0.0096817	0.8936671	0.1237345	0.8415053	0.9610797	0.7151733
1.0064887	0.8037219	0.9705095	0.2455258	0.8870256	1.0315214	0.0649446	0.7365947	0.9719199	1.0016591	0.9497829	1.0497223	0.9712902	0.6441442	0.9045147	0.9453814	0.0805516	0.8308159	0.9617398	0.9337096	0.0187155	0.9611396	0.8104026	1.0353650	1.0020609	0.4005121	0.0558046	0.2141049	0.7481788	0.9299254	0.9899324	1.0019947	0.4074884	0.4188260	0.9597849	0.3163882	0.4873994	0.7439385	0.3712034	0.5950322	0.1132742	1.0549769	0.1659026	0.8144235	0.0129153	0.8851072	0.1542552	0.7485870	1.0075758	0.7011429
0.9881257	0.7268751	1.0628511	0.2737481	0.9244632	1.0035056	0.0832624	0.7014173	1.0811694	0.9919803	0.9599375	0.9892686	0.9705430	0.6744933	0.9612364	0.9944229	0.1050788	0.3518984	1.0278097	0.9757990	0.0094709	0.9876144	0.8060461	1.0117838	0.9803278	0.4029188	0.0776644	0.1954068	0.7384638	0.9893221	1.0436114	0.9875776	0.3955197	0.4553226	0.9173597	0.3490794	0.4928583	0.7447835	0.3468592	0.5560720	0.0789177	0.9872102	0.1746627	0.7350908	0.0134940	0.8844879	0.1866526	0.8806030	1.0133619	0.7476780
1.0129027	0.7397433	0.9394918	0.2603349	0.8965566	1.1230590	0.0599481	0.6914550	0.9775778	0.9946195	0.9646058	0.9979536	1.0043860	0.6176180	0.9674330	1.0973361	0.0751408	0.7738544	0.5029957	1.0304197	0.0090204	0.9656685	0.8766584	0.9939862	0.9498642	0.4015905	0.0466096	0.1788395	0.7130882	1.0638075	1.0060589	1.0436008	0.3558167	0.3890894	1.0211212	0.3280971	0.5737729	0.3518166	0.3145552	0.6039742	0.1199144	1.0498104	0.1549527	0.8128448	0.0062255	0.8181377	0.1585937	0.8344291	0.9612936	0.5854102
1.1252518	0.9001488	1.0114080	0.2462486	0.8998746	1.0110727	0.0626673	0.6994714	1.0607761	1.0442776	0.8774680	0.9511194	1.1234018	0.7508146	0.8791936	1.0705047	0.1126655	0.7801483	0.9800862	0.4853789	0.0110005	0.9762073	0.8355324	1.0527254	0.9935771	0.4233447	0.0597549	0.2134351	0.6675872	0.9492769	1.0137814	1.0908662	0.2083618	0.4517218	1.0284514	0.4273634	0.5518262	0.8133945	0.2723804	0.5375286	0.0945090	0.9456984	0.1772386	0.8388186	0.0031364	0.8391747	0.1346709	0.8260259	1.0232100	0.7153174
0.9552994	0.7716513	0.9530398	0.2947555	0.8511422	0.9726466	0.0520629	0.6679840	1.0049054	1.0953747	0.9736273	1.0444734	1.0705003	0.6258561	0.9185195	0.9331156	0.1189960	0.7983217	0.9310525	1.0648631	0.0036195	1.0270064	0.8365016	1.0498665	1.0385378	0.4008944	0.0521320	0.1962298	0.7351519	0.9989572	1.0071156	1.0396909	0.4378443	0.4112809	0.9717730	0.3428997	0.5123341	0.7254864	0.4363818	0.6019898	0.1003178	1.0343915	0.1550222	0.7948612	0.0087921	0.7778379	0.1212740	0.8885164	1.0502491	0.6350177
0.9816050	0.7347729	1.0388177	0.2759382	0.8467551	1.0192400	0.0898222	0.6191541	1.0591019	0.8562820	1.1163086	0.9609385	1.0828370	0.7496379	0.8834110	1.0421462	0.1145895	0.7294257	0.9504421	0.9830435	0.0108850	0.5845124	0.8156393	0.9751528	1.0392665	0.3724949	0.0595707	0.2360113	0.7148068	0.9358115	1.0063318	0.9915647	0.3170731	0.4272638	0.9305379	0.3392760	0.5354196	0.7772315	0.4317803	0.6914101	0.1244310	1.0071264	0.1291478	0.6717350	0.0045472	0.7710116	0.1361191	0.9528553	1.0499179	0.7005736
