YCR065W	YLR228C	YGL209W	YGL035C	YMR280C	YKL109W	YKL043W	YGR288W	YCL067C	YKL032C	YPL248C	YDR421W	YPL177C	YGR044C	YCR040W	YMR042W	YBR112C	YCL066W	YJL089W	YML099C	YMR019W	YER045C	YOR140W	YDL170W	YOL067C	YCR039C	YDR006C	YIR019C	YIL175W	YNR081W	YDR143C	YFR006W	YDR210WD	YPR020W	YPR187W	YOR303W	YMR250W	YGL230C	YHL049C	YLR037C	YKR102W	YIL166C	YAL064CA	YDR356W	YJR159W	YEL058W	YGL089C	YCR105W	YGR102C	YGL210W
0.7891050	0.5233395	1.0846700	0.2170383	1.0433923	0.9716309	0.0038314	0.5345283	0.9134925	1.0753173	0.6266385	0.9893395	1.0278136	0.6646418	0.9874325	0.9731864	0.1806900	0.7360241	0.9747095	1.0427510	0.2497480	0.9729973	0.7258841	1.1149986	0.6638975	0.8184258	0.0907198	0.0069458	0.7491691	0.9839953	0.9557579	0.9539248	0.0241660	0.3279259	0.9253911	0.5388420	0.3647940	0.7353820	0.5058772	0.6594364	0.0187256	0.7042066	0.6324929	0.6610769	0.0361715	0.6764579	0.1160331	0.7372206	0.9565827	0.5828705
0.9634690	0.9175070	1.0200286	0.2576593	0.7502932	1.0448829	0.0057861	0.6823884	0.8899332	0.9859537	0.8090353	0.8360026	1.0817255	0.6502757	0.5853784	1.0869032	0.0001074	0.7226727	0.9718721	0.9988280	0.1802011	0.8280423	0.6455288	1.0676271	0.9989504	0.1125768	0.0162137	0.0133129	0.4853840	0.9701401	0.9734891	0.9961066	0.2947369	0.2774835	1.0185924	0.7275162	0.5509310	0.8816237	0.3271938	0.5223243	0.4433472	1.0528190	0.4241201	0.6906722	0.3607478	0.8317871	0.1927330	0.7061639	0.8033970	0.6339187
0.9921345	0.8723926	0.8658309	0.2840441	0.8233293	0.6741923	0.0007831	0.7132217	0.9248215	1.0791611	1.0060784	0.7514171	0.9373095	0.6047349	0.9444751	1.0352812	0.0186905	0.7618881	1.0205113	0.9808482	0.6535449	1.0562341	0.9562804	0.8930151	1.0429495	0.4192097	0.0711504	0.0102757	0.8495953	0.9978969	0.9886509	0.9756556	0.6199816	0.5020403	0.9067065	0.4401795	0.5959001	0.7646957	0.3033147	0.3447064	0.6290404	0.7667063	0.0028673	0.8310961	0.1518505	0.8628676	0.0269032	0.8868140	0.9120640	0.7353905
0.8771707	0.6677406	1.0336954	0.1756217	1.0117460	0.9170170	0.0831327	0.6863563	0.9608445	0.8354880	0.8460561	1.0214044	1.0319666	0.7620402	0.4142719	1.0554215	0.0015659	0.6611139	1.0711732	0.7844318	0.4323236	1.0239912	0.7438127	0.7613811	1.0477133	0.0918078	0.0484658	0.1483403	0.7630564	0.9767125	0.9282297	1.0600441	0.2532116	0.3588590	0.8551427	0.6071642	0.5529877	0.9027048	0.3713293	0.6590074	0.0714552	0.8333838	0.2608560	0.7729530	0.1931494	0.7730325	0.2317260	0.8694690	0.8886493	0.6793071
1.0395214	0.8337681	1.0720906	0.1715364	0.8631155	1.0006724	0.0900521	0.7998577	0.9236195	0.9593945	1.0217092	0.6608859	0.8696142	0.7698994	0.9173778	1.0432619	0.0853500	0.6627176	0.9195308	0.9466634	0.0534445	1.0901145	0.7864404	0.9973541	1.0521237	0.3554383	0.0565099	0.1867899	0.3155691	1.0174421	1.0686001	1.1029550	0.7221804	0.3851992	0.9872473	0.2517360	0.6930832	0.8902204	0.2454713	0.5167202	0.0012846	0.8201007	0.0280428	0.7416046	0.0063870	0.7300280	0.0705399	0.8561707	0.9862556	0.6310907
0.7756873	0.7229000	1.0785291	0.3484743	0.9526396	0.9398248	0.0189155	0.7595165	1.0461934	0.5187489	0.8890508	0.9400718	0.7925598	0.7558582	0.8244702	1.0223490	0.2990193	0.6333629	0.9390283	0.8448630	0.0001829	0.6586801	0.9608184	0.9372742	1.0451335	0.4646945	0.0510920	0.4145974	0.7024098	0.9318042	0.9784501	0.9973261	0.4415090	0.3822707	0.9998279	0.6001521	0.4370305	0.8090159	0.6529556	0.6927942	0.0033466	0.8772818	0.1706961	0.7051760	0.1509631	0.6559268	0.0970093	0.8600071	0.9812734	0.6508951
1.0188766	0.8202990	1.0398316	0.2111633	1.1024579	1.0312368	0.0006839	0.9215005	0.9884483	0.9428307	0.9916930	1.0598494	0.7908395	0.6248667	0.7762940	0.1025329	0.0004224	0.7470983	1.0319116	1.0149113	0.2972319	0.8889633	0.7783986	0.8840647	1.0171186	0.2557422	0.0715254	0.0992506	0.4973689	0.9844221	0.9824984	1.0048521	0.3297015	0.2314964	1.0546962	0.0105363	0.5461926	0.8192183	0.3088966	0.5393263	0.2454803	0.7630234	0.0027517	0.8851080	0.0105870	0.8614186	0.1660097	0.5972937	0.9468345	0.6943885
0.8174694	0.5945223	0.9410302	0.2880912	0.8273570	0.9613621	0.0046390	0.5461942	0.8894971	0.9912039	1.0155376	1.0397727	0.8585597	0.5123054	0.4140256	1.0644823	0.0007135	0.6301331	0.9038968	0.9626918	0.4190075	1.0178776	0.9603141	1.0389404	0.9547526	0.5681888	0.0121242	0.0095582	0.7563797	0.9478469	1.0357239	1.0540026	0.7888444	0.4330643	1.0176886	0.2617655	0.4214434	0.9005991	0.5766578	0.6826066	0.0111014	0.9338598	0.0001047	0.6733579	0.4464027	0.6492723	0.4371875	0.8504419	1.0335367	0.6917426
0.8382278	0.8558029	0.9435327	0.1964791	0.9953640	1.0337870	0.0626931	0.6364393	0.8788727	1.1196264	0.8451135	1.0933247	1.0739401	0.6386837	0.6773038	1.0992240	0.0898829	0.6436358	0.9309772	0.9843776	0.0007690	0.5827937	0.8106529	1.0108424	1.0540095	0.4558776	0.0899212	0.1629058	0.7855924	1.0049285	0.9617923	0.9242660	0.3587314	0.3019067	0.9430901	0.4617614	0.3949477	0.9268030	0.6064520	0.6110368	0.2724337	1.0626947	0.0198666	0.7874510	0.0073099	0.8114181	0.1651089	0.7751584	0.9320869	0.7405431
0.9993663	0.7891159	1.0294604	0.1973264	0.8220104	0.9751119	0.0745721	0.6815375	0.9465849	1.0609483	0.9917864	0.9614384	1.0475798	0.6823067	0.7855701	0.9246984	0.0011581	0.6935323	0.9525912	0.9087355	0.0626824	0.9603378	0.9480224	0.8062072	0.9516298	0.7112645	0.0581173	0.2005552	0.6399981	0.9836114	1.0108870	0.9765672	0.2496363	0.2397529	0.9745880	0.3603987	0.6784812	0.7510075	0.2905573	0.4388910	0.4865459	0.8030864	0.1447090	0.6982735	0.2237094	0.8578875	0.0145597	0.9314114	0.9566120	0.6580086
0.7518697	0.8190163	0.8226785	0.1973355	0.3778138	1.0186743	0.0006787	0.5888579	1.0746510	1.0131973	0.9165235	1.0616293	1.0086190	0.8782403	0.8976155	0.9750924	0.3771280	0.7595637	0.7794224	0.9222643	0.0584798	0.8390026	0.9241794	1.0208445	1.0316669	0.0993316	0.0267456	0.0375515	0.4323952	0.9504022	1.0441467	0.9519123	0.9192861	0.3877666	0.9518771	0.4994866	0.5502087	0.8629517	0.4748865	0.4575003	0.2328144	1.0055421	0.0039705	0.6448404	0.2634807	1.0264465	0.1455328	0.5053197	1.1214094	0.5445706
0.9631307	0.7824790	1.0088366	0.2379820	0.8932851	0.8235583	0.0019562	0.7363788	0.9997860	1.0329823	0.5990765	1.0109342	1.0534643	0.6522141	0.6711114	1.0384395	0.0028449	0.6956079	0.9467795	0.4517208	0.0006569	0.7017025	0.9078533	1.0513469	0.8574219	0.1876938	0.0896738	0.0091869	0.4258858	0.8875928	0.9695979	0.9836431	0.1895852	0.4652768	0.9091878	0.5932574	0.7533161	0.8976189	0.3531421	0.6020600	0.0016487	0.9494001	0.2570660	0.9195792	0.0000000	0.7857414	0.1584924	0.8018744	0.8932166	0.6707839
0.9056379	0.8745506	1.0297688	0.2778372	0.7557826	0.7511399	0.0029004	0.6943227	0.9740655	0.8936682	1.0137198	0.8923927	0.8355698	0.8013402	0.8962120	1.0239077	0.3956690	0.5566747	1.0151481	0.8762121	0.0781103	0.9897249	0.7951652	1.0457172	1.1264982	0.0863024	0.0101995	0.1143523	0.7231296	0.9516508	1.0065857	1.0068441	0.3359400	0.3702292	0.8639534	0.2776181	0.4663773	0.8541295	0.4522817	0.3257611	0.4240444	0.5514500	0.0019542	0.7996895	0.0043956	0.7660555	0.0219457	0.6264436	0.9402882	0.6657421
0.7827800	0.8286893	0.9687381	0.2968420	0.8930464	0.7787223	0.1562140	0.6852698	1.0564182	0.4521757	0.8106931	0.8993496	0.9630643	0.8308463	0.9483891	0.9359981	0.0958716	0.5084386	0.9288268	0.9878364	0.0028018	0.9304172	0.9746267	0.9645359	0.9752754	0.0888765	0.0587826	0.1867116	0.5366134	0.8953708	1.0469127	0.9689308	0.2790427	0.4320771	0.9210266	0.3131315	0.4287595	0.7377967	0.4149055	0.5618248	0.1262819	1.0147963	0.1649228	0.7795715	0.3811177	0.9171773	0.1304361	0.6315673	0.8592510	0.7160235
0.9874126	0.7440705	0.9392422	0.2369923	1.0693557	1.0188682	0.0011570	0.6961479	0.9876391	0.9690397	0.5843881	1.0075161	0.9479964	0.7740688	0.6920930	1.0422179	0.2873798	0.5893627	0.9230773	0.7475551	0.0000484	1.0180965	0.6079195	1.0981653	0.8413315	0.0922480	0.1231676	0.0011345	0.3027206	0.9573613	0.9080126	0.9373107	0.2502872	0.2534903	0.8906714	0.8446117	0.4747848	0.6631706	0.2703847	0.6287068	0.1760698	0.8783031	0.2350955	0.7283945	0.0006894	0.7925617	0.1637242	0.7929901	1.0500957	0.7208056
1.0554156	0.9085925	0.9809283	0.2882190	0.6778553	0.6758771	0.0637799	0.6405084	0.9516839	1.1125575	0.9550678	1.0741233	0.9478520	0.8811811	0.9392546	1.0232793	0.0256565	0.3459890	0.9238834	1.0021725	0.0031234	0.9526412	0.9854047	0.9917785	1.0816380	0.8389070	0.0593024	0.4486023	0.8947004	0.9779218	1.0417604	0.9928799	0.3475869	0.5222799	0.8859785	0.4858959	0.6033318	0.7090304	0.2951813	0.2322443	0.0504421	0.9275321	0.5984304	0.8107021	0.0015419	0.8768948	0.1561584	0.9164599	1.0256735	0.6120376
0.9411538	0.9664349	0.8457759	0.3077012	0.9177257	0.9140080	0.0087514	0.6034734	0.9826172	0.9166114	0.7623852	0.6724122	1.0905165	0.7508477	0.8730393	1.0130840	0.5464954	0.5319924	0.9563028	0.9808139	0.4409130	0.8844856	0.7434555	0.8318197	1.0414320	0.4509326	0.0789578	0.2080893	0.7384807	0.9769917	0.9853741	0.9973845	0.3307219	0.3807069	1.0080178	0.6354658	0.4120432	0.8332232	0.5924542	0.7023758	0.4567887	0.5020997	0.2269870	0.7343433	0.0063815	0.6595011	0.1693624	0.7429379	0.9429416	0.6777453
