YCR065W	YLR228C	YGL209W	YGL035C	YMR280C	YKL109W	YKL043W	YGR288W	YCL067C	YKL032C	YPL248C	YDR421W	YPL177C	YGR044C	YCR040W	YMR042W	YBR112C	YCL066W	YJL089W	YML099C	YMR019W	YER045C	YOR140W	YDL170W	YOL067C	YCR039C	YDR006C	YIR019C	YIL175W	YNR081W	YDR143C	YFR006W	YDR210WD	YPR020W	YPR187W	YOR303W	YMR250W	YGL230C	YHL049C	YLR037C	YKR102W	YIL166C	YAL064CA	YDR356W	YJR159W	YEL058W	YGL089C	YCR105W	YGR102C	YGL210W
0.5163179	0.2812411	0.9026841	0.2672520	0.9320145	1.0411359	0.0896450	0.4084584	0.9065101	0.9902300	0.9264915	1.0395068	0.9280253	0.8341521	0.9094985	1.0367869	0.1253701	0.8206473	0.9777967	0.9297868	0.0171413	1.0730134	0.9019571	0.9820423	0.9049065	0.4054755	0.0606852	0.2041183	0.7738100	1.0053790	1.0901136	1.0540547	0.2853694	0.3953450	1.0046083	0.4018780	0.4411925	0.8382105	0.9635684	0.8722867	0.0946810	1.0739504	0.1492308	0.6220351	0.0040456	0.4321018	0.1514461	0.8440190	0.9949200	0.5251265
0.9552620	0.3559862	0.9914827	0.3335989	0.8432702	1.0096855	0.0742393	0.6725414	1.0267489	0.9407759	0.9651542	1.0283676	0.9480599	0.7156423	0.9346756	1.0769009	0.1248518	0.8823524	1.0395672	1.0741836	0.0184500	0.9924513	0.8330937	1.1313550	1.0019540	0.3220822	0.0557079	0.2160230	0.7200962	0.9455407	1.1774623	0.9448319	0.3709923	0.4619465	0.9737554	0.3674246	0.5320708	0.7740697	0.4128388	0.5700996	0.1263736	0.9993826	0.2192472	0.8309210	0.0206320	0.9191347	0.1329272	0.8408021	0.9871436	0.6793534
0.9954299	0.7744362	0.4899533	0.5459602	0.6339680	0.9089870	0.0717335	0.6759429	0.9831519	1.0569716	0.8143565	1.0987279	0.9853580	0.6870405	0.9049597	1.0793412	0.1314029	0.7494883	0.9969701	1.0078319	0.0157038	0.9539440	0.7947556	1.1496003	0.9429003	0.4183122	0.0739902	0.2184717	0.7809767	1.0572546	0.9509207	0.9739138	0.3462397	0.3450400	0.9803661	0.3393093	0.5306795	0.8277852	0.4366115	0.5734883	0.0853002	0.9886598	0.1613218	0.7355390	0.0005452	0.7820059	0.1258065	0.7769331	0.9832266	0.7105371
0.9655545	0.7483161	0.8870035	0.1491495	0.9162858	0.9009237	0.0770326	0.6619451	0.8817926	1.0608605	1.0153305	1.0460470	1.0166577	0.7264799	0.8562831	1.1352745	0.1077338	0.8562234	1.0006699	1.0121787	0.0110999	1.0823328	0.8404633	1.1163935	0.9760959	0.3360119	0.0473966	0.1791339	0.7238777	0.9507570	0.9927305	1.0733941	0.3900351	0.4340415	1.1447618	0.4087246	0.5357791	0.7494520	0.3356180	0.5814241	0.0895812	0.9559225	0.1818537	0.7745922	0.0655668	0.8019978	0.1351211	0.8845196	1.0036705	0.6752141
1.0210377	0.8162300	1.0202091	0.2937257	0.5013105	0.9442676	0.0674653	0.6020338	1.1085680	1.0688344	0.9929877	1.0783589	0.9872641	0.6947169	0.9040677	1.0255465	0.1052695	0.7642966	0.8698337	0.9280430	0.0209404	1.1044542	0.9124287	0.9837531	1.1251296	0.3702422	0.0445723	0.2594290	0.7254001	1.0215758	1.0799907	1.0297760	0.3613330	0.4293891	0.9236022	0.3963720	0.4815029	0.6845788	0.2693072	0.5040204	0.1056443	1.0830493	0.1394910	0.7146508	0.0050072	0.7856128	0.1292848	0.8979913	0.9620828	0.7056543
1.0023164	0.8334280	0.9149259	0.2266723	0.8909782	0.4686747	0.0649456	0.7085523	1.0053053	1.0046616	0.9580328	1.0332563	0.9650309	0.8427964	0.9078184	1.1354649	0.1150950	0.8188888	0.9383087	1.0236668	0.0278619	1.1168034	0.8976735	1.0784089	0.9902469	0.5714311	0.0804049	0.2044010	0.9560523	0.9586459	1.0590006	1.0918377	0.3781162	0.6062978	0.8396886	0.3212392	0.5401367	0.6730077	0.3863399	0.5766763	0.0799790	1.0633820	0.1122963	0.7892922	0.0074140	0.8562370	0.1138523	0.8919389	1.0140294	0.7720420
1.0675497	0.7367387	0.9604064	0.3000416	0.9151495	1.0765056	0.0551819	0.7381104	1.0199300	1.0469472	0.9284400	0.9708881	0.9474441	0.8258821	0.8452458	1.1261223	0.0899773	0.8868433	0.9745611	1.0632545	0.0250327	0.9443065	0.8702095	1.0150622	1.0170054	0.3240576	0.0953817	0.1558657	0.7426072	1.0036372	1.0057446	1.0492088	0.4180353	0.3895921	0.9442699	0.3638569	0.5257439	0.8591383	0.3202491	0.5551313	0.0888904	1.0912001	0.1489640	0.8543986	0.0074443	0.8857013	0.1292495	0.7817497	1.0587322	0.7294119
1.0417261	0.8827499	1.0259212	0.2669971	0.9349108	1.0151890	0.1048253	0.3769175	1.0476874	1.1186952	0.9175318	0.9566739	1.0975664	0.6268160	0.8458357	0.9900466	0.1549240	0.7750741	0.9739533	0.9996215	0.0156777	0.9700229	0.8339019	0.8969906	0.9980149	0.3600441	0.0560543	0.1986234	0.7849876	0.9933856	1.0023029	1.0343623	0.3994316	0.4226872	0.9505166	0.3489346	0.5156371	0.8096499	0.2646346	0.5076884	0.1190022	0.9337619	0.1877371	0.8039705	0.0022700	0.8666033	0.1281901	0.8166779	1.0359698	0.6795575
0.9939855	0.8345994	1.0603765	0.2152446	1.0021266	1.0687152	0.0405996	0.8790082	0.5137679	1.1300228	0.9324799	0.9950472	0.9898400	0.1155059	0.8987058	1.0568613	0.1251901	0.8557761	0.9524162	1.0141911	0.0156738	0.9837270	0.8127025	0.9946565	0.9851205	0.3688092	0.0610578	0.1901767	0.7277816	1.0933624	0.9483847	1.1335547	0.3641312	0.3149509	1.0522628	0.4024658	0.5404918	0.7325766	0.3095237	0.5988521	0.1153713	1.0202117	0.1983750	0.7717041	0.0062898	0.8488570	0.2018490	0.8425799	0.9886595	0.6926369
1.0357275	0.8013368	1.0415970	0.2320174	0.9495930	1.0858897	0.0702114	0.7300635	1.0362410	0.4939566	1.0571723	0.9242082	1.0490926	0.8290417	0.8785722	0.9009812	0.0993450	0.7974267	0.9870101	0.9403209	0.0138057	1.1298437	0.7970547	0.9804186	1.0071482	0.2928418	0.0666613	0.1961506	0.6193929	0.9921743	0.9945174	0.9614945	0.2460340	0.3830842	0.9300769	0.3690909	0.5468719	0.7593068	0.3406816	0.6571519	0.1209100	0.8850924	0.2091521	0.7264038	0.0131621	0.7409090	0.1339482	0.9154661	0.9131644	0.6855220
0.9441654	0.8530842	1.0528392	0.2441296	0.9274802	0.9861951	0.0722694	0.6386568	1.0768533	0.9420361	0.4939321	1.0777534	1.0522075	0.8104260	0.8548132	1.0279316	0.0949798	0.5766762	1.1150881	1.0609290	0.0071513	1.0147222	0.6624859	1.0456646	1.0157836	0.3651991	0.1849353	0.2360811	0.7221560	0.8794328	0.9902911	1.0140663	0.4023662	0.4020321	0.9361077	0.3749238	0.5127403	0.8053542	0.3896370	0.5863336	0.0995420	1.0066792	0.1621708	0.7717309	0.0052323	0.9108230	0.1513820	0.7231816	0.9508821	0.7167138
1.0512680	0.7603944	0.9340978	0.3104817	0.9346914	1.0371363	0.0576047	0.6734235	0.9247763	0.9672637	1.0902502	0.5001400	1.0096463	0.7590781	0.9225442	1.0074131	0.1464370	0.8209363	0.9209911	0.9034421	0.0234071	1.0122865	0.8033126	0.9871580	0.9525606	0.4199705	0.0587506	0.2097864	0.6704497	0.8689672	0.8996908	1.0325202	0.3623457	0.3526877	0.9915198	0.3644795	0.5192554	0.7632751	0.3714839	0.5774512	0.0979261	0.9630237	0.1538893	0.7726672	0.0128787	0.8610416	0.1037655	0.8041623	1.0518087	0.6469569
0.9599372	0.8938042	1.0122022	0.2727110	0.9019928	0.9701484	0.0695942	0.6753030	1.1470323	0.9847906	1.0304885	0.9092877	0.4787308	0.7320899	0.9354841	1.0447989	0.1184940	0.6949872	0.9862412	0.9611785	0.0247904	0.9657203	0.9236115	0.9895677	1.0178537	0.3514896	0.0532453	0.3136870	0.7786610	1.0113128	0.9677401	0.9102822	0.3654107	0.3868363	1.0443441	0.3205555	0.4693398	0.7908578	0.2947643	0.6021999	0.1267042	0.9335707	0.1238408	0.7932611	0.0044595	0.7656177	0.1624591	0.8674401	1.0130486	0.6611298
