YCR065W	YLR228C	YGL209W	YGL035C	YMR280C	YKL109W	YKL043W	YGR288W	YCL067C	YKL032C	YPL248C	YDR421W	YPL177C	YGR044C	YCR040W	YMR042W	YBR112C	YCL066W	YJL089W	YML099C	YMR019W	YER045C	YOR140W	YDL170W	YOL067C	YCR039C	YDR006C	YIR019C	YIL175W	YNR081W	YDR143C	YFR006W	YDR210WD	YPR020W	YPR187W	YOR303W	YMR250W	YGL230C	YHL049C	YLR037C	YKR102W	YIL166C	YAL064CA	YDR356W	YJR159W	YEL058W	YGL089C	YCR105W	YGR102C	YGL210W
0.0000000	0.0221815	0.0703631	0.9908064	0.1665511	0.9414410	0.0614747	0.0022082	1.0018283	1.0408810	0.4269937	1.0325116	1.0005400	0.8149569	0.8796281	1.0261648	0.0961583	0.5526804	0.1856770	1.1198374	0.0212171	1.0444550	0.7780776	0.9786256	1.0547284	0.4148221	0.1899725	0.2135240	0.7731358	0.9493857	0.0318010	0.9724121	0.3824500	0.4187595	0.9344322	0.3407644	0.0837314	0.1133758	1.0013608	1.0218990	0.1144722	0.9707409	0.1307627	0.0809909	0.0006473	0.0859233	0.1406533	0.7436168	0.9425559	0.0622336
1.0245366	0.0000000	1.0125426	0.3180828	0.8426341	0.9723319	0.0793600	0.7780286	1.0193722	0.9512005	0.9903085	1.0087391	0.9433443	0.5712624	0.9292253	1.0368961	0.1164549	0.8551847	0.9716122	1.0098775	0.0101868	0.9153547	0.8781594	1.0364380	0.9839044	0.4873821	0.0675138	0.1887017	0.6982986	1.0186506	0.9284989	1.0340784	0.3264259	0.4490201	0.9965846	0.3212163	0.4780894	0.7376840	0.3114632	0.6898005	0.0854356	1.0284283	0.1599365	0.8935137	0.0058893	0.7597507	0.1332360	0.7457486	1.0316467	0.7612196
1.0101812	0.8480319	0.0000000	1.0106175	0.1371399	0.9461702	0.0886949	0.7260846	0.8845815	1.0981452	0.3825856	1.0794414	0.9908949	0.6352440	0.8429606	1.0289643	0.1270614	0.5743905	0.1336983	0.9772633	0.0220590	0.9924937	0.6923574	1.0110818	0.9448884	0.3887149	0.2775411	0.2359185	0.7725812	0.9349320	0.9099940	1.1219394	0.4338834	0.4134469	0.9508626	0.3984476	0.5018377	0.1084553	0.4047568	0.5831378	0.0827821	1.0741516	0.1726618	0.8940695	0.0037124	0.7637700	0.1275353	0.6707496	1.0325338	0.7295605
1.0680796	0.8041994	1.0526114	0.0000000	0.8986634	1.0573944	0.0651240	0.7640708	0.9933519	1.0041171	0.9477853	0.9811506	1.1011444	0.6661174	0.8523448	0.9300278	0.1115597	0.6604512	0.9761023	0.9751467	0.0252928	0.9977962	0.8013731	1.0478691	0.9506325	0.4099318	0.0591052	0.1711878	0.7208802	0.9644363	0.9397366	0.9512188	0.3561285	0.3298545	0.9651289	0.3087282	0.6947619	0.8700165	0.2638938	0.5694363	0.1062590	0.9619816	0.1739812	0.7364534	0.3528601	0.8286049	0.1707040	0.9055752	1.0067135	0.6929482
1.1775836	0.7627879	0.9252323	0.3318991	0.0000000	1.0096351	0.0483319	0.7421872	1.0400471	1.1090293	0.9674721	1.1026109	0.9837662	0.7259194	0.8774423	0.9936444	0.0692883	0.6541674	0.0665533	1.0257316	0.0145420	0.9661946	0.8956723	1.1047275	1.0245644	0.3496425	0.0519515	0.2338436	0.6974205	1.0240804	1.0348184	1.0339295	0.3590789	0.4480451	1.0772807	0.3784836	0.5152788	0.0625172	0.2605645	0.6630388	0.1002066	1.0777101	0.1374658	0.7523080	0.0079309	0.8843408	0.1422982	0.8398738	1.0400169	0.7589728
1.0061463	0.7966786	1.0033595	0.2745637	0.9311042	0.0000000	0.0646082	0.7635796	0.0246273	0.9108238	1.0070894	1.0501800	1.0037371	0.0120479	0.8988956	1.0605429	0.0911485	1.0051122	0.9407861	0.8779977	0.0161016	0.9527836	0.7737257	1.0653884	1.0090898	0.9969268	0.0686797	0.1949286	1.0197085	1.1534983	1.0217558	0.9735036	0.4468374	0.9546425	0.0300374	0.4150640	0.5566767	0.7926405	1.0424737	0.5771637	0.1072199	1.0524704	0.1506065	0.7834472	0.0046633	0.7612612	0.9512621	0.8451648	0.9830071	0.7041756
0.9006596	0.7405372	0.9445259	0.3039845	0.9706013	1.0306899	0.0000000	0.5843847	0.9375250	0.9993554	1.1382637	0.9667513	1.1105197	0.6850332	0.9459030	0.8807970	0.1509974	0.7603618	0.9947688	1.0094585	0.0151241	0.9723258	0.8605954	1.0443227	1.0184304	0.4139774	0.0690460	0.0538574	0.6850124	1.1322246	1.0371540	0.9875892	0.3537090	0.4199997	1.0013100	0.3364795	0.4995816	0.7029208	0.4417181	0.5250397	0.1033112	0.9775363	0.1657881	0.8095466	0.0022660	0.7430484	0.1241230	0.8006362	0.9583576	0.6757413
1.0897604	0.7640470	1.0374376	0.2940802	0.9059381	0.9014245	0.0555415	0.0000000	1.0074799	1.0691910	1.0665232	1.0144406	0.9863447	0.6931169	0.9423364	0.9836805	0.0693260	0.6869198	1.0517114	1.1471203	0.0088261	1.0428993	0.8309066	0.9753396	1.0037348	0.3693689	0.0749953	0.3016588	0.6457870	1.0581175	1.0144724	0.9008101	0.2998604	0.3935505	0.9151725	0.4049619	0.5546254	0.7753345	0.3247457	0.6082245	0.0788992	1.0754643	0.1640288	0.8934476	0.0029241	0.8041081	0.1351738	0.8267289	0.9769283	0.7295494
1.0104708	0.8254372	0.9975061	0.3019726	0.9646744	1.1545892	0.0872573	0.6995217	0.0000000	1.0811067	0.9946808	0.9863010	1.0222829	0.0163773	0.8545764	0.9742650	0.1342747	0.9927061	1.0216806	0.9663602	0.0190430	0.9552901	0.7380053	1.0145721	1.0261204	0.3488750	0.0391151	0.1390917	0.7599945	0.9415050	1.0767268	1.0412775	0.4255409	0.3607685	0.9691576	0.3180133	0.5138238	0.7684113	0.3427452	0.6736125	0.1345319	1.0796542	0.1852165	0.8239798	0.0240388	0.8699999	0.9794553	0.8000941	1.0190632	0.7442034
0.0649725	0.0054125	0.0813756	0.8722254	0.1877341	0.6457810	1.0001197	0.0057237	1.0714360	0.0000000	0.5387239	0.9524876	0.8449008	0.6579329	1.0177748	0.9483742	0.8890307	0.6665367	0.1396072	1.1351973	0.9817520	0.4331652	0.7504393	0.9864316	0.9289237	0.5573087	0.1842013	0.2299805	0.3395432	0.8819407	0.5367956	1.0109530	0.3335585	0.7181953	0.8440713	0.3816997	0.1155842	0.1275991	1.1015488	0.9625237	0.1265756	0.6249713	0.1467418	0.2750084	0.0018001	0.0939391	0.1340405	0.7077653	1.0294785	0.1173129
1.0624512	0.9411762	1.0256847	0.2290517	0.9408163	0.8982055	0.0801476	0.6647292	0.0239924	0.9469185	0.0000000	0.9364780	1.0142038	0.0134408	0.9317093	1.0652737	0.0854482	0.4024375	0.9687598	1.0347886	0.0222219	1.0916461	0.1112843	1.0147227	0.9490742	0.4568277	0.9801270	0.1558319	0.7229858	0.0314476	0.9589113	1.1398488	0.3344546	0.4865639	0.8968102	0.3442025	0.6149469	0.7692823	0.2647292	0.5284841	0.0757058	0.9744957	0.1592017	0.7833763	0.0066811	0.8456074	0.9681117	0.0816290	0.0435598	0.7715294
