YCR065W	YLR228C	YGL209W	YGL035C	YMR280C	YKL109W	YKL043W	YGR288W	YCL067C	YKL032C	YPL248C	YDR421W	YPL177C	YGR044C	YCR040W	YMR042W	YBR112C	YCL066W	YJL089W	YML099C	YMR019W	YER045C	YOR140W	YDL170W	YOL067C	YCR039C	YDR006C	YIR019C	YIL175W	YNR081W	YDR143C	YFR006W	YDR210WD	YPR020W	YPR187W	YOR303W	YMR250W	YGL230C	YHL049C	YLR037C	YKR102W	YIL166C	YAL064CA	YDR356W	YJR159W	YEL058W	YGL089C	YCR105W	YGR102C	YGL210W
0.4979018	0.2061991	0.9202918	0.2752040	0.8974195	0.9996886	0.0704952	0.3203531	0.9989120	1.0000000	0.9704631	1.0000000	0.9998322	0.6964139	0.8952466	1.0000000	0.1059129	0.7808305	0.9758527	1.0000000	0.0127447	0.9992654	0.8373686	1.0000000	1.0000000	0.3734901	0.0543200	0.1952859	0.7202810	0.9901595	0.9999899	0.9956439	0.3464740	0.3815175	0.9579177	0.3387659	0.3737427	0.7816163	0.9521613	0.8962139	0.0983540	1.0000000	0.1622912	0.6310193	0.0038215	0.3616334	0.1270505	0.8431307	0.9878161	0.4861113
0.9958035	0.3875732	0.9971678	0.2551494	0.9156359	0.9997917	0.0704952	0.6706378	0.9989280	1.0000000	0.9769800	1.0000000	0.9998322	0.6964270	0.8952444	1.0000000	0.1059129	0.7815472	0.9773059	1.0000000	0.0127447	0.9992654	0.8382291	1.0000000	1.0000000	0.3734743	0.0539042	0.1952859	0.7202558	0.9903790	0.9999996	0.9956439	0.3464740	0.3814761	0.9579224	0.3387659	0.5507581	0.7821282	0.3247215	0.5847894	0.0983540	1.0000000	0.1622912	0.7694958	0.0048568	0.8205542	0.1270348	0.8440946	0.9879723	0.7008148
0.9958035	0.7750718	0.4985839	0.4751160	0.6688697	0.9977981	0.0704952	0.6706378	0.9985513	1.0000000	0.8555171	1.0000000	0.9998322	0.6961009	0.8952890	1.0000000	0.1059129	0.7643440	0.9403932	1.0000000	0.0127447	0.9992654	0.8184278	1.0000000	1.0000000	0.3737830	0.0642419	0.1952859	0.7207508	0.9847489	0.9999996	0.9956439	0.3464740	0.3822834	0.9578306	0.3387659	0.5507581	0.7676632	0.3247426	0.5847894	0.0983540	1.0000000	0.1622912	0.7694958	0.0006633	0.8205542	0.1274408	0.8236594	0.9843706	0.7008148
0.9958035	0.7750718	0.9971678	0.1275747	0.9187207	0.9999554	0.0704952	0.6706378	0.9989633	1.0000000	0.9916009	1.0000000	0.9998322	0.6964572	0.8952407	1.0000000	0.1059129	0.7831248	0.9775434	1.0000000	0.0127447	0.9992654	0.8401258	1.0000000	1.0000000	0.3734490	0.0529964	0.1952859	0.7202152	0.9908617	0.9999996	0.9956439	0.3464740	0.3814100	0.9579299	0.3387659	0.5507581	0.7822181	0.3247197	0.5847894	0.0983540	1.0000000	0.1622912	0.7694958	0.0406854	0.8205542	0.1269992	0.8462556	0.9883195	0.7008148
0.9958035	0.7750718	0.9971678	0.2551494	0.4578180	0.9997917	0.0704952	0.6706378	0.9989280	1.0000000	0.9769800	1.0000000	0.9998322	0.6964270	0.8952444	1.0000000	0.1059129	0.7815473	0.8247120	1.0000000	0.0127447	0.9992654	0.8382291	1.0000000	1.0000000	0.3734743	0.0539042	0.1952859	0.7202558	0.9903790	0.9999996	0.9956439	0.3464740	0.3814761	0.9579224	0.3387659	0.5507581	0.7115538	0.3247215	0.5847894	0.0983540	1.0000000	0.1622912	0.7694958	0.0048568	0.8205542	0.1270348	0.8440946	0.9879723	0.7008148
0.9958035	0.7750718	0.9971678	0.2551494	0.9156359	0.4998974	0.0704952	0.6706378	0.9958850	1.0000000	0.9769800	1.0000000	0.9998322	0.6937655	0.9203141	1.0000000	0.1059129	0.7925474	0.9773060	1.0000000	0.0127447	0.9992654	0.8377905	1.0000000	1.0000000	0.5563954	0.0539042	0.1952859	0.8747285	0.9903790	0.9999996	0.9956439	0.3464740	0.6697418	0.9117239	0.3387659	0.5507581	0.7821297	0.3452445	0.5847894	0.0983540	1.0000000	0.1622912	0.7694958	0.0048568	0.8205542	0.1259764	0.8440946	0.9879723	0.7008148
0.9996853	0.7776534	0.9972214	0.2551366	0.9156471	0.9999700	0.0352476	0.6724482	0.9989284	1.0000000	0.9769838	1.0000000	0.9999686	0.6964273	0.8952404	1.0000000	0.1057658	0.7815466	0.9773067	1.0000000	0.0127121	0.9998951	0.8382296	1.0000000	1.0000000	0.3734467	0.0539040	0.1431151	0.7205547	0.9903791	0.9999997	0.9956466	0.3464740	0.3814041	0.9579306	0.3387659	0.5517982	0.7821299	0.3205008	0.5825964	0.0955706	1.0000000	0.1515900	0.7701684	0.0048573	0.8223557	0.1270349	0.8440951	0.9879724	0.7018992
0.9958035	0.7750718	0.9971678	0.2551494	0.9156359	0.9997917	0.0704952	0.3353855	0.9989280	1.0000000	0.9769800	1.0000000	0.9998322	0.6964270	0.8952444	1.0000000	0.1059129	0.7815472	0.9773059	1.0000000	0.0127447	0.9992654	0.8382291	1.0000000	1.0000000	0.3734743	0.0539042	0.1952859	0.7202558	0.9903790	0.9999996	0.9956439	0.3464740	0.3814761	0.9579224	0.3387659	0.5507581	0.7821282	0.3247215	0.5847894	0.0983540	1.0000000	0.1622912	0.7694958	0.0048568	0.8205542	0.1270348	0.8440946	0.9879723	0.7008148
0.9958035	0.7750718	0.9971678	0.2551494	0.9156359	0.9997917	0.0704952	0.6706378	0.4994641	1.0000000	0.9769800	1.0000000	0.9998322	0.1198579	0.8952444	1.0000000	0.1059129	0.8501603	0.9773060	1.0000000	0.0127447	0.9992654	0.7389804	1.0000000	1.0000000	0.3734743	0.0539042	0.1952859	0.7202558	0.9903790	0.9999996	0.9956439	0.3464740	0.3814761	0.9579224	0.3387659	0.5507581	0.7821299	0.3247215	0.5847894	0.0983540	1.0000000	0.1622912	0.7694958	0.0048568	0.8205542	0.1615533	0.8440946	0.9879723	0.7008148
0.9903744	0.7715360	0.9970933	0.2551658	0.9156221	0.9996142	0.0881982	0.6681818	0.9989276	0.5000010	0.9769756	1.0000000	0.9996459	0.6964267	0.8952482	1.0000000	0.1061132	0.7815479	0.9773051	1.0000000	0.0128096	0.9986242	0.8382287	1.0000000	1.0000000	0.3735014	0.0539044	0.2052916	0.7198133	0.9903789	0.9999996	0.9956404	0.3464740	0.3815469	0.9579145	0.3387659	0.5493415	0.7821296	0.3305702	0.5877731	0.0996471	1.0000000	0.1665196	0.7685808	0.0048562	0.8180995	0.1270346	0.8440941	0.9879723	0.6993389
0.9958035	0.7750718	0.9971678	0.2551494	0.9156359	0.9997917	0.0704952	0.6706378	0.9949296	1.0000000	0.4884910	1.0000000	0.9998322	0.6929051	0.8952444	1.0000000	0.1059129	0.6015988	0.9773060	1.0000000	0.0127447	0.9992654	0.6769545	1.0000000	1.0000000	0.3734743	0.1980446	0.1952859	0.7202558	0.8995358	0.9999996	0.9956439	0.3464740	0.3814761	0.9579224	0.3387659	0.5507581	0.7821299	0.3247215	0.5847894	0.0983540	1.0000000	0.1622912	0.7694958	0.0048568	0.8205542	0.1334288	0.7152881	0.9534255	0.7008148
