YCR065W	YLR228C	YGL209W	YGL035C	YMR280C	YKL109W	YKL043W	YGR288W	YCL067C	YKL032C	YPL248C	YDR421W	YPL177C	YGR044C	YCR040W	YMR042W	YBR112C	YCL066W	YJL089W	YML099C	YMR019W	YER045C	YOR140W	YDL170W	YOL067C	YCR039C	YDR006C	YIR019C	YIL175W	YNR081W	YDR143C	YFR006W	YDR210WD	YPR020W	YPR187W	YOR303W	YMR250W	YGL230C	YHL049C	YLR037C	YKR102W	YIL166C	YAL064CA	YDR356W	YJR159W	YEL058W	YGL089C	YCR105W	YGR102C	YGL210W
0.0000000	0.0228656	0.0918615	0.9316351	0.1392298	0.9932538	0.0704952	0.0029718	0.9947217	1.0000000	0.4825917	1.0000000	0.9998322	0.6927064	0.8953918	1.0000000	0.1059129	0.5964516	0.1331040	1.0000000	0.0127447	0.9992654	0.6731501	1.0000000	1.0000000	0.3744934	0.2036407	0.1952859	0.7218849	0.8955053	0.0273452	0.9956439	0.3464740	0.3841335	0.9576195	0.3387659	0.0880485	0.0869118	1.0000000	1.0000000	0.0983540	1.0000000	0.1622912	0.0887313	0.0000761	0.0804699	0.1337200	0.7125425	0.9523184	0.0632663
0.9958035	0.0000007	0.9971678	0.2551494	0.9156359	0.9997917	0.0704952	0.6706378	0.9989280	1.0000000	0.9769800	1.0000000	0.9998322	0.6964270	0.8952444	1.0000000	0.1059129	0.7815473	0.9773060	1.0000000	0.0127447	0.9992654	0.8382291	1.0000000	1.0000000	0.3734743	0.0539042	0.1952859	0.7202558	0.9903790	0.9999996	0.9956439	0.3464740	0.3814761	0.9579224	0.3387659	0.5507581	0.7821298	0.3247215	0.5847894	0.0983540	1.0000000	0.1622912	0.7694958	0.0048568	0.8205542	0.1270348	0.8440946	0.9879723	0.7008148
0.9958035	0.7750718	0.0000000	1.0000000	0.1041724	0.9927156	0.0704952	0.6706378	0.9936736	1.0000000	0.4452292	1.0000000	0.9998322	0.6917730	0.8954041	1.0000000	0.1059129	0.5598510	0.0839845	1.0000000	0.0127447	0.9992654	0.6483488	1.0000000	1.0000000	0.3745781	0.2442500	0.1952859	0.7220195	0.8659285	0.9999996	0.9956439	0.3464740	0.3843533	0.9575944	0.3387659	0.5507581	0.0654976	0.3247971	0.5847894	0.0983540	1.0000000	0.1622912	0.7694958	0.0000607	0.8205542	0.1359618	0.6941292	0.9444372	0.7008148
0.9958035	0.7750718	0.9971678	0.0000000	0.9188236	1.0000000	0.0704952	0.6706378	0.9989828	1.0000000	0.9999977	1.0000000	0.9998322	0.6964741	0.8952397	1.0000000	0.1059129	0.7839961	0.9775514	1.0000000	0.0127447	0.9992654	0.8411786	1.0000000	1.0000000	0.3734421	0.0524984	0.1952859	0.7202041	0.9911264	0.9999996	0.9956439	0.3464740	0.3813919	0.9579320	0.3387659	0.5507581	0.7822218	0.3247193	0.5847894	0.0983540	1.0000000	0.1622912	0.7694958	0.3551322	0.8205542	0.1269794	0.8474753	0.9885130	0.7008148
0.9958035	0.7750718	0.9971678	0.2551494	0.0000000	0.9997917	0.0704952	0.6706378	0.9989280	1.0000000	0.9769800	1.0000000	0.9998322	0.6964270	0.8952444	1.0000000	0.1059129	0.7815473	0.0489063	1.0000000	0.0127447	0.9992654	0.8382291	1.0000000	1.0000000	0.3734743	0.0539042	0.1952859	0.7202558	0.9903790	0.9999996	0.9956439	0.3464740	0.3814761	0.9579224	0.3387659	0.5507581	0.0569793	0.3247215	0.5847894	0.0983540	1.0000000	0.1622912	0.7694958	0.0048568	0.8205542	0.1270348	0.8440946	0.9879723	0.7008148
0.9958035	0.7750718	0.9971678	0.2551494	0.9156359	0.0000000	0.0704952	0.6706378	0.0168421	1.0000000	0.9769800	1.0000000	0.9998322	0.0095185	1.0000000	1.0000000	0.1059129	0.9977067	0.9773060	1.0000000	0.0127447	0.9992654	0.7323424	1.0000000	1.0000000	0.9994214	0.0539042	0.1952859	0.9995623	0.9903790	0.9999996	0.9956439	0.3464740	1.0000000	0.0249343	0.3387659	0.5507581	0.7821299	1.0000000	0.5847894	0.0983540	1.0000000	0.1622912	0.7694958	0.0048568	0.8205542	0.9963734	0.8440946	0.9879723	0.7008148
1.0000000	0.7778661	0.9972258	0.2551354	0.9156481	1.0000000	0.0000000	0.6725983	0.9989284	1.0000000	0.9769842	1.0000000	0.9999805	0.6964274	0.8952397	1.0000000	0.1057530	0.7815465	0.9773069	1.0000000	0.0127108	1.0000000	0.8382297	1.0000000	1.0000000	0.3734421	0.0539039	0.0477359	0.7205746	0.9903791	0.9999997	0.9956468	0.3464740	0.3813919	0.9579320	0.3387659	0.5518839	0.7821301	0.3201566	0.5824154	0.0925902	1.0000000	0.1461150	0.7702239	0.0048573	0.8225050	0.1270349	0.8440952	0.9879724	0.7019887
0.9958035	0.7750718	0.9971678	0.2551494	0.9156359	0.9997917	0.0704952	0.0000019	0.9989280	1.0000000	0.9769800	1.0000000	0.9998322	0.6964270	0.8952444	1.0000000	0.1059129	0.7815473	0.9773060	1.0000000	0.0127447	0.9992654	0.8382291	1.0000000	1.0000000	0.3734743	0.0539042	0.1952859	0.7202558	0.9903790	0.9999996	0.9956439	0.3464740	0.3814761	0.9579224	0.3387659	0.5507581	0.7821298	0.3247215	0.5847894	0.0983540	1.0000000	0.1622912	0.7694958	0.0048568	0.8205542	0.1270348	0.8440946	0.9879723	0.7008148
0.9958035	0.7750718	0.9971678	0.2551494	0.9156359	0.9997917	0.0704952	0.6706378	0.0000001	1.0000000	0.9769800	1.0000000	0.9998322	0.0095181	0.8952444	1.0000000	0.1059129	0.9615725	0.9773060	1.0000000	0.0127447	0.9992654	0.7323424	1.0000000	1.0000000	0.3734743	0.0539042	0.1952859	0.7202558	0.9903790	0.9999996	0.9956439	0.3464740	0.3814761	0.9579224	0.3387659	0.5507581	0.7821299	0.3247215	0.5847894	0.0983540	1.0000000	0.1622912	0.7694958	0.0048568	0.8205542	1.0000000	0.8440946	0.9879723	0.7008148
0.0497084	0.0228968	0.0919682	0.9315133	0.1393031	0.5180034	1.0000000	0.0064943	0.9815284	0.0000000	0.4826680	1.0000000	0.8661028	0.6807706	0.9185571	1.0000000	0.7658090	0.6543554	0.1332337	1.0000000	0.9192299	0.4515035	0.6690981	1.0000000	1.0000000	0.5434113	0.2035676	0.2496256	0.3055257	0.8955571	0.5935857	0.9917322	0.3464740	0.6560981	0.9149065	0.3387659	0.1149848	0.0869780	0.9999999	0.9998420	0.1261742	0.5864731	0.1461150	0.2037295	0.0000773	0.0807086	0.1301476	0.7125780	0.9523328	0.0947608
0.9958035	0.7750718	0.9971678	0.2551494	0.9156359	0.9997917	0.0704952	0.6706378	0.0168421	1.0000000	0.0000000	1.0000000	0.9998322	0.0095185	0.8952444	1.0000000	0.1059129	0.3526539	0.9773060	1.0000000	0.0127447	0.9992654	0.1014754	1.0000000	1.0000000	0.3734743	1.0000000	0.1952859	0.7202558	0.0435952	0.9999996	0.9956439	0.3464740	0.3814761	0.9579224	0.3387659	0.5507581	0.7821299	0.3247215	0.5847894	0.0983540	1.0000000	0.1622912	0.7694958	0.0048568	0.8205542	0.9997843	0.0712610	0.0599125	0.7008148
0.9958035	0.7750718	0.9971678	0.2551494	0.9156359	0.9997917	0.0704952	0.6706378	0.0168420	1.0000000	0.9769800	0.0000000	0.9998322	0.0095189	0.8952444	1.0000000	0.1059129	0.9615735	0.9773060	1.0000000	0.0127447	0.9992654	0.7323425	1.0000000	1.0000000	0.3734743	0.0539042	0.1952859	0.7202558	0.9903790	0.9999996	0.9956439	0.3464740	0.3814761	0.9579224	0.3387659	0.5507581	0.7821299	0.3247215	0.5847894	0.0983540	1.0000000	0.1622912	0.7694958	0.0048568	0.8205542	0.9979464	0.8440946	0.9879723	0.7008148
0.9958035	0.7750718	0.9971678	0.2551494	0.9156359	0.9997917	0.0704952	0.6706378	0.9989280	1.0000000	0.9769800	1.0000000	0.0000000	0.6964270	0.8952444	1.0000000	0.1059129	0.7815473	0.9773060	1.0000000	0.0127447	0.9992654	0.8382291	1.0000000	1.0000000	0.3734743	0.0539042	0.8367142	0.7202558	0.9903790	0.9999996	0.0222858	0.3464740	0.3814761	0.9579224	0.3387659	0.5507581	0.7821299	0.3247215	0.5847894	0.0983540	1.0000000	0.1622912	0.7694958	0.2061148	0.8205542	0.1270348	0.8440946	0.9879723	0.7008148
0.9958035	0.7750718	0.9971678	0.2551494	0.9156359	0.9997917	0.0704952	0.6706378	0.9989280	1.0000000	0.9769800	1.0000000	0.9998322	0.0000005	0.8952444	1.0000000	0.1059129	0.7815473	0.9773060	1.0000000	0.0127447	0.9992654	0.7322776	1.0000000	1.0000000	0.3734743	0.0539042	0.1952859	0.7202558	0.9903790	0.9999996	0.9956439	0.3464740	0.3814761	0.9579224	0.3387659	0.5507581	0.7821298	0.3247215	0.5847894	0.0983540	1.0000000	0.1622912	0.7694958	0.0048568	0.8205542	0.1270348	0.8440946	0.9879723	0.7008148
