YCR065W	YLR228C	YGL209W	YGL035C	YMR280C	YKL109W	YKL043W	YGR288W	YCL067C	YKL032C	YPL248C	YDR421W	YPL177C	YGR044C	YCR040W	YMR042W	YBR112C	YCL066W	YJL089W	YML099C	YMR019W	YER045C	YOR140W	YDL170W	YOL067C	YCR039C	YDR006C	YIR019C	YIL175W	YNR081W	YDR143C	YFR006W	YDR210WD	YPR020W	YPR187W	YOR303W	YMR250W	YGL230C	YHL049C	YLR037C	YKR102W	YIL166C	YAL064CA	YDR356W	YJR159W	YEL058W	YGL089C	YCR105W	YGR102C	YGL210W
0.7559304	0.5238158	0.9918471	0.2564379	0.9905810	0.9943696	0.0014163	0.5463208	0.9801911	1.0000000	0.6235099	1.0000000	0.9999762	0.6700261	0.8846548	0.9652098	0.1878744	0.6947380	0.9837480	1.0000000	0.2418756	1.0000000	0.6407191	0.9619093	0.6086231	0.7976093	0.1148217	0.0002676	0.7219769	0.9548363	0.9726535	0.9733612	0.0351382	0.3337755	0.9619880	0.5324231	0.3893681	0.7312286	0.4663870	0.7358836	0.0142400	0.6515390	0.6762739	0.6298164	0.0310058	0.7005788	0.1305295	0.7688254	0.9109972	0.6431324
0.9032624	0.8255798	0.9955594	0.2555375	0.7422573	1.0000000	0.0020596	0.6434363	0.9978781	0.9081048	0.7832494	0.9221547	0.9999849	0.6859864	0.5419120	1.0000000	0.0000002	0.7277802	0.9580178	1.0000000	0.1628115	0.8608300	0.6988562	1.0000000	0.9204534	0.1530379	0.0279003	0.0005784	0.4978174	0.9833376	0.9999995	0.9733614	0.2508258	0.2723105	0.9713676	0.7324634	0.5732676	0.8194179	0.3773372	0.5678677	0.3824505	0.9613660	0.4099074	0.6634479	0.3453582	0.7822311	0.1976115	0.6936436	0.9214743	0.6096500
0.9980286	0.8580815	0.9053373	0.2795090	0.8971941	0.6109152	0.0012491	0.6740256	0.9746471	1.0000000	0.9689130	0.7521581	0.9999928	0.6648761	0.8851289	1.0000000	0.0134700	0.7896164	0.9269095	1.0000000	0.6512117	0.9888289	0.9466601	0.9021220	1.0000000	0.3801660	0.0544306	0.0002066	0.8365863	0.9465040	0.9797274	0.9733615	0.6208931	0.4986382	0.9311285	0.4209933	0.5631793	0.7215247	0.2555261	0.3289219	0.5852202	0.8498074	0.0000279	0.8369444	0.1654647	0.8460205	0.0070257	0.8471663	0.9278615	0.7223536
0.9224242	0.6971184	0.9626480	0.1555158	0.9810542	0.8595755	0.0718325	0.6309848	0.9809126	0.8418627	0.8008654	1.0000000	0.9998565	0.7063754	0.4058315	1.0000000	0.0001718	0.6740824	0.9856629	0.7522767	0.4061763	0.9992256	0.7073487	0.7293016	1.0000000	0.0798506	0.0359518	0.1485203	0.7341850	0.9372015	0.9726543	0.9964423	0.3243658	0.3921860	0.9254632	0.5366590	0.5408114	0.8971549	0.4164293	0.6281095	0.0816547	0.9056448	0.2278772	0.7633036	0.1923156	0.7017201	0.2018379	0.8380035	0.9222735	0.6942324
0.9956880	0.8189481	0.9980731	0.1796956	0.8943083	0.9999021	0.0710145	0.8215160	0.9963298	0.9228931	0.9860354	0.6522126	0.8965705	0.7319944	0.8435710	1.0000000	0.0676483	0.6807722	0.9774244	0.9108232	0.0413140	0.9992501	0.7440467	0.9205938	1.0000000	0.3557889	0.0533379	0.1628542	0.3371539	0.9910750	0.9999998	0.9941252	0.7345898	0.3814316	0.9447945	0.2639531	0.6738516	0.8437184	0.3248423	0.5848518	0.0087782	0.7528582	0.0162236	0.6807461	0.0091915	0.7400360	0.0673740	0.8486701	0.9824684	0.6375181
0.7568549	0.6587378	0.9843742	0.2582704	0.9394569	0.9999965	0.0160845	0.7716491	0.9988131	0.5245265	0.8916954	1.0000000	0.7526839	0.6868093	0.8952398	1.0000000	0.3356771	0.6458245	0.9301573	0.8554416	0.0000000	0.6546182	0.9616787	1.0000000	1.0000000	0.4726033	0.0237070	0.3952144	0.7205740	0.9919798	0.9999988	0.9623034	0.3243270	0.3813933	0.9329998	0.5603602	0.4184701	0.8085566	0.6685392	0.7352575	0.0013616	0.8034663	0.2143725	0.6300594	0.1510652	0.5791629	0.0864921	0.8302228	0.9256773	0.5562845
1.0000000	0.7550012	0.9520343	0.2061788	0.9994615	0.9225585	0.0012515	0.8653742	0.9819177	1.0000000	0.9814176	1.0000000	0.7862952	0.6716123	0.7336960	0.1176882	0.0000006	0.7068082	0.9877882	1.0000000	0.3370350	1.0000000	0.7333283	0.8663740	1.0000000	0.2611168	0.0536212	0.0881904	0.5676542	0.9469375	0.9999997	0.9650283	0.3242826	0.2854420	0.9697926	0.0119257	0.5376283	0.7327609	0.3211094	0.5824149	0.2468095	0.7560644	0.0013125	0.8008364	0.0079198	0.8577113	0.1436999	0.5897925	0.9281680	0.6586695
0.8398487	0.6614851	0.9015927	0.2806043	0.8170307	1.0000000	0.0014951	0.5838780	0.9820656	1.0000000	0.9685182	1.0000000	0.8286860	0.6717476	0.4751526	0.9986226	0.0000002	0.6425570	0.9187290	1.0000000	0.3562317	1.0000000	0.8851829	1.0000000	0.9657477	0.5700616	0.0159099	0.0053481	0.7205746	0.9901093	0.9999995	0.9908296	0.7876745	0.3813919	0.9661687	0.2509959	0.4171802	0.7966678	0.5363371	0.5771717	0.0104604	0.9851760	0.0000371	0.6500062	0.4324726	0.6475061	0.2904600	0.8428169	0.9942678	0.7178673
0.9141232	0.8465668	0.9961545	0.1879058	0.9437272	0.9998934	0.0704952	0.6665481	0.9812532	1.0000000	0.7560005	1.0000000	0.9999114	0.6710095	0.6834285	1.0000000	0.0772530	0.7438809	0.9304515	0.9906137	0.0000339	0.5702365	0.8124180	1.0000000	1.0000000	0.4209559	0.0786253	0.1475437	0.7202306	0.9740871	0.9999997	0.9733600	0.3243270	0.2957954	0.9329951	0.4654427	0.4397960	0.8242935	0.4260829	0.5425724	0.2569923	1.0000000	0.0161762	0.8176156	0.0120906	0.8080245	0.1489397	0.8027636	0.9853091	0.7773736
0.9958035	0.7522062	0.9974018	0.1608600	0.7965479	0.9999249	0.0704952	0.6676660	0.9821135	1.0000000	0.9881227	1.0000000	0.9998707	0.6717918	0.7872007	1.0000000	0.0001605	0.7156932	0.9160803	1.0000000	0.0552807	0.9992654	0.9011418	0.7406190	0.9119533	0.7071100	0.0532053	0.2018323	0.7043153	0.9933839	0.9726545	0.9959450	0.2428634	0.2960493	0.9329965	0.3686868	0.6031242	0.7316047	0.3247201	0.4645278	0.4787353	0.8934883	0.1310109	0.6807646	0.2416025	0.8685457	0.0171634	0.8649229	0.9910610	0.6375485
