YCR065W	YLR228C	YGL209W	YGL035C	YMR280C	YKL109W	YKL043W	YGR288W	YCL067C	YKL032C	YPL248C	YDR421W	YPL177C	YGR044C	YCR040W	YMR042W	YBR112C	YCL066W	YJL089W	YML099C	YMR019W	YER045C	YOR140W	YDL170W	YOL067C	YCR039C	YDR006C	YIR019C	YIL175W	YNR081W	YDR143C	YFR006W	YDR210WD	YPR020W	YPR187W	YOR303W	YMR250W	YGL230C	YHL049C	YLR037C	YKR102W	YIL166C	YAL064CA	YDR356W	YJR159W	YEL058W	YGL089C	YCR105W	YGR102C	YGL210W
0.4979032	0.2062057	0.9203155	0.2751872	0.8974740	0.9996890	0.0704952	0.3203600	0.9989124	1.0000000	0.9705308	1.0000000	0.9998322	0.6964146	0.8952466	1.0000000	0.1059129	0.7808565	0.9759077	1.0000000	0.0127447	0.9992654	0.8373789	1.0000000	1.0000000	0.3734900	0.0543094	0.1952859	0.7202804	0.9901651	0.9999899	0.9956439	0.3464740	0.3815169	0.9579178	0.3387659	0.3737543	0.7816496	0.9521416	0.8961902	0.0983540	1.0000000	0.1622912	0.6310207	0.0038272	0.3616406	0.1270502	0.8431575	0.9878217	0.4861261
0.9958035	0.3876134	0.9971678	0.2551494	0.9156359	0.9997917	0.0704952	0.6706378	0.9989280	1.0000000	0.9769799	1.0000000	0.9998322	0.6964270	0.8952444	1.0000000	0.1059129	0.7815471	0.9773050	1.0000000	0.0127447	0.9992654	0.8382291	1.0000000	1.0000000	0.3734743	0.0539042	0.1952859	0.7202558	0.9903789	0.9999996	0.9956439	0.3464740	0.3814762	0.9579224	0.3387659	0.5507580	0.7821253	0.3247216	0.5847895	0.0983540	1.0000000	0.1622912	0.7694958	0.0048568	0.8205542	0.1270348	0.8440945	0.9879723	0.7008148
0.9958035	0.7750718	0.4985844	0.4751142	0.6689094	0.9977985	0.0704952	0.6706378	0.9985534	1.0000000	0.8556199	1.0000000	0.9998322	0.6961059	0.8952889	1.0000000	0.1059129	0.7644727	0.9408024	1.0000000	0.0127447	0.9992654	0.8184601	1.0000000	1.0000000	0.3737828	0.0641942	0.1952859	0.7207491	0.9847808	0.9999996	0.9956439	0.3464740	0.3822823	0.9578307	0.3387659	0.5507581	0.7680756	0.3247425	0.5847894	0.0983540	1.0000000	0.1622912	0.7694958	0.0006636	0.8205542	0.1274388	0.8237529	0.9843972	0.7008148
0.9958035	0.7750718	0.9971678	0.1275747	0.9187204	0.9999554	0.0704952	0.6706378	0.9989630	1.0000000	0.9915779	1.0000000	0.9998322	0.6964563	0.8952407	1.0000000	0.1059129	0.7831041	0.9775402	1.0000000	0.0127447	0.9992654	0.8401206	1.0000000	1.0000000	0.3734490	0.0530032	0.1952859	0.7202154	0.9908571	0.9999996	0.9956439	0.3464740	0.3814101	0.9579299	0.3387659	0.5507581	0.7822143	0.3247197	0.5847894	0.0983540	1.0000000	0.1622912	0.7694958	0.0406662	0.8205542	0.1269995	0.8462364	0.9883148	0.7008148
0.9958035	0.7750718	0.9971678	0.2551494	0.4578182	0.9997917	0.0704952	0.6706378	0.9989280	1.0000000	0.9769800	1.0000000	0.9998322	0.6964270	0.8952444	1.0000000	0.1059129	0.7815473	0.8248829	1.0000000	0.0127447	0.9992654	0.8382291	1.0000000	1.0000000	0.3734743	0.0539042	0.1952859	0.7202558	0.9903790	0.9999996	0.9956439	0.3464740	0.3814761	0.9579224	0.3387659	0.5507581	0.7119917	0.3247215	0.5847894	0.0983540	1.0000000	0.1622912	0.7694958	0.0048568	0.8205542	0.1270348	0.8440946	0.9879723	0.7008148
0.9958035	0.7750718	0.9971678	0.2551494	0.9156359	0.4999063	0.0704952	0.6706378	0.9958924	1.0000000	0.9769800	1.0000000	0.9998322	0.6937996	0.9202631	1.0000000	0.1059129	0.7924996	0.9773058	1.0000000	0.0127447	0.9992654	0.8378005	1.0000000	1.0000000	0.5563666	0.0539042	0.1952859	0.8744078	0.9903790	0.9999996	0.9956439	0.3464740	0.6695647	0.9117783	0.3387659	0.5507581	0.7821293	0.3452001	0.5847894	0.0983540	1.0000000	0.1622912	0.7694958	0.0048568	0.8205542	0.1259786	0.8440946	0.9879723	0.7008148
0.9996832	0.7776501	0.9972211	0.2551367	0.9156468	0.9999700	0.0352479	0.6724454	0.9989284	1.0000000	0.9769836	1.0000000	0.9999685	0.6964273	0.8952404	1.0000000	0.1057659	0.7815465	0.9773065	1.0000000	0.0127121	0.9998950	0.8382296	1.0000000	1.0000000	0.3734468	0.0539040	0.1431527	0.7205547	0.9903791	0.9999997	0.9956465	0.3464740	0.3814042	0.9579306	0.3387659	0.5517936	0.7821295	0.3205217	0.5826098	0.0955711	1.0000000	0.1515939	0.7701678	0.0048572	0.8223537	0.1270349	0.8440950	0.9879724	0.7018947
0.9958035	0.7750718	0.9971678	0.2551494	0.9156359	0.9997917	0.0704952	0.3354474	0.9989280	1.0000000	0.9769799	1.0000000	0.9998322	0.6964270	0.8952444	1.0000000	0.1059129	0.7815471	0.9773050	1.0000000	0.0127447	0.9992654	0.8382291	1.0000000	1.0000000	0.3734743	0.0539042	0.1952859	0.7202558	0.9903789	0.9999996	0.9956439	0.3464740	0.3814762	0.9579224	0.3387659	0.5507580	0.7821253	0.3247216	0.5847895	0.0983540	1.0000000	0.1622912	0.7694958	0.0048568	0.8205542	0.1270348	0.8440945	0.9879723	0.7008148
0.9958035	0.7750718	0.9971678	0.2551494	0.9156359	0.9997917	0.0704952	0.6706378	0.4994659	1.0000000	0.9769800	1.0000000	0.9998322	0.1198928	0.8952444	1.0000000	0.1059129	0.8501378	0.9773059	1.0000000	0.0127447	0.9992654	0.7389919	1.0000000	1.0000000	0.3734743	0.0539042	0.1952859	0.7202558	0.9903790	0.9999996	0.9956439	0.3464740	0.3814761	0.9579224	0.3387659	0.5507581	0.7821298	0.3247215	0.5847894	0.0983540	1.0000000	0.1622912	0.7694958	0.0048568	0.8205542	0.1615547	0.8440946	0.9879723	0.7008148
0.9904472	0.7715945	0.9970968	0.2551649	0.9156235	0.9996153	0.0881849	0.6682250	0.9989276	0.5000087	0.9769763	1.0000000	0.9996483	0.6964267	0.8952481	1.0000000	0.1061106	0.7815480	0.9773053	1.0000000	0.0128093	0.9986280	0.8382287	1.0000000	1.0000000	0.3735010	0.0539044	0.2052401	0.7198186	0.9903789	0.9999996	0.9956406	0.3464740	0.3815449	0.9579147	0.3387659	0.5494009	0.7821295	0.3302983	0.5876223	0.0996427	1.0000000	0.1664789	0.7685903	0.0048563	0.8181316	0.1270346	0.8440942	0.9879723	0.6993972
