YCR065W	YLR228C	YGL209W	YGL035C	YMR280C	YKL109W	YKL043W	YGR288W	YCL067C	YKL032C	YPL248C	YDR421W	YPL177C	YGR044C	YCR040W	YMR042W	YBR112C	YCL066W	YJL089W	YML099C	YMR019W	YER045C	YOR140W	YDL170W	YOL067C	YCR039C	YDR006C	YIR019C	YIL175W	YNR081W	YDR143C	YFR006W	YDR210WD	YPR020W	YPR187W	YOR303W	YMR250W	YGL230C	YHL049C	YLR037C	YKR102W	YIL166C	YAL064CA	YDR356W	YJR159W	YEL058W	YGL089C	YCR105W	YGR102C	YGL210W
0.0000000	0.0228656	0.0918615	0.9316351	0.1392298	0.9932538	0.0704952	0.0029718	0.9947218	1.0000000	0.4825918	1.0000000	0.9998322	0.6927065	0.8953918	1.0000000	0.1059129	0.5964529	0.1331147	1.0000000	0.0127447	0.9992654	0.6731502	1.0000000	1.0000000	0.3744934	0.2036402	0.1952859	0.7218849	0.8955061	0.0273452	0.9956439	0.3464740	0.3841335	0.9576195	0.3387659	0.0880485	0.0869565	1.0000000	1.0000000	0.0983540	1.0000000	0.1622912	0.0887313	0.0000761	0.0804699	0.1337199	0.7125429	0.9523187	0.0632663
0.9958035	0.0000015	0.9971678	0.2551494	0.9156359	0.9997917	0.0704952	0.6706378	0.9989280	1.0000000	0.9769800	1.0000000	0.9998322	0.6964270	0.8952444	1.0000000	0.1059129	0.7815473	0.9773059	1.0000000	0.0127447	0.9992654	0.8382291	1.0000000	1.0000000	0.3734743	0.0539042	0.1952859	0.7202558	0.9903790	0.9999996	0.9956439	0.3464740	0.3814761	0.9579224	0.3387659	0.5507581	0.7821296	0.3247215	0.5847894	0.0983540	1.0000000	0.1622912	0.7694958	0.0048568	0.8205542	0.1270348	0.8440946	0.9879723	0.7008148
0.9958035	0.7750718	0.0000000	1.0000000	0.1041724	0.9927156	0.0704952	0.6706378	0.9936736	1.0000000	0.4452293	1.0000000	0.9998322	0.6917733	0.8954041	1.0000000	0.1059129	0.5598539	0.0840007	1.0000000	0.0127447	0.9992654	0.6483493	1.0000000	1.0000000	0.3745781	0.2442488	0.1952859	0.7220195	0.8659305	0.9999996	0.9956439	0.3464740	0.3843533	0.9575944	0.3387659	0.5507581	0.0655439	0.3247971	0.5847894	0.0983540	1.0000000	0.1622912	0.7694958	0.0000607	0.8205542	0.1359616	0.6941299	0.9444379	0.7008148
0.9958035	0.7750718	0.9971678	0.0000001	0.9188234	1.0000000	0.0704952	0.6706378	0.9989824	1.0000000	0.9999722	1.0000000	0.9998322	0.6964729	0.8952397	1.0000000	0.1059129	0.7839709	0.9775488	1.0000000	0.0127447	0.9992654	0.8411727	1.0000000	1.0000000	0.3734421	0.0525065	0.1952859	0.7202043	0.9911209	0.9999996	0.9956439	0.3464740	0.3813920	0.9579320	0.3387659	0.5507581	0.7822184	0.3247193	0.5847894	0.0983540	1.0000000	0.1622912	0.7694958	0.3550551	0.8205542	0.1269798	0.8474521	0.9885072	0.7008148
0.9958035	0.7750718	0.9971678	0.2551494	0.0000000	0.9997917	0.0704952	0.6706378	0.9989280	1.0000000	0.9769800	1.0000000	0.9998322	0.6964270	0.8952444	1.0000000	0.1059129	0.7815473	0.0489185	1.0000000	0.0127447	0.9992654	0.8382291	1.0000000	1.0000000	0.3734743	0.0539042	0.1952859	0.7202558	0.9903790	0.9999996	0.9956439	0.3464740	0.3814761	0.9579224	0.3387659	0.5507581	0.0570037	0.3247215	0.5847894	0.0983540	1.0000000	0.1622912	0.7694958	0.0048568	0.8205542	0.1270348	0.8440946	0.9879723	0.7008148
0.9958035	0.7750718	0.9971678	0.2551494	0.9156359	0.0000000	0.0704952	0.6706378	0.0168501	1.0000000	0.9769800	1.0000000	0.9998322	0.0095233	0.9999999	1.0000000	0.1059129	0.9976194	0.9773060	1.0000000	0.0127447	0.9992654	0.7323428	1.0000000	1.0000000	0.9994214	0.0539042	0.1952859	0.9995619	0.9903790	0.9999996	0.9956439	0.3464740	1.0000000	0.0249397	0.3387659	0.5507581	0.7821299	0.9999991	0.5847894	0.0983540	1.0000000	0.1622912	0.7694958	0.0048568	0.8205542	0.9963683	0.8440946	0.9879723	0.7008148
0.9999996	0.7778652	0.9972257	0.2551355	0.9156480	1.0000000	0.0000002	0.6725976	0.9989284	1.0000000	0.9769841	1.0000000	0.9999804	0.6964274	0.8952397	1.0000000	0.1057530	0.7815464	0.9773067	1.0000000	0.0127108	1.0000000	0.8382297	1.0000000	1.0000000	0.3734421	0.0539040	0.0477493	0.7205747	0.9903791	0.9999997	0.9956468	0.3464740	0.3813919	0.9579320	0.3387659	0.5518826	0.7821299	0.3201628	0.5824196	0.0925906	1.0000000	0.1461158	0.7702238	0.0048573	0.8225044	0.1270349	0.8440951	0.9879724	0.7019874
0.9958035	0.7750718	0.9971678	0.2551494	0.9156359	0.9997917	0.0704952	0.0000036	0.9989280	1.0000000	0.9769800	1.0000000	0.9998322	0.6964270	0.8952444	1.0000000	0.1059129	0.7815473	0.9773059	1.0000000	0.0127447	0.9992654	0.8382291	1.0000000	1.0000000	0.3734743	0.0539042	0.1952859	0.7202558	0.9903790	0.9999996	0.9956439	0.3464740	0.3814761	0.9579224	0.3387659	0.5507581	0.7821296	0.3247215	0.5847894	0.0983540	1.0000000	0.1622912	0.7694958	0.0048568	0.8205542	0.1270348	0.8440946	0.9879723	0.7008148
0.9958035	0.7750718	0.9971678	0.2551494	0.9156359	0.9997917	0.0704952	0.6706378	0.0000039	1.0000000	0.9769800	1.0000000	0.9998322	0.0095212	0.8952444	1.0000000	0.1059129	0.9615347	0.9773059	1.0000000	0.0127447	0.9992654	0.7323426	1.0000000	1.0000000	0.3734743	0.0539042	0.1952859	0.7202558	0.9903790	0.9999996	0.9956439	0.3464740	0.3814761	0.9579224	0.3387659	0.5507581	0.7821298	0.3247215	0.5847894	0.0983540	1.0000000	0.1622912	0.7694958	0.0048568	0.8205542	1.0000000	0.8440946	0.9879723	0.7008148
0.0497084	0.0228968	0.0919682	0.9315133	0.1393031	0.5180034	1.0000000	0.0064943	0.9815285	0.0000000	0.4826680	1.0000000	0.8661028	0.6807710	0.9185571	1.0000000	0.7658090	0.6543560	0.1332424	1.0000000	0.9192299	0.4515035	0.6690985	1.0000000	1.0000000	0.5434113	0.2035672	0.2496256	0.3055256	0.8955578	0.5935858	0.9917322	0.3464740	0.6560981	0.9149065	0.3387659	0.1149848	0.0870149	0.9999999	0.9998420	0.1261742	0.5864731	0.1461150	0.2037295	0.0000773	0.0807086	0.1301476	0.7125783	0.9523330	0.0947608
