YCR065W	YLR228C	YGL209W	YGL035C	YMR280C	YKL109W	YKL043W	YGR288W	YCL067C	YKL032C	YPL248C	YDR421W	YPL177C	YGR044C	YCR040W	YMR042W	YBR112C	YCL066W	YJL089W	YML099C	YMR019W	YER045C	YOR140W	YDL170W	YOL067C	YCR039C	YDR006C	YIR019C	YIL175W	YNR081W	YDR143C	YFR006W	YDR210WD	YPR020W	YPR187W	YOR303W	YMR250W	YGL230C	YHL049C	YLR037C	YKR102W	YIL166C	YAL064CA	YDR356W	YJR159W	YEL058W	YGL089C	YCR105W	YGR102C	YGL210W
0.7559322	0.5238241	0.9918491	0.2564367	0.9905815	0.9943696	0.0014164	0.5463267	0.9801927	1.0000000	0.6235262	1.0000000	0.9999762	0.6700337	0.8846555	0.9652098	0.1878735	0.6948442	0.9837434	1.0000000	0.2418756	1.0000000	0.6407361	0.9619093	0.6086311	0.7976093	0.1147815	0.0002700	0.7219767	0.9548750	0.9726541	0.9733617	0.0351469	0.3337755	0.9619880	0.5324231	0.3893783	0.7312204	0.4663447	0.7358510	0.0142401	0.6515420	0.6762732	0.6298173	0.0310063	0.7005840	0.1305267	0.7688652	0.9110187	0.6431427
0.9032631	0.8255811	0.9955597	0.2555373	0.7422582	1.0000000	0.0020596	0.6434380	0.9978786	0.9081049	0.7832575	0.9221548	0.9999849	0.6859888	0.5419135	1.0000000	0.0000014	0.7278089	0.9580474	1.0000000	0.1628115	0.8608301	0.6988610	1.0000000	0.9204550	0.1530379	0.0278940	0.0005808	0.4978200	0.9833442	0.9999995	0.9733619	0.2508309	0.2723106	0.9713676	0.7324634	0.5732705	0.8194593	0.3773192	0.5678566	0.3824504	0.9613663	0.4099071	0.6634482	0.3453577	0.7822326	0.1976058	0.6936572	0.9214811	0.6096534
0.9980286	0.8580814	0.9053375	0.2795086	0.8971967	0.6109155	0.0012492	0.6740256	0.9746494	1.0000000	0.9689211	0.7521583	0.9999928	0.6648904	0.8851282	1.0000000	0.0134710	0.7896167	0.9269310	1.0000000	0.6512117	0.9888289	0.9466634	0.9021220	1.0000000	0.3801655	0.0544284	0.0002090	0.8365668	0.9465060	0.9797279	0.9733620	0.6208931	0.4986328	0.9311304	0.4209933	0.5631791	0.7215681	0.2555260	0.3289236	0.5852199	0.8498203	0.0000283	0.8369444	0.1654648	0.8460204	0.0070257	0.8471717	0.9278637	0.7223534
0.9224264	0.6971237	0.9626490	0.1555152	0.9810544	0.8595757	0.0718324	0.6309890	0.9809138	0.8418636	0.8008816	1.0000000	0.9998566	0.7063822	0.4058482	1.0000000	0.0001747	0.6741262	0.9856546	0.7522785	0.4061763	0.9992256	0.7073587	0.7293018	1.0000000	0.0798504	0.0359372	0.1485191	0.7341718	0.9372158	0.9726557	0.9964422	0.3243658	0.3921820	0.9254643	0.5366578	0.5408184	0.8971412	0.4163889	0.6280857	0.0816543	0.9056512	0.2278763	0.7633042	0.1923171	0.7017236	0.2017942	0.8380220	0.9222853	0.6942393
0.9956902	0.8189490	0.9980730	0.1796958	0.8943091	0.9999020	0.0710137	0.8215133	0.9963453	0.9229026	0.9860026	0.6522356	0.8966093	0.7320438	0.8436369	1.0000000	0.0676638	0.6807751	0.9774401	0.9108375	0.0413138	0.9992503	0.7440509	0.9205959	1.0000000	0.3557890	0.0533467	0.1628123	0.3373314	0.9910697	0.9999998	0.9941434	0.7345873	0.3814318	0.9447959	0.2639484	0.6738412	0.8436881	0.3248348	0.5848477	0.0087803	0.7529102	0.0162350	0.6807468	0.0091852	0.7400383	0.0673680	0.8486401	0.9824658	0.6375252
0.7568597	0.6587534	0.9843805	0.2582668	0.9394640	0.9999965	0.0160806	0.7716562	0.9988134	0.5245290	0.8917134	1.0000000	0.7526912	0.6868103	0.8952398	1.0000000	0.3356709	0.6458481	0.9301773	0.8554427	0.0000000	0.6546186	0.9616813	1.0000000	1.0000000	0.4726033	0.0237007	0.3951033	0.7205740	0.9919829	0.9999988	0.9623196	0.3243270	0.3813933	0.9329999	0.5603596	0.4184943	0.8085927	0.6684049	0.7351826	0.0013600	0.8034698	0.2143674	0.6300618	0.1510658	0.5791774	0.0864913	0.8302384	0.9256841	0.5563112
0.9999998	0.7550009	0.9520347	0.2061784	0.9994613	0.9225587	0.0012516	0.8653739	0.9819180	1.0000000	0.9814211	1.0000000	0.7863499	0.6716157	0.7337040	0.1176882	0.0000035	0.7068103	0.9877781	1.0000000	0.3370350	1.0000000	0.7333305	0.8663741	1.0000000	0.2611167	0.0536207	0.0881962	0.5676521	0.9469390	0.9999997	0.9650907	0.3242826	0.2854405	0.9697929	0.0119262	0.5376278	0.7327448	0.3211120	0.5824168	0.2468095	0.7560706	0.0013134	0.8008363	0.0079208	0.8577111	0.1436985	0.5897944	0.9281702	0.6586691
0.8398499	0.6614894	0.9015940	0.2806032	0.8170360	1.0000000	0.0014951	0.5838815	0.9820658	1.0000000	0.9685296	1.0000000	0.8286882	0.6717492	0.4751543	0.9986226	0.0000014	0.6425654	0.9187698	1.0000000	0.3562317	1.0000000	0.8851856	1.0000000	0.9657484	0.5700616	0.0159078	0.0053507	0.7205746	0.9901110	0.9999995	0.9908324	0.7876760	0.3813919	0.9661687	0.2509959	0.4171862	0.7967280	0.5363005	0.5771518	0.0104605	0.9851774	0.0000374	0.6500067	0.4324724	0.6475092	0.2904545	0.8428241	0.9942685	0.7178723
0.9141274	0.8465731	0.9961560	0.1879050	0.9437281	0.9998934	0.0704952	0.6665566	0.9812558	1.0000000	0.7560428	1.0000000	0.9999114	0.6710243	0.6834350	1.0000000	0.0772549	0.7440221	0.9304807	0.9906139	0.0000339	0.5702379	0.8124469	1.0000000	1.0000000	0.4209559	0.0785762	0.1475445	0.7202306	0.9741280	0.9999997	0.9733628	0.3243270	0.2957959	0.9329955	0.4654424	0.4398135	0.8243464	0.4259918	0.5425217	0.2569917	1.0000000	0.0161779	0.8176167	0.0120906	0.8080310	0.1489294	0.8028394	0.9853299	0.7773842
0.9958035	0.7522062	0.9974018	0.1608600	0.7965484	0.9999249	0.0704952	0.6676660	0.9821136	1.0000000	0.9881190	1.0000000	0.9998707	0.6717946	0.7872229	1.0000000	0.0001634	0.7156903	0.9161292	1.0000000	0.0552807	0.9992654	0.9011419	0.7406192	0.9119576	0.7071100	0.0532066	0.2018322	0.7043158	0.9933831	0.9726559	0.9959450	0.2428767	0.2960494	0.9329966	0.3686868	0.6031241	0.7317155	0.3247201	0.4645293	0.4787346	0.8934903	0.1310110	0.6807646	0.2416004	0.8685456	0.0171612	0.8649162	0.9910601	0.6375487
