YCR065W	YLR228C	YGL209W	YGL035C	YMR280C	YKL109W	YKL043W	YGR288W	YCL067C	YKL032C	YPL248C	YDR421W	YPL177C	YGR044C	YCR040W	YMR042W	YBR112C	YCL066W	YJL089W	YML099C	YMR019W	YER045C	YOR140W	YDL170W	YOL067C	YCR039C	YDR006C	YIR019C	YIL175W	YNR081W	YDR143C	YFR006W	YDR210WD	YPR020W	YPR187W	YOR303W	YMR250W	YGL230C	YHL049C	YLR037C	YKR102W	YIL166C	YAL064CA	YDR356W	YJR159W	YEL058W	YGL089C	YCR105W	YGR102C	YGL210W
0.3464170	0.2571230	0.7220793	0.1693192	0.6509466	0.7843597	0.1162391	0.3236576	0.6593952	0.7034990	0.6942935	0.6732288	0.6537306	0.5639415	0.7719727	0.6377740	0.1174060	0.6260399	0.6734912	0.6486433	0.0076237	0.7116878	0.6720429	0.5942279	0.6646031	0.2754803	0.0263966	0.1343410	0.6166047	0.7201605	0.8643685	0.8106098	0.2728848	0.2808139	0.6954560	0.2923584	0.3162643	0.6097146	0.6307934	0.6582806	0.0387406	0.8229216	0.0677267	0.4397769	0.0009001	0.3887542	0.0897113	0.5378150	0.7550523	0.3764236
0.7447600	0.2271511	0.7412686	0.2304876	0.6345149	0.7119679	0.0536924	0.5398207	0.7087625	0.6618767	0.6138624	0.7430829	0.6497283	0.4492016	0.6991330	0.7327324	0.1019781	0.6456495	0.8057904	0.7952661	0.0139348	0.6229811	0.5629933	0.8349113	0.6822904	0.2324828	0.0277672	0.1669971	0.5169410	0.6662778	0.8516921	0.6484536	0.2659099	0.4672241	0.6749046	0.3287041	0.3638204	0.5976363	0.3170334	0.3856531	0.0774429	0.7928638	0.1584626	0.6618631	0.0205830	0.7067808	0.1006894	0.5134565	0.7098960	0.5549423
0.7111141	0.5170191	0.3946465	0.3746603	0.4704787	0.6880406	0.0499332	0.5236628	0.6630362	0.8787467	0.6287476	0.7998028	0.6326678	0.4252739	0.5825362	0.7778236	0.0865504	0.4844092	0.6953150	0.6451972	0.0072286	0.6480034	0.6055777	0.8158534	0.6531947	0.3009603	0.0354867	0.1337927	0.5811256	0.7963472	0.7177426	0.6411203	0.2417354	0.2784377	0.7197487	0.2638709	0.4244731	0.5469035	0.2640232	0.5549377	0.0555404	0.7324108	0.1392707	0.5433870	0.0000827	0.5174781	0.0722475	0.5471463	0.7194794	0.5713259
0.6724552	0.4771565	0.7369773	0.1102195	0.6124358	0.6951667	0.0548671	0.4734607	0.6584939	0.7165895	0.6703858	0.7941185	0.7343912	0.5092289	0.7069933	0.8486012	0.0713928	0.5621802	0.5351009	0.6967195	0.0069342	0.8106642	0.6247963	1.0284567	0.7247024	0.2249647	0.0582117	0.1032793	0.4972255	0.6875907	0.6594645	0.7757522	0.2693852	0.2811446	0.8597016	0.3171295	0.3328676	0.5526090	0.2632759	0.3607581	0.0569484	0.6759705	0.1321969	0.6248985	0.0468553	0.5963078	0.1008058	0.6852016	0.7003803	0.4521601
0.8097672	0.5370261	0.8009405	0.1724163	0.3082570	0.6142616	0.0614172	0.3958820	0.8670335	0.7042051	0.6774787	0.6988618	0.6968793	0.5489973	0.7107319	0.7032417	0.0502610	0.5148964	0.6834761	0.6488098	0.0096083	0.7834449	0.6467315	0.4871756	0.7645659	0.3046576	0.0301255	0.1360748	0.5397089	0.6731951	0.7839872	0.7342954	0.2860604	0.2211797	0.6537993	0.2977130	0.2663480	0.4745278	0.2138472	0.3589797	0.0743973	0.8328620	0.0783813	0.5442817	0.0027872	0.6045431	0.0803618	0.6933192	0.6162332	0.6039346
0.7457383	0.5986618	0.7402246	0.1813176	0.6617347	0.3369018	0.0534938	0.5120102	0.6722377	0.7791082	0.7433912	0.8093272	0.6967842	0.5084746	0.6256200	0.7847765	0.0671619	0.5632894	0.6699169	0.6541526	0.0121290	0.7743935	0.7628889	0.7836607	0.7370211	0.4920379	0.0825190	0.1489519	0.7169501	0.6870598	0.7196465	0.8127779	0.1875139	0.4516690	0.5997838	0.2057434	0.2955698	0.5301237	0.2340675	0.3866983	0.0826383	0.8011195	0.0661578	0.5019036	0.0065666	0.5519056	0.0902451	0.5816637	0.6389166	0.6054983
0.6667095	0.4860266	0.6599146	0.1876810	0.6556013	0.7611664	0.0282353	0.6518308	0.6926041	0.7798435	0.6571916	0.7045889	0.7910786	0.5434534	0.5450922	0.6970906	0.0528311	0.5769344	0.6190946	0.7447629	0.0153399	0.6056657	0.5637324	0.7570165	0.7227306	0.3135796	0.0772958	0.1063519	0.5015638	0.7580034	0.6038105	0.7212687	0.2587626	0.3131025	0.5860810	0.2019523	0.4333560	0.5553821	0.2093826	0.4084868	0.0461054	0.8289484	0.1717415	0.5778544	0.0054070	0.6112841	0.1050882	0.5566100	0.7077514	0.5376829
0.6543284	0.6185979	0.7645915	0.1756290	0.6585958	0.7121862	0.0646936	0.2751878	0.6798397	0.9648652	0.6839701	0.6474456	0.7848636	0.5236298	0.6518691	0.7783383	0.0977316	0.5407918	0.6888947	0.6086013	0.0114851	0.7449570	0.6499651	0.5998897	0.6825120	0.2781544	0.0669279	0.1206003	0.5667178	0.7202724	0.6889881	0.7405169	0.2453910	0.4136031	0.7760247	0.2289516	0.3579173	0.5436842	0.1688898	0.3178400	0.0543593	0.6560763	0.1069553	0.4926726	0.0036430	0.6443616	0.1161991	0.5075812	0.6373727	0.4695793
0.8021847	0.6322309	0.7696531	0.1816171	0.7617713	0.9195307	0.0177465	0.5824672	0.3617804	0.7673018	0.6523786	0.6933743	0.7410925	0.0980834	0.5999018	0.7484933	0.0818943	0.7479335	0.6332692	0.7554627	0.0138365	0.7006457	0.5493135	0.8104028	0.7358269	0.2996452	0.0505350	0.1027148	0.5719000	0.7607567	0.6730647	0.8583962	0.2016876	0.2509189	0.7454930	0.2592759	0.3696857	0.5663666	0.2591958	0.4166612	0.0624809	0.7628874	0.1574214	0.5367481	0.0006279	0.6406914	0.1321104	0.5743418	0.6222473	0.5197672
0.8253954	0.5719326	0.8128984	0.1757586	0.7049732	0.6747237	0.0355503	0.4816008	0.8044108	0.3035280	0.8226462	0.6759991	0.8784959	0.6267900	0.7175740	0.6529340	0.1088499	0.5995988	0.8298014	0.6110584	0.0091007	0.7814077	0.6019295	0.8154383	0.7772270	0.1907357	0.0447057	0.1658540	0.4935321	0.6934594	0.6597306	0.6701245	0.1517633	0.2194827	0.5466829	0.2133166	0.3531143	0.5315417	0.3260869	0.4018290	0.0672701	0.5120352	0.1744422	0.4807093	0.0182340	0.6020845	0.0991319	0.7039430	0.6186782	0.4822025
