YCR065W	YLR228C	YGL209W	YGL035C	YMR280C	YKL109W	YKL043W	YGR288W	YCL067C	YKL032C	YPL248C	YDR421W	YPL177C	YGR044C	YCR040W	YMR042W	YBR112C	YCL066W	YJL089W	YML099C	YMR019W	YER045C	YOR140W	YDL170W	YOL067C	YCR039C	YDR006C	YIR019C	YIL175W	YNR081W	YDR143C	YFR006W	YDR210WD	YPR020W	YPR187W	YOR303W	YMR250W	YGL230C	YHL049C	YLR037C	YKR102W	YIL166C	YAL064CA	YDR356W	YJR159W	YEL058W	YGL089C	YCR105W	YGR102C	YGL210W
0.0000000	0.0166985	0.0645351	0.6998161	0.1246464	0.6415281	0.0465152	0.0008356	0.6739501	0.6443436	0.2446297	0.7390328	0.6752047	0.5690298	0.6333781	0.7615695	0.0893177	0.3716459	0.0746555	0.8319098	0.0101584	0.6694838	0.5810810	0.7317603	0.8712399	0.2973501	0.1701592	0.1914475	0.6354210	0.6756782	0.0162789	0.6623589	0.3071452	0.3293865	0.7133100	0.2290116	0.0566993	0.0653262	0.6980902	0.6656508	0.0811991	0.6516125	0.1237530	0.0658156	0.0003461	0.0528867	0.1251173	0.5298879	0.6041132	0.0378498
0.7704989	0.0000000	0.7266181	0.2241514	0.6254451	0.7953596	0.0442430	0.4471206	0.6860296	0.6261196	0.7825535	0.6645255	0.6710756	0.4201066	0.5730645	0.8196503	0.1496477	0.6916282	0.7724204	0.8224736	0.0045124	0.6673685	0.5885398	0.7510140	0.7175479	0.3958585	0.0488713	0.1570726	0.4605387	0.7103097	0.6488386	0.6682778	0.2432594	0.3356840	0.7753709	0.1767583	0.3331732	0.4651841	0.2090626	0.3942256	0.0358674	0.7503340	0.1418682	0.5537722	0.0048691	0.6373900	0.1048780	0.5467519	0.7740215	0.5165269
0.7142262	0.7158700	0.0000000	0.6079358	0.1305427	0.6516717	0.0653932	0.5567385	0.6428981	0.7455112	0.2773224	0.7438128	0.6388419	0.4024850	0.5399295	0.7032775	0.0660138	0.4362512	0.0821808	0.7403207	0.0181011	0.7129051	0.4697531	0.7484691	0.6622389	0.2417462	0.2314904	0.1615745	0.5350718	0.6491010	0.5656583	0.7679427	0.2619820	0.3059816	0.5970710	0.2972196	0.3723516	0.0902422	0.2603800	0.4070192	0.0597470	0.6825963	0.1515593	0.6973583	0.0021448	0.5937289	0.0678680	0.4106558	0.6639501	0.5986165
0.6778237	0.5686513	0.7198629	0.0000000	0.6270944	0.7008542	0.0381145	0.4826398	0.7327698	0.6884875	0.7014516	0.7339876	0.7250547	0.4803241	0.5876819	0.5702643	0.0928219	0.4637581	0.6204938	0.6873091	0.0120632	0.7271905	0.7014206	0.7076154	0.7000019	0.3282415	0.0568673	0.1322202	0.5390881	0.5819424	0.7141061	0.6551026	0.2488706	0.3013403	0.6048706	0.1750667	0.5200123	0.6225321	0.1574075	0.4340043	0.1163527	0.6365685	0.1245899	0.5770254	0.2396699	0.4576665	0.1173300	0.6217157	0.6403876	0.4953266
0.8829933	0.4835844	0.7307103	0.2384351	0.0000000	0.8035584	0.0211198	0.5910671	0.7253507	0.8336827	0.6589392	0.7590955	0.7753318	0.6349868	0.6880622	0.7355039	0.0348853	0.4235795	0.0460398	0.6558448	0.0072223	0.6346323	0.6574395	0.8056196	0.7026620	0.2790009	0.0702961	0.1685565	0.4799474	0.7627054	0.6855439	0.7561073	0.2687702	0.3349393	0.7824387	0.3305432	0.3295578	0.0563781	0.1889520	0.4666808	0.0748857	0.8277121	0.0770623	0.5670222	0.0152793	0.6632458	0.0696956	0.6425250	0.8675997	0.4912574
0.7273376	0.6803304	0.7535540	0.1889595	0.7381661	0.0000000	0.0396075	0.5202529	0.0233762	0.6351880	0.8515552	0.8135045	0.6948095	0.0177230	0.5818954	0.7206161	0.1136495	0.7547404	0.6755276	0.5854403	0.0091648	0.6185550	0.4531727	1.0037011	0.7891287	0.6533741	0.0679806	0.1180437	0.7433038	0.7963377	0.7595565	0.6941841	0.3493822	0.6644119	0.0192111	0.2721031	0.4242262	0.4662817	0.7924075	0.4598376	0.0503632	0.7708484	0.1017704	0.5493699	0.0027430	0.6196539	0.7079960	0.5564159	0.8192435	0.4733309
0.5401344	0.4541222	0.7410763	0.2172591	0.6652916	0.7506412	0.0000000	0.4073637	0.6348151	0.7126546	0.7364398	0.5947920	0.8071275	0.4931574	0.6154920	0.6374056	0.1297255	0.4788576	0.7654380	0.7099028	0.0225643	0.6673246	0.4776818	0.7812532	0.6991425	0.2776338	0.0735578	0.0391932	0.4687990	0.7939595	0.7759752	0.6523629	0.2636544	0.3356565	0.8262794	0.2656125	0.3310504	0.4427257	0.3514843	0.3590382	0.0624592	0.6616980	0.1424261	0.6222273	0.0017250	0.6027437	0.0969868	0.5869664	0.6533616	0.5679152
0.8319373	0.4888367	0.7111737	0.2502406	0.5596867	0.6707514	0.0433790	0.0000000	0.8264797	0.7496260	0.8668013	0.6616577	0.6557678	0.4938088	0.7087442	0.6955723	0.0634083	0.5021866	0.7169942	0.8869438	0.0093633	0.7640122	0.5920106	0.6503601	0.6835427	0.2777843	0.0393578	0.1989521	0.4202551	0.6605163	0.7177842	0.6438987	0.2440247	0.2220633	0.6015378	0.3362098	0.3372205	0.5744841	0.2300203	0.4532422	0.0492366	0.7831815	0.1294261	0.6173439	0.0141965	0.6020172	0.0737335	0.5426882	0.7045615	0.4609378
0.8528897	0.5648836	0.7104171	0.2128778	0.6749699	0.8624704	0.0756179	0.4124924	0.0000000	0.8110430	0.7401127	0.7035051	0.7255918	0.0146582	0.5995840	0.6916305	0.0793162	0.8474613	0.7165042	0.6925571	0.0204714	0.5903392	0.5346370	0.6444216	0.8227910	0.1995214	0.0381878	0.1197454	0.5723103	0.6480351	0.7433089	0.8171156	0.3115113	0.3405345	0.8037383	0.2340702	0.3461182	0.4687300	0.2196008	0.4695913	0.0881254	0.7912880	0.1202797	0.5287837	0.0132469	0.6426470	0.7143744	0.5830886	0.6686065	0.5330428
0.0423982	0.0023838	0.0592597	0.6038418	0.1295704	0.5447781	0.6656787	0.0044830	0.7227595	0.0000000	0.3149074	0.5621359	0.5609521	0.4664044	0.7135110	0.5805372	0.7361473	0.4630525	0.1009209	0.8153819	0.6615316	0.3614119	0.6718049	0.7512603	0.5983016	0.3956568	0.1243198	0.2003888	0.2983952	0.5729351	0.4293326	0.6987047	0.2694335	0.5005063	0.5567639	0.2672086	0.0862457	0.1061725	0.8501985	0.7341333	0.0851332	0.5150878	0.0885209	0.2190875	0.0009465	0.0585318	0.0956155	0.6139525	0.6969579	0.0701779
