YPL089C	YBL037W	YBR182C	YKL185W	YOR140W	YGR044C	YCR097W	YCL067C	YPL248C	YJL056C	YCR040W	YPR199C	YCR096C	YCL066W	YJL110C	YKR034W	YDR421W	YGL254W	YDL170W	YFL021W	YCR018C	YGL035C	YOL089C	YHR006W	YLR013W	YER189W	YGR103W	YBR040W	YNL253W	YDR379CA	YBR182CA	YCL041C	YML132W	YHR193C	YIL174W	YJR161C	YKR105C	MEL1	YDR441C	YBR006W	YLR023C	YMR086CA	YHR081W	YBL111C	YMR014W	YER188CA	YCR104W	YHR156C	YIL002WA	YAL025C
0.3470833	0.0119187	0.5984654	0.0686459	0.1087645	0.1203667	0.2368509	0.7199130	0.5320608	0.7512375	0.0980278	0.6567631	0.7192459	0.5163842	0.2578510	0.3748651	0.6893614	0.6637922	0.7393345	0.2552539	0.0716080	0.6393054	0.7436442	0.7982117	0.6270941	0.3221313	0.4600764	0.2681767	0.5845138	0.6722558	0.5247720	0.2352118	0.3865519	0.4591221	0.5416423	0.5541637	0.0735639	0.3646226	0.4350214	0.1739019	0.7547009	0.4274504	0.7423705	0.3643473	0.2146037	0.2621563	0.6919647	0.3442674	0.2788305	0.0454188
0.8067278	0.0023447	0.7894454	0.0493150	0.1505838	0.0793348	0.2224796	0.7400153	0.4146330	0.5638296	0.0861055	0.8191483	0.5974657	0.3807832	0.2121798	0.3558675	0.7363012	0.6844257	0.5606057	0.2303019	0.1520870	0.6533698	0.7696349	0.7259830	0.6985776	0.3000574	0.3089479	0.2534076	0.6735878	0.6768111	0.5245910	0.2876352	0.2898675	0.4964373	0.5076491	0.5056528	0.0750349	0.3827324	0.3731044	0.2191462	0.7396073	0.4820088	0.7539448	0.3761039	0.1290024	0.1988033	0.8867659	0.3307691	0.1502510	0.0596940
0.6336534	0.0087722	0.4083268	0.0688983	0.1518994	0.0815644	0.2298785	0.6980966	0.5542416	0.6163493	0.1795148	0.8238227	0.6112827	0.4186920	0.2082314	0.3587620	0.6699234	0.6576243	0.7741184	0.2382334	0.1071927	0.6465474	0.7491908	0.6231635	0.5661865	0.2776460	0.5508735	0.1938270	0.7928807	0.7164809	0.0378044	0.2588689	0.1667547	0.6655812	0.6453515	0.5704037	0.2060887	0.4136343	0.7010357	0.1042340	0.6963618	0.4739350	0.5363146	0.4971160	0.2891141	0.2816528	0.6971482	0.3096524	0.2355948	0.0466697
0.6465069	0.0108363	0.7545325	0.0569589	0.1830539	0.1592003	0.2299796	0.6490786	0.4962494	0.7231146	0.0814496	0.6942949	0.7288276	0.4091517	0.2389011	0.4556494	0.6613638	0.6699087	0.7673047	0.2339983	0.1272768	0.7283369	0.7306684	0.6513408	0.6515161	0.2860067	0.3758950	0.2115759	0.7777385	0.5251940	0.4831558	0.1899707	0.2979122	0.6399617	0.5122285	0.5789885	0.0933607	0.3168230	0.3445633	0.1404684	0.9035188	0.3717734	0.7720463	0.3169784	0.1654895	0.2535261	0.6337423	0.2763586	0.1996935	0.0640599
0.5792956	0.0361215	0.7711118	0.0635392	0.0650818	0.1168377	0.3289712	0.6445662	0.3214490	0.6934930	0.0898948	0.7477096	0.8220446	0.4042191	0.2459264	0.2856377	0.7282582	0.5593294	0.7011072	0.2982835	0.1416271	0.5738937	0.7360391	0.6119826	0.8460451	0.2474811	0.3537066	0.2384356	0.7525554	0.6511697	0.3876766	0.2202809	0.3715934	0.5358197	0.4517933	0.5257200	0.0721623	0.4172428	0.4550304	0.1275464	0.6538922	0.3841189	0.7828625	0.4471811	0.1241938	0.1800325	0.6432616	0.3980409	0.1312415	0.0902230
0.7105380	0.0220775	0.7067881	0.0495690	0.0993609	0.0405055	0.3246316	0.7108932	0.4358454	0.6750299	0.1053142	0.8370497	0.6041611	0.4646813	0.2277716	0.4383391	0.7128350	0.7616241	0.7106139	0.2389201	0.1309196	0.8819422	0.6612652	0.6680725	0.7594602	0.2792770	0.2909250	0.2829844	0.8257578	0.6304418	0.4117327	0.2549340	0.3308697	0.7661738	0.4265149	0.7124552	0.0884345	0.4047610	0.3976783	0.1986620	0.6792117	0.4007670	0.8488771	0.4184621	0.1202295	0.2217508	0.7022522	0.3151281	0.1646759	0.0619926
0.6254025	0.0102458	0.7530748	0.0534593	0.2057779	0.1662658	0.1267857	0.6080865	0.4643921	0.6633297	0.1229486	0.7385756	0.7533332	0.3534632	0.2358774	0.4340423	0.6440024	0.7310523	0.7220573	0.1966318	0.1354201	0.6889230	0.7142541	0.7871968	0.6781861	0.3491599	0.3450381	0.2401679	0.5155997	0.6724017	0.5312977	0.2473123	0.3848175	0.6773607	0.5891447	0.6011468	0.0895858	0.3702740	0.5230891	0.2026942	0.5399466	0.3286689	0.7918297	0.3470877	0.1420476	0.1806164	0.6867467	0.3559366	0.1950291	0.0302606
0.6453398	0.0147219	0.7128042	0.0423595	0.3348486	0.3466908	0.3019536	0.4153222	0.5433223	0.7968914	0.1108996	0.7331360	0.7883596	0.4476780	0.1735176	0.5078686	0.7761812	0.7880818	0.6893927	0.2252952	0.3243917	0.6870756	0.7448395	0.6892135	0.6841360	0.2587655	0.3420625	0.1955293	0.7463050	0.5459810	0.3764968	0.1992173	0.3892856	0.5302168	0.4574400	0.5849892	0.0787920	0.5580291	0.5150497	0.1467579	0.7088735	0.4007525	0.7026844	0.5024920	0.1610404	0.2748071	0.7423824	0.3114076	0.2257439	0.0322419
0.7827735	0.0183041	0.6669923	0.0718905	0.1346141	0.1110123	0.2774994	0.7814351	0.2512733	0.7266730	0.0634480	0.8171780	0.7072171	0.4499568	0.2163965	0.3579850	0.6348385	0.7241473	0.6453670	0.2891081	0.0918538	0.7398251	0.7368923	0.6363485	0.6876408	0.2534544	0.2575235	0.2178141	0.6766332	0.5010857	0.4740290	0.1547929	0.3599068	0.5823074	0.5033601	0.5176437	0.0749843	0.2843169	0.4792461	0.1742208	0.7137073	0.4697960	0.6755190	0.2532181	0.1208776	0.2419620	0.6266202	0.3659032	0.1234768	0.0803662
0.6711414	0.0148237	0.6126823	0.0694994	0.2253795	0.1024581	0.2414151	0.6636675	0.4473543	0.3104866	0.0931373	0.7229290	0.7296255	0.2726571	0.2435323	0.3860563	0.6962636	0.7237049	0.6096045	0.2905781	0.1274126	0.7142194	0.6853109	0.6638465	0.6282481	0.1699656	0.3909298	0.2410444	0.5603931	0.6528397	0.4280030	0.2643049	0.3415384	0.1517757	0.5864255	0.5761983	0.0672165	0.4337879	0.4839537	0.1558616	0.7563252	0.3816416	0.6558635	0.4852881	0.1282286	0.0948915	0.6875236	0.4187279	0.1598391	0.1456969
0.6065721	0.0131196	0.7296820	0.0788396	0.1244652	0.1146032	0.1828294	0.6442625	0.4606180	0.7187944	0.0497395	0.6653070	0.6475520	0.5735499	0.2493021	0.3220338	0.5946046	0.6432313	0.7369667	0.2177885	0.1061381	0.6689238	0.6557545	0.6417822	0.7704198	0.2457751	0.3139181	0.2586810	0.7610182	0.5777302	0.5139972	0.2458647	0.2819808	0.5345529	0.5089535	0.5771130	0.1235094	0.4202731	0.5032693	0.2174908	0.6557871	0.5080529	0.7066787	0.4921435	0.1363905	0.2132347	0.7725053	0.3576817	0.1670770	0.0390283
0.7271756	0.0224009	0.6613287	0.1072633	0.1441258	0.1338515	0.2454705	0.6361121	0.5885223	0.7248839	0.0725886	0.3588278	0.7765750	0.5033556	0.3218226	0.3573981	0.6167866	0.5723608	0.7704348	0.2003969	0.1391028	0.8699894	0.7627210	0.6849478	0.6359069	0.2682642	0.3306513	0.2360304	0.7811680	0.6491478	0.4929684	0.2368898	0.3522129	0.5412469	0.5550539	0.4962244	0.0880747	0.4141125	0.4959144	0.1678061	0.5210376	0.4136563	0.6876623	0.3777402	0.1332897	0.3719890	0.7237073	0.3775275	0.2198978	0.0673726
0.6209366	0.0230151	0.6611432	0.0804517	0.1629616	0.0861818	0.2184663	0.6903378	0.4309922	0.6523430	0.0908722	0.7039592	0.4116982	0.4486691	0.2740295	0.3597981	0.7687450	0.7267083	0.6468205	0.1492288	0.1507862	0.7770910	0.7596921	0.6971559	0.7838079	0.2777078	0.4225585	0.2062530	0.8381302	0.6687798	0.4379467	0.1778784	0.4355111	0.6222459	0.5132689	0.5892445	0.0767285	0.4190057	0.5304671	0.2631593	0.7645407	0.4118693	0.6375653	0.4399858	0.1916073	0.1795938	0.6485750	0.2538248	0.2363809	0.0352799
0.6369401	0.0277102	0.7347367	0.1051692	0.1182964	0.1005533	0.2840712	0.7600524	0.5067789	0.6554461	0.1688778	0.6979746	0.7060001	0.2027552	0.2553447	0.3870211	0.7531544	0.7734707	0.6517841	0.1743870	0.1111546	0.6558563	0.6407536	0.7501646	0.5858626	0.2423625	0.3647829	0.3121205	0.7386733	0.8195972	0.4258929	0.2185631	0.4664924	0.5714003	0.4740814	0.5633507	0.0587266	0.3092608	0.5433587	0.1551992	0.6892090	0.4538782	0.5467757	0.3920077	0.1523077	0.2688272	0.5991958	0.4365313	0.1597778	0.0956888
0.7695123	0.0262992	0.6425633	0.0655816	0.1676706	0.1446412	0.3115705	0.5326077	0.4892829	0.7193602	0.1378433	0.8510462	0.5741722	0.4129508	0.1477537	0.4709790	0.6852119	0.6077407	0.5423526	0.3522267	0.1931858	0.7428715	0.7686125	0.7324789	0.7274843	0.3977636	0.4392079	0.1916554	0.6618878	0.6859967	0.5030297	0.2223118	0.3051820	0.5297339	0.5220123	0.7479488	0.0907878	0.5028321	0.6740724	0.1972488	0.6296573	0.5116869	0.6868865	0.5089032	0.1934858	0.3287991	0.7645989	0.4220941	0.1545220	0.1870176
0.6898819	0.0734713	0.7422495	0.0284783	0.1544172	0.1348380	0.2798147	0.7310285	0.6186684	0.6383219	0.3040237	0.8125043	0.6847875	0.4811760	0.2056611	0.2280465	0.6524203	0.8123588	0.7963653	0.1095842	0.0952448	0.7115462	0.7411660	0.5955658	0.5830770	0.3285433	0.3956581	0.1867829	0.7520900	0.6061665	0.3445777	0.1877575	0.3081297	0.5111965	0.3719401	0.4401735	0.1200040	0.4822629	0.5094620	0.1594960	0.6978396	0.4843179	0.7340598	0.3714399	0.1480341	0.2723325	0.7272767	0.2852242	0.1981129	0.0523810
