YPL089C	YBL037W	YBR182C	YKL185W	YOR140W	YGR044C	YCR097W	YCL067C	YPL248C	YJL056C	YCR040W	YPR199C	YCR096C	YCL066W	YJL110C	YKR034W	YDR421W	YGL254W	YDL170W	YFL021W	YCR018C	YGL035C	YOL089C	YHR006W	YLR013W	YER189W	YGR103W	YBR040W	YNL253W	YDR379CA	YBR182CA	YCL041C	YML132W	YHR193C	YIL174W	YJR161C	YKR105C	MEL1	YDR441C	YBR006W	YLR023C	YMR086CA	YHR081W	YBL111C	YMR014W	YER188CA	YCR104W	YHR156C	YIL002WA	YAL025C
0.0000000	0.0306729	0.5723664	0.0563239	0.1658539	0.1300484	0.2990539	0.6787119	0.4178446	0.6972275	0.1143227	0.6488204	0.6526723	0.5294610	0.2207798	0.3171241	0.7395868	0.6862447	0.6427747	0.2172009	0.1754783	0.7351667	0.7285549	0.6245632	0.7360684	0.3224450	0.3403596	0.2194066	0.7675216	0.5815458	0.5417692	0.2000387	0.3171184	0.0241089	0.5605566	0.5662976	0.0633426	0.2446182	0.4416564	0.2089954	0.7492955	0.3965352	0.7427580	0.3521198	0.8439521	0.2611777	0.7208736	0.3863791	0.1787720	0.0214031
0.6392765	0.0000000	0.7019706	0.0693820	0.1856305	0.1580853	0.2687788	0.6407697	0.3795168	0.8125104	0.1098393	0.7507971	0.7609021	0.4411451	0.2694344	0.3817701	0.6760280	0.6879381	0.7082731	0.2272586	0.1642468	0.7355169	0.6649323	0.8619086	0.7904659	0.2511664	0.3317097	0.1469191	0.6902440	0.5989863	0.3523553	0.2267924	0.3643535	0.4660962	0.5414439	0.6786966	0.0843079	0.2771559	0.6246853	0.1283429	0.6441034	0.3954732	0.7473440	0.4175745	0.1584641	0.3454268	0.7938641	0.3479760	0.2156609	0.0821764
0.6146595	0.6811000	0.0000000	0.7367200	0.4086311	0.0760557	0.2387782	0.6602448	0.6218422	0.6601480	0.1167186	0.7805255	0.6243635	0.5133637	0.3186699	0.3110173	0.6163930	0.7591640	0.7583963	0.2322053	0.1039692	0.7236326	0.7396085	0.7893895	0.6710517	0.0450941	0.4187616	0.2276107	0.7668917	0.5696517	0.0030566	0.1358476	0.0343931	0.0082976	0.6690396	0.6537408	0.7181896	0.4295089	0.5349115	0.2348201	0.7420131	0.4804544	0.0090714	0.5659992	0.7650739	0.6607145	0.6951987	0.4046883	0.1070115	0.0365412
0.6575735	0.0204472	0.6928617	0.0000000	0.1403082	0.1075681	0.2108942	0.6577070	0.3596663	0.7378888	0.1002455	0.6518786	0.6586443	0.4316302	0.2541271	0.4179023	0.7225956	0.6187634	0.6191800	0.1645640	0.1567991	0.6596225	0.6510579	0.6556096	0.6191814	0.3639131	0.3321939	0.1628098	0.7007693	0.6368094	0.4572492	0.2063304	0.2880800	0.5379581	0.5082255	0.6053880	0.0849643	0.4686023	0.0242323	0.1868217	0.6560385	0.4416989	0.6311696	0.3618590	0.1595687	0.2118133	0.7568057	0.3521444	0.2525086	0.0279079
0.7373157	0.0321987	0.7276905	0.0352470	0.0000000	0.1275094	0.2381157	0.6598973	0.4704151	0.7167122	0.1478967	0.6248862	0.6526860	0.4247422	0.2085929	0.3066811	0.7750861	0.6814308	0.9345655	0.1743236	0.1589731	0.7689914	0.8281004	0.7350425	0.6406661	0.3769514	0.3518218	0.2692066	0.7059575	0.6208233	0.4738239	0.1974981	0.3782136	0.5503496	0.5228353	0.6103529	0.1047293	0.3747613	0.5542425	0.1590979	0.6807508	0.4162122	0.6241187	0.3665499	0.1078899	0.2362225	0.7121076	0.4143935	0.1862642	0.0464224
0.6807807	0.0259752	0.5533665	0.0626815	0.0359910	0.0000000	0.2951608	0.6763231	0.4227269	0.8043409	0.1468677	0.6497783	0.6574616	0.4051364	0.2821088	0.4733862	0.8526473	0.7390873	0.6537117	0.2103426	0.0519335	0.6999227	0.6260349	0.7155651	0.8636438	0.3764168	0.3525140	0.1860459	0.6540733	0.4642776	0.3386515	0.2043370	0.3759198	0.5300047	0.4123450	0.5854656	0.0773867	0.3588424	0.4899915	0.1604855	0.6372105	0.4901538	0.7159809	0.4172813	0.1431783	0.3422991	0.6381728	0.4107862	0.2078748	0.0478688
0.6787433	0.0155368	0.7749037	0.0606384	0.4797697	0.7980990	0.0000000	0.6224126	0.5367257	0.8048455	0.0491784	0.8469477	0.8015771	0.1554324	0.2109734	0.3880125	0.6949638	0.7258185	0.6433030	0.2518527	0.6270312	0.6353867	0.6748209	0.7804203	0.7671685	0.2643321	0.4451649	0.2273334	0.7466814	0.6923240	0.4069604	0.2282765	0.2999891	0.5840599	0.5373984	0.5301739	0.1037471	0.4260349	0.5246058	0.1569087	0.6762014	0.3814283	0.6664492	0.3184847	0.1704086	0.2473382	0.6342808	0.4194038	0.2060344	0.1463968
0.6499924	0.0051307	0.6594835	0.0716579	0.4264979	0.6240154	0.2268830	0.0000000	0.4790059	0.6910551	0.1148321	0.6981508	0.6927488	0.6791274	0.2521961	0.3469948	0.5886315	0.7324497	0.6880312	0.3273883	0.7347864	0.6342845	0.6581181	0.7158162	0.7369461	0.2548857	0.3219838	0.2601426	0.5567545	0.6170807	0.4399343	0.1651272	0.3239288	0.5834682	0.6293447	0.7083941	0.0587280	0.2485347	0.4253088	0.1534322	0.7774198	0.3872835	0.6210193	0.4378743	0.1302410	0.2687131	0.5793682	0.4155576	0.1939753	0.0749946
0.6744178	0.0250940	0.7815760	0.0971620	0.2713775	0.2384395	0.2764355	0.4582000	0.0000000	0.5997689	0.1333099	0.7285667	0.7759866	0.7742335	0.2994029	0.3767679	0.7520169	0.7171055	0.6712808	0.1790291	0.2899861	0.6983132	0.7080630	0.7863627	0.7391879	0.0173942	0.0036904	0.2360995	0.7260989	0.6833992	0.4646135	0.2005003	0.3869933	0.5168387	0.4640118	0.6750100	0.1257959	0.0327780	0.4079031	0.1587865	0.6179828	0.3316035	0.6638078	0.2084076	0.1425909	0.2668832	0.7087144	0.4029300	0.2771189	0.0722220
0.8390490	0.0056309	0.7442316	0.0620119	0.2007698	0.1264103	0.2501538	0.6310084	0.5185305	0.0000000	0.1851669	0.6796408	0.7975561	0.2512451	0.2071482	0.3834450	0.6597014	0.6199622	0.6683608	0.1849440	0.1056941	0.6033382	0.6338322	0.5876367	0.7008062	0.0180298	0.3619334	0.2166484	0.0194662	0.6589585	0.4014587	0.2172693	0.3309780	0.0406480	0.5304875	0.5667390	0.1271176	0.4994854	0.4445132	0.1857681	0.7211837	0.3806225	0.6009617	0.4438447	0.1471904	0.0736099	0.7378901	0.2956798	0.1665086	0.0590501
