YPL089C	YBL037W	YBR182C	YKL185W	YOR140W	YGR044C	YCR097W	YCL067C	YPL248C	YJL056C	YCR040W	YPR199C	YCR096C	YCL066W	YJL110C	YKR034W	YDR421W	YGL254W	YDL170W	YFL021W	YCR018C	YGL035C	YOL089C	YHR006W	YLR013W	YER189W	YGR103W	YBR040W	YNL253W	YDR379CA	YBR182CA	YCL041C	YML132W	YHR193C	YIL174W	YJR161C	YKR105C	MEL1	YDR441C	YBR006W	YLR023C	YMR086CA	YHR081W	YBL111C	YMR014W	YER188CA	YCR104W	YHR156C	YIL002WA	YAL025C
0.7367424	0.0000073	0.7108752	0.0111705	0.1024516	0.1012946	0.3364819	0.5373377	0.4973337	0.4624161	0.1024050	0.7038380	0.6561794	0.4204044	0.3298578	0.2007039	0.7991224	0.7185402	0.8286993	0.0621669	0.0354892	0.6589981	0.4804675	0.7233143	0.5693309	0.3646794	0.4273491	0.0716128	0.7215351	0.6242911	0.3952660	0.2609075	0.3082742	0.2943787	0.5499154	0.5020816	0.1458112	0.3538582	0.0664327	0.1741228	0.6991593	0.6623760	0.6808792	0.2727315	0.1115919	0.1780323	0.7639941	0.5169574	0.0449919	0.1844345
0.3921068	0.0000925	0.6302346	0.0077572	0.0439234	0.0660773	0.3472120	0.4605000	0.4182420	0.7738933	0.0325812	0.6407990	0.7672953	0.1353470	0.2568365	0.3460002	0.7229567	0.6454278	0.7943098	0.2050950	0.0435789	0.6044942	0.8200709	0.5775190	0.5533739	0.3600775	0.3271190	0.1569317	0.8183564	0.6170179	0.3819133	0.1712236	0.3457135	0.5223188	0.3657861	0.3896497	0.2955332	0.3985351	0.2922249	0.1855105	0.7976700	0.4059189	0.6041566	0.4125275	0.1181236	0.1824774	0.6913988	0.5963929	0.0244317	0.0523283
0.6534432	0.0133518	0.5429892	0.0137567	0.3194043	0.1614658	0.1954478	0.6181514	0.4345505	0.5330586	0.0786760	0.6986541	0.3046705	0.3629422	0.3214828	0.3991680	0.3120679	0.5620639	0.3728483	0.2369661	0.1229087	0.7049956	0.7515589	0.7023889	0.6662783	0.2427628	0.3566562	0.2473276	0.7879263	0.5063464	0.3343542	0.2275658	0.2709870	0.4363158	0.5760329	0.6122915	0.0841934	0.3580079	0.1522550	0.1615574	0.6677059	0.3645195	0.7004046	0.3387573	0.1838278	0.3289487	0.6842284	0.3867422	0.4205917	0.0049304
0.7417595	0.0006470	0.3002794	0.1623653	0.4150150	0.1155346	0.3029847	0.6624371	0.2376723	0.6873421	0.0760044	0.6955096	0.7338128	0.5372335	0.1853014	0.2326136	0.7804689	0.6134244	0.3187890	0.3341966	0.5271521	0.5644807	0.5989952	0.6799234	0.7777131	0.0681711	0.4070962	0.3261346	0.8177826	0.6765009	0.2141829	0.2275169	0.4107336	0.4969521	0.6651595	0.6459694	0.2834776	0.2942209	0.5386803	0.1715953	0.6631526	0.4413875	0.5543494	0.0805417	0.5047382	0.2782843	0.5944372	0.5868105	0.0389271	0.0079854
0.7739265	0.0000467	0.6314016	0.0665767	0.1113399	0.0828556	0.4936542	0.6027021	0.1156783	0.7337575	0.5367915	0.7436074	0.7051898	0.6916830	0.3787850	0.2260602	0.6168850	0.5483215	0.5144293	0.2206990	0.0522223	0.5808168	0.2447813	0.6332950	0.6313664	0.0326680	0.0859748	0.0873753	0.7455777	0.6213459	0.4168412	0.2567924	0.2244358	0.4387418	0.2651311	0.5663476	0.1223077	0.2596375	0.1546095	0.0056152	0.6893158	0.5294619	0.7093301	0.3032312	0.0746767	0.2894237	0.7582572	0.4678460	0.0627100	0.0002734
0.6409376	0.0001047	0.7415786	0.0518649	0.0976614	0.0671494	0.2266075	0.6193707	0.5143546	0.6479914	0.0672487	0.5603636	0.6363202	0.1127982	0.2207303	0.3803465	0.7208106	0.6748450	0.7515267	0.2711166	0.1157681	0.6222779	0.5047581	0.3776649	0.6436329	0.4807223	0.3203652	0.1878352	0.7090801	0.6332918	0.5174740	0.2202731	0.3054070	0.4136935	0.2829683	0.5297074	0.5339386	0.4191416	0.5098890	0.0734856	0.6618020	0.7566194	0.7225861	0.4761438	0.1295625	0.2291924	0.6213543	0.3814877	0.1460477	0.3574168
0.6429164	0.0170235	0.5149487	0.0822447	0.0705372	0.1531819	0.2948716	0.7439943	0.4597672	0.7790967	0.0543650	0.4459021	0.8478884	0.7514286	0.2858009	0.3834954	0.6260166	0.7610668	0.7927359	0.3789587	0.3697119	0.6446848	0.3225803	0.6384666	0.6123813	0.1383880	0.5764837	0.2678411	0.7121286	0.7215332	0.2298125	0.1982776	0.1818527	0.5472536	0.5277941	0.5294580	0.1082535	0.3461041	0.6290059	0.1444630	0.6561251	0.4323467	0.6833520	0.4042506	0.2471074	0.2441596	0.6704720	0.4096656	0.3502481	0.1373848
0.4547286	0.0072068	0.7282245	0.0034279	0.0090808	0.0223767	0.2497564	0.7731161	0.4077149	0.6650314	0.2482896	0.6198694	0.5958127	0.3048995	0.4087426	0.2207073	0.6757986	0.7698668	0.7277842	0.1565389	0.1715832	0.6772954	0.5246743	0.6180355	0.6434507	0.1808308	0.3263026	0.3683323	0.6879322	0.5644837	0.3964258	0.2120252	0.4974044	0.5234480	0.4929363	0.6148793	0.1139333	0.3841603	0.0930585	0.1666858	0.7250992	0.3038583	0.6335554	0.4392512	0.0816154	0.3171987	0.6361404	0.4759412	0.3973401	0.0389403
0.6778026	0.0115946	0.5820055	0.0584591	0.0716621	0.1383835	0.2451071	0.4993788	0.2631769	0.8162974	0.0892383	0.7233075	0.4772346	0.5675793	0.4442936	0.2592065	0.6597494	0.7968367	0.6455966	0.0669431	0.2022201	0.7310353	0.6264617	0.7104512	0.7038287	0.0675689	0.2334244	0.2869118	0.6426369	0.5440497	0.3836541	0.2745197	0.2423510	0.5688929	0.5139688	0.6332699	0.0436857	0.4230098	0.4251947	0.1796673	0.4449125	0.3210469	0.6948800	0.4950689	0.1722316	0.2447989	0.6001359	0.5185492	0.4185915	0.0051080
0.7843174	0.0131477	0.6181658	0.0146272	0.1109476	0.1057841	0.3125281	0.6516345	0.3598309	0.7183663	0.0165040	0.5382679	0.6400043	0.2553386	0.2159128	0.2729313	0.6098076	0.7684919	0.7201854	0.2497536	0.0297880	0.6399226	0.8325877	0.5572010	0.7408849	0.3910765	0.3903984	0.1164616	0.6601732	0.5553996	0.2648260	0.2297956	0.2669916	0.4964283	0.6033058	0.4845491	0.1444913	0.3493575	0.1016097	0.1465419	0.8040790	0.3235526	0.7200632	0.6127668	0.2150748	0.2092972	0.7083229	0.5556662	0.2886599	0.0374598
0.7351347	0.0086370	0.5716775	0.0554768	0.3358092	0.2031522	0.1966219	0.7104754	0.5788736	0.6424517	0.0817441	0.7793910	0.6760213	0.2996407	0.1842984	0.3189225	0.3680361	0.5336829	0.6983971	0.3980897	0.0950697	0.7266127	0.7478002	0.7548604	0.4139836	0.4879184	0.4745347	0.1945642	0.6615633	0.4616970	0.3160990	0.2419866	0.2215989	0.4865343	0.4970769	0.4209634	0.1576604	0.5989435	0.5979042	0.1700627	0.4856101	0.3083853	0.6753509	0.4942269	0.1494958	0.2321236	0.7293137	0.1472018	0.0997460	0.0086897
0.7032328	0.0000228	0.7478081	0.0366399	0.0127900	0.0819500	0.3696226	0.7335869	0.5136847	0.6818491	0.0528845	0.5426559	0.7288546	0.2675214	0.1888968	0.2856130	0.6868286	0.6999412	0.7342737	0.2357308	0.1681801	0.6012795	0.5694972	0.4863194	0.7473694	0.1713163	0.3197147	0.0845747	0.7104286	0.6760300	0.3560697	0.1992240	0.5842465	0.4873345	0.5533236	0.6525721	0.0674532	0.2993178	0.4791820	0.0028643	0.7753055	0.5448134	0.7814485	0.4107537	0.1390249	0.0006630	0.6822771	0.3407219	0.1075938	0.0084442
0.5368533	0.0000097	0.8350568	0.0100373	0.0475911	0.0233563	0.3170463	0.6500069	0.2068191	0.4488910	0.1916492	0.6637734	0.5566356	0.3990400	0.1596851	0.1994271	0.6195891	0.6472046	0.5547257	0.0920499	0.0194285	0.4600176	0.4345045	0.6586075	0.6488169	0.0836409	0.2862178	0.2947196	0.6943485	0.5910749	0.4026788	0.3014984	0.4426724	0.2325088	0.5105855	0.5649937	0.2825684	0.2953596	0.0246547	0.1769362	0.5757272	0.5260618	0.6515544	0.1416097	0.1613347	0.0879259	0.6824999	0.2851132	0.2035956	0.1263514
0.6854953	0.0111030	0.3107962	0.1287941	0.0389850	0.0895469	0.4022162	0.6089354	0.5549636	0.5231964	0.2994234	0.8336921	0.7775933	0.2011338	0.1748486	0.3174860	0.7487044	0.4782821	0.7284676	0.1927664	0.2452077	0.6744039	0.4646938	0.6202312	0.4517098	0.0869183	0.3189585	0.2658280	0.7850029	0.5682069	0.5342675	0.2301280	0.2134995	0.3852188	0.5705881	0.3687458	0.2859174	0.4633840	0.6082340	0.1416890	0.6326173	0.6809582	0.7193108	0.5291761	0.3171487	0.2387493	0.6802158	0.6336447	0.3438481	0.0341371
0.5761810	0.0118271	0.2266187	0.1277915	0.0685540	0.0773024	0.4162510	0.7067409	0.6390330	0.6399421	0.3287212	0.5010335	0.5538052	0.4513369	0.3382287	0.3660315	0.5632814	0.6844629	0.6661545	0.1712954	0.0641961	0.7789065	0.4332876	0.6325572	0.6490788	0.0985529	0.4584455	0.4464680	0.6319588	0.5769523	0.0329738	0.1291866	0.2641783	0.4558890	0.4167822	0.5253406	0.3760034	0.6137773	0.6408102	0.1253918	0.6210586	0.6486384	0.6301176	0.6410396	0.4119838	0.0561667	0.7012263	0.6090449	0.1548578	0.2976018
0.4825782	0.0185721	0.7700767	0.0641654	0.4575247	0.0623855	0.1896476	0.6072576	0.4333094	0.5573979	0.0673995	0.6735556	0.2928501	0.5198600	0.2482359	0.3287245	0.7028112	0.6437191	0.6552329	0.2676259	0.0736690	0.5944406	0.7231062	0.7446911	0.6713299	0.0982952	0.3213346	0.0801791	0.7588768	0.6140414	0.4161989	0.2171150	0.4288546	0.4751306	0.5552912	0.5708309	0.1827701	0.4107179	0.5348608	0.1973977	0.7182497	0.4542783	0.6726218	0.4815939	0.1874449	0.1846861	0.7817029	0.2626028	0.2816771	0.0565703
0.7185183	0.0123987	0.6210216	0.0201767	0.0830496	0.1171947	0.3107689	0.7768660	0.4470571	0.4146460	0.1704484	0.6929653	0.7530189	0.0995528	0.3602754	0.3068323	0.6159080	0.6642507	0.6285503	0.2417566	0.1553873	0.6539827	0.6035081	0.5471324	0.2636217	0.2538308	0.3363447	0.1912003	0.8040693	0.5645434	0.2762574	0.1667583	0.1426294	0.4703082	0.4000864	0.0859485	0.2020970	0.2879509	0.2392258	0.1602321	0.3842445	0.4117565	0.6313789	0.3250029	0.1370409	0.1609733	0.7858212	0.4340046	0.5763771	0.0693765
0.6612580	0.0223672	0.7227541	0.0701691	0.0521732	0.1271394	0.1301248	0.5868506	0.5986773	0.5091795	0.1075697	0.7578834	0.4332791	0.2880250	0.2516557	0.4215392	0.6219220	0.7343668	0.6482511	0.2667135	0.2919940	0.8049800	0.8181568	0.4545186	0.8241875	0.4632626	0.3585725	0.0958369	0.7030676	0.7473788	0.5471158	0.1746153	0.3596836	0.5039255	0.5587790	0.6092478	0.4432815	0.4900027	0.5540174	0.1314784	0.6332601	0.5945864	0.9482204	0.5220043	0.1124692	0.2907738	0.5670572	0.2828446	0.3977018	0.0326109
0.7163110	0.0291579	0.5865323	0.0349435	0.0982271	0.0844099	0.4504915	0.7355863	0.5054015	0.6080285	0.1839241	0.4064491	0.3294961	0.5501750	0.2268008	0.2389227	0.7878731	0.8108611	0.5179031	0.1658893	0.1710891	0.7251318	0.5096082	0.6604644	0.6470242	0.3482140	0.2800731	0.0911851	0.6933180	0.5727469	0.3346917	0.1236427	0.3147130	0.6171320	0.5861867	0.5114903	0.4577324	0.3696309	0.4252848	0.1602514	0.6560893	0.3966818	0.6962810	0.2019012	0.1385563	0.2482571	0.8387355	0.2967089	0.1718887	0.2087879
0.7425684	0.0262288	0.7096969	0.0032275	0.1254756	0.0919157	0.4066569	0.6203970	0.2310500	0.8327688	0.4705291	0.6729026	0.7005861	0.6379401	0.2090018	0.2702831	0.6598455	0.5689709	0.5528461	0.1361342	0.2295510	0.5955946	0.5398949	0.7266409	0.7327802	0.1883045	0.3162213	0.4365941	0.7013882	0.6492427	0.3457294	0.2501172	0.2594204	0.6078632	0.2669378	0.6259075	0.0618183	0.2875090	0.0268989	0.2255180	0.5814639	0.5193571	0.6835253	0.2630251	0.1078319	0.1937975	0.7022472	0.4923010	0.2718741	0.1319580
0.7591964	0.0192618	0.7986758	0.0594314	0.0832506	0.1137771	0.2821588	0.7470432	0.5201194	0.7210873	0.2923981	0.5220041	0.5121515	0.4573595	0.3722348	0.2650744	0.3412869	0.7153729	0.7913755	0.4237788	0.2350340	0.5563701	0.4520791	0.7941770	0.7417337	0.0355815	0.4000189	0.1103173	0.6309217	0.2730700	0.5212879	0.2534302	0.5632152	0.4390233	0.4238958	0.4981083	0.0504553	0.3547564	0.6432551	0.1720851	0.6816399	0.5261514	0.7275646	0.1961446	0.0629522	0.2083297	0.7409881	0.6842080	0.1350720	0.1373389
0.6086167	0.0220663	0.7205596	0.0369586	0.0082126	0.0159814	0.3828494	0.6182148	0.5922867	0.6544955	0.3237291	0.5032486	0.6162481	0.4298120	0.2660705	0.2792983	0.6962570	0.6073369	0.7514782	0.4528317	0.0130648	0.6318260	0.6151218	0.3570475	0.6621664	0.2657484	0.4900052	0.1651613	0.7345329	0.4837097	0.3789678	0.1905757	0.4032563	0.5875731	0.3460213	0.6436468	0.0728492	0.3947724	0.6368190	0.0002972	0.4377079	0.3227595	0.6381727	0.2682241	0.1058521	0.2314276	0.6593119	0.5423695	0.2489378	0.0112894
0.5975327	0.0000477	0.7888035	0.0612889	0.0995169	0.1051585	0.3327515	0.5183028	0.5948586	0.3476106	0.3081674	0.7285132	0.6615452	0.2393214	0.2654184	0.3294791	0.7803973	0.6314027	0.5385833	0.4368332	0.1141157	0.6738795	0.7207206	0.6965679	0.7789351	0.4353251	0.4085295	0.2607720	0.5890623	0.5085638	0.4614825	0.1455841	0.3308536	0.3065074	0.5045131	0.5165618	0.0399760	0.3068844	0.4680061	0.0022529	0.7615541	0.5562499	0.7515963	0.3211752	0.0460227	0.1239520	0.7364177	0.4987404	0.1179276	0.0319208
0.7660207	0.0057300	0.6868425	0.0808862	0.1112903	0.2096652	0.2733046	0.7554538	0.6179806	0.7026798	0.4437632	0.6472091	0.6487445	0.3916234	0.2246284	0.3061140	0.5392182	0.5891374	0.5636532	0.2870935	0.1006893	0.7499144	0.5194295	0.4992751	0.7612632	0.3872930	0.6248785	0.0494904	0.7344049	0.6102752	0.4680824	0.2183721	0.2680823	0.4329259	0.5959697	0.5013303	0.0481990	0.3981699	0.4063893	0.1953418	0.6736720	0.5936753	0.7535675	0.4461151	0.0897348	0.2443728	0.6353699	0.5511635	0.2343390	0.0603817
0.6050493	0.0374723	0.4827838	0.0245462	0.0451290	0.1280334	0.2338981	0.8365854	0.5342490	0.5946283	0.2229172	0.6182375	0.7398283	0.2745386	0.2654159	0.2727015	0.4579659	0.6489117	0.6980471	0.3388115	0.3755341	0.7873608	0.8190532	0.7523918	0.7307310	0.4516021	0.3687867	0.3913078	0.6779649	0.5326356	0.2428820	0.1589489	0.2580609	0.3767421	0.6211947	0.6264120	0.4983786	0.3659047	0.2859813	0.0747961	0.7148050	0.4724005	0.6880165	0.3790093	0.1712477	0.1962192	0.6437664	0.3612041	0.2886643	0.1859417
0.6942572	0.0017494	0.4805699	0.0033619	0.3443811	0.2825580	0.1987285	0.3483745	0.5731298	0.4331011	0.1919920	0.5731017	0.7353569	0.2540600	0.3473706	0.3878158	0.7748895	0.4611971	0.5752203	0.1437521	0.3347820	0.7550302	0.7275139	0.7730625	0.6818259	0.0694170	0.3189747	0.2840832	0.7635472	0.5697453	0.3329444	0.2543478	0.3528407	0.3512987	0.5757845	0.5096186	0.0512959	0.5639656	0.2070089	0.1639881	0.5422792	0.4021967	0.5424025	0.2848118	0.1811569	0.1904183	0.6850866	0.1895390	0.4021243	0.1430861
0.5588003	0.0000138	0.8204279	0.0495408	0.2458982	0.3181476	0.2428100	0.5026352	0.3661083	0.6856915	0.0691315	0.6703614	0.4474274	0.3184720	0.1992276	0.3686735	0.6726885	0.5472754	0.7186992	0.3407547	0.1421962	0.5486216	0.7533254	0.5615218	0.5558567	0.1992809	0.4808018	0.1748679	0.7149801	0.6273450	0.4606448	0.2488555	0.3333601	0.4073269	0.5725298	0.6261731	0.4816799	0.3272352	0.3245285	0.1076070	0.8239598	0.4788230	0.6683786	0.1507448	0.1199196	0.2755279	0.7062812	0.0784486	0.0829546	0.0149461
0.6698639	0.0001267	0.7128117	0.0215056	0.0122386	0.0357468	0.2409929	0.7145588	0.5235519	0.6753507	0.3290919	0.3559711	0.5614877	0.3894541	0.3249627	0.3788065	0.5874354	0.5371563	0.3556729	0.3314777	0.1971131	0.6100642	0.6914612	0.6184483	0.5085740	0.3449847	0.4139125	0.4533062	0.7087754	0.5426241	0.3612234	0.1883854	0.2314349	0.5067358	0.5470591	0.4434292	0.1316537	0.3736379	0.1182583	0.0030681	0.7210297	0.3581095	0.8162089	0.4912222	0.1486820	0.1934010	0.6687182	0.5306624	0.2074729	0.0439144
0.7526329	0.0212611	0.6034198	0.0058908	0.3879687	0.1018801	0.3174568	0.4887253	0.3688271	0.8565826	0.1443221	0.6534661	0.6062929	0.5880326	0.1682502	0.4180447	0.7827485	0.7319053	0.4176462	0.1679813	0.3129705	0.6042386	0.6399714	0.3641850	0.7267055	0.1455707	0.2748603	0.3992462	0.8213973	0.7300796	0.5703134	0.1723942	0.3843726	0.6532670	0.4863867	0.6382758	0.0422368	0.2395427	0.0420946	0.2096070	0.5562724	0.3958613	0.7368789	0.2083824	0.1504392	0.2350970	0.6413028	0.1617953	0.1604346	0.0881389
0.3564603	0.0003034	0.6798184	0.0576844	0.1336586	0.1135950	0.1540972	0.6782684	0.1211717	0.6204503	0.0147588	0.6467969	0.6353143	0.5091371	0.3462868	0.2936036	0.6285289	0.7353022	0.5734584	0.1898347	0.1649975	0.3953352	0.7729097	0.7588417	0.6295313	0.1865482	0.1792227	0.3636344	0.7084938	0.6029418	0.5432947	0.1463818	0.3473346	0.4631822	0.5447522	0.4799053	0.1154745	0.3170190	0.2496852	0.2390529	0.7442966	0.3477576	0.6659945	0.6137045	0.1504028	0.2913279	0.5671155	0.2937963	0.1068246	0.0372876
0.6910074	0.0144600	0.6100132	0.0850617	0.0244323	0.0098658	0.2701283	0.7239301	0.4567545	0.6607339	0.1117157	0.6031743	0.7347061	0.2877921	0.2558326	0.2887469	0.7336933	0.7615093	0.6677653	0.1669509	0.1924983	0.8070278	0.7101407	0.8270394	0.7097372	0.4748064	0.4153935	0.2721687	0.5700985	0.6945599	0.2995601	0.2158570	0.3011312	0.4738607	0.3861683	0.6953044	0.3055748	0.5843345	0.6882178	0.1638621	0.6383352	0.5857301	0.7344924	0.3876322	0.1436712	0.1719147	0.7494523	0.3997434	0.4069983	0.0086471
0.6564898	0.0006037	0.7826366	0.0712427	0.0572197	0.1151788	0.3225294	0.7155416	0.3318002	0.5256534	0.2632246	0.7337604	0.7137776	0.2765754	0.5424035	0.1998640	0.7106210	0.6427874	0.6895658	0.1036353	0.1939563	0.6266041	0.6005801	0.5246865	0.5988863	0.2712149	0.2991965	0.1847254	0.5817037	0.6524290	0.6355453	0.1999554	0.3428088	0.4540920	0.4114961	0.5506321	0.0639584	0.2960101	0.3707998	0.0071257	0.6693411	0.4930328	0.5977262	0.3722335	0.1409958	0.3650526	0.7487793	0.3567665	0.0996147	0.1534596
0.6058656	0.0000885	0.5974319	0.0026310	0.0772522	0.1120256	0.2435700	0.5856087	0.5011440	0.7960382	0.1438511	0.7741821	0.6028122	0.4582832	0.4638401	0.1784096	0.7067068	0.7380224	0.6878010	0.1606870	0.1433060	0.8275229	0.7423405	0.6656046	0.5127957	0.2134190	0.3548523	0.0451405	0.6490586	0.6640792	0.3600602	0.1510445	0.3611210	0.3802865	0.5254734	0.4704061	0.1443242	0.3766399	0.2292372	0.2438431	0.6025697	0.5304327	0.7245169	0.4236278	0.1784123	0.1485128	0.6170955	0.4230783	0.1180216	0.4295055
0.5341826	0.0000700	0.5609005	0.0049210	0.1324087	0.1776740	0.2974469	0.6228782	0.2032343	0.7807215	0.1703145	0.6380341	0.6994594	0.4002646	0.2764035	0.2839525	0.7053019	0.5772875	0.4642129	0.3567669	0.2084288	0.4899968	0.6111615	0.6829459	0.7707044	0.0698171	0.2688217	0.3287059	0.6663888	0.8012806	0.3627009	0.1376228	0.3974033	0.4887198	0.5424844	0.6461694	0.1451751	0.2993559	0.0611347	0.0814741	0.7692410	0.3706575	0.6438466	0.4660828	0.2467738	0.2650767	0.7031301	0.3703614	0.3368583	0.1622676
0.2954156	0.0257228	0.6873005	0.0463583	0.0734336	0.1544713	0.2508132	0.6137226	0.5083688	0.6633628	0.2482934	0.7988417	0.6459582	0.3596749	0.2063812	0.3481287	0.6269882	0.8301585	0.6725787	0.2265475	0.2153560	0.7487684	0.6638949	0.6010718	0.6882706	0.1838989	0.4935167	0.3002941	0.7931181	0.6555599	0.1916081	0.3266887	0.4074503	0.2444956	0.6989801	0.5525531	0.5150103	0.4333994	0.7165016	0.2005471	0.7578510	0.6016341	0.6597166	0.6028200	0.1146656	0.0543530	0.8333524	0.5303916	0.2652219	0.0278337
0.4577201	0.0021206	0.4942910	0.0883663	0.0788838	0.0220904	0.2264505	0.9249524	0.4096015	0.4952140	0.4137410	0.7652598	0.6370600	0.4937166	0.2152687	0.2817878	0.7422187	0.5381601	0.6853891	0.1899785	0.2237667	0.6386587	0.6733514	0.7796752	0.5734264	0.0891144	0.2980256	0.1797582	0.7031314	0.6849485	0.2641954	0.2733394	0.1821630	0.3572954	0.6008546	0.5426986	0.0453608	0.5217866	0.4749267	0.1712987	0.6308630	0.7501244	0.7121118	0.2125641	0.3145885	0.2013941	0.5559593	0.4933411	0.3256916	0.0314249
0.4166150	0.0154564	0.3339111	0.1181753	0.0974081	0.1132234	0.3163898	0.6390327	0.4014380	0.5939879	0.3415160	0.6573631	0.7307202	0.3918745	0.3419362	0.1240361	0.6268430	0.6059185	0.6313432	0.1407160	0.1179897	0.6705248	0.7365293	0.2564130	0.5939550	0.0189971	0.4078253	0.2001256	0.7115609	0.6617273	0.0640770	0.2166767	0.1108894	0.3271934	0.6122924	0.4743905	0.2544464	0.4489076	0.5189415	0.0476945	0.7506024	0.7204604	0.6893660	0.2267035	0.3780927	0.2853284	0.7637502	0.7142027	0.2278228	0.0001816
