YPL089C	YBL037W	YBR182C	YKL185W	YOR140W	YGR044C	YCR097W	YCL067C	YPL248C	YJL056C	YCR040W	YPR199C	YCR096C	YCL066W	YJL110C	YKR034W	YDR421W	YGL254W	YDL170W	YFL021W	YCR018C	YGL035C	YOL089C	YHR006W	YLR013W	YER189W	YGR103W	YBR040W	YNL253W	YDR379CA	YBR182CA	YCL041C	YML132W	YHR193C	YIL174W	YJR161C	YKR105C	MEL1	YDR441C	YBR006W	YLR023C	YMR086CA	YHR081W	YBL111C	YMR014W	YER188CA	YCR104W	YHR156C	YIL002WA	YAL025C
0.0000000	0.0332359	0.9534028	0.0942618	0.2043734	0.1634963	0.3838296	0.9437017	0.5752594	1.0484149	0.1753617	0.9362797	1.0449802	0.6253865	0.2891513	0.5175322	1.0490288	0.9552507	0.9997323	0.3983150	0.1818009	0.9688637	1.0508951	0.9985976	1.0217524	0.4702611	0.5213488	0.3166609	0.9594357	0.9168690	0.6491151	0.3299850	0.4905612	0.0344086	0.8334206	0.8341591	0.0877249	0.4334885	0.6766128	0.2475658	0.9871778	0.6109469	1.0111871	0.5817896	1.0022407	0.4274207	0.9723935	0.5133992	0.3031316	0.0598284
0.9451934	0.0000000	1.0050572	0.0838371	0.2458985	0.1564716	0.4032753	0.9681408	0.6421393	1.0641321	0.1643489	1.0859869	1.0092019	0.5581622	0.3686383	0.5524291	1.0159776	1.0652118	0.9979615	0.3290474	0.1849599	1.0502513	1.0012021	1.0747223	1.0340448	0.3986699	0.5130088	0.2620274	1.0052891	0.9478523	0.5809094	0.3252610	0.5039068	0.7869811	0.8339705	0.9720800	0.1459612	0.5023282	0.8182258	0.2597016	1.0089128	0.6284798	0.9351354	0.5243318	0.2235150	0.3724030	1.0226559	0.5353494	0.2974957	0.1136738
0.8949291	0.9635507	0.0000000	1.0231010	0.5914666	0.1353686	0.3420809	0.8914897	0.8192836	1.0149651	0.1159284	0.9770803	1.0310630	0.6789747	0.3711369	0.4881729	0.9617963	0.9842074	1.0893689	0.3183483	0.1624866	0.9979742	1.0094383	0.9696232	1.0286114	0.0424411	0.5614603	0.3758081	0.9286425	0.9536890	0.0039139	0.2771446	0.0567302	0.0237946	1.0297962	0.7997613	1.0033019	0.6239316	0.9108197	0.2527189	1.0233044	0.6035767	0.0128683	0.8378546	0.9660168	1.0112044	1.0838707	0.5525943	0.1225205	0.0919000
0.9380140	0.0345667	1.0134203	0.0000000	0.1911548	0.1749548	0.3781745	0.8769933	0.6370015	1.0617818	0.1608861	1.0720330	0.9858437	0.5900680	0.3497324	0.5171148	0.9666575	0.9846395	0.9636799	0.3444913	0.1898041	0.9494562	1.0443689	1.0252202	1.0176335	0.4662828	0.5863013	0.2737881	1.0899698	0.9619422	0.6839264	0.3253981	0.4599490	0.7556065	0.7465434	0.8004630	0.1350119	0.6194371	0.0326013	0.2438319	0.9842396	0.6326951	0.9634537	0.5789679	0.2088301	0.3702048	1.1654238	0.5275419	0.2922278	0.0714990
1.0614396	0.0290444	1.0265698	0.0852947	0.0000000	0.1751188	0.3532162	0.9422666	0.6965358	0.9581426	0.1901011	1.0503971	1.0224687	0.6025424	0.3403694	0.5677666	1.0862276	0.9411085	1.0912549	0.3320199	0.1996440	1.0279266	1.0528513	1.0170302	1.0235138	0.4169168	0.5780478	0.3337646	1.0259768	0.8983225	0.7065582	0.2942747	0.5520154	0.7648522	0.7496806	0.7997339	0.0954523	0.5692606	0.7504236	0.2152181	1.0276397	0.5791402	0.8428749	0.5721860	0.1727107	0.3661466	0.9765434	0.5706474	0.3153600	0.0613574
0.9674740	0.0530984	0.9343445	0.1060667	0.0712957	0.0000000	0.3848530	0.9265083	0.6923542	1.1262656	0.2028550	1.0099794	1.0098009	0.5915694	0.3268940	0.5849453	1.0493999	0.9793197	0.9927268	0.3342840	0.0536487	1.0513290	1.0145524	0.9822144	1.0665526	0.4327569	0.5318857	0.2716294	0.9327729	0.7854004	0.5641490	0.3246605	0.5120727	0.8190262	0.7462603	0.8768618	0.1263306	0.5170976	0.6965563	0.2451991	0.9921040	0.6516584	0.9517685	0.5793928	0.2126846	0.3805528	0.9488309	0.4913584	0.3305860	0.0879497
1.0249898	0.0158693	0.9917207	0.1019315	0.5704136	1.0537502	0.0000000	0.9659287	0.7184188	0.9656739	0.0801844	0.9913826	1.0904250	0.2218306	0.3484551	0.5269904	1.0500055	1.0725032	0.9515847	0.3854084	0.7512821	0.9822321	0.9539285	1.0309351	1.0533830	0.3775519	0.5158252	0.3193126	1.0131306	0.9443084	0.6397039	0.2690552	0.4568192	0.7705465	0.8175350	0.7571697	0.1286017	0.5979326	0.7238111	0.2846964	1.0501059	0.6328746	0.9492132	0.5378267	0.2235508	0.3318920	0.9686000	0.6086365	0.2586137	0.1261371
0.9365787	0.0225033	0.9987678	0.1068674	0.6308018	0.9752612	0.4209585	0.0000000	0.6590862	0.9741125	0.1902251	1.0293899	1.0340651	0.9016856	0.3528714	0.5878482	1.0160583	1.0329558	0.9862862	0.4211249	0.9083851	1.0091318	0.9903114	1.0111353	1.0292949	0.4198352	0.4283367	0.2900535	0.9423021	1.0229044	0.6728253	0.3036972	0.4944257	0.8065761	0.8230584	0.8542240	0.0969901	0.4708177	0.6829310	0.2464589	0.9976109	0.5744030	0.9080768	0.5514745	0.2269305	0.3550630	0.9434883	0.6516173	0.2840382	0.1099826
0.9770657	0.0315931	1.0853414	0.1090628	0.3973514	0.3434720	0.3644297	0.6215335	0.0000000	0.9734469	0.1630406	0.9796156	0.9838923	1.0131919	0.3745526	0.5732171	1.1480645	1.0214149	0.9403307	0.3218335	0.4463819	0.9960185	1.0997567	1.0396100	0.9983975	0.0408466	0.0203747	0.3172453	1.0417606	0.9151142	0.6821557	0.2802060	0.5689377	0.7946402	0.8009154	0.8136436	0.1214163	0.0522875	0.5684025	0.2369349	0.9256781	0.5996678	0.9786308	0.3624943	0.2126514	0.4091036	0.9694942	0.5075280	0.3209761	0.0735481
1.0469958	0.0185772	1.0910691	0.0930918	0.2099445	0.1719221	0.3675793	1.0213562	0.7221816	0.0000000	0.1860342	1.0602854	1.0378906	0.2279798	0.3244601	0.5440719	1.0266141	1.0214790	1.0534137	0.2812061	0.1575791	1.0465076	1.0109282	0.9408747	0.9392370	0.0473916	0.5216869	0.2512126	0.0399216	0.9678120	0.6962079	0.2787231	0.5560371	0.0318626	0.7716496	0.8583119	0.1075254	0.6130427	0.6572533	0.2269332	1.1128376	0.5842396	0.9435792	0.6482002	0.1900032	0.1319432	0.9881095	0.5434421	0.2775270	0.0635109
1.0508257	0.0351837	1.0291894	0.0900047	0.2173172	0.1480242	0.3996653	0.9713593	0.6996617	0.9293631	0.0000000	1.0555429	1.0587065	0.6848113	0.3480339	0.5264334	1.0152797	0.9595625	0.9288918	0.3612284	0.1491705	0.9591387	1.0656268	1.0556431	1.0967655	0.4253956	0.5325563	0.2688113	1.1419277	0.8773752	0.6364496	0.4055264	0.4936871	0.7975710	0.7457205	0.7889866	0.1189171	0.5701322	0.7704245	0.2692093	0.9449297	0.6611739	0.8930821	0.4931089	0.1933417	0.3764409	1.0370941	0.5171944	0.3463957	0.0593349
1.0126699	0.0348518	1.0418562	0.0725157	0.2283270	0.1659614	0.4064605	1.0161365	0.7216905	1.0498410	0.0820196	0.0000000	1.0557010	0.6078244	0.3176914	0.5151243	1.0480840	1.0187355	1.1281403	0.3139485	0.1849327	0.9074567	1.0505145	0.9793990	1.0591189	0.3524705	0.4764743	0.8033859	1.0268182	0.9570795	0.5884265	0.3238615	0.5329681	0.8225404	0.7338809	0.9223833	0.1105614	0.5918252	0.6884244	0.2269919	0.9748549	0.0956585	1.0273218	0.6281664	0.1846009	0.3872510	0.9201316	0.5340737	0.2522389	0.0767377
