YPL089C	YBL037W	YBR182C	YKL185W	YOR140W	YGR044C	YCR097W	YCL067C	YPL248C	YJL056C	YCR040W	YPR199C	YCR096C	YCL066W	YJL110C	YKR034W	YDR421W	YGL254W	YDL170W	YFL021W	YCR018C	YGL035C	YOL089C	YHR006W	YLR013W	YER189W	YGR103W	YBR040W	YNL253W	YDR379CA	YBR182CA	YCL041C	YML132W	YHR193C	YIL174W	YJR161C	YKR105C	MEL1	YDR441C	YBR006W	YLR023C	YMR086CA	YHR081W	YBL111C	YMR014W	YER188CA	YCR104W	YHR156C	YIL002WA	YAL025C
1.0408760	0.0000501	1.0874948	0.0135672	0.1494931	0.1128670	0.4370114	0.7864908	0.6318444	0.6365847	0.1417453	1.0452618	0.9307558	0.6209416	0.4361899	0.2693253	0.8883886	1.0412633	1.0436958	0.1095948	0.0382852	0.9465186	0.7643964	0.9776354	0.9471737	0.5942480	0.5384983	0.1394371	0.9944185	0.9375692	0.5900890	0.3271703	0.4252296	0.4461683	0.8223776	0.7101988	0.2088443	0.4524726	0.0905673	0.2482882	0.9470461	0.9789204	0.9023476	0.3461259	0.1579669	0.2610459	1.0169569	0.7670835	0.0962545	0.2263348
0.5632570	0.0001793	0.9608158	0.0041722	0.0888106	0.0831807	0.4851590	0.6944418	0.5688722	1.0540152	0.0271443	0.9831805	0.9726282	0.2009859	0.3195451	0.5072191	1.0019896	0.9761899	0.9984420	0.3166151	0.0635794	0.8557768	0.9934174	0.9052098	0.8596222	0.5989016	0.4523415	0.2029567	1.0196666	0.9189366	0.5657377	0.3214055	0.4358782	0.8111339	0.6437377	0.6871997	0.5371853	0.4988897	0.3949581	0.2314957	1.0422098	0.5906474	0.8832724	0.6323889	0.1889977	0.2520923	0.9766378	0.8398788	0.0670792	0.0412035
0.8212155	0.0225255	0.6820155	0.0318748	0.4703416	0.2592367	0.3303882	0.8312460	0.6227515	0.7411443	0.1465007	1.0195465	0.4535656	0.4264320	0.3399505	0.5729130	0.4863415	0.8418294	0.4330296	0.2579778	0.1727667	1.0002039	0.9715212	1.0102952	0.9741911	0.3891622	0.5000909	0.3369567	1.0201936	0.5524070	0.4624756	0.3731656	0.3060915	0.6189373	0.8727385	0.7786935	0.1267471	0.5413078	0.2757651	0.2638312	1.0080937	0.5299780	1.0205105	0.4680242	0.2764199	0.3586324	0.9911986	0.5991906	0.6616239	0.0154094
0.9644071	0.0006369	0.4378362	0.2479154	0.6311630	0.2020814	0.3836204	0.8603953	0.4027996	1.0596244	0.0992347	0.8843406	1.0156020	0.6725370	0.2811859	0.3921856	1.0271982	0.9450486	0.5694660	0.4638822	0.8415348	0.7514864	0.9722861	0.9797543	1.0958234	0.1119553	0.5366185	0.4787489	1.0398856	0.9050318	0.3199872	0.3145827	0.6103884	0.7567024	0.9972398	0.7985948	0.3464894	0.4544076	0.7787178	0.2103767	0.9772094	0.4863908	0.8870141	0.1012370	0.6809471	0.3918772	0.8921862	0.8408422	0.0703186	0.0115959
0.9606783	0.0000945	0.9822451	0.0895729	0.1396153	0.1312189	0.8094009	0.9627696	0.2058223	0.9713902	0.8512471	1.0121226	1.0046428	0.9656363	0.6035492	0.2643778	0.9830813	0.8539799	0.8983187	0.2568768	0.0844590	0.6441877	0.3334454	0.9222211	0.9616119	0.0570264	0.1755433	0.1716771	0.9840224	0.9432906	0.6031942	0.3399217	0.4481511	0.6816430	0.4327856	0.8216339	0.2031640	0.3767483	0.2882239	0.0054918	1.0282917	0.7554119	1.0069038	0.4702155	0.1214965	0.4361220	1.0138291	0.7431288	0.1010679	0.0003754
0.9493165	0.0002878	1.0520676	0.1002571	0.1445537	0.1220445	0.3647060	0.9561932	0.7447811	0.8027626	0.0818751	0.7830387	0.9478400	0.1715256	0.3686026	0.6006389	1.0153393	0.9887549	1.0505351	0.3786393	0.1578796	1.0053114	0.8370129	0.5245104	0.8433811	0.6713594	0.5568915	0.2860283	1.0639888	0.9985094	0.6978329	0.3320713	0.4696776	0.5169012	0.3578394	0.6992892	0.7034851	0.5615644	0.8722631	0.1049731	0.9232447	1.0033857	0.9848009	0.5767492	0.2101652	0.3358810	0.9599275	0.4931114	0.2630862	0.5254472
1.0090086	0.0300343	0.6502589	0.1025984	0.1038396	0.1879400	0.4696395	1.0033983	0.7174059	1.0960679	0.0839344	0.6381187	1.0192282	0.8594584	0.3882939	0.5791262	0.9104550	0.9964064	1.0533541	0.3584745	0.4719905	1.0124403	0.5860122	0.9932777	1.0046513	0.2811870	0.6748625	0.3216788	0.9143783	1.0447406	0.2993340	0.3647681	0.3164123	0.8087373	0.7956223	0.8397060	0.1206547	0.4682841	0.8155996	0.2729489	0.9932925	0.5136926	0.9861707	0.5725966	0.3368007	0.3490751	1.0443221	0.6179865	0.5124410	0.1867140
0.7685376	0.0164808	1.0261463	0.0076595	0.0082942	0.0218219	0.3490854	0.9498435	0.6775907	1.0290543	0.2881610	0.9874881	0.9848719	0.5152798	0.5210706	0.3574461	1.0288787	0.9419138	0.9851668	0.3274519	0.1585610	0.8837770	0.7975817	0.9225122	1.0078192	0.2549747	0.4636798	0.4900889	0.9429541	0.8506829	0.6710755	0.3185866	0.6749099	0.7352565	0.7696561	0.8627573	0.1299814	0.5648643	0.1302502	0.2682237	1.0118195	0.5335607	0.9834280	0.5210887	0.1011201	0.3737090	0.9793025	0.6603080	0.5565221	0.0599657
0.8950535	0.0202754	0.8694306	0.1385769	0.1247608	0.1731421	0.3844732	0.6172031	0.4173203	1.0819530	0.1339919	1.0568612	0.7196171	0.8576175	0.6141637	0.3904578	0.8820958	1.0414050	0.9401692	0.1672069	0.2691772	0.9123199	1.0173772	1.0559634	0.9882154	0.0818283	0.3281489	0.5010982	1.0115543	0.8737289	0.4803941	0.3192687	0.4171515	0.8547675	0.8046008	0.7623372	0.0824593	0.6074640	0.6109688	0.2023960	0.6291431	0.5027772	1.0238091	0.6427968	0.2447732	0.3935310	0.9216997	0.8066009	0.7096748	0.0093367
0.9539824	0.0315965	0.8090157	0.0187501	0.1079221	0.1393831	0.3621540	0.9524505	0.6437383	0.9923007	0.0383017	0.9167077	0.7748517	0.3894470	0.3223042	0.5710999	0.9310937	1.0224749	1.0467928	0.3639597	0.0639988	0.9877630	1.0062370	0.7057116	0.9133632	0.5404853	0.4767678	0.1937332	1.0730787	0.8686757	0.3792694	0.3250584	0.3751996	0.7524208	0.7248865	0.8003167	0.1773470	0.5163928	0.1304140	0.2817002	1.0275852	0.4471742	0.8872978	0.8751377	0.2772083	0.3329295	0.9719100	0.8513863	0.4922944	0.0589855
