YPL089C	YBL037W	YBR182C	YKL185W	YOR140W	YGR044C	YCR097W	YCL067C	YPL248C	YJL056C	YCR040W	YPR199C	YCR096C	YCL066W	YJL110C	YKR034W	YDR421W	YGL254W	YDL170W	YFL021W	YCR018C	YGL035C	YOL089C	YHR006W	YLR013W	YER189W	YGR103W	YBR040W	YNL253W	YDR379CA	YBR182CA	YCL041C	YML132W	YHR193C	YIL174W	YJR161C	YKR105C	MEL1	YDR441C	YBR006W	YLR023C	YMR086CA	YHR081W	YBL111C	YMR014W	YER188CA	YCR104W	YHR156C	YIL002WA	YAL025C
0.5197179	0.0295167	0.9079052	0.0981140	0.2048790	0.1185763	0.3501837	0.9714218	0.7708231	1.1993239	0.1119533	1.0381564	1.0353678	0.7875096	0.3495306	0.5068210	0.9241228	0.8724554	1.0470180	0.3247319	0.2007439	1.0327858	1.0474594	1.0712736	0.9869446	0.3854504	0.5238543	0.2976573	1.0712829	0.8726390	0.5499995	0.3721164	0.5451931	0.5548792	0.7936193	0.9145334	0.1172873	0.5098641	0.7752938	0.2656132	1.0242858	0.6648809	1.0191412	0.5766435	0.3010784	0.4068877	1.0134673	0.4550386	0.3597236	0.0856362
1.1067235	0.0099514	1.1356121	0.0855823	0.2907912	0.1485083	0.2677733	0.9964130	0.6232413	1.0620912	0.1115248	1.0522624	1.0420958	0.5250859	0.3343947	0.6049005	1.0025172	1.0339527	1.0112921	0.2756425	0.2522742	0.9036477	1.0124879	1.0744143	1.0779821	0.3789864	0.4774983	0.2812246	1.0584152	1.0051990	0.6515421	0.3606029	0.5324012	0.7209381	0.8028443	0.8054446	0.0706289	0.5412265	0.6555075	0.2351311	1.0079110	0.7715444	0.9737849	0.5592076	0.2678401	0.4514496	0.9240848	0.4465099	0.2439331	0.1184566
0.9951080	0.0187269	0.4969325	0.1492005	0.2069606	0.1512852	0.4688011	1.0460870	0.7456810	0.9813366	0.1738373	1.0690895	0.9503786	0.8153260	0.3418581	0.4001457	1.0358682	0.9938883	0.9975242	0.2905843	0.2136767	0.9994391	1.0094108	0.9344833	1.0104280	0.2835164	0.5217797	0.3391221	0.9250057	0.9625965	0.0689872	0.3331814	0.2534700	0.8870539	0.8887929	0.8972132	0.2912204	0.5323405	0.9119541	0.2186237	0.9300491	0.6007330	0.9172988	0.7726851	0.4617776	0.4547983	0.9647243	0.4633414	0.3209468	0.0972165
1.0006827	0.0300010	0.9306338	0.0590516	0.2545878	0.1399911	0.4005686	0.8215633	0.7389966	1.0741198	0.1390926	0.9680933	1.0286702	0.6249920	0.3350139	0.5350192	1.0613904	0.9249479	0.9090324	0.3225922	0.2120690	1.0006550	1.0515838	1.0418039	0.9529326	0.3858529	0.5138173	0.3538304	1.0023345	0.9015885	0.6042257	0.3214626	0.5389506	0.7952642	0.7120159	0.7773961	0.1008934	0.5567208	0.5136499	0.2297161	0.9913172	0.6128739	1.0061999	0.6106563	0.1868099	0.3790176	1.0437253	0.5277220	0.3186961	0.1010328
1.0086987	0.0285639	1.0663191	0.1009166	0.1244779	0.1693453	0.4520912	0.9828496	0.6957413	0.9528677	0.1442337	1.0861653	1.0064662	0.6799641	0.4078221	0.5306640	1.0814816	0.9095678	0.9137168	0.3429273	0.2056300	0.9437570	0.9433904	0.9324606	1.0453145	0.4319331	0.5174393	0.3128125	0.9128052	0.9566156	0.5728096	0.2946843	0.4607434	0.7559382	0.7270374	0.7401436	0.1115616	0.4504519	0.7659022	0.2223529	0.9467691	0.5752215	1.0541576	0.5825957	0.2134163	0.4040295	0.9366941	0.5612957	0.2578100	0.0740393
0.9145750	0.0312895	1.0660856	0.0782843	0.1750849	0.1035368	0.3230635	0.9872771	0.6528758	1.0649181	0.1597573	1.0914462	0.9340514	0.6802534	0.3283617	0.5523570	0.9935693	1.0731771	1.0702836	0.3505365	0.1184781	0.9832948	1.0429744	1.0186670	1.1116056	0.3641929	0.5265150	0.3257438	0.9437937	0.9741897	0.6055740	0.3999429	0.5330960	0.7639219	0.7695263	0.7408538	0.1011758	0.5742529	0.6711650	0.2608821	1.0684791	0.5505025	0.9665325	0.5957763	0.1815758	0.3814944	1.0096593	0.5517733	0.2524289	0.0978460
1.0704035	0.0316864	1.1274600	0.1037851	0.2355471	0.2634173	0.1667979	0.8281578	0.6639545	1.0170994	0.1552606	0.9640115	1.1383986	0.5401389	0.3174861	0.5183654	1.0572698	1.0095758	0.9698086	0.2915202	0.2316049	1.0722073	0.9772862	0.9948451	1.0172354	0.3791746	0.5054572	0.3119973	1.0746971	0.8250657	0.7015794	0.3142091	0.5434499	0.7462764	0.6753545	0.8538188	0.1000365	0.4377823	0.7158973	0.3010482	0.8835796	0.5815270	1.0692588	0.4994508	0.2043273	0.3559447	0.9680187	0.4965435	0.3305073	0.0499898
1.0634788	0.0312185	1.0604695	0.1166220	0.4413771	0.4427771	0.3389596	0.5111499	0.7816473	1.1482781	0.1691424	1.0600801	0.9448180	0.6268926	0.3032587	0.5616520	1.0533252	1.1826142	1.0623547	0.3078530	0.4804902	0.9969881	0.9786655	0.9945709	1.0304564	0.3088016	0.5194945	0.3089005	1.1004403	0.9081925	0.6456404	0.2883064	0.5397360	0.8289583	0.7705863	0.7926521	0.0805065	0.6094357	0.6275701	0.2581342	0.9243704	0.6246725	0.9203974	0.6256546	0.2279447	0.3624749	1.1206013	0.5704233	0.2203736	0.0530291
0.8957186	0.0282954	0.9954495	0.1007299	0.2004073	0.1721623	0.3799812	1.0975740	0.3846726	1.0206517	0.1532303	1.0790659	1.0118748	0.6850850	0.3450213	0.6283534	1.0600546	1.0755822	0.9778586	0.4114769	0.1907195	0.9676951	0.9760548	0.9743562	0.9576710	0.3663828	0.4074839	0.2766397	0.9871194	0.9403538	0.6478985	0.3580363	0.4684168	0.7101466	0.7553207	0.7904910	0.1435772	0.3868695	0.7449803	0.2551107	0.9872323	0.7136336	0.9281633	0.4527790	0.2013318	0.3901906	1.0288112	0.5286036	0.2492344	0.0906923
1.1080961	0.0229060	0.9967760	0.0927909	0.2935327	0.1948482	0.4088938	0.9557336	0.6487019	0.4868376	0.1485285	0.9729379	1.0455401	0.4215318	0.3247354	0.7031118	0.9898041	1.1108954	1.0186503	0.4354619	0.2207455	0.9241642	1.0034881	1.0086620	0.9980870	0.2338561	0.5633717	0.3205543	1.0102462	0.9399239	0.6367110	0.3078021	0.5695842	0.2598338	0.8597495	0.8508679	0.0902531	0.6445567	0.8147776	0.2717596	1.0786057	0.6236049	0.9989775	0.5934562	0.2399434	0.2543901	1.0168240	0.5741853	0.2390792	0.1745127
