YPL089C	YBL037W	YBR182C	YKL185W	YOR140W	YGR044C	YCR097W	YCL067C	YPL248C	YJL056C	YCR040W	YPR199C	YCR096C	YCL066W	YJL110C	YKR034W	YDR421W	YGL254W	YDL170W	YFL021W	YCR018C	YGL035C	YOL089C	YHR006W	YLR013W	YER189W	YGR103W	YBR040W	YNL253W	YDR379CA	YBR182CA	YCL041C	YML132W	YHR193C	YIL174W	YJR161C	YKR105C	MEL1	YDR441C	YBR006W	YLR023C	YMR086CA	YHR081W	YBL111C	YMR014W	YER188CA	YCR104W	YHR156C	YIL002WA	YAL025C
1.0692815	0.0000325	0.9762544	0.0104240	0.1549204	0.0590841	0.4197810	0.8128821	0.7063667	0.6631060	0.1726318	1.0416449	1.0674281	0.7047815	0.3665011	0.2407549	0.8901201	1.0430755	0.9702593	0.0974191	0.0372891	0.9209642	0.9551669	1.0369233	0.9672423	0.5880933	0.5396496	0.1179992	1.0072445	0.9228631	0.6379474	0.2711767	0.4639199	0.3769960	0.9265988	0.7758550	0.2084287	0.5096238	0.1091052	0.2629001	0.9699319	0.9587743	0.9468530	0.3094444	0.1680252	0.2605098	1.0210066	0.7273534	0.0939686	0.2089434
0.6009027	0.0008383	0.8928950	0.0116435	0.0767290	0.0906112	0.5246543	0.6605878	0.5952128	1.0905410	0.0526836	0.9439171	1.0285187	0.2021687	0.3525238	0.5217253	0.9733722	1.0698490	1.0212304	0.3373954	0.0622888	0.8941011	0.9497818	0.8281558	0.8586512	0.6684720	0.4375587	0.2051297	0.9714182	0.9618891	0.6383600	0.3050939	0.4536225	0.7957503	0.6552927	0.7342884	0.5963182	0.5253884	0.4333281	0.2378805	1.0617887	0.6316855	0.9936524	0.5425348	0.1523927	0.2656649	0.9614321	0.9851731	0.0701072	0.0727984
0.8932656	0.0391478	0.7111397	0.0447340	0.5452225	0.2075285	0.3180821	0.8176918	0.6507668	0.7432109	0.1163069	1.0944001	0.4429251	0.4625533	0.3034027	0.5057271	0.5098744	0.8799029	0.4389787	0.2946741	0.2515071	0.9881224	1.1296036	0.9799613	0.9243794	0.3516554	0.4730617	0.3443371	1.0474215	0.5131256	0.4005645	0.3238364	0.3261607	0.4892696	0.9016538	0.8955930	0.1240591	0.4749423	0.2418480	0.3436678	1.0009968	0.5438154	1.0349099	0.4375913	0.2700705	0.3328633	1.0707003	0.6268990	0.7001170	0.0067547
0.9394111	0.0002835	0.4450699	0.2682979	0.7281954	0.1786221	0.3708984	0.8509754	0.3995137	0.9516197	0.1271976	0.9265943	1.1058232	0.6296519	0.2921863	0.4014016	1.1055266	0.9144218	0.5350873	0.4660096	0.7839477	0.7039604	1.0224688	0.9820842	1.0962223	0.0927296	0.5244295	0.5557301	1.0722698	0.9930929	0.2628629	0.2933423	0.6391153	0.7262026	0.9640806	0.8288317	0.3942394	0.4412894	0.7264239	0.2336996	1.0341859	0.5015945	0.8411851	0.1000281	0.6598451	0.3437087	0.9577346	0.8481943	0.0981472	0.0238019
0.9548671	0.0020388	0.9906969	0.0781779	0.1528948	0.1292933	0.7547600	0.9646093	0.1724046	0.9869957	0.7875344	1.1311905	0.9466707	1.0458186	0.4948351	0.2779708	0.9443229	0.8162710	0.8672758	0.2965846	0.1094785	0.7002995	0.3583922	0.9506715	0.9646928	0.0760946	0.2370737	0.2345022	0.9870116	0.9683429	0.6296486	0.3582883	0.4745327	0.7109638	0.4636087	0.8214518	0.2362329	0.3877320	0.2134241	0.0064497	1.0451147	0.8329334	0.9907654	0.4534883	0.1532068	0.4123605	1.0589375	0.7473575	0.1069678	0.0151122
1.0554696	0.0002680	1.0258881	0.1087927	0.1733486	0.1748936	0.3336460	0.9727317	0.7528467	0.7772647	0.0975320	0.7548778	0.9352558	0.1435330	0.3469177	0.6025096	1.0983620	1.0020247	0.9632624	0.3817016	0.1490009	1.0675265	0.7916297	0.5290345	0.9088974	0.6008571	0.5663761	0.2463551	0.9990380	0.9405930	0.6005816	0.2981789	0.4424930	0.5906595	0.3839580	0.6605713	0.7322875	0.4804475	0.8396523	0.0984649	1.0378695	0.9735107	0.9396516	0.6312633	0.2041218	0.2936517	0.9959813	0.5674547	0.2586393	0.5284333
0.9489771	0.0276978	0.7485393	0.1113245	0.1132505	0.1999185	0.4409221	0.9258276	0.7191630	1.0996066	0.0847764	0.6266247	1.0272266	0.8566653	0.3731700	0.6008643	1.0667810	0.8914718	1.0695850	0.3745441	0.4103570	1.0469152	0.6829797	0.9970585	1.0780052	0.2408991	0.6593476	0.3651604	0.8970454	0.9685065	0.2612818	0.3508080	0.3171261	0.7137446	0.6669308	0.8100766	0.1518481	0.4949348	0.8036887	0.2751179	0.9557151	0.4868681	0.9852998	0.5876848	0.3012086	0.3674732	1.1249640	0.6470073	0.5298976	0.1785792
0.7652562	0.0230038	1.0341538	0.0055594	0.0245129	0.0409101	0.3680326	1.0391636	0.7580350	1.0386708	0.3457976	1.0062611	0.9178986	0.5314371	0.5549564	0.3386608	1.0302256	0.9780110	1.1538483	0.3204095	0.1252528	0.8930966	0.7643706	1.0144083	1.0548182	0.3018057	0.4421388	0.4717444	0.9734529	0.8142970	0.5895512	0.3706743	0.7511978	0.8066674	0.7587879	0.9026014	0.1356970	0.4865833	0.1420621	0.2202522	1.0195355	0.4721743	0.9756576	0.4601569	0.1286734	0.3539543	1.0798685	0.6328757	0.6409007	0.0595488
0.9598411	0.0138965	0.8333782	0.1045568	0.1307095	0.1735248	0.4009902	0.6240139	0.4398106	1.0458702	0.1378104	0.9093487	0.7933328	0.8133362	0.6042958	0.3772048	0.9396256	1.1278301	0.8939361	0.1708810	0.3040168	0.8842251	1.0458534	1.1005041	1.0248098	0.1004152	0.4051710	0.4949897	0.9921405	0.8579263	0.5107880	0.3793421	0.4378876	0.8473443	0.6991806	0.7398381	0.0747819	0.5999189	0.5948443	0.2287634	0.6278636	0.4707354	1.0439128	0.7260844	0.2185574	0.4131385	0.9961420	0.8608567	0.6969991	0.0141229
0.8875993	0.0241467	0.7732054	0.0153076	0.1047798	0.1483042	0.3706063	0.9918406	0.6429851	1.0681579	0.0648710	0.9578459	0.8087257	0.4145686	0.3181962	0.5665143	0.9744644	1.0981041	0.9842771	0.3278957	0.0824209	0.8602086	1.0217783	0.7123953	0.9175545	0.5363211	0.4853614	0.2154739	0.9756229	0.8993986	0.4009703	0.3432282	0.3977101	0.6737955	0.7485528	0.7635602	0.1770557	0.5616421	0.1791403	0.3664190	1.0371283	0.4595012	0.9921577	0.7397163	0.2403341	0.3810660	0.9437606	0.9266181	0.5629674	0.0622783
0.9521639	0.0297094	0.8426953	0.0805171	0.5910427	0.2093767	0.2149922	0.9972850	0.8571919	0.9818162	0.1659494	1.0706327	0.9081947	0.4046519	0.3038757	0.4590213	0.6079034	0.8320218	0.9747943	0.3771084	0.1486344	1.0390789	1.0301752	0.9630236	0.6410304	0.7673547	0.6088696	0.3403427	0.9643496	0.6531741	0.5527707	0.3678187	0.3184754	0.7763042	0.7129117	0.5911960	0.1921012	0.8926382	0.8493651	0.2327682	0.5393326	0.4905147	0.9363328	0.7039613	0.2279951	0.3657683	1.0239759	0.2584426	0.1222863	0.0101164
0.9438447	0.0004143	1.0448203	0.0919594	0.0030686	0.0507077	0.4851824	0.9718601	0.6986441	1.0407020	0.0546472	0.7555991	1.0554033	0.3627029	0.3397410	0.3929296	0.9541257	1.0955266	0.9148428	0.3436330	0.2661231	0.9133543	0.8409774	0.7283272	1.0999129	0.2391664	0.4892619	0.1583004	0.9946076	0.8730362	0.5847355	0.2705926	0.6102858	0.7680643	0.8709191	0.8804463	0.0649297	0.5397293	0.5441735	0.0049649	1.0252751	0.8318445	0.9747875	0.5989912	0.2216307	0.0042041	0.9503467	0.4990511	0.2284158	0.0354623
