YPL089C	YBL037W	YBR182C	YKL185W	YOR140W	YGR044C	YCR097W	YCL067C	YPL248C	YJL056C	YCR040W	YPR199C	YCR096C	YCL066W	YJL110C	YKR034W	YDR421W	YGL254W	YDL170W	YFL021W	YCR018C	YGL035C	YOL089C	YHR006W	YLR013W	YER189W	YGR103W	YBR040W	YNL253W	YDR379CA	YBR182CA	YCL041C	YML132W	YHR193C	YIL174W	YJR161C	YKR105C	MEL1	YDR441C	YBR006W	YLR023C	YMR086CA	YHR081W	YBL111C	YMR014W	YER188CA	YCR104W	YHR156C	YIL002WA	YAL025C
0.0000000	0.0274359	1.0000000	0.0890390	0.2130159	0.1554855	0.3738465	0.9705997	0.6903253	1.0000000	0.1521048	1.0000000	0.9964695	0.6370616	0.3341517	0.5317278	1.0000000	1.0000000	1.0000000	0.3181033	0.1884029	1.0000000	1.0000000	1.0000000	1.0000000	0.3888842	0.5063123	0.3094116	0.9993793	0.9246880	0.6307779	0.3127836	0.5106599	0.0378469	0.7588030	0.8036648	0.1056473	0.5463053	0.7292544	0.2455042	0.9937734	0.6118601	0.9708952	0.5565733	0.9999644	0.3701214	1.0000000	0.5318734	0.2727903	0.0723051
1.0000000	0.0000005	1.0000000	0.0890390	0.2130159	0.1554855	0.3738465	0.9705998	0.6903253	1.0000000	0.1521047	1.0000000	0.9964695	0.6370616	0.3341518	0.5317275	1.0000000	1.0000000	1.0000000	0.3181033	0.1884029	1.0000000	1.0000000	1.0000000	1.0000000	0.3888841	0.5063123	0.3094116	0.9993793	0.9246880	0.6307779	0.3127836	0.5106599	0.7701052	0.7588030	0.8036648	0.1056473	0.5463053	0.7292544	0.2455042	0.9937734	0.6118601	0.9708952	0.5565733	0.1997875	0.3701214	1.0000000	0.5318735	0.2727903	0.0723051
1.0000000	0.9999972	0.0000000	0.9999991	0.5768570	0.1554856	0.3738465	0.9705997	0.6903253	1.0000000	0.1521047	1.0000000	0.9964695	0.6370616	0.3341518	0.5317279	1.0000000	1.0000000	1.0000000	0.3181035	0.1884029	1.0000000	1.0000000	1.0000000	1.0000000	0.0419660	0.5063123	0.3094116	0.9993793	0.9246880	0.0022974	0.3127836	0.0584087	0.0378469	1.0000000	0.8036648	0.9996059	0.5463053	0.9928857	0.2455042	0.9937734	0.6118601	0.0179410	0.7692655	0.9999998	0.9675878	1.0000000	0.5318734	0.0937227	0.0723052
1.0000000	0.0274359	1.0000000	0.0000000	0.2130159	0.1554856	0.3738465	0.9705997	0.6903253	1.0000000	0.1521047	1.0000000	0.9964695	0.6370616	0.3341518	0.5317279	1.0000000	1.0000000	1.0000000	0.3181035	0.1884029	1.0000000	1.0000000	1.0000000	1.0000000	0.3888843	0.5063123	0.3094116	0.9993793	0.9246880	0.6307779	0.3127836	0.5106599	0.7701052	0.7588030	0.8036648	0.1056473	0.5463053	0.0395366	0.2455042	0.9937734	0.6118601	0.9708952	0.5565733	0.1997875	0.3701214	1.0000000	0.5318734	0.2727903	0.0723052
1.0000000	0.0274359	1.0000000	0.0890390	0.0000001	0.1554856	0.3738465	0.9705999	0.6903253	1.0000000	0.1521042	1.0000000	0.9964695	0.6370616	0.3341521	0.5317273	1.0000000	1.0000000	1.0000000	0.3181040	0.1884030	1.0000000	1.0000000	1.0000000	1.0000000	0.3888839	0.5063123	0.3094116	0.9993793	0.9246880	0.6307779	0.3127836	0.5106599	0.7701052	0.7588030	0.8036648	0.1056473	0.5463053	0.7292544	0.2455042	0.9937733	0.6118601	0.9708952	0.5565734	0.1997875	0.3701214	1.0000000	0.5318741	0.2727903	0.0723055
1.0000000	0.0274359	1.0000000	0.0890390	0.0794824	0.0000005	0.3738465	0.9705999	0.6903253	1.0000000	0.1521045	1.0000000	0.9964695	0.6370616	0.3341519	0.5317273	1.0000000	1.0000000	1.0000000	0.3181035	0.0792747	1.0000000	1.0000000	1.0000000	1.0000000	0.3888840	0.5063123	0.3094116	0.9993793	0.9246880	0.6307779	0.3127836	0.5106599	0.7701052	0.7588030	0.8036648	0.1056473	0.5463053	0.7292544	0.2455042	0.9937734	0.6118601	0.9708952	0.5565733	0.1997875	0.3701214	1.0000000	0.5318737	0.2727903	0.0723052
1.0000000	0.0274359	1.0000000	0.0890390	0.5991886	0.9999959	0.0000000	0.9705997	0.6903253	1.0000000	0.1341301	1.0000000	0.9964695	0.2478928	0.3341518	0.5317278	1.0000000	1.0000000	1.0000000	0.3181034	0.7472566	1.0000000	1.0000000	1.0000000	1.0000000	0.3888843	0.5063123	0.3094116	0.9993793	0.9246880	0.6307779	0.3127836	0.5106599	0.7701052	0.7588030	0.8036648	0.1056473	0.5463053	0.7292544	0.2455042	0.9937734	0.6118601	0.9708952	0.5565733	0.1997875	0.3701214	1.0000000	0.5318734	0.2727903	0.0723051
1.0000000	0.0274359	1.0000000	0.0890390	0.5992020	0.9999996	0.3738465	0.0000000	0.6903253	1.0000000	0.1521048	1.0000000	0.9964695	0.9410436	0.3341517	0.5317278	1.0000000	1.0000000	1.0000000	0.3181033	0.7473155	1.0000000	1.0000000	1.0000000	1.0000000	0.3888842	0.5063123	0.3094116	0.9993793	0.9246880	0.6307779	0.3127836	0.5106599	0.7701052	0.7588030	0.8036648	0.1056473	0.5463053	0.7292544	0.2455042	0.9937734	0.6118601	0.9708952	0.5565733	0.1997875	0.3701214	1.0000000	0.5318734	0.2727903	0.0723051
1.0000000	0.0274359	1.0000000	0.0890390	0.3530371	0.3227334	0.3738465	0.5994959	0.0000000	1.0000000	0.1521047	1.0000000	0.9964695	0.9412356	0.3341518	0.5317278	1.0000000	1.0000000	1.0000000	0.3181035	0.3573237	1.0000000	1.0000000	1.0000000	1.0000000	0.0419660	0.0237599	0.3094116	0.9993793	0.9246880	0.6307779	0.3127836	0.5106599	0.7701052	0.7588030	0.8036648	0.1056473	0.0521694	0.7292544	0.2455042	0.9937734	0.6066171	0.9708952	0.3445935	0.1997875	0.3985170	1.0000000	0.5318734	0.2727903	0.0723052
1.0000000	0.0274359	1.0000000	0.0890390	0.2130158	0.1554855	0.3738465	0.9705997	0.6903253	0.0000000	0.1612797	1.0000000	0.9964695	0.2478892	0.3341517	0.5317278	1.0000000	1.0000000	1.0000000	0.3181033	0.1884029	1.0000000	1.0000000	1.0000000	1.0000000	0.0419670	0.5063123	0.3094116	0.0333610	0.9246880	0.6307779	0.3127836	0.5106599	0.0378469	0.7588030	0.8036648	0.1056473	0.5463053	0.7292544	0.2455042	0.9937734	0.6118601	0.9708952	0.5565733	0.1997875	0.1275142	1.0000000	0.5318734	0.2727903	0.0723051
