YPL089C	YBL037W	YBR182C	YKL185W	YOR140W	YGR044C	YCR097W	YCL067C	YPL248C	YJL056C	YCR040W	YPR199C	YCR096C	YCL066W	YJL110C	YKR034W	YDR421W	YGL254W	YDL170W	YFL021W	YCR018C	YGL035C	YOL089C	YHR006W	YLR013W	YER189W	YGR103W	YBR040W	YNL253W	YDR379CA	YBR182CA	YCL041C	YML132W	YHR193C	YIL174W	YJR161C	YKR105C	MEL1	YDR441C	YBR006W	YLR023C	YMR086CA	YHR081W	YBL111C	YMR014W	YER188CA	YCR104W	YHR156C	YIL002WA	YAL025C
1.0000000	0.0000048	0.9812958	0.0097730	0.1577460	0.0564003	0.4650375	0.7948714	0.6547873	0.6964192	0.1491120	1.0000000	0.9983773	0.7032821	0.4239389	0.1968389	0.8673567	1.0000000	1.0000000	0.0840261	0.0238043	0.9269918	0.8249132	1.0000000	1.0000000	0.5801032	0.4684094	0.1204355	0.9977465	0.8685105	0.6112082	0.3127836	0.4446344	0.5032254	0.7619719	0.7766419	0.1781543	0.4804677	0.0892443	0.2515256	0.9999861	0.9374348	0.9715911	0.2933139	0.1586475	0.3025063	0.9651357	0.7060048	0.0920253	0.2519992
0.6085988	0.0000040	1.0000000	0.0095926	0.0800471	0.1128892	0.3738465	0.7327453	0.5015436	1.0000000	0.0310388	1.0000000	0.9973708	0.1713290	0.3589131	0.5008280	0.9578284	1.0000000	0.9323197	0.2821908	0.0686320	0.8624244	1.0000000	0.8705440	0.8090663	0.5617010	0.3980496	0.2060400	0.9993986	0.9079866	0.6284805	0.3127836	0.4700401	0.7971642	0.6278432	0.6851301	0.4894059	0.4740124	0.3852443	0.2459714	0.9966776	0.6072714	0.9529543	0.5416124	0.1706435	0.2405217	0.9651358	0.8359951	0.0672243	0.0292170
0.8123264	0.0274490	0.7258880	0.0256917	0.4531357	0.2079906	0.3738465	0.7793666	0.6738814	0.6805243	0.1316460	1.0000000	0.4458352	0.4944600	0.3119330	0.4876576	0.5199795	0.8533938	0.4366970	0.2738643	0.1624397	1.0000000	1.0000000	1.0000000	1.0000000	0.4361827	0.4818895	0.3335385	0.9968360	0.5282422	0.4379433	0.3379125	0.3208596	0.4521931	0.7926539	0.8406480	0.1272268	0.4879039	0.2396041	0.2547837	0.9953219	0.5281465	0.9531958	0.4689133	0.2475622	0.2948284	1.0000000	0.5736669	0.6698625	0.0252779
0.9496376	0.0000985	0.4032747	0.2232008	0.7201739	0.1919690	0.3738465	0.8226213	0.3308477	1.0000000	0.1206429	0.8565277	0.9943530	0.6485335	0.2987305	0.4123540	1.0000000	0.9740414	0.5685538	0.4722733	0.7489072	0.7465610	1.0000000	1.0000000	1.0000000	0.0942248	0.4437029	0.4952645	0.9660232	0.9356761	0.3014534	0.3183117	0.5745558	0.7214135	0.9460218	0.8131762	0.3847442	0.4903214	0.7284960	0.2519997	0.9776362	0.5264557	0.9032393	0.0934024	0.6770010	0.3932950	0.9651358	0.8174636	0.0655592	0.0100657
1.0000000	0.0000046	1.0000000	0.0890390	0.1711476	0.1216682	0.7133252	0.9960718	0.1706976	0.8955396	0.7788665	1.0000000	0.9209445	0.9718768	0.5146784	0.2171279	1.0000000	0.8547902	1.0000000	0.2651371	0.0766633	0.6255982	0.3199503	1.0000000	1.0000000	0.0383376	0.1700907	0.1909899	0.9655896	0.9128537	0.6427603	0.3468023	0.4522513	0.6800916	0.4751275	0.7766419	0.1967770	0.3791078	0.2807989	0.0061804	0.9963265	0.7437914	0.9529543	0.4105941	0.1112088	0.3912442	0.9999963	0.7031221	0.0826430	0.0002850
1.0000000	0.0000050	1.0000000	0.0890390	0.1265742	0.1497038	0.4090567	0.9677821	0.6738814	0.7743461	0.1042262	0.7934580	0.9956651	0.1655741	0.3274160	0.5405640	1.0000000	1.0000000	1.0000000	0.3594046	0.1034550	1.0000000	0.7556264	0.5011537	0.8659997	0.6645933	0.5567803	0.2792494	0.9881724	0.9324327	0.7091538	0.2863605	0.4801120	0.5867522	0.3517187	0.6764142	0.7347039	0.4879039	0.8366374	0.0726765	0.9905137	0.9266399	0.9723613	0.5306582	0.1997875	0.3277210	0.9999999	0.4782158	0.3137963	0.4349952
1.0000000	0.0274566	0.6646494	0.1147903	0.0950861	0.1388481	0.4881878	0.9712980	0.6738815	1.0000000	0.0857989	0.6214605	0.9957238	0.8749793	0.3359398	0.5294155	1.0000000	1.0000000	1.0000000	0.2999603	0.4470130	1.0000000	0.6904348	1.0000000	1.0000000	0.2903467	0.6619395	0.3259214	0.9660232	0.9518993	0.2237308	0.3004886	0.2860631	0.7933848	0.7668098	0.7766419	0.1366467	0.4879039	0.8221127	0.2455157	0.9949392	0.4969306	0.9261063	0.5227200	0.3787114	0.3130424	0.9999999	0.5768650	0.4548528	0.1661187
0.7606652	0.0274359	1.0000000	0.0077801	0.0247580	0.0423604	0.3742699	0.9962490	0.6814910	1.0000000	0.3096345	1.0000000	0.9988484	0.5006646	0.5197450	0.3513626	1.0000000	0.9211325	1.0000000	0.3077653	0.1510318	0.8856025	0.7594972	0.8739893	1.0000000	0.2652865	0.4791044	0.4357255	0.9660232	0.9128537	0.6284805	0.3302869	0.7677075	0.7246183	0.7588030	0.8250235	0.1128593	0.4908074	0.1025509	0.2470216	0.9986600	0.5407918	0.9791574	0.4986699	0.1304618	0.3703572	0.9999999	0.6201660	0.5585180	0.0487555
1.0000000	0.0274381	0.9143782	0.0924153	0.1246895	0.2008098	0.3738465	0.5941157	0.5133084	1.0000000	0.1155368	1.0000000	0.7190829	0.8528941	0.5582018	0.3262931	0.9437662	1.0000000	0.9124729	0.1679594	0.3139059	0.8707515	1.0000000	1.0000000	1.0000000	0.0988324	0.4040569	0.4229317	0.9995855	0.8970009	0.5345580	0.3127836	0.4157755	0.7787775	0.7812823	0.8272979	0.0765320	0.6204116	0.6393261	0.2481679	0.6356670	0.5440290	0.9703730	0.6600879	0.2303545	0.3760872	0.9651358	0.8215809	0.6488054	0.0027512
0.9055951	0.0274442	0.7838255	0.0218266	0.1073846	0.1560704	0.3738465	0.9673165	0.6738815	1.0000000	0.0568149	1.0000000	0.7963497	0.3846537	0.3263581	0.5419543	1.0000000	1.0000000	1.0000000	0.3076376	0.1097156	1.0000000	1.0000000	0.6850540	1.0000000	0.5387366	0.4760985	0.1942906	0.9660232	0.9128538	0.4447732	0.3127836	0.3521174	0.7113211	0.7401342	0.7788274	0.1256134	0.4879039	0.1948406	0.2454544	0.9939680	0.5261149	0.9651254	0.8018615	0.2415898	0.3709788	0.9691075	0.8503097	0.5148993	0.0446251
