YPL089C	YBL037W	YBR182C	YKL185W	YOR140W	YGR044C	YCR097W	YCL067C	YPL248C	YJL056C	YCR040W	YPR199C	YCR096C	YCL066W	YJL110C	YKR034W	YDR421W	YGL254W	YDL170W	YFL021W	YCR018C	YGL035C	YOL089C	YHR006W	YLR013W	YER189W	YGR103W	YBR040W	YNL253W	YDR379CA	YBR182CA	YCL041C	YML132W	YHR193C	YIL174W	YJR161C	YKR105C	MEL1	YDR441C	YBR006W	YLR023C	YMR086CA	YHR081W	YBL111C	YMR014W	YER188CA	YCR104W	YHR156C	YIL002WA	YAL025C
0.5000109	0.0274359	1.0000000	0.0890390	0.2130159	0.1554855	0.3738465	0.9705998	0.6903253	1.0000000	0.1521045	1.0000000	0.9964695	0.6370616	0.3341519	0.5317274	1.0000000	1.0000000	1.0000000	0.3181034	0.1884029	1.0000000	1.0000000	1.0000000	1.0000000	0.3888840	0.5063123	0.3094116	0.9993793	0.9246880	0.6307779	0.3127836	0.5106599	0.5480798	0.7588030	0.8036648	0.1056473	0.5463053	0.7292544	0.2455042	0.9937734	0.6118601	0.9708952	0.5565733	0.2346617	0.3701214	1.0000000	0.5318737	0.2727903	0.0723052
1.0000000	0.0137266	1.0000000	0.0890390	0.2130160	0.1554856	0.3738465	0.9705999	0.6903253	1.0000000	0.1521039	1.0000000	0.9964695	0.6370616	0.3341524	0.5317279	1.0000000	1.0000000	1.0000000	0.3181044	0.1884031	1.0000000	1.0000000	1.0000000	1.0000000	0.3888841	0.5063123	0.3094116	0.9993793	0.9246880	0.6307779	0.3127836	0.5106599	0.7701052	0.7588030	0.8036648	0.1056473	0.5463053	0.7292544	0.2455042	0.9937733	0.6118601	0.9708952	0.5565736	0.1997875	0.3701214	1.0000000	0.5318743	0.2727903	0.0723059
1.0000000	0.0275109	0.5000000	0.1602141	0.2187878	0.1554855	0.3738465	0.9705997	0.6903253	1.0000000	0.1521047	1.0000000	0.9964695	0.6370616	0.3341518	0.5317278	1.0000000	1.0000000	1.0000000	0.3181033	0.1884029	1.0000000	1.0000000	1.0000000	1.0000000	0.2672610	0.5063123	0.3094116	0.9993793	0.9246880	0.0796865	0.3127836	0.2454118	0.7699777	0.9160935	0.8036648	0.2605357	0.5463053	0.8745205	0.2455042	0.9937734	0.6118601	0.9130112	0.7153199	0.5488689	0.3736751	1.0000000	0.5318734	0.2727903	0.0723051
1.0000000	0.0274359	1.0000000	0.0445199	0.2130159	0.1554855	0.3738465	0.9705997	0.6903253	1.0000000	0.1521047	1.0000000	0.9964695	0.6370616	0.3341518	0.5317277	1.0000000	1.0000000	1.0000000	0.3181033	0.1884029	1.0000000	1.0000000	1.0000000	1.0000000	0.3888842	0.5063123	0.3094116	0.9993793	0.9246880	0.6307779	0.3127836	0.5106599	0.7701052	0.7588030	0.8036648	0.1056473	0.5463053	0.4720601	0.2455042	0.9937734	0.6118601	0.9708952	0.5565733	0.1997875	0.3701214	1.0000000	0.5318734	0.2727903	0.0723051
1.0000000	0.0274359	1.0000000	0.0890390	0.1065348	0.1554858	0.3738465	0.9705991	0.6903253	1.0000000	0.1521043	1.0000000	0.9964694	0.6370616	0.3341523	0.5317307	1.0000000	1.0000000	1.0000000	0.3181063	0.1884030	1.0000000	1.0000000	1.0000000	1.0000000	0.3888854	0.5063123	0.3094116	0.9993793	0.9246880	0.6307779	0.3127836	0.5106599	0.7701052	0.7588030	0.8036648	0.1056473	0.5463053	0.7292544	0.2455042	0.9937732	0.6118601	0.9708952	0.5565738	0.1997875	0.3701214	1.0000000	0.5318739	0.2727903	0.0723069
1.0000000	0.0274359	1.0000000	0.0890390	0.1376418	0.0777447	0.3738465	0.9705999	0.6903253	1.0000000	0.1521042	1.0000000	0.9964695	0.6370616	0.3341521	0.5317275	1.0000000	1.0000000	1.0000000	0.3181037	0.1184287	1.0000000	1.0000000	1.0000000	1.0000000	0.3888840	0.5063123	0.3094116	0.9993793	0.9246880	0.6307779	0.3127836	0.5106599	0.7701052	0.7588030	0.8036648	0.1056473	0.5463053	0.7292544	0.2455042	0.9937733	0.6118601	0.9708952	0.5565734	0.1997875	0.3701214	1.0000000	0.5318740	0.2727903	0.0723055
1.0000000	0.0274359	1.0000000	0.0890390	0.2845031	0.2344264	0.1869241	0.9705997	0.6903253	1.0000000	0.1350315	1.0000000	0.9964695	0.5218191	0.3341518	0.5317277	1.0000000	1.0000000	1.0000000	0.3181033	0.2687762	1.0000000	1.0000000	1.0000000	1.0000000	0.3888842	0.5063123	0.3094116	0.9993793	0.9246880	0.6307779	0.3127836	0.5106599	0.7701052	0.7588030	0.8036648	0.1056473	0.5463053	0.7292544	0.2455042	0.9937734	0.6118601	0.9708952	0.5565733	0.1997875	0.3701214	1.0000000	0.5318734	0.2727903	0.0723051
1.0000000	0.0274359	1.0000000	0.0890390	0.4362689	0.4611027	0.3738465	0.4852999	0.6903253	1.0000000	0.1521047	1.0000000	0.9964695	0.6375310	0.3341518	0.5317277	1.0000000	1.0000000	1.0000000	0.3181033	0.4784068	1.0000000	1.0000000	1.0000000	1.0000000	0.3888842	0.5063123	0.3094116	0.9993793	0.9246880	0.6307779	0.3127836	0.5106599	0.7701052	0.7588030	0.8036648	0.1056473	0.5463053	0.7292544	0.2455042	0.9937734	0.6118601	0.9708952	0.5565733	0.1997875	0.3701214	1.0000000	0.5318734	0.2727903	0.0723051
1.0000000	0.0274359	1.0000000	0.0890390	0.2130434	0.1554856	0.3738465	0.9705998	0.3451797	1.0000000	0.1521045	1.0000000	0.9964695	0.6419602	0.3341519	0.5317274	1.0000000	1.0000000	1.0000000	0.3181034	0.1884029	1.0000000	1.0000000	1.0000000	1.0000000	0.3323046	0.3299719	0.3094116	0.9993793	0.9246880	0.6307779	0.3127836	0.5106599	0.7701052	0.7588030	0.8036648	0.1056473	0.3726916	0.7292544	0.2455042	0.9937734	0.6115284	0.9708952	0.4169846	0.1997875	0.3840412	1.0000000	0.5318737	0.2727903	0.0723052
1.0000000	0.0274359	1.0000000	0.0890390	0.2130159	0.1554855	0.3738465	0.9705998	0.6903253	0.5000002	0.1546143	1.0000000	0.9964695	0.3938606	0.3341518	0.5317275	1.0000000	1.0000000	1.0000000	0.3181033	0.1884029	1.0000000	1.0000000	1.0000000	1.0000000	0.2398917	0.5063123	0.3094116	0.9829443	0.9246880	0.6307779	0.3127836	0.5106599	0.2709147	0.7588030	0.8036648	0.1056473	0.5463053	0.7292544	0.2455042	0.9937734	0.6118601	0.9708952	0.5565733	0.1997875	0.2047879	1.0000000	0.5318735	0.2727903	0.0723051
1.0000000	0.0274359	1.0000000	0.0890390	0.2130161	0.1554857	0.3738465	0.9705996	0.6903253	1.0000000	0.0760719	1.0000000	0.9964695	0.6370616	0.3341525	0.5317290	1.0000000	1.0000000	1.0000000	0.3181054	0.1884031	1.0000000	1.0000000	1.0000000	1.0000000	0.3888846	0.5063123	0.3094116	0.9993793	0.9246880	0.6307779	0.3127836	0.5106599	0.7701052	0.7588030	0.8036648	0.1056473	0.5463053	0.7292544	0.2455042	0.9937732	0.6118600	0.9708952	0.5565737	0.1997875	0.3701214	1.0000000	0.5318744	0.2727903	0.0723065
1.0000000	0.0274359	1.0000000	0.0890390	0.2130159	0.1554855	0.3738465	0.9705998	0.6903253	1.0000000	0.1383757	0.5000034	0.9964835	0.6370616	0.3341519	0.5317274	1.0000000	1.0000000	1.0000000	0.3181034	0.1884029	1.0000000	1.0000000	1.0000000	1.0000000	0.3888840	0.5063123	0.4063316	0.9993793	0.9246880	0.6307779	0.3127836	0.5106599	0.7701052	0.7588030	0.8036648	0.1056473	0.5463053	0.7292544	0.2455042	0.9937734	0.5438170	0.9708952	0.5565733	0.1997875	0.3701214	1.0000000	0.5318737	0.2727903	0.0723052
1.0000000	0.0274359	1.0000000	0.0890390	0.2130161	0.1554857	0.3738465	0.9705996	0.6903253	1.0000000	0.1497222	1.0000000	0.4984167	0.6370616	0.3341525	0.5317290	1.0000000	1.0000000	1.0000000	0.3181054	0.1884031	1.0000000	1.0000000	1.0000000	1.0000000	0.3888846	0.5063123	0.3094116	0.9993793	0.9246880	0.6307779	0.3127836	0.5106599	0.7701052	0.7588030	0.8036648	0.1056473	0.5463053	0.7292544	0.2455042	0.9937732	0.6118600	0.9708952	0.5565737	0.1997875	0.3701214	1.0000000	0.5318744	0.2727903	0.0723065
1.0000000	0.0274359	1.0000000	0.0890390	0.2130160	0.1554856	0.3738465	0.9705999	0.6903253	1.0000000	0.1521039	1.0000000	0.9964695	0.3186964	0.3341524	0.5317279	1.0000000	1.0000000	1.0000000	0.3181044	0.1884031	1.0000000	1.0000000	1.0000000	1.0000000	0.3888841	0.5063123	0.3094116	0.9993793	0.9246880	0.6307779	0.3127836	0.5106599	0.7701052	0.7588030	0.8036648	0.1056473	0.5463053	0.7292544	0.2455042	0.9937733	0.6118601	0.9708952	0.5565736	0.1997875	0.3701214	1.0000000	0.5318743	0.2727903	0.0723059
1.0000000	0.0274359	1.0000000	0.0890390	0.2692614	0.2165863	0.3738465	0.7591409	0.6903253	1.0000000	0.4156198	1.0000000	0.9630858	0.6381546	0.1916999	0.7548476	1.0000000	1.0000000	1.0000000	0.4427584	0.2507067	1.0000000	1.0000000	1.0000000	1.0000000	0.4837484	0.5063123	0.3094116	0.9993793	0.9246880	0.6307779	0.3127836	0.5106599	0.7701052	0.7588030	0.8036648	0.1056302	0.5463053	0.7292544	0.2447808	0.9237148	0.6082497	0.9708952	0.5817288	0.1997875	0.3701214	1.0000000	0.6024520	0.2727903	0.2595272
1.0000000	0.0274359	1.0000000	0.0890390	0.2233593	0.1662086	0.3738465	0.9170074	0.6903253	1.0000000	0.3306945	1.0000000	0.9901818	0.6372989	0.2625297	0.3175988	1.0000000	1.0000000	1.0000000	0.1789489	0.1992656	1.0000000	1.0000000	1.0000000	1.0000000	0.4327616	0.5063123	0.3094116	0.9993793	0.9246880	0.6307779	0.3127836	0.5106599	0.7701052	0.7588030	0.8036648	0.1056441	0.5463053	0.7292544	0.2475542	0.9984726	0.6330856	0.9708952	0.5268008	0.1997875	0.3701214	1.0000000	0.4910816	0.2727903	0.0343646
1.0000000	0.0274359	1.0000000	0.0890390	0.2092204	0.1514997	0.3738465	0.9941991	0.6903253	1.0000000	0.1521045	1.0000000	0.9964695	0.5118888	0.3341519	0.5317274	0.5000005	1.0000000	1.0000000	0.3181034	0.1845137	1.0000000	1.0000000	1.0000000	1.0000000	0.3888840	0.5063123	0.3094116	0.9993793	0.5054767	0.6307779	0.3127836	0.5106599	0.7701052	0.7588030	0.8036648	0.1056473	0.5463053	0.7292544	0.2455042	0.9937734	0.6118601	0.9708952	0.5565733	0.1997875	0.3701214	1.0000000	0.5318737	0.3541606	0.0723052
1.0000000	0.0274359	1.0000000	0.0890390	0.2129499	0.1554855	0.3738465	0.9705998	0.6903253	1.0000000	0.1521046	1.0000000	0.9964695	0.6370616	0.3341518	0.5317275	1.0000000	0.5000028	1.0000000	0.3181033	0.1884029	1.0000000	1.0000000	1.0000000	1.0000000	0.3888841	0.5063123	0.3094116	0.9993793	0.9246880	0.6307779	0.4781010	0.5106599	0.7701052	0.7588030	0.8036648	0.1056473	0.5463053	0.7292544	0.2455042	0.9937734	0.6118601	0.9708952	0.5565733	0.1997875	0.3701214	1.0000000	0.5318735	0.4862281	0.0723051
1.0000000	0.0274359	1.0000000	0.0890390	0.2130159	0.1554855	0.3738465	0.9705998	0.6903253	1.0000000	0.1245394	1.0000000	0.9964695	0.6370616	0.3341519	0.5317274	1.0000000	1.0000000	0.5000812	0.3181034	0.1884029	1.0000000	1.0000000	1.0000000	1.0000000	0.4616250	0.5063123	0.3094116	0.9993793	0.9246880	0.6307779	0.3127836	0.5106599	0.7701052	0.7588030	0.8036648	0.1056473	0.5463053	0.7292544	0.2510925	0.9937734	0.6118601	0.9708952	0.5276464	0.1997875	0.3701214	1.0000000	0.4125928	0.2727903	0.0723052
1.0000000	0.0274359	1.0000000	0.0890390	0.2130764	0.1555584	0.3738465	0.9701773	0.6903253	1.0000000	0.1524238	1.0000000	0.9964231	0.6370637	0.3331312	0.5330867	1.0000000	1.0000000	1.0000000	0.1594559	0.1884623	1.0000000	1.0000000	1.0000000	1.0000000	0.3895697	0.5063123	0.3094116	0.9993793	0.9246880	0.6307779	0.3127836	0.5106599	0.7701052	0.7588030	0.8036648	0.1056473	0.5463053	0.7292544	0.2454979	0.9995530	0.6118223	0.9708952	0.5567378	0.1997875	0.3701214	1.0000000	0.4885417	0.2727903	0.0728219
