YPL089C	YBL037W	YBR182C	YKL185W	YOR140W	YGR044C	YCR097W	YCL067C	YPL248C	YJL056C	YCR040W	YPR199C	YCR096C	YCL066W	YJL110C	YKR034W	YDR421W	YGL254W	YDL170W	YFL021W	YCR018C	YGL035C	YOL089C	YHR006W	YLR013W	YER189W	YGR103W	YBR040W	YNL253W	YDR379CA	YBR182CA	YCL041C	YML132W	YHR193C	YIL174W	YJR161C	YKR105C	MEL1	YDR441C	YBR006W	YLR023C	YMR086CA	YHR081W	YBL111C	YMR014W	YER188CA	YCR104W	YHR156C	YIL002WA	YAL025C
0.0000000	0.0336671	0.7144363	0.0379992	0.1325077	0.1170899	0.2394335	0.6988677	0.4298162	0.7678819	0.1363033	0.7327232	0.8355174	0.4688982	0.3152331	0.3519305	0.6469183	0.7801242	0.6991885	0.2169131	0.1333663	0.6509345	0.7196844	0.6606997	0.6541720	0.2537192	0.4944878	0.2709589	0.7006576	0.6455684	0.4454243	0.2741272	0.3394729	0.0490490	0.4641592	0.5520189	0.1141604	0.3787344	0.4012892	0.1488764	0.6836165	0.5551233	0.5546315	0.3952772	0.7097200	0.2870708	0.6963819	0.4465240	0.2387206	0.0571328
0.6641132	0.0000734	0.7070829	0.0630698	0.1378679	0.0996642	0.2440577	0.5422569	0.4066956	0.5398586	0.1426811	0.6965304	0.7155776	0.4327239	0.1631422	0.3879378	0.7342408	0.6335809	0.6960444	0.2328264	0.1697703	0.7058230	0.6485122	0.7697211	0.6920899	0.3264297	0.4330332	0.1874040	0.8221739	0.6007518	0.4001309	0.2805625	0.2949432	0.5867488	0.5650890	0.5460841	0.1007093	0.4241294	0.4329602	0.2340498	0.7192359	0.4361483	0.7245534	0.4007467	0.1733375	0.2168968	0.7473280	0.3519223	0.1599569	0.1031643
0.5603309	0.7199250	0.0000000	0.7443087	0.3189733	0.1231969	0.2432740	0.6911165	0.5536224	0.6989155	0.0925070	0.5670735	0.5516519	0.4464995	0.2213731	0.4354881	0.7325772	0.6764689	0.7875322	0.2125459	0.1525365	0.8155148	0.8844589	0.6658150	0.6525910	0.0360187	0.5143283	0.2064026	0.5921418	0.6648804	0.0120764	0.1672111	0.0381723	0.0254735	0.7092736	0.6658938	0.6998818	0.4133294	0.6808556	0.1765376	0.6898803	0.3965402	0.0061802	0.6158691	0.8036348	0.7057556	0.6866971	0.3813847	0.0646108	0.0620740
0.5570992	0.0306753	0.7477713	0.0000000	0.1484816	0.1181875	0.2045653	0.6616324	0.5513285	0.7367574	0.1204869	0.6960807	0.6412184	0.3894002	0.1656367	0.4974603	0.6856547	0.7230501	0.6514992	0.2494629	0.1713187	0.6854584	0.5684745	0.6673612	0.6089878	0.3248529	0.4422326	0.1993237	0.7168013	0.7029216	0.4281630	0.2392145	0.3957992	0.5626760	0.6040766	0.5226149	0.1370528	0.4255523	0.0214397	0.2075219	0.5852698	0.4256648	0.7590514	0.2957030	0.1251315	0.2037804	0.7561953	0.5107010	0.2316198	0.0843577
0.7357432	0.0266967	0.7008033	0.0327659	0.0000000	0.1429278	0.2214652	0.6726129	0.4281080	0.6309973	0.0847777	0.8529885	0.8251761	0.5099101	0.2249218	0.4204910	0.6537128	0.6960171	0.8128927	0.2106798	0.1418017	0.6964521	0.7585005	0.8034980	0.7222546	0.2894608	0.3211652	0.2926225	0.7018567	0.6833587	0.3918838	0.2114185	0.3915308	0.6002327	0.6266694	0.5198810	0.0796782	0.4160994	0.4965229	0.1290668	0.5733419	0.3838871	0.6552350	0.3581238	0.1852204	0.2681256	0.6611700	0.3898142	0.2291813	0.0722941
0.7175792	0.0172343	0.5138306	0.0668638	0.0535369	0.0000000	0.2839567	0.7001259	0.4711155	0.6967128	0.1205164	0.7024213	0.6345142	0.4327784	0.1717146	0.4063668	0.6542206	0.6979388	0.6584254	0.1808087	0.0226820	0.7605890	0.6815442	0.6213439	0.8982091	0.2326541	0.3634893	0.1916492	0.6796247	0.5460953	0.4931769	0.2129756	0.3258705	0.4953215	0.5265835	0.6594040	0.1197126	0.3508679	0.3848482	0.1938080	0.6761570	0.4274795	0.7312804	0.3870246	0.2078347	0.1926985	0.5884764	0.3556061	0.2533975	0.0587044
0.7912401	0.0088975	0.6115639	0.0634148	0.3872184	0.6465142	0.0000000	0.6753044	0.5391591	0.7360136	0.1244567	0.6484977	0.6858991	0.1245864	0.3048981	0.4864631	0.7755358	0.7415512	0.6037234	0.1786549	0.6459644	0.7365306	0.6545685	0.9252857	0.8225131	0.2831855	0.3501530	0.2710577	0.7895941	0.7100017	0.4603211	0.2227619	0.3609995	0.5824839	0.5475867	0.5881981	0.0802358	0.4626812	0.6191682	0.1533228	0.5547854	0.6267591	0.6278394	0.4058765	0.2025757	0.2529929	0.5898587	0.5008012	0.2024658	0.0588293
0.5563702	0.0193068	0.6926985	0.0984854	0.4592002	0.7398970	0.2632500	0.0000000	0.4160423	0.7070672	0.1831075	0.8026438	0.7854482	0.5045332	0.2721815	0.5511437	0.7478996	0.7062121	0.5879508	0.2752405	0.7821925	0.7131649	0.6339310	0.6518752	0.7247846	0.2906984	0.2790641	0.2076092	0.6823924	0.7717205	0.4075594	0.2149653	0.3016850	0.6112918	0.4316671	0.5912895	0.0669815	0.3351780	0.5326201	0.1793740	0.7402353	0.3548015	0.6869271	0.3269430	0.1916462	0.2493512	0.6973020	0.4447985	0.1703963	0.1145884
0.6868900	0.0213889	0.6125506	0.0445469	0.3345055	0.3392427	0.3091111	0.3300108	0.0000000	0.5815265	0.1155562	0.6074355	0.8074007	0.6387405	0.2119730	0.3962121	0.7763725	0.7373145	0.6755499	0.1714177	0.3062560	0.5855504	0.6968076	0.5961516	0.6543545	0.0077941	0.0146603	0.2293564	0.7311943	0.7488818	0.4680237	0.2242124	0.3470195	0.6249429	0.5515537	0.6160845	0.0863445	0.0426267	0.3909410	0.1741134	0.7475288	0.5001868	0.6561381	0.1595447	0.1179735	0.2911912	0.7893258	0.3379099	0.2017351	0.1204697
0.6886172	0.0326841	0.5875138	0.0286096	0.1488567	0.1449371	0.2429922	0.8006274	0.4643183	0.0000000	0.1555055	0.7288806	0.6687646	0.1128186	0.1661320	0.4294765	0.7260370	0.7636177	0.6462967	0.2441978	0.0921016	0.6091823	0.7762400	0.5814448	0.7933138	0.0268177	0.4312701	0.2162503	0.0183936	0.7173519	0.3810184	0.2023529	0.4844750	0.0304173	0.4337553	0.6949654	0.0554978	0.3669212	0.4457821	0.1651464	0.7598106	0.2760515	0.7394864	0.4376997	0.1629686	0.0612781	0.8073228	0.3248936	0.1807036	0.0531856
