YPL089C	YBL037W	YBR182C	YKL185W	YOR140W	YGR044C	YCR097W	YCL067C	YPL248C	YJL056C	YCR040W	YPR199C	YCR096C	YCL066W	YJL110C	YKR034W	YDR421W	YGL254W	YDL170W	YFL021W	YCR018C	YGL035C	YOL089C	YHR006W	YLR013W	YER189W	YGR103W	YBR040W	YNL253W	YDR379CA	YBR182CA	YCL041C	YML132W	YHR193C	YIL174W	YJR161C	YKR105C	MEL1	YDR441C	YBR006W	YLR023C	YMR086CA	YHR081W	YBL111C	YMR014W	YER188CA	YCR104W	YHR156C	YIL002WA	YAL025C
0.7422193	0.0000214	0.8223246	0.0132863	0.1134812	0.0425146	0.3215440	0.5940824	0.4947661	0.5571076	0.0991258	0.6763701	0.6919352	0.4596845	0.2539321	0.1334830	0.6178802	0.7158719	0.7567517	0.0682926	0.0337203	0.6997046	0.6162730	0.6730895	0.6330060	0.4959669	0.3318937	0.1199631	0.7641633	0.6654020	0.3875542	0.1893164	0.3481453	0.2402033	0.6670935	0.5484155	0.1185102	0.4608676	0.0607195	0.1530434	0.6191972	0.7117671	0.6835348	0.1929665	0.0947476	0.1623511	0.6951187	0.4610116	0.0632559	0.1267149
0.3946179	0.0001951	0.6970278	0.0045003	0.0294883	0.0513266	0.4473088	0.4447129	0.3279706	0.6805624	0.0263213	0.5773416	0.7874890	0.1862062	0.2093696	0.2775552	0.6764421	0.7240074	0.6903880	0.2173880	0.0535781	0.6720079	0.6334976	0.4748398	0.6125870	0.5090276	0.2747758	0.1140523	0.7655027	0.7453918	0.5033598	0.3137252	0.3260996	0.5527034	0.4996425	0.5792613	0.4859935	0.4180144	0.2930259	0.1445547	0.7359963	0.4922604	0.6565843	0.3351232	0.1441314	0.1752351	0.6794902	0.6315365	0.0579141	0.0533441
0.5644623	0.0165637	0.5734945	0.0337885	0.4131955	0.1742403	0.2244119	0.5096959	0.4504996	0.4630318	0.1194337	0.7415451	0.3294794	0.3075860	0.2065804	0.3350755	0.3225939	0.6031079	0.2920756	0.2716045	0.1428930	0.7394723	0.8921145	0.6787014	0.7241750	0.2209016	0.3893674	0.2428246	0.7793827	0.4133864	0.2188234	0.2403500	0.2463866	0.3674918	0.6357185	0.6898177	0.1060047	0.4285058	0.1462847	0.1718431	0.7682640	0.3138006	0.8461975	0.3866676	0.1718577	0.2232423	0.7541629	0.4284277	0.5142803	0.0078525
0.6467963	0.0001639	0.3493700	0.1658400	0.4842043	0.1118523	0.2156062	0.5116352	0.1862052	0.6511599	0.0568539	0.5834558	0.8206243	0.5604329	0.2270916	0.3023320	0.8638897	0.6367103	0.4604142	0.3242138	0.6031278	0.4401263	0.8280125	0.6476847	0.6815695	0.0749783	0.3520259	0.4965309	0.7811000	0.7432778	0.2307518	0.2271766	0.4643756	0.4646490	0.6566845	0.5683856	0.2445364	0.2732800	0.4709506	0.2283233	0.6871515	0.3043749	0.5786915	0.0644244	0.4679279	0.2881962	0.7148611	0.5872085	0.0549284	0.0107982
0.6226766	0.0030295	0.6688964	0.0490490	0.1139669	0.0947849	0.4845763	0.6807844	0.1409259	0.6238612	0.5245537	0.7921179	0.6266391	0.7118023	0.2977874	0.1748083	0.5687537	0.4744934	0.6104824	0.1490268	0.0859119	0.5068591	0.2408625	0.7251032	0.6073616	0.0399217	0.1418641	0.2133089	0.7318201	0.6897522	0.4241477	0.2482475	0.3181974	0.5230222	0.2978773	0.5933066	0.2139201	0.2617091	0.1645087	0.0042886	0.7182777	0.5692804	0.6915427	0.3455379	0.0962037	0.3457229	0.6686621	0.5930873	0.0727219	0.0165178
0.7255077	0.0002161	0.7347626	0.0724817	0.1315729	0.1103055	0.2545418	0.6894654	0.5124543	0.5505836	0.0951440	0.5047207	0.6865158	0.0700539	0.2679425	0.3522675	0.7504044	0.6962177	0.6858931	0.3251839	0.0868898	0.7989066	0.4949128	0.3021225	0.7149894	0.4108936	0.3599962	0.1646990	0.6871626	0.6809910	0.4493451	0.2702301	0.3977541	0.5200499	0.2877391	0.5695084	0.4856021	0.2851997	0.5180095	0.0626655	0.7424321	0.5987589	0.6661353	0.4247098	0.1121984	0.2377662	0.6339596	0.3587377	0.1792911	0.3198728
0.6320926	0.0243388	0.5511793	0.1311213	0.0806306	0.1224667	0.3091837	0.6052198	0.4700013	0.7747888	0.0674753	0.4227478	0.7735237	0.6355981	0.2773319	0.4078773	0.6792059	0.6012279	0.6484287	0.2612068	0.2686319	0.6385813	0.4349428	0.7352396	0.7426356	0.1808788	0.4821615	0.3353069	0.6079341	0.6483618	0.2166203	0.2172642	0.2362497	0.5001097	0.4862871	0.5946251	0.0875160	0.2945593	0.5718954	0.2381528	0.5981462	0.3232330	0.7331534	0.3687257	0.1831570	0.2784042	0.7542578	0.4144902	0.4054834	0.1507010
0.6038891	0.0103041	0.7761681	0.0044347	0.0190855	0.0290265	0.2547912	0.6828135	0.4722061	0.7112656	0.3237264	0.6658215	0.7482525	0.2778912	0.4868403	0.2842306	0.6854303	0.6563268	0.7252218	0.2259659	0.1234304	0.6732374	0.5238210	0.6473411	0.7589858	0.2291590	0.3102973	0.4187533	0.6992731	0.4518713	0.3843265	0.2714800	0.4946907	0.4881658	0.5389612	0.6157641	0.0788420	0.3659412	0.0822874	0.1580468	0.6444693	0.3486278	0.6887760	0.3168085	0.0874088	0.2147249	0.7120242	0.4022513	0.3470815	0.0243060
0.5622816	0.0114259	0.5525220	0.0846144	0.0909610	0.1213660	0.2946400	0.4214997	0.3509120	0.8441833	0.0863494	0.5950730	0.4421116	0.6126441	0.3772889	0.2593803	0.6358491	0.8078393	0.5653866	0.1022682	0.1712093	0.6485589	0.6979741	0.7048738	0.7004117	0.0619922	0.2676712	0.3608559	0.6080472	0.6981459	0.3327418	0.2366551	0.2892306	0.6244736	0.4487234	0.5178210	0.0705750	0.4330166	0.4693807	0.1777289	0.4418850	0.3752209	0.7840142	0.4422343	0.1460681	0.3612234	0.7057321	0.6716892	0.4423340	0.0084435
0.5771272	0.0170391	0.5356016	0.0121662	0.0732782	0.0887941	0.2133072	0.7038743	0.4761899	0.7912819	0.0570251	0.7033226	0.5344751	0.2680063	0.2403958	0.4165728	0.6896543	0.7735237	0.7629615	0.2496247	0.0387253	0.6460866	0.8052282	0.6303846	0.7081463	0.4719894	0.3733645	0.1892189	0.5496374	0.6846641	0.2123857	0.2542177	0.2713422	0.4695124	0.6024269	0.5446231	0.0943289	0.4084176	0.1276634	0.2626657	0.6708660	0.2489505	0.7253138	0.5087083	0.1634664	0.2915910	0.5628197	0.6621382	0.4017543	0.0430272
0.6260343	0.0175567	0.6060486	0.0341249	0.3675928	0.1054556	0.0921223	0.7378730	0.5698319	0.6597229	0.1685611	0.7560849	0.5426032	0.4150816	0.2045657	0.3463750	0.3626211	0.5874981	0.6885267	0.2677785	0.1424933	0.7151703	0.6914432	0.6412411	0.5116213	0.5877184	0.4415626	0.2515874	0.6087288	0.4698064	0.3999391	0.2165987	0.2070104	0.5981973	0.5036457	0.4470687	0.1820970	0.6700578	0.5851520	0.2021704	0.3653627	0.3061162	0.6037017	0.4289611	0.1471990	0.2922396	0.8129569	0.1954313	0.0957312	0.0143797
0.6796037	0.0001742	0.7469195	0.0681746	0.0083129	0.0317343	0.3218695	0.6926001	0.4903031	0.7223544	0.0365057	0.5888099	0.6506026	0.2481002	0.2658474	0.2431606	0.7416413	0.7505310	0.7125608	0.2858128	0.1831704	0.6492281	0.6116011	0.4894048	0.6794543	0.2071713	0.3412051	0.1236155	0.7095994	0.5933464	0.3906097	0.1723679	0.4469482	0.4987115	0.6066383	0.4910147	0.0683093	0.3861214	0.3574949	0.0054856	0.6871591	0.5666057	0.6855690	0.5229604	0.1344422	0.0062425	0.6457250	0.3423706	0.1651944	0.0497049
0.6136392	0.0001345	0.6297957	0.0181909	0.0972076	0.0246440	0.3298830	0.6604548	0.2638967	0.4224406	0.2512620	0.8135388	0.3986314	0.3451342	0.1591773	0.1554916	0.6267586	0.5827156	0.5844233	0.1491972	0.0271800	0.4623209	0.4672245	0.6869261	0.6492317	0.0652630	0.3276253	0.3618236	0.6828935	0.6118556	0.5512145	0.2956430	0.2874669	0.2446039	0.5768646	0.6645640	0.2310814	0.3116455	0.0151135	0.1952368	0.4018389	0.5985374	0.6825312	0.1109553	0.1787505	0.0651665	0.6641615	0.1917641	0.2855364	0.0978113
0.8482881	0.0099176	0.3425021	0.0789152	0.0735285	0.0879901	0.5449270	0.5864847	0.5236187	0.5279189	0.1757158	1.0012770	0.7993638	0.1670071	0.2801568	0.3677560	0.6370286	0.6530355	0.6910943	0.2743726	0.2586779	0.7164307	0.3497952	0.6517592	0.5518814	0.1417714	0.4137603	0.1868294	0.8312256	0.5279941	0.5431130	0.3492165	0.2045257	0.6528931	0.5172761	0.4432765	0.2565529	0.4996441	0.6643365	0.1157625	0.5531058	0.7811460	0.6857298	0.5827720	0.3507531	0.2517281	0.6968320	0.6044007	0.3843641	0.0299390
0.7558086	0.0251597	0.3226537	0.1253659	0.0736823	0.0751705	0.4521883	0.6723272	0.6168482	0.6901628	0.4080489	0.4842158	0.5377926	0.4514473	0.2717973	0.3824253	0.6082478	0.7586844	0.8751582	0.2318872	0.0866756	0.6686955	0.4820589	0.7083663	0.8344538	0.0616535	0.4430017	0.3382384	0.7261902	0.5156751	0.0313348	0.1156904	0.1623054	0.4740564	0.3940468	0.5927591	0.3599565	0.6851349	0.6053568	0.1149206	0.7324208	0.6131242	0.5888831	0.5740660	0.5197803	0.0767204	0.7172057	0.5016611	0.1741643	0.3994796
0.5483522	0.0086489	0.6810774	0.0383517	0.5219624	0.1323792	0.2294746	0.6739700	0.4337664	0.5841633	0.0574979	0.6175679	0.3332297	0.5226644	0.2188776	0.4269475	0.6463675	0.6525386	0.7328328	0.2742035	0.0523001	0.6350429	0.7053325	0.6463836	0.7192217	0.1928940	0.2993126	0.0799119	0.7463626	0.7700730	0.4237222	0.2596350	0.4072595	0.5453454	0.5783458	0.5936554	0.2642632	0.4360452	0.5076163	0.2239163	0.6204261	0.3448070	0.7626779	0.4686056	0.2570764	0.1714935	0.6047293	0.2724834	0.2476357	0.0556290
0.7577933	0.0330328	0.5946205	0.0232149	0.0980695	0.0738838	0.2898886	0.6652527	0.5082327	0.5242126	0.1731428	0.6094918	0.7543473	0.0387639	0.2243692	0.2762429	0.8149026	0.8400973	0.6213802	0.2520783	0.1553192	0.7126814	0.5247126	0.6311726	0.1911645	0.2428804	0.3650254	0.2858978	0.7613305	0.6164228	0.3515667	0.1809710	0.1859117	0.3749327	0.3313632	0.0436394	0.1977943	0.3710098	0.1928134	0.2100593	0.3278792	0.4273893	0.8085269	0.3882536	0.1649382	0.2705206	0.7132760	0.4410629	0.5127752	0.1217660
0.7572907	0.0290475	0.6915750	0.0536282	0.1176760	0.1206937	0.0881659	0.5718567	0.4471496	0.7205042	0.0969134	0.7334635	0.4534881	0.3354457	0.2090834	0.3684830	0.5752724	0.7494728	0.6382348	0.2328361	0.3428021	0.8821264	0.6290317	0.4978623	0.7438823	0.4984553	0.3687290	0.1662117	0.7614539	0.6392696	0.6214486	0.1261438	0.4042891	0.4445991	0.6582552	0.5750236	0.3934285	0.5359351	0.5255464	0.0819214	0.6272748	0.4926575	0.8000168	0.5188631	0.1382404	0.2155008	0.6841219	0.3787481	0.3820960	0.0233010
0.6619662	0.0127380	0.4886922	0.0659508	0.1412286	0.1145532	0.4361895	0.7341457	0.6125701	0.6745406	0.1502094	0.5195908	0.4612289	0.4877331	0.2203282	0.1327917	0.6377830	0.8028435	0.4748683	0.1356706	0.1507607	0.6452854	0.4815510	0.7663530	0.5821472	0.3196377	0.3261061	0.0902871	0.6832519	0.5637201	0.2619136	0.1573280	0.4053350	0.5611617	0.5333074	0.5927672	0.3495316	0.3431305	0.5498630	0.1110333	0.7308627	0.4496216	0.7420377	0.1011798	0.0716314	0.2581616	0.6244863	0.1704759	0.2740839	0.2239654
0.7595762	0.0373414	0.6531657	0.0216871	0.1571499	0.0758644	0.3817493	0.8605411	0.2565822	0.7282821	0.4979070	0.8107736	0.6045268	0.6947791	0.1951715	0.2904349	0.6253516	0.5833599	0.4941739	0.1078061	0.0853653	0.6354073	0.4226187	0.7208038	0.6687171	0.2565950	0.2241680	0.5372149	0.8035820	0.6919963	0.5398282	0.2944573	0.2950750	0.5845100	0.2822319	0.6208532	0.0350667	0.3439831	0.0225593	0.2008896	0.4568535	0.5102253	0.7474271	0.3421670	0.0849868	0.1427296	0.6982660	0.3665264	0.3102931	0.0933029
0.8012429	0.0244287	0.8242321	0.0637620	0.0471837	0.1387659	0.2331669	0.6563506	0.4986203	0.7915762	0.3404015	0.5077419	0.6313486	0.5635885	0.4166580	0.3080183	0.2591305	0.7088761	0.6583445	0.3784983	0.1662089	0.7599892	0.5845746	0.7022783	0.6597452	0.0650117	0.4828713	0.1087389	0.6463892	0.3079142	0.4058066	0.1992429	0.6434115	0.5063001	0.3954869	0.5458076	0.0738586	0.3071574	0.6080679	0.1472489	0.7611658	0.6118635	0.7157556	0.1776431	0.1136240	0.2019753	0.7076926	0.5958888	0.1734694	0.1889574
0.6740144	0.0268270	0.6631841	0.0497982	0.0160808	0.0108357	0.3393280	0.7098844	0.6718972	0.6487136	0.3557439	0.6046896	0.6123993	0.4962998	0.2944845	0.2583070	0.6449034	0.6738105	0.6705905	0.4804887	0.0160592	0.7654697	0.5423301	0.4163134	0.7648982	0.4536400	0.6116496	0.1608728	0.7146894	0.5770326	0.4095568	0.2377644	0.3544175	0.5019974	0.5009495	0.7321790	0.0182384	0.3663833	0.4979365	0.0012175	0.5777927	0.3709223	0.8064495	0.4291486	0.0890403	0.2228731	0.8227107	0.5704568	0.2399754	0.0163846
0.5291567	0.0008824	0.7367747	0.0356879	0.1177294	0.1777897	0.2776370	0.5147001	0.5170592	0.3934315	0.2474161	0.8418951	0.5905697	0.2179143	0.2335898	0.3338916	0.7484915	0.7255713	0.4459564	0.4574323	0.1136495	0.6188656	0.7179113	0.6501802	0.6849109	0.3818334	0.4182908	0.2522619	0.6590382	0.6967902	0.4563575	0.1609705	0.2672000	0.2975891	0.5809016	0.4002775	0.0457399	0.4168251	0.5070696	0.0076288	0.6145135	0.7215996	0.8381610	0.2819582	0.0245806	0.1462364	0.7502073	0.5186804	0.1429875	0.0154584
0.7357253	0.0119807	0.7200581	0.0857503	0.0840627	0.0950411	0.2828987	0.6397498	0.5422075	0.7451782	0.4203734	0.6156974	0.7267926	0.3491381	0.3027895	0.4620867	0.5929317	0.5991349	0.6080537	0.2390169	0.1060033	0.6241452	0.5744293	0.4972863	0.6109112	0.3944310	0.5377579	0.0537955	0.8466695	0.5677013	0.4199383	0.2060486	0.3208767	0.4326873	0.5927140	0.6322395	0.0648665	0.3958391	0.4164712	0.1730250	0.8156245	0.6272648	0.5505601	0.4124271	0.1038205	0.2011154	0.6266912	0.4741876	0.2848496	0.0681855
0.6520075	0.0019578	0.4865462	0.0274419	0.0484473	0.1115453	0.2244280	0.6391400	0.4782563	0.5032931	0.2311362	0.5844225	0.6363722	0.2523203	0.2722747	0.3206553	0.5277215	0.5452316	0.6605670	0.3386041	0.2235129	0.7241692	0.8742590	0.7431038	0.5882413	0.5126551	0.4034178	0.2239155	0.6625981	0.5331127	0.2254239	0.1412721	0.2620452	0.3778675	0.5325765	0.5299124	0.5388666	0.3510875	0.1960898	0.0710047	0.6629402	0.4208164	0.6292106	0.4869614	0.1885957	0.1971665	0.5646303	0.4669362	0.2741288	0.2158304
0.6510184	0.0029094	0.6901046	0.0142195	0.3531752	0.3392945	0.2077486	0.3316019	0.4726228	0.2912129	0.1476756	0.5911722	0.6590855	0.2965043	0.2937739	0.2574496	0.6385650	0.3003398	0.7485722	0.1841281	0.2937291	0.7801416	0.7471847	0.7837358	0.6952923	0.0419340	0.2970993	0.3150341	0.7148017	0.6159034	0.3695481	0.2302874	0.3333184	0.2706080	0.4840201	0.4903127	0.0521380	0.5040944	0.2000568	0.1667714	0.7178235	0.4661746	0.5966893	0.3528317	0.1827329	0.1941583	0.6625192	0.2773738	0.2850861	0.1393227
0.5182423	0.0005132	0.8390365	0.0813999	0.2129735	0.2208672	0.2001837	0.4072754	0.4517274	0.5905065	0.0483832	0.7599807	0.5346384	0.3301336	0.1735528	0.2987622	0.7259684	0.5290781	0.6848362	0.3254807	0.1749314	0.6137210	0.6257754	0.5741303	0.5645961	0.2241758	0.3779262	0.1306622	0.7579855	0.5916635	0.3776888	0.2331664	0.3422146	0.4296318	0.6290720	0.6206356	0.4785251	0.2575572	0.3915507	0.1121172	0.6239441	0.5217680	0.6430754	0.2439279	0.1609164	0.2856534	0.5424875	0.1354893	0.0815583	0.0066200
0.7070198	0.0030061	0.6826097	0.0071063	0.0083295	0.0294882	0.2911537	0.7336009	0.5571356	0.7039863	0.2664097	0.4152409	0.6900690	0.4622859	0.2591313	0.3977182	0.6280789	0.6518837	0.3899527	0.3707786	0.1343770	0.6217812	0.6866979	0.4597172	0.4993211	0.5448227	0.3826626	0.6104353	0.7368340	0.6810759	0.4885742	0.1604566	0.2830235	0.4351823	0.5167662	0.4374507	0.1327847	0.4468976	0.1345995	0.0033512	0.8244763	0.3223518	0.7668218	0.6276685	0.1975622	0.1135724	0.7098103	0.5073001	0.2386699	0.0476279
0.8764873	0.0267822	0.7644387	0.0109854	0.3834360	0.0686795	0.2375419	0.5696233	0.2771263	0.7091543	0.1070197	0.7033713	0.5580268	0.6328548	0.2090068	0.3634262	0.6789058	0.7412897	0.4015724	0.2309654	0.3096909	0.5269205	0.6199479	0.4848950	0.7060508	0.1804742	0.2604116	0.4081410	0.8844894	0.6091136	0.3853834	0.1907812	0.3281324	0.6030233	0.5888767	0.6270421	0.0720562	0.2455420	0.0118134	0.2299916	0.5530292	0.4287425	0.6419372	0.3416546	0.1211886	0.1953027	0.7593809	0.2007880	0.2387999	0.0899718
0.3023231	0.0010957	0.7026007	0.0555189	0.1678554	0.1598808	0.1711052	0.6851210	0.1783752	0.6047172	0.0060769	0.6950031	0.6339303	0.5643208	0.2856419	0.3453212	0.6752227	0.8187491	0.6165968	0.2711084	0.1204986	0.5839771	0.6838084	0.7370109	0.7400232	0.2112515	0.1309248	0.3865631	0.7327346	0.6053830	0.4441016	0.2587439	0.4300358	0.4739809	0.4320811	0.4860655	0.0910161	0.3749293	0.2037455	0.1578981	0.6966643	0.4317176	0.5946121	0.5509451	0.1500781	0.2505467	0.6082843	0.1897919	0.1838093	0.0614456
0.7940483	0.0497248	0.5008623	0.0650345	0.0166258	0.0285629	0.2912519	0.5999423	0.5105313	0.5497031	0.1032513	0.7407500	0.6346279	0.3686755	0.2369557	0.3061575	0.7782206	0.7782215	0.6042437	0.1500966	0.2219194	0.6329729	0.5975465	0.7729125	0.7689366	0.4230251	0.4096460	0.2702907	0.7139293	0.6227959	0.4073634	0.1718879	0.2939365	0.4576811	0.4587337	0.8323190	0.1606970	0.5489875	0.6223721	0.1515637	0.5919347	0.5301408	0.7545342	0.3915861	0.2121864	0.2344417	0.6621799	0.4159234	0.3665037	0.0211619
0.7001481	0.0069640	0.6551333	0.0512793	0.0718025	0.1252158	0.2681157	0.6729231	0.4135918	0.6883788	0.2319576	0.6304414	0.6432547	0.4209514	0.3744080	0.2499992	0.6558917	0.5903397	0.6991432	0.1477857	0.2315261	0.6122879	0.7916533	0.5878956	0.6451166	0.2844301	0.3168792	0.2987120	0.5786740	0.8353169	0.6282204	0.1930371	0.3004393	0.4613736	0.3373376	0.5859903	0.0449841	0.3181417	0.3425813	0.0068612	0.6736761	0.3501761	0.6677143	0.3181727	0.1867251	0.2182186	0.6339623	0.2545530	0.1410708	0.1842791
0.6407103	0.0004201	0.7057109	0.0203189	0.0562844	0.1763965	0.3297223	0.5241898	0.6599970	0.6884606	0.1398106	0.8315342	0.7710640	0.3233445	0.3752859	0.1931725	0.5947366	0.6158584	0.7872730	0.1411217	0.1286237	0.6648341	0.7643512	0.7395821	0.5668594	0.1531864	0.3835257	0.0516212	0.6714980	0.6241775	0.3505065	0.1278319	0.4261639	0.5284026	0.5567315	0.3870166	0.1714208	0.3919784	0.2512828	0.2096198	0.6590180	0.5882590	0.6906275	0.3641475	0.1772538	0.1529639	0.7178627	0.4310100	0.1845296	0.4223551
0.5698285	0.0007694	0.5654640	0.0296227	0.1017155	0.0919178	0.2218849	0.7352534	0.2914852	0.8000647	0.1381076	0.6812559	0.7423309	0.3107267	0.3174274	0.2199392	0.6883602	0.8313070	0.4839461	0.4188889	0.1935380	0.5180030	0.5906952	0.8677217	0.8942824	0.1054808	0.2891552	0.3803713	0.7389448	0.7474928	0.3985829	0.1965713	0.3378241	0.5668350	0.5486409	0.6005448	0.1509606	0.2366024	0.0728624	0.0967747	0.6805365	0.4647855	0.7308886	0.5442173	0.2027442	0.1984153	0.7309100	0.3755913	0.4309205	0.1947369
