YGL013C	YBL005W	YOR140W	YPL038W	YPL248C	YGL035C	YGR044C	YCL066W	YML051W	YDR146C	YLR013W	YGL209W	YJL056C	YCR097W	YCR018C	YCL067C	YCR040W	YHR006W	YOR032C	YOL089C	YMR280C	YCR096C	YKL020C	YBL103C	YKL185W	YCR039C	YMR240C	YOR148C	YCL074W	YAR003W	YER134C	YDL114W	YBR070C	YDR397C	YJL188C	YDR469W	YFL064C	YLR467W	YDR343C	YGL001C	YNL253W	YFL063W	YDR544C	YHR092C	YOL083W	YIL128W	YLR360W	YER078C	YMR193W	YDL082W
0.1236628	0.3189689	0.2314018	0.8156089	0.5053345	0.4374566	0.3770651	0.2696138	0.5241467	0.0613167	0.0666527	0.6634243	0.7284578	0.6511195	0.0053533	0.0646497	0.5179222	0.8008743	0.7746803	0.7640393	0.6060867	0.7077842	0.6805610	0.6305752	0.0368789	0.0000035	0.7247306	0.3876512	0.2109302	0.2066072	0.1521152	0.1271373	0.8778250	0.6550362	0.0416110	0.2072599	0.0600110	0.4344202	0.3644408	0.4660206	0.1659370	0.6964814	0.1624457	0.0009089	0.0639135	0.6260476	0.0031092	0.3862760	0.4044413	0.6187106
0.3683132	0.2397785	0.2051787	0.7237355	0.4494633	0.4048570	0.3942160	0.3140806	0.3995172	0.0209381	0.0805361	0.7378897	0.7904737	0.6127814	0.0049469	0.0984573	0.5671063	0.7388487	0.7031603	0.7457624	0.6628940	0.6341401	0.8218298	0.7255142	0.0558306	0.0000076	0.5380885	0.3075652	0.1617215	0.1410067	0.1946065	0.1821536	0.7702712	0.6292418	0.2350394	0.1277562	0.0415680	0.4084926	0.3528259	0.4948505	0.1354205	0.7044115	0.2028740	0.0023366	0.0709050	0.4593578	0.0287054	0.3094739	0.3903393	0.5769552
0.3639607	0.4342947	0.1218399	0.8308781	0.5039039	0.4202251	0.4255619	0.3179884	0.4598667	0.0325235	0.0774982	0.9344215	0.8034019	0.6357198	0.0257694	0.0708482	0.7083553	0.7827353	0.6874632	0.7718562	0.6477059	0.6750119	0.7015210	0.7187011	0.0371616	0.0000721	0.4741514	0.4393103	0.2830705	0.1182289	0.1360982	0.1737089	0.8185374	0.7280381	0.3804393	0.7165417	0.0162475	0.3611403	0.4502888	0.5021822	0.1589983	0.8206712	0.2289391	0.0002862	0.0870784	0.3853694	0.0384523	0.3312304	0.4376114	0.5045879
0.5607478	0.5856834	0.2361768	0.2709289	0.5763399	0.4522316	0.3898590	0.3159160	0.5670612	0.0286146	0.0737687	0.7529903	0.9113175	0.5588914	0.0040080	0.0931887	0.6864895	0.7760611	0.7174476	0.6751417	0.5319267	0.6873946	0.7195005	0.6086401	0.0677789	0.0005724	0.3368561	0.4935032	0.0482666	0.1937836	0.1293848	0.2470733	0.6609674	0.5714802	0.3633289	0.6692402	0.0292588	0.3249601	0.5107294	0.4516202	0.1178451	0.8220868	0.3056680	0.0020499	0.0927727	0.4805078	0.1933073	0.2351262	0.4523000	0.3431266
0.2615946	0.4779126	0.2242276	0.8500017	0.2071258	0.3987207	0.4395187	0.3482445	0.6875481	0.0174560	0.0242416	0.5954624	0.7113813	0.6372439	0.0083278	0.0778404	0.5216703	0.6482100	0.7406522	0.7535247	0.8108585	0.6535627	0.8825588	0.7080864	0.0174488	0.0001868	0.5922277	0.4631815	0.0737024	0.4771415	0.0953776	0.1190573	0.7443935	0.7564456	0.1778796	0.7288346	0.0343993	0.2379040	0.5972276	0.4305328	0.2487301	0.7825456	0.2458917	0.0063440	0.0890117	0.4567568	0.0741362	0.2838409	0.4777338	0.4259202
0.4163995	0.4195806	0.2968938	0.8095251	0.7089837	0.2358231	0.5136345	0.2313611	0.3354935	0.0639557	0.0809007	0.8411731	0.8795579	0.6280966	0.0074172	0.0651574	0.6463434	0.7323181	0.7533644	0.7690446	0.6119958	0.6174649	0.7219176	0.8221053	0.0350386	0.0000354	0.5027262	0.4546382	0.2236120	0.0848249	0.1320735	0.1824075	0.9000213	0.7002239	0.1920088	0.5561179	0.0399672	0.3179178	0.4637892	0.4508768	0.1636128	0.6613183	0.2913202	0.0045507	0.0931714	0.6337311	0.0492996	0.4826856	0.3346637	0.5317053
0.3193912	0.5059457	0.1307584	0.7998342	0.4623368	0.4112489	0.1860345	0.3477066	0.5779494	0.0436597	0.0639049	0.6701918	0.6336229	0.6575347	0.0036127	0.0648786	0.6880801	0.8522493	0.7119993	0.7540216	0.7466927	0.6021066	0.6809059	0.8684833	0.0117271	0.0012568	0.5152376	0.4287753	0.1594321	0.2086855	0.0904805	0.1846242	0.6685887	0.6837896	0.2005859	0.6723780	0.0460279	0.3608767	0.5177787	0.5001598	0.1664551	0.7396483	0.2866779	0.0016401	0.1000570	0.5315414	0.0289270	0.2245894	0.4874290	0.5649803
0.3609278	0.5607657	0.2206025	0.7189760	0.3989606	0.3609981	0.4135232	0.1449176	0.5189104	0.0226274	0.2450039	0.8266717	0.7758097	0.5456493	0.0114030	0.0348835	0.5747411	0.8182167	0.8170657	0.7628882	0.6299098	0.7465041	0.7374475	0.8158330	0.0459459	0.0001572	0.6326217	0.5362461	0.2948335	0.1726031	0.1152484	0.2559539	0.7070188	0.5711830	0.2932738	0.7849155	0.0264415	0.2832955	0.4955879	0.5360368	0.1423168	0.8772191	0.3070051	0.0067619	0.1369125	0.4641814	0.1134027	0.3466802	0.3480381	0.4482301
0.3236186	0.4106559	0.3045372	0.8693156	0.5149978	0.5316643	0.5120563	0.3212179	0.2993116	0.0209332	0.1783393	0.7693603	0.6669210	0.7878628	0.0113400	0.0539334	0.5634129	0.6752691	0.7650353	0.7193372	0.5121608	0.7595387	0.7066650	0.9575952	0.0372563	0.0000654	0.5044749	0.3831240	0.2903439	0.2239062	0.1211221	0.2870403	0.7125502	0.6466598	0.1711491	0.5798181	0.0335171	0.4291020	0.6278936	0.4646651	0.1306479	0.8387375	0.2525235	0.0026626	0.0719742	0.4508392	0.0615693	0.3512572	0.3443554	0.4746411
0.3755742	0.5455445	0.1775449	0.6827077	0.4826961	0.4453343	0.4089205	0.2979477	0.6024355	0.0240436	0.0050770	0.7583703	0.5541285	0.6932702	0.0081528	0.1155006	0.5916683	0.8226832	0.7651622	0.8131929	0.7026588	0.5995930	0.7604120	0.6699863	0.0406541	0.0000160	0.6211930	0.4523626	0.0671941	0.2020078	0.1544966	0.0678986	0.7401717	0.7930527	0.1803894	0.5508865	0.0837373	0.0873011	0.6302429	0.4049432	0.1504077	0.7743610	0.2405355	0.0007921	0.1082158	0.5007319	0.0159788	0.2497910	0.3604792	0.5251047
