YGL013C	YBL005W	YOR140W	YPL038W	YPL248C	YGL035C	YGR044C	YCL066W	YML051W	YDR146C	YLR013W	YGL209W	YJL056C	YCR097W	YCR018C	YCL067C	YCR040W	YHR006W	YOR032C	YOL089C	YMR280C	YCR096C	YKL020C	YBL103C	YKL185W	YCR039C	YMR240C	YOR148C	YCL074W	YAR003W	YER134C	YDL114W	YBR070C	YDR397C	YJL188C	YDR469W	YFL064C	YLR467W	YDR343C	YGL001C	YNL253W	YFL063W	YDR544C	YHR092C	YOL083W	YIL128W	YLR360W	YER078C	YMR193W	YDL082W
0.0000000	0.0246415	0.1929241	0.6163429	0.5493564	0.3694819	0.3850250	0.3477725	0.5950852	0.0201005	0.0461726	0.8037203	0.7535050	0.6530207	0.0156208	0.1084715	0.5824195	0.7800253	0.7499707	0.8215640	0.7291547	0.7064596	0.6883502	0.6931473	0.0254746	0.0000074	0.8080422	0.0569353	0.5582112	0.2031459	0.1571657	0.1305803	0.7027037	0.6650380	0.0173656	0.0781404	0.0205239	0.3634904	0.5754171	0.3740881	0.2130866	0.8556645	0.0463413	0.0009371	0.0072876	0.6682932	0.0002930	0.3033835	0.4691236	0.7174063
0.2716098	0.0000000	0.2176274	0.9236049	0.4110075	0.4194413	0.4267608	0.3686627	0.5442511	0.0255701	0.0856518	0.7394759	0.7273236	0.6630285	0.0098069	0.0581783	0.5884067	0.7810433	0.8060336	0.6538747	0.5784441	0.6212191	0.7044321	0.6212111	0.0342945	0.0000670	0.4883816	0.0773832	0.1779266	0.1064021	0.0820612	0.2159011	0.6686852	0.7276124	0.2674471	0.0821805	0.0305140	0.4032679	0.5438176	0.4570491	0.0937210	0.7937522	0.2789797	0.0011704	0.0027467	0.4453893	0.0821118	0.3478009	0.4146494	0.4316642
0.3567210	0.3903925	0.0000000	0.8333698	0.4256141	0.5442626	0.3563745	0.3174302	0.5768755	0.0253150	0.0684524	0.6748611	0.7764719	0.6294073	0.0075470	0.0537305	0.6582916	0.8607572	0.7133723	0.7300673	0.5584321	0.5922920	0.7867206	0.8045622	0.0319848	0.0000869	0.5274561	0.4806512	0.2558412	0.1293466	0.1506720	0.2169507	0.6227438	0.6631591	0.2548990	0.6181478	0.0739177	0.4395426	0.5245938	0.5371410	0.1358025	0.7344794	0.1776850	0.0007158	0.1175266	0.5406322	0.0312838	0.3937631	0.3203555	0.4950509
0.6762557	0.6186939	0.2132103	0.0000000	0.3959926	0.4886756	0.4220179	0.2114992	0.4244711	0.0682146	0.0643489	0.6864776	0.8348709	0.7366976	0.0157146	0.0576910	0.6683752	0.6562759	0.7853460	0.5930862	0.6291485	0.7345346	0.5626595	0.9736670	0.0877641	0.0001930	0.1908003	0.6139215	0.0652132	0.1583044	0.1418157	0.1197653	0.7160239	0.7200401	0.5769920	0.6560998	0.0587699	0.5372853	0.5542287	0.4027540	0.1981378	0.6422794	0.4049544	0.0006206	0.1884677	0.3701510	0.3860678	0.3129197	0.4416931	0.2180834
0.2234200	0.4045943	0.0450932	0.8592595	0.0000000	0.4064457	0.1091882	0.0697446	0.6812063	0.0266563	0.0443207	0.6871305	0.6387635	0.5546218	0.0052078	0.7010382	0.5951770	0.7388173	0.7550736	0.7869875	0.7001548	0.7740085	0.7969983	0.8585263	0.0257557	0.0002986	0.4833457	0.5713726	0.2054318	0.7518382	0.1470555	0.1710256	0.9202459	0.6369561	0.2128124	0.6536563	0.0539141	0.3412472	0.5035124	0.5309453	0.0996427	0.7624077	0.0138123	0.0028871	0.0971834	0.5250761	0.0494065	0.0246162	0.3809929	0.3928696
0.3927011	0.4475562	0.4465480	0.7638703	0.7355003	0.0000000	0.8662861	0.5591693	0.3094400	0.8704832	0.6374034	0.6389884	0.6347616	0.5888175	0.0642800	0.0089898	0.6567340	0.8813173	0.6723689	0.7337912	0.2915071	0.7882250	0.7571012	0.7911989	0.6754363	0.0007595	0.4449096	0.6054183	0.3342799	0.1289206	0.1076780	0.5670724	0.0281864	0.1793615	0.3691536	0.5168371	0.8111982	0.4423797	0.6835185	0.3683110	0.1778750	0.1175515	0.0287111	0.7256574	0.0826039	0.7410866	0.6524788	0.6513347	0.4966369	0.7114290
0.3334444	0.4358975	0.0227822	0.6538335	0.4503139	0.4251782	0.0000000	0.3504638	0.5240572	0.0369296	0.0821742	0.6734123	0.6434161	0.5999394	0.0018645	0.1108975	0.4993027	0.7167108	0.8155789	0.7906600	0.6832168	0.7622235	0.7362409	0.7100076	0.0601551	0.0020640	0.6356720	0.4074684	0.1388877	0.1927437	0.1211686	0.1424755	0.6384782	0.6725324	0.1435710	0.5937829	0.0375066	0.3935391	0.5629232	0.3678868	0.1657109	0.6082448	0.2930255	0.0034138	0.0680130	0.4640830	0.0386911	0.0012022	0.3715189	0.5207855
0.3669275	0.5188659	0.3554106	0.7555827	0.5225969	0.4482721	0.4495878	0.0000000	0.6126082	0.0320158	0.0836747	0.8451534	0.7356886	0.7243273	0.0050724	0.1127972	0.7098900	0.6845641	0.7628666	0.6488740	0.6737738	0.6551560	0.6248192	0.6540179	0.0305028	0.0000145	0.5477140	0.4121618	0.2666733	0.1933117	0.1880340	0.2692337	0.6615467	0.7449777	0.2545669	0.5651187	0.0614700	0.3537850	0.6489415	0.4165721	0.1725774	0.7139994	0.2153109	0.0019295	0.1199430	0.5789060	0.0690503	0.3688403	0.3841255	0.6255750
0.2806992	0.4794787	0.2979476	0.7519758	0.4798036	0.3233015	0.4375359	0.3782449	0.0000000	0.0623336	0.1230655	0.6672804	0.7796028	0.6741806	0.0134225	0.0310085	0.6725311	0.6438748	0.7933020	0.7758081	0.5746441	0.5898691	0.6138565	0.7507213	0.0610769	0.0000519	0.5828315	0.4885233	0.2861648	0.2479491	0.1089077	0.1934272	0.9339197	0.5708168	0.3169872	0.5076033	0.0238475	0.4474800	0.4516368	0.5143075	0.2252568	0.6874441	0.2104532	0.0044745	0.1607923	0.6059640	0.0177190	0.3435551	0.3711477	0.4850964
0.3204337	0.5470660	0.2729398	0.7681118	0.5075568	0.3419463	0.3275514	0.3020042	0.4828598	0.0000000	0.0007008	0.6569425	0.7669394	0.6959683	0.0112934	0.0815723	0.7170502	0.7731835	0.7540305	0.7262569	0.7249804	0.5986090	0.7911017	0.7311538	0.0430377	0.0004258	0.3420731	0.5484352	0.0451201	0.2581374	0.1317133	0.0310972	0.7757979	0.8622844	0.2639592	0.7527717	0.0234021	0.0626001	0.5217162	0.3864035	0.1343136	0.7330687	0.2603328	0.0042594	0.1772697	0.4055342	0.0531098	0.2229129	0.3060197	0.4796213
