YGL013C	YBL005W	YOR140W	YPL038W	YPL248C	YGL035C	YGR044C	YCL066W	YML051W	YDR146C	YLR013W	YGL209W	YJL056C	YCR097W	YCR018C	YCL067C	YCR040W	YHR006W	YOR032C	YOL089C	YMR280C	YCR096C	YKL020C	YBL103C	YKL185W	YCR039C	YMR240C	YOR148C	YCL074W	YAR003W	YER134C	YDL114W	YBR070C	YDR397C	YJL188C	YDR469W	YFL064C	YLR467W	YDR343C	YGL001C	YNL253W	YFL063W	YDR544C	YHR092C	YOL083W	YIL128W	YLR360W	YER078C	YMR193W	YDL082W
0.3003083	0.4636765	0.3302267	0.7976164	0.5660637	0.4022332	0.3639239	0.7855026	0.3095937	0.0007948	0.0006776	0.6510168	0.8132551	0.6483008	0.2013189	0.0730113	0.6088661	0.6072272	0.6315131	0.7050132	0.6909146	0.6392441	0.7705255	0.4924737	0.0006798	0.0012006	0.5487748	0.3753565	0.0688296	0.1429990	0.1597085	0.0013291	0.6595727	0.6438327	0.3447645	0.6274929	0.2153353	0.0029145	0.6961904	0.1428553	0.1626441	0.6689082	0.1428905	0.0011161	0.2171466	0.5741315	0.0000036	0.4553363	0.3848028	0.5812898
0.3271409	0.4396532	0.2263450	0.8131241	0.4370160	0.4914612	0.4445767	0.3252922	0.4793128	0.0008720	0.0000998	0.6238359	0.6008414	0.7364327	0.0008264	0.0002089	0.4727157	0.6204746	0.7981478	0.7420609	0.7070258	0.6131644	0.6915113	0.8516647	0.1312668	0.0000174	0.4716222	0.4146915	0.1043691	0.1305038	0.1513964	0.0010176	0.7535665	0.6853969	0.4563029	0.5585673	0.0000516	0.0440177	0.6471720	0.4660017	0.1131956	0.7995170	0.1878097	0.0002942	0.1249688	0.5990147	0.3141387	0.4540984	0.4197410	0.5270429
0.2933442	0.3116321	0.4407422	0.7069033	0.2556581	0.3592175	0.6665530	0.1462414	0.3422933	0.0000407	0.0001908	0.7672520	0.5799848	0.7330558	0.0898910	0.0771280	0.6687420	0.7107226	0.4708210	0.6652536	0.5343059	0.6432325	0.8032192	0.6843713	0.1164423	0.0039757	0.5975452	0.3651732	0.2886753	0.3060222	0.1111030	0.2502736	0.7323643	0.8637187	0.0861336	0.1824643	0.2852544	0.0226362	0.6827306	0.4378430	0.1270665	0.7061205	0.2596540	0.0039185	0.1141359	0.5830771	0.2571113	0.3792547	0.3329884	0.4960080
0.3527047	0.4943491	0.3242719	0.7553021	0.6755473	0.3437614	0.3175692	0.0853243	0.1684979	0.0018377	0.0075029	0.5793435	0.6877912	0.7731778	0.0914602	0.0861704	0.6657696	0.8508958	0.8246189	0.7769806	0.5622170	0.6656892	0.7018545	0.7229543	0.0240443	0.0000241	0.5172100	0.2855963	0.0567665	0.0372738	0.1063024	0.1803789	0.9071952	0.6151410	0.2245194	0.4898218	0.2475842	0.2472118	0.4356176	0.4301333	0.1551649	0.8074331	0.2689135	0.0017193	0.2229473	0.5785645	0.0226257	0.6067622	0.4563273	0.4736860
0.2518529	0.6045561	0.4272965	0.7341141	0.5511302	0.2463912	0.6448386	0.5158499	0.4561731	0.0018384	0.0000305	0.2557426	0.7189239	0.6085068	0.1549985	0.0027546	0.5532466	0.8185969	0.2570635	0.6956930	0.5993117	0.7526226	0.7536315	0.5908108	0.1282965	0.0030288	0.5756675	0.3777341	0.0476800	0.1105963	0.2110103	0.0040475	0.6534696	0.7442464	0.2060400	0.8196881	0.0003802	0.0341008	0.6897759	0.1225765	0.1277267	0.7855260	0.2078954	0.0106247	0.2585219	0.4941477	0.5214443	0.4734156	0.6842520	0.2407291
0.3260476	0.4702156	0.3838955	0.5063762	0.6567804	0.3869029	0.6042809	0.4518316	0.2806030	0.2035924	0.4417543	0.7642322	0.9093580	0.6955467	0.0009056	0.0075368	0.4381521	0.7615398	0.7356512	0.7181476	0.6521775	0.7093509	0.5306670	0.6585416	0.2442006	0.0005220	0.3272990	0.4048821	0.5356298	0.1659617	0.1346322	0.3958024	0.2466881	0.2201291	0.4474995	0.6596777	0.1643305	0.4288014	0.6746060	0.5773640	0.1196666	0.2868721	0.0131414	0.0016860	0.1095490	0.5805857	0.5697429	0.3781603	0.3699405	0.5349529
0.2895764	0.4456332	0.5385907	0.8855195	0.5505516	0.4211680	0.3712369	0.0001352	0.4416713	0.0008410	0.0006156	0.4392106	0.7938002	0.5949412	0.0002527	0.0695587	0.4936857	0.7236753	0.7039063	0.7046862	0.5301843	0.6260347	0.7284706	0.8447090	0.2644750	0.0000212	0.4216615	0.4671525	0.0431971	0.1315554	0.1219648	0.0008612	0.7512338	0.5112865	0.2658088	0.7271421	0.2983016	0.0765501	0.7539033	0.1346248	0.1269756	0.8472133	0.3187793	0.0005987	0.2405790	0.5487804	0.6744884	0.5416952	0.3679196	0.2039636
0.3586705	0.5733360	0.6846836	0.4990669	0.6181972	0.4591559	0.7167949	0.2741627	0.3488646	0.2106403	0.5066998	0.8031229	0.8016044	0.6898189	0.0030671	0.0000053	0.6445485	0.8223229	0.7584849	0.6933920	0.6629575	0.5216784	0.7968501	0.8420180	0.3938891	0.0034805	0.2247388	0.5399925	0.1990206	0.1054806	0.1387052	0.5079536	0.0532886	0.2204736	0.3716801	0.5956801	0.4394331	0.3902788	0.8780624	0.6055488	0.1373272	0.4422100	0.1774847	0.0005475	0.1427297	0.4424445	0.7041625	0.6280355	0.3957569	0.6976566
0.2650719	0.3098435	0.1768264	0.8328965	0.4653182	0.3979527	0.3655397	0.0823153	0.4910098	0.0000543	0.1572742	0.8052105	0.7887282	0.5789504	0.0153248	0.0102841	0.4757719	0.8711856	0.8477729	0.6063373	0.7523616	0.5888212	0.5827295	0.7435502	0.0000336	0.0000109	0.6452295	0.4800556	0.3595573	0.1440652	0.1596631	0.2425947	0.6136704	0.7129197	0.1055117	0.4023862	0.1947698	0.4471515	0.5134980	0.4372717	0.2116951	0.6960226	0.1804127	0.0009106	0.6351833	0.5947934	0.0000321	0.3464990	0.3661006	0.4324182
0.3145390	0.5738688	0.4120884	0.5295965	0.6123664	0.3479544	0.4690565	0.5088981	0.5109198	0.0855590	0.1487957	0.5331980	0.4293058	0.8001482	0.0040742	0.0465583	0.4754466	0.6577663	0.5031598	0.7865612	0.5012498	0.5873316	0.7673985	0.7486423	0.1119596	0.0000354	0.4185366	0.5629989	0.3097192	0.1320620	0.1604905	0.4589010	0.6125509	0.4193784	0.1722393	0.7108868	0.1494980	0.3349765	0.5423984	0.2684552	0.2392900	0.7508105	0.1922275	0.0043257	0.1736946	0.4753924	0.5483923	0.3828128	0.4007713	0.4753723
