YGL013C	YBL005W	YOR140W	YPL038W	YPL248C	YGL035C	YGR044C	YCL066W	YML051W	YDR146C	YLR013W	YGL209W	YJL056C	YCR097W	YCR018C	YCL067C	YCR040W	YHR006W	YOR032C	YOL089C	YMR280C	YCR096C	YKL020C	YBL103C	YKL185W	YCR039C	YMR240C	YOR148C	YCL074W	YAR003W	YER134C	YDL114W	YBR070C	YDR397C	YJL188C	YDR469W	YFL064C	YLR467W	YDR343C	YGL001C	YNL253W	YFL063W	YDR544C	YHR092C	YOL083W	YIL128W	YLR360W	YER078C	YMR193W	YDL082W
0.0000000	0.0325139	0.3243837	0.9680565	0.6715807	0.5497346	0.5538795	0.4397173	0.6607961	0.0279768	0.0542026	1.0265266	1.0701515	0.9245120	0.0123497	0.1354410	0.7585051	0.9953752	1.0540486	1.0659543	0.9271292	0.9509542	0.9718811	1.0476358	0.0479536	0.0000137	1.0444342	0.0938199	0.7847318	0.2118866	0.1663198	0.2023804	0.9978616	0.9255960	0.0313438	0.1152224	0.0563191	0.4580787	0.7893461	0.5857337	0.2334685	1.0841923	0.0297187	0.0023462	0.0070260	0.9818621	0.0027107	0.3997149	0.5470786	0.9764404
0.4334675	0.0000000	0.3475426	1.1411145	0.6123365	0.5983235	0.6276338	0.4212608	0.7109345	0.0357208	0.0932563	0.9184853	0.9855263	0.9293597	0.0072308	0.1243853	0.7583583	0.9753938	1.0424877	0.9477634	0.9229192	0.8653354	0.9603951	0.9969053	0.0577349	0.0004898	0.7158344	0.0934826	0.2583662	0.1988681	0.1371657	0.2453776	0.9599574	0.9815074	0.4120270	0.1153749	0.0448658	0.5098785	0.7631991	0.6462530	0.1815707	0.9415749	0.3511665	0.0016067	0.0017631	0.6458431	0.1001221	0.4808447	0.4962737	0.6175241
0.4660184	0.6184679	0.0000000	1.0786240	0.5749580	0.5775799	0.5578401	0.3780414	0.6699184	0.0410726	0.0710837	1.0167596	1.0736325	0.8768286	0.0127435	0.0807098	0.8651075	1.1131010	1.0187592	0.9915164	0.8376041	0.8542601	0.9621384	0.9646129	0.0502028	0.0001610	0.7473522	0.6440730	0.3101458	0.2265358	0.1959693	0.2761718	1.0137606	0.9715810	0.3247349	0.8497449	0.0607085	0.4952617	0.6933542	0.5817746	0.1845755	0.9880797	0.2827617	0.0029932	0.1802108	0.6662947	0.0407654	0.4117647	0.4530478	0.7168936
1.0321133	0.8974721	0.3307217	0.0000000	0.5749477	0.5760605	0.5689904	0.3809094	0.6542762	0.0491871	0.1259940	1.0439498	1.0340458	0.9063064	0.0139073	0.1038201	0.7739697	0.9903002	0.9458979	1.0190695	0.8894409	0.8771580	0.9363848	1.1647378	0.0583451	0.0006891	0.2676746	0.8032381	0.0955075	0.2385778	0.1670989	0.1530674	0.9756367	1.0085338	0.7884438	0.9016303	0.0522181	0.7896276	0.7562091	0.5736555	0.2210703	1.0242219	0.6047548	0.0013672	0.2251137	0.4251274	0.5576558	0.3936214	0.5510162	0.3018917
0.4246236	0.5722030	0.0574775	1.0762580	0.0000000	0.5135850	0.1557487	0.0926184	1.0229786	0.0414148	0.0573797	0.9992387	0.9672756	0.7897964	0.0118469	0.9473532	0.7638125	1.0157509	1.0212877	1.0159842	0.9221804	0.9503854	1.0383844	1.0426409	0.0770251	0.0001964	0.7374975	0.6687533	0.2060732	1.0128522	0.1476143	0.1872539	1.0989488	0.9608263	0.3041676	0.9249866	0.0704606	0.5101061	0.6905526	0.6466014	0.1777402	1.0444147	0.0243087	0.0031614	0.1670600	0.7145977	0.0396482	0.0352292	0.5159905	0.6802469
0.4754132	0.6710761	0.6697398	1.0144929	1.0779674	0.0000000	1.0408482	0.6124926	0.3862426	1.1320412	0.9475463	0.9731717	0.9898703	0.7814411	0.0970334	0.0115138	0.8744772	1.1218213	0.9893116	1.0347457	0.4192723	0.9484503	1.0201307	1.0227769	0.9329012	0.0013046	0.6457648	0.6334716	0.5217462	0.1154719	0.1488277	0.8383799	0.0393144	0.2316796	0.3487426	0.8501818	0.9438364	0.5535582	0.9796794	0.5624533	0.2418656	0.1290562	0.0383030	1.0030969	0.1636828	0.9272846	0.9923342	0.8573321	0.5609287	0.8819153
0.4758534	0.5958844	0.0343167	0.9145187	0.5901063	0.5935185	0.0000000	0.4543026	0.7904818	0.0527569	0.1176926	1.0056853	0.9733012	0.9064335	0.0063667	0.1183138	0.7053541	1.0236221	1.0817778	1.0072800	0.9341273	0.9931065	1.0519010	1.0686529	0.0655716	0.0017725	0.8412611	0.6032153	0.1800477	0.2847707	0.1480489	0.1929812	0.9574081	0.9707435	0.2148910	0.9047950	0.0476924	0.4918400	0.7624053	0.5259727	0.2080417	0.9129220	0.2943494	0.0041181	0.1343403	0.7065804	0.0461031	0.0032223	0.5212159	0.7803357
0.4982731	0.5926420	0.4153623	1.0844571	0.6909936	0.5936707	0.6503685	0.0000000	0.7861186	0.0463888	0.1377144	1.0270763	0.9698793	0.9929193	0.0033266	0.1206189	0.8679256	1.0313902	1.0565696	0.9323419	0.9704537	0.8985436	0.9399700	0.9846407	0.0702915	0.0000276	0.7528484	0.6023136	0.4518642	0.2663887	0.2339183	0.3018041	0.9880358	0.9549870	0.2522254	0.8218270	0.0820660	0.4907054	0.8640050	0.6292187	0.1985275	0.9740555	0.3302201	0.0019254	0.1456859	0.7555330	0.0615932	0.4305621	0.5695888	0.7093234
0.4525248	0.6559122	0.4418526	0.9833815	0.6213102	0.4359128	0.6558341	0.4317906	0.0000000	0.0481685	0.1454481	1.0202455	1.0297109	0.8701311	0.0138621	0.0811409	0.8497754	0.9739130	1.0260349	0.9771017	0.8625700	0.9110217	0.9663952	1.0361637	0.0599980	0.0002789	0.6683001	0.6716533	0.3754258	0.3190321	0.1680749	0.3160987	1.0666048	0.8878893	0.4263172	0.8187326	0.0682816	0.5491252	0.6844549	0.6056061	0.2383165	1.0114368	0.2726133	0.0053286	0.1725018	0.7325354	0.0378998	0.4604024	0.4723942	0.6458035
0.4503473	0.7681791	0.3489527	1.0214384	0.6748906	0.5425352	0.5581818	0.3792240	0.7084873	0.0000000	0.0014130	0.9963691	1.0441888	0.8573027	0.0112436	0.1235289	0.8141539	1.0095437	1.0824456	1.0330742	0.9254334	0.9169907	1.0759505	1.0623456	0.0577190	0.0004035	0.5668273	0.6860796	0.0731733	0.2681827	0.1783206	0.0513026	1.0671399	1.0363933	0.4404313	0.9247899	0.0458616	0.0933516	0.7157744	0.6377219	0.1779365	0.9773809	0.3870883	0.0059266	0.1922470	0.6338861	0.0902889	0.3663793	0.5064433	0.6104618
0.4206948	0.5982870	0.3183866	1.0559440	0.5779070	0.5730237	0.5810047	0.4176464	0.6431617	0.0381806	0.0000000	1.0288312	1.0695716	0.8560472	0.0206794	0.1020776	0.8079751	0.9827206	1.0100621	1.0072046	0.8744374	0.9043839	0.9898673	0.9718216	0.0784230	0.0003775	0.6616185	0.7164766	0.0892712	0.2369681	0.1459571	0.0826468	1.0757723	0.9378269	0.3502796	0.8777223	0.0494975	0.0836037	0.7584425	0.5921992	0.1901606	0.9743001	0.3416176	0.0018416	0.1045803	0.7450212	0.0380550	0.4450543	0.5420850	0.6734740
0.4421846	0.6909509	0.3381233	0.9595196	0.5125423	0.0474782	0.5636204	0.4450089	0.7943293	0.0215399	0.1110449	0.0000000	1.0606083	0.8819303	0.0092079	0.1215615	0.7873167	1.0515331	0.9652825	0.9366282	0.2105493	0.9038240	1.0235271	1.0216360	0.0409413	0.0004046	0.7001272	0.6695985	0.1897711	0.3104826	1.0569125	0.2512941	1.0512488	1.0448772	0.3405324	0.9432952	0.0603701	0.5344549	0.2031602	0.6599538	0.1872381	1.0011595	0.3356964	0.9777395	0.6134529	0.5772626	0.0989673	0.4158494	0.5211173	0.6285346
0.4588629	0.6205360	0.3849206	1.0412882	0.5292801	0.4930024	0.6096254	0.5637678	0.7093044	0.0321801	0.1362383	1.0424803	0.0000000	0.8762534	0.0075455	0.1299485	0.6276078	1.0224646	1.0012930	0.9295806	0.9979402	0.8952388	1.0213333	0.9796796	0.0398691	0.0650180	0.6387891	0.6649311	0.3648582	0.2463332	0.1417177	0.2750177	0.9534082	0.9125220	0.0073365	0.8783933	0.0733219	0.5286758	0.7011904	0.6388011	1.0167857	1.0249456	0.3660128	0.0054879	0.1684736	0.6919501	0.0282045	0.3995006	0.5553938	0.6479637
0.4048699	0.6647055	0.3485573	0.9827874	0.6727517	0.5115240	0.5048586	0.4247347	0.6090049	0.0494487	0.0692421	0.9783954	0.9906129	0.0000000	0.0096041	0.1107847	0.4279704	0.9753336	1.0819319	0.9749905	0.8661293	0.9074972	1.0359988	0.9802939	0.0625482	0.0337392	0.6958351	0.6418634	0.2028062	0.1909749	0.2226780	0.2067166	1.0158049	0.9986026	0.1958293	0.8276709	0.0731592	0.4981403	0.7339284	0.6558159	0.2608500	1.0874354	0.3430789	0.0019735	0.1801678	0.6721460	0.0624908	0.4602488	0.6030190	0.6558373
