YGL013C	YBL005W	YOR140W	YPL038W	YPL248C	YGL035C	YGR044C	YCL066W	YML051W	YDR146C	YLR013W	YGL209W	YJL056C	YCR097W	YCR018C	YCL067C	YCR040W	YHR006W	YOR032C	YOL089C	YMR280C	YCR096C	YKL020C	YBL103C	YKL185W	YCR039C	YMR240C	YOR148C	YCL074W	YAR003W	YER134C	YDL114W	YBR070C	YDR397C	YJL188C	YDR469W	YFL064C	YLR467W	YDR343C	YGL001C	YNL253W	YFL063W	YDR544C	YHR092C	YOL083W	YIL128W	YLR360W	YER078C	YMR193W	YDL082W
0.2604611	0.3809713	0.3832237	1.1740804	0.5674668	0.5595301	0.5805469	0.4322646	0.6883748	0.0230085	0.0810760	1.0122872	1.0862467	0.9178523	0.0110239	0.1341779	0.6791927	1.0284010	1.0643166	1.0590785	0.8896523	0.9481941	1.0213371	1.0242827	0.0454256	0.0003416	0.9745302	0.5440761	0.4369370	0.2412937	0.2031469	0.2276697	1.1486305	0.9338441	0.0572213	0.2772302	0.0577527	0.5058617	0.6720544	0.5767339	0.2215762	1.0361710	0.2328841	0.0048607	0.0942890	0.9242542	0.0066306	0.4835398	0.4927748	0.8633176
0.4245455	0.2810979	0.3551744	0.9913977	0.6991116	0.4897511	0.6141008	0.4203485	0.7327804	0.0429363	0.0922957	0.9722543	1.1259905	0.8592288	0.0027772	0.0992608	0.8599880	1.0419158	1.0173684	0.9601983	0.8377576	0.9712210	1.0234204	0.9832222	0.0525178	0.0019136	0.7452121	0.5136704	0.1960703	0.1598167	0.2721643	0.2385086	1.0625842	0.9965014	0.2573310	0.1652295	0.0644989	0.4505689	0.6757426	0.5926702	0.2111687	1.0175206	0.3379233	0.0041385	0.1116588	0.6917117	0.1102694	0.4363687	0.5286168	0.6562367
0.4607404	0.6989724	0.2238312	1.0013526	0.7684548	0.5906116	0.6577946	0.4536827	0.5663945	0.0367486	0.1220920	1.0645655	1.0828079	0.8638269	0.0255799	0.0842961	0.7952594	1.0504134	0.9787411	0.8829312	0.9941924	1.0722438	0.9911221	1.0549124	0.0508267	0.0000619	0.6972084	0.6787700	0.2915366	0.2063750	0.1799188	0.2464599	1.1160229	0.9644111	0.4014559	0.8355389	0.0712598	0.5085907	0.6705213	0.6408249	0.2395322	0.9908499	0.3817144	0.0007560	0.1397923	0.5822746	0.0633621	0.4409299	0.5858629	0.6506908
0.6821724	0.7723413	0.3347037	0.4859219	0.6347729	0.6333660	0.5304060	0.4264606	0.6417898	0.0478440	0.0502869	1.0158157	1.0654640	0.8567575	0.0176500	0.0931391	0.8410009	1.0764741	1.0810360	1.0585930	0.8239085	0.9449362	1.1939824	1.0035109	0.0967970	0.0057018	0.5086199	0.6393140	0.1290152	0.2310569	0.1524740	0.2000957	0.9433720	0.9746581	0.5233909	1.0127258	0.0468617	0.5846205	0.6575397	0.5991953	0.2026874	1.0460440	0.4146955	0.0027517	0.1900198	0.6171342	0.1932955	0.4363100	0.5657187	0.5225090
0.4442277	0.6147920	0.3231862	1.0892398	0.3191902	0.5669879	0.6085973	0.3695677	0.9139654	0.0236127	0.0279629	0.9390283	0.9590708	0.8088386	0.0084696	0.1253023	0.7580358	0.9896730	0.9926849	0.8987869	1.0165584	0.8558511	1.0630263	0.9993534	0.0734252	0.0010579	0.6903587	0.6922854	0.1409158	0.5745352	0.1497276	0.1832068	0.9954058	0.9211851	0.2853557	0.8603942	0.0670185	0.5111938	0.7966372	0.6721931	0.2691079	1.0719583	0.3304261	0.0120896	0.1264722	0.6896412	0.0711674	0.3920399	0.5582195	0.6827557
0.4257891	0.6193166	0.3128266	1.0542129	0.8544831	0.3425553	0.6458211	0.4282266	0.4909132	0.0406945	0.1382792	1.1144589	1.1145843	0.7826213	0.0203349	0.1039120	0.8419205	1.0244081	1.0004871	0.9309794	0.8497183	0.8776582	1.1241474	0.9924220	0.0642162	0.0011522	0.7067172	0.6596858	0.3317782	0.1888296	0.1713845	0.2280962	0.9206232	0.9477887	0.2825010	0.8485691	0.0658236	0.4853832	0.7052011	0.5080272	0.2497450	0.9515546	0.3319393	0.0093748	0.1610451	0.6995367	0.0459584	0.5351308	0.5398109	0.6954836
0.4405039	0.6437197	0.1736359	1.0716953	0.6896169	0.5683516	0.3600442	0.4502066	0.6489274	0.0207693	0.1098173	0.9999102	0.9265431	0.8973342	0.0046467	0.0926273	0.8562798	1.0380993	1.0683274	0.9876115	0.9824009	0.8614643	1.0636585	0.9297949	0.0403635	0.0009374	0.6124605	0.6115361	0.2417858	0.2531692	0.1351783	0.2409233	1.1037862	0.9349339	0.3717075	0.8574626	0.0699355	0.4459749	0.7853213	0.6500375	0.2032986	1.0023342	0.3865477	0.0036894	0.1078324	0.7335127	0.0682877	0.2318336	0.6034495	0.7609500
0.5155618	0.7709963	0.3758065	0.9596860	0.5478798	0.5818267	0.6846212	0.1986897	0.7844754	0.0727221	0.1972714	1.0718365	1.0100742	0.8346583	0.0250098	0.0931053	0.7686514	0.9699635	1.0191803	0.9802623	0.8610357	0.9104197	1.1099862	1.1250710	0.0656545	0.0005639	0.6733098	0.7313843	0.3818217	0.3194087	0.1905314	0.3354420	0.8824150	0.8457298	0.3393169	0.9583952	0.0591770	0.5456699	0.7538810	0.6029407	0.2669420	0.9322892	0.3091081	0.0045371	0.1619568	0.5656350	0.0912448	0.5093874	0.5803594	0.6103405
0.4510906	0.5844980	0.3917402	0.9809467	0.6214180	0.5689370	0.7039819	0.4619525	0.3818175	0.0687058	0.1891236	0.9587493	0.9766155	0.7956649	0.0068614	0.0562950	0.7554929	1.1103931	1.0557246	1.0653030	0.8771245	0.9522735	0.9837738	1.0730446	0.0859123	0.0002335	0.6968582	0.6923717	0.4564017	0.2696298	0.2044591	0.4021904	1.0510248	0.8173862	0.2498311	0.8521085	0.0515807	0.5230790	0.7015280	0.6068040	0.2033068	1.0189766	0.3020011	0.0062797	0.1580633	0.6215806	0.0749478	0.4632698	0.5160096	0.6846224
0.4420753	0.6552611	0.3792832	0.9620688	0.6175944	0.7218392	0.3936272	0.4392714	0.6804902	0.0149007	0.0071704	1.0786757	0.9804382	0.8797382	0.0049470	0.1007040	0.8390968	0.9618130	1.0763961	0.9702672	0.8615541	0.9387570	0.9334372	1.0029907	0.0668009	0.0007071	0.7132557	0.6011023	0.0678593	0.2337412	0.1930445	0.1790902	0.9976155	0.9730273	0.2881511	0.7399700	0.0467518	0.2257834	0.7350132	0.6208481	0.1656292	0.9947354	0.3921313	0.0033824	0.1245044	0.7305617	0.0385062	0.4321952	0.6540623	0.6220087
