YGL013C	YBL005W	YOR140W	YPL038W	YPL248C	YGL035C	YGR044C	YCL066W	YML051W	YDR146C	YLR013W	YGL209W	YJL056C	YCR097W	YCR018C	YCL067C	YCR040W	YHR006W	YOR032C	YOL089C	YMR280C	YCR096C	YKL020C	YBL103C	YKL185W	YCR039C	YMR240C	YOR148C	YCL074W	YAR003W	YER134C	YDL114W	YBR070C	YDR397C	YJL188C	YDR469W	YFL064C	YLR467W	YDR343C	YGL001C	YNL253W	YFL063W	YDR544C	YHR092C	YOL083W	YIL128W	YLR360W	YER078C	YMR193W	YDL082W
0.0000000	0.0299438	0.3044075	1.0640106	0.7118146	0.4893875	0.5357719	0.4496988	0.7129758	0.0330207	0.0596020	1.0444486	1.0587327	0.9464533	0.0129511	0.1186734	0.8171852	1.0297851	1.0930135	1.0906332	0.8825525	0.9299125	1.0211485	0.9815141	0.0677847	0.0023326	0.9623096	0.1250246	0.8206696	0.2263030	0.1476202	0.2220607	0.9873223	0.9348539	0.0360622	0.1113241	0.0428134	0.4776361	0.8080349	0.5553443	0.2166506	1.0458580	0.0298013	0.0060550	0.0133535	1.0147070	0.0060253	0.4083002	0.4713539	1.0378974
0.4263913	0.0000000	0.2987652	1.0412400	0.6363366	0.6101563	0.6108445	0.4381311	0.6233710	0.0480817	0.1067493	0.9563334	0.9461424	0.8951262	0.0093161	0.0863059	0.8322957	1.0003892	1.0080060	1.0055391	0.9989982	0.8547577	1.0279266	0.9810605	0.0610297	0.0004640	0.6699441	0.0658867	0.1883049	0.1962975	0.1795240	0.1900530	1.0213355	1.0145855	0.4258436	0.1197718	0.0601622	0.4705545	0.8857904	0.6322714	0.1729615	1.0577259	0.3310271	0.0015892	0.0050089	0.7374596	0.1068645	0.4807003	0.5403019	0.7471346
0.4422388	0.6523337	0.0000000	1.0724125	0.6213972	0.6578761	0.5207923	0.3945863	0.6835485	0.0280484	0.0815164	0.9067374	1.0457160	0.7941619	0.0054139	0.1150233	0.7948070	1.0965200	0.9696309	0.9766982	0.8354907	0.7996866	0.9231536	1.0046136	0.0479340	0.0029027	0.7190416	0.6485657	0.2889449	0.2224817	0.2295618	0.3650030	0.8945143	1.0144400	0.3183560	0.8265916	0.0576293	0.4773694	0.6677029	0.6134775	0.1782195	1.0789793	0.3204323	0.0040616	0.1501368	0.6986140	0.0888782	0.4055381	0.4886178	0.6956128
0.9944738	0.9201905	0.4421638	0.0000000	0.6281282	0.6865160	0.5705327	0.3635816	0.6394117	0.0504243	0.0864339	1.0074013	1.0679635	0.8969802	0.0054405	0.0890742	0.7901240	0.9494138	0.9665866	1.0730277	0.9274333	0.8652415	0.9073875	1.0542965	0.0548677	0.0012383	0.2702005	0.7844062	0.0676231	0.2287965	0.1780385	0.1472148	0.9530444	0.9500240	0.7363120	0.9725928	0.0603966	0.8315749	0.7722471	0.5741849	0.2387321	1.0060759	0.6294933	0.0060749	0.1622097	0.4439934	0.6109635	0.3799228	0.5140327	0.3116067
0.4236538	0.6250805	0.0340699	1.0393141	0.0000000	0.4985886	0.1518864	0.0631004	1.0165628	0.0160162	0.0712107	0.9345616	1.0586769	0.8496944	0.0111378	0.9564991	0.6809869	0.9069813	1.0394344	0.9772688	0.8928319	0.8785372	0.9294420	1.0159649	0.0569571	0.0025123	0.6933976	0.6380306	0.1923161	0.9633704	0.1633279	0.2019754	1.0829201	1.0415692	0.3585237	0.9110317	0.0691175	0.4594934	0.6922769	0.6527727	0.2009366	1.0593776	0.0139006	0.0070340	0.1801754	0.7754683	0.0647593	0.0555253	0.5588617	0.6243062
0.5446184	0.6143519	0.6378764	1.0575342	1.0651321	0.0000000	1.1412193	0.5637850	0.4415663	1.0591637	1.0172951	1.0833531	0.9458818	0.7568089	0.1113644	0.0137217	0.8496271	1.1235674	0.9957882	1.0336482	0.4795365	0.8575576	1.0150921	0.9864090	0.8810772	0.0009797	0.6724984	0.6803532	0.5450700	0.1429481	0.1249235	0.7907297	0.0626814	0.2904741	0.3649459	0.8223932	0.9552358	0.5608072	1.0744103	0.6033067	0.2158810	0.1579050	0.0559220	0.9297665	0.1412655	0.8764027	1.0118419	0.8516772	0.5871895	0.8197218
0.3949657	0.5253057	0.0172994	0.9858969	0.5338650	0.6282317	0.0000000	0.4178423	0.7098630	0.0608338	0.0813261	1.0729555	0.9714195	0.8179789	0.0025233	0.1025479	0.7305560	1.0466606	0.9916295	1.0738409	0.8795940	1.0611838	1.0874493	1.0589650	0.0728628	0.0015376	0.7318426	0.6377884	0.2144326	0.2263865	0.1720334	0.2243713	1.0084961	0.9636788	0.2954765	0.9927642	0.0773874	0.5558769	0.7011687	0.5954686	0.2213142	0.9451199	0.3144691	0.0065960	0.1959275	0.7028074	0.0368098	0.0196503	0.5594197	0.6907031
0.4040255	0.6093116	0.3324467	1.0015381	0.6081810	0.6072541	0.5933311	0.0000000	0.7509250	0.0483800	0.1826068	1.0533769	0.9602629	0.9862801	0.0099333	0.0758727	0.8134370	1.0771930	1.0297200	0.8642410	0.9369802	0.9936541	1.0216904	0.9989039	0.0787668	0.0022668	0.7163131	0.5688591	0.4344028	0.2501404	0.2200479	0.3167726	1.0827709	1.0208792	0.3430502	0.8473851	0.0690445	0.4248328	0.8818895	0.6183014	0.2211218	0.9578257	0.2997041	0.0009819	0.1168571	0.6749537	0.0635510	0.4167262	0.5975435	0.6706948
0.4965703	0.6094994	0.4514044	1.0482777	0.5492319	0.5062406	0.6447260	0.3975771	0.0000000	0.0500784	0.1653122	0.9196265	1.0226844	0.8705297	0.0289944	0.1000335	0.8203148	0.9129371	1.0229520	1.1047836	0.9289776	0.8813388	0.9091423	1.0610324	0.0425502	0.0013511	0.7028602	0.6299429	0.3766480	0.2554954	0.1735787	0.2920977	0.9762792	0.8984586	0.3580803	0.8139342	0.0582956	0.5445802	0.7147428	0.5681319	0.2278617	1.0059707	0.3406681	0.0028126	0.1244707	0.7351144	0.0694337	0.4029443	0.4879509	0.6362763
0.5338458	0.7230533	0.3723953	1.0879693	0.6305473	0.5701272	0.4855481	0.3487570	0.8144916	0.0000000	0.0159818	1.0398412	1.0636457	0.8058273	0.0174504	0.1145121	0.7035381	1.0072202	1.0699928	1.0646473	0.9526442	0.8772524	1.0226626	1.0070560	0.0556662	0.0010226	0.5654199	0.6854242	0.0700261	0.2744662	0.2055593	0.0570775	1.0105858	1.0463736	0.3822806	0.9983416	0.0432868	0.0785663	0.6121437	0.6221200	0.1479279	0.9796299	0.4108175	0.0038455	0.1823319	0.6928531	0.1164826	0.3884315	0.4887181	0.6215071
