YGL013C	YBL005W	YOR140W	YPL038W	YPL248C	YGL035C	YGR044C	YCL066W	YML051W	YDR146C	YLR013W	YGL209W	YJL056C	YCR097W	YCR018C	YCL067C	YCR040W	YHR006W	YOR032C	YOL089C	YMR280C	YCR096C	YKL020C	YBL103C	YKL185W	YCR039C	YMR240C	YOR148C	YCL074W	YAR003W	YER134C	YDL114W	YBR070C	YDR397C	YJL188C	YDR469W	YFL064C	YLR467W	YDR343C	YGL001C	YNL253W	YFL063W	YDR544C	YHR092C	YOL083W	YIL128W	YLR360W	YER078C	YMR193W	YDL082W
0.3902192	0.6314172	0.4356000	1.0372798	0.7291794	0.5802828	0.5990534	0.9909495	0.4134645	0.0015904	0.0013958	0.8913150	1.0381597	0.8866008	0.3251704	0.1091352	0.7255391	0.9695579	0.8907689	1.0394482	0.8668411	0.8337531	1.0520514	0.8162052	0.0008944	0.0013116	0.7838509	0.5860670	0.1635288	0.2221956	0.1996553	0.0018501	0.8436974	0.8094579	0.4317295	0.8442916	0.2526684	0.0003213	0.7875822	0.2778208	0.2651601	0.9759329	0.2926951	0.0015528	0.2979003	0.7342330	0.0041033	0.4160529	0.5855976	0.6581671
0.4741799	0.5671044	0.4351049	1.0531347	0.6239417	0.7824981	0.7591681	0.4865813	0.6984638	0.0023243	0.0078266	1.0715146	0.8565612	0.9514681	0.0027742	0.0006093	0.6354309	1.0065099	0.9962522	0.9860131	0.9354968	0.9026676	1.0405521	0.8636286	0.1937869	0.0021211	0.6185835	0.5996698	0.1665862	0.2452163	0.1689537	0.0016494	1.1234245	0.9755436	0.3263771	0.6554572	0.0014601	0.0294590	0.8619871	0.6950659	0.1902826	1.0236979	0.3304865	0.0006310	0.1822688	0.6021260	0.4846944	0.5327053	0.4573392	0.6241245
0.3869017	0.4460326	0.5889801	0.9330739	0.3477010	0.5163611	0.9430092	0.1650967	0.4889067	0.0004743	0.0017757	0.9238252	0.7808067	1.0492618	0.0935055	0.1177777	0.8000339	1.0829543	0.6859928	0.7796736	0.8061578	0.9348334	1.0382021	1.0087774	0.1754857	0.0030018	0.7880383	0.5827727	0.3264669	0.4198684	0.1395296	0.3055620	0.9911196	0.9443292	0.1365499	0.2898566	0.2371332	0.0133096	0.9491809	0.5587445	0.2750897	1.1304081	0.3679917	0.0049878	0.1100058	0.7083790	0.2948149	0.5109913	0.5653188	0.6145916
0.3958699	0.6023456	0.3989520	0.9096412	0.7911154	0.5049434	0.4214105	0.0927940	0.3390437	0.0040782	0.0049263	0.8567233	0.9850801	1.0264618	0.1024382	0.1098344	0.8548178	1.0987478	1.1269458	1.1019629	0.7900290	0.9159294	1.0670851	0.9551605	0.0437053	0.0020902	0.6625596	0.4400448	0.0387091	0.0927082	0.1896629	0.2319721	0.9940493	0.8299653	0.2944562	0.5855481	0.3320221	0.3429481	0.6270222	0.5977747	0.2475107	0.9603238	0.3489023	0.0040203	0.2990634	0.7432551	0.0519764	0.7467722	0.5231384	0.6825038
0.4253285	0.7583437	0.5013383	0.9411153	0.8109593	0.3776465	0.8776060	0.6269154	0.5735020	0.0013892	0.0033735	0.5745364	1.1375262	0.8200076	0.2292312	0.0029501	0.8824138	1.0358173	0.4833458	0.9814553	0.8037948	0.9676900	0.9882318	0.8704994	0.2316987	0.0011832	0.7276081	0.5147826	0.0676284	0.1329049	0.2655963	0.0080623	1.0564653	1.0009063	0.3124845	0.9958143	0.0008540	0.0297669	1.0449481	0.1761801	0.1746639	1.0847959	0.2955289	0.0068840	0.3100753	0.6314858	0.6654118	0.5450665	1.0548471	0.3783870
0.4666327	0.7604854	0.4600185	0.7370434	0.9019675	0.5960341	0.7923545	0.6775785	0.3362756	0.2149006	0.6769569	0.9709596	1.0766307	0.9098601	0.0090937	0.0175682	0.5265593	0.9651937	0.9410652	0.9371155	0.8486552	0.9273837	0.8766317	0.8222738	0.2514038	0.0022380	0.4892538	0.5818414	0.6590116	0.1938505	0.2182050	0.6542955	0.3360884	0.2532868	0.4815944	0.8669155	0.3075114	0.5825228	0.9300967	0.7553131	0.2137005	0.4231704	0.0349620	0.0007857	0.1676454	0.5755488	0.8055651	0.4363816	0.5799137	0.7075324
0.4435923	0.6308649	0.6915430	0.9654550	0.6880483	0.5182735	0.6302659	0.0035047	0.5177461	0.0023330	0.0012682	0.5864769	1.0680225	1.0595204	0.0005638	0.1275922	0.8977001	1.0094630	1.1342018	1.0021606	0.8186342	1.0155170	1.0600889	1.0278666	0.4054501	0.0009121	0.5428203	0.6807389	0.0721400	0.1509263	0.1817533	0.0050626	1.0481621	0.8087098	0.4462435	0.9440021	0.3752326	0.1221415	1.0358168	0.2511895	0.2403597	0.9232496	0.4011126	0.0136401	0.2526940	0.7227791	0.9717017	0.7416724	0.5149676	0.2634450
0.5723711	0.8048394	0.7788689	0.7270230	0.9437096	0.6541513	1.1739843	0.3823634	0.5578038	0.2828078	0.8099589	1.0084665	1.0311101	1.0286739	0.0100872	0.0000319	0.8466044	0.9201739	1.1462526	1.0186370	1.0194426	0.8285867	0.9468559	1.0883843	0.6304264	0.0021106	0.2714424	0.6139081	0.2648849	0.1515319	0.1811631	0.7744178	0.0650264	0.2988880	0.4483023	0.9315167	0.4875659	0.5420542	0.9900606	0.8015595	0.1579933	0.6179343	0.2035519	0.0002583	0.2386260	0.5494707	0.8915903	0.8841115	0.4846330	0.7916214
0.3784610	0.4924786	0.3248180	0.9921639	0.6235598	0.5144670	0.6377085	0.1289577	0.6312575	0.0006512	0.2590865	0.9882467	0.9410455	0.8212811	0.0143892	0.0401328	0.8150520	1.0078089	1.0994929	0.8819891	0.9200831	0.7362276	0.8938006	1.0156704	0.0010970	0.0000158	0.8493600	0.6156396	0.4126592	0.2643123	0.2574399	0.3004714	1.0037126	0.7844315	0.2527467	0.4887873	0.3213676	0.6901415	0.7938824	0.6960828	0.2244025	0.9797210	0.2216995	0.0019619	0.8637926	0.7930883	0.0010883	0.4468851	0.4421437	0.6138157
0.5032892	0.7677772	0.7198792	0.8370151	0.6542056	0.4070930	0.6158715	0.6701797	0.6497468	0.0753082	0.2363392	0.7657374	0.6151036	1.0374181	0.0037441	0.0650180	0.5256781	1.0892500	0.6591168	1.0006626	0.7282485	0.7546579	0.9288600	0.9762341	0.1123299	0.0007159	0.5999545	0.6379807	0.2537848	0.1877760	0.2031322	0.6023263	0.7878582	0.4941041	0.2426356	0.8382845	0.1234094	0.4950774	0.6180226	0.3545956	0.3910134	0.9243212	0.1926630	0.0051620	0.1615090	0.5734960	0.8050792	0.5191301	0.5127237	0.6022878
0.3077615	0.4369356	0.8355801	1.0578844	0.7208100	0.5007251	0.9687686	0.2669389	0.6012834	0.1264627	0.3492171	0.9635641	0.7626129	1.0610644	0.4237122	0.0283783	0.5598029	1.0401495	0.6515014	1.0488624	0.8026384	0.7966833	1.0274578	0.9808081	0.6345112	0.0009171	0.5156814	0.6105587	0.5610115	0.1775421	0.1518445	0.6547839	0.0711610	0.4988857	0.1199126	0.2555194	0.0058943	0.7291733	1.0703099	0.6769273	0.1587148	0.9849201	0.1610404	0.0041355	0.1443829	0.6968037	0.9314566	0.6572176	0.5665391	0.7877592
0.4142974	0.6865856	0.5023852	1.0577419	0.8403725	0.5877228	1.0214234	0.5979412	0.5690433	0.3538994	0.9081949	1.1107654	0.8812875	1.0236579	0.0198217	0.0027886	0.6410504	1.0025369	0.8400301	0.8538630	0.9894757	0.7889355	0.9173729	1.0339426	0.4757337	0.0008708	0.6083336	0.6715042	0.4672895	0.1646699	0.2129907	0.6440452	0.0630545	0.2757625	0.3610113	0.8534343	0.7644384	0.7131461	1.0262325	0.6484407	0.2036665	0.6017824	0.0115778	0.0003264	0.1694154	0.6995717	0.8796195	0.7009510	0.4847436	0.9205266
0.4342540	0.7376070	0.4009617	0.9656555	0.7596233	0.4286551	0.7688261	0.6770461	0.5747779	0.0123533	0.3130290	0.9713937	1.0360887	0.9331475	0.3099309	0.0284280	0.7219179	0.9993712	0.9447828	0.5632086	0.7885927	0.6346103	0.8613970	0.8704444	0.0028144	0.0030201	0.6157243	0.5095779	0.5398705	0.1598617	0.2439800	0.5264332	0.9642261	0.9976643	0.2493781	0.7684225	0.3936816	0.9595962	0.9057393	0.9168917	0.1893591	0.9830408	0.1673001	0.0122057	0.1734669	0.5568566	0.2140807	0.4936189	0.4852078	0.6666801
0.4494278	0.8889238	0.4733378	1.0845874	0.7604640	0.6583532	0.5378574	0.5128926	0.4009003	0.0013370	0.0231485	0.9640759	1.0220231	0.8878801	0.0003630	0.0591462	0.8150317	1.0531533	1.0223915	0.8732305	0.8456012	0.7820324	1.0243950	0.8838637	0.0002742	0.0048005	0.6188730	0.4045178	0.1549362	0.2336905	0.1338843	0.0110066	1.0865087	0.8898710	0.4494694	0.9392390	0.2799972	0.0674737	0.6679509	0.4220638	0.1823051	1.0243942	0.7227430	0.0085154	0.1383839	0.6953747	0.0006943	0.5222576	0.8769128	0.6429701
0.3491431	0.5632993	0.4112587	1.0196258	0.9032840	0.2878929	0.6981721	0.8962839	0.4586847	0.0515527	0.3300492	0.5038669	0.9951687	0.8996172	0.0877989	0.0315494	0.7197597	1.0065575	0.8796151	0.8677445	0.8615295	0.7055973	0.7686465	0.7942901	0.0055209	0.0003929	0.6679329	0.6688352	0.4747912	0.1361673	0.3452988	0.6248995	1.0341979	0.9081748	0.2867973	0.9447573	0.0029614	0.6967310	0.0826720	0.6981307	0.0829705	1.0600533	0.3517024	0.0500428	0.3172320	0.6505889	0.0024966	0.8659444	0.5980428	0.7123420
0.4464557	0.5421619	0.5880682	0.9600707	0.5316381	0.2462854	0.9868724	0.1300839	0.7882134	0.0091732	0.1454399	0.3468490	0.5289260	0.7942390	0.0001974	0.1124380	0.7885467	1.0036039	0.7959357	1.0197814	0.7145706	0.8770645	1.0285976	0.5985965	0.0007573	0.0005581	0.7135618	0.6208600	0.3277726	0.3776622	0.3798532	0.2192434	0.9560744	0.8688501	0.1715509	0.7583782	0.0041647	0.4483744	0.0116664	0.5191668	0.3194541	0.9501733	0.3286412	0.2820888	0.4142339	0.6996674	0.0669986	0.5493184	0.5867633	0.5455425
0.3008587	0.5005040	0.2374422	1.0891601	0.4877260	0.5979093	0.3637343	0.3482997	0.9043486	0.0125314	0.4419341	1.0241218	0.9216440	0.8961324	0.3531708	0.0177060	0.9843167	1.0520433	0.9848991	0.9570249	1.0196207	0.9901138	0.9754563	0.9636034	0.1543827	0.0003732	0.5639027	0.6251594	0.2491121	0.3479158	0.0671956	0.4328030	1.0596513	0.7070083	0.1628143	0.8620250	0.0016447	0.4666248	1.0817505	0.7479796	0.2555567	0.3673137	0.4006667	0.0010986	0.1174630	0.6160336	0.2667704	0.3137274	0.9579065	0.5109572
0.4327815	0.6646512	0.2682369	1.1247647	0.8842373	0.5625440	0.6104479	0.5052042	0.6378537	0.1217325	0.3684173	0.8491673	0.9357063	0.8444249	0.0878391	0.0162785	0.7632924	1.0966823	0.8511693	1.0446519	0.9807801	0.7653765	0.8459078	0.9404184	0.6664025	0.0048270	0.7112284	0.7058023	0.1726017	0.2066769	0.1749851	0.8474858	0.0634051	0.3873670	0.2829144	0.8090815	0.0101462	0.5429585	0.9321568	0.8172811	0.2868949	0.8986894	0.0939923	0.0036598	0.1672041	0.3194045	0.8833647	0.5091236	0.5925449	0.3886338
0.4249499	0.6274114	0.5114092	1.0258398	0.6651049	0.5467336	0.4351402	0.2244184	0.8207414	0.0079691	0.0050723	0.8221755	0.2699868	0.8523525	0.1365107	0.1039069	0.5056014	1.0820232	1.0381726	0.9823066	0.6763096	0.8816318	0.9556304	1.0084963	0.0017295	0.0014291	0.5670140	0.2802937	0.0588901	0.2388714	0.1814420	0.3041875	0.5543489	0.9346194	0.1241909	0.8479366	0.0023617	0.0234219	0.6198352	0.9266997	0.5147594	0.9808070	0.3873565	0.0055019	0.1966454	0.6993843	0.3357071	0.6797002	0.4217444	0.5782801
0.5339765	0.7292745	0.1952153	0.5961298	0.1838112	0.6346397	0.3531294	0.3124311	0.5597031	0.0060798	0.1200457	0.9335343	0.9367553	1.0563650	0.0578800	0.0020840	0.5852031	1.1123221	0.9218084	1.0311214	0.7513286	0.9925334	1.0491207	1.0783540	0.2440668	0.0007690	0.5281492	0.6762674	0.2727700	0.7321257	0.1821091	0.3967620	1.0846956	1.0031728	0.3799938	1.0041472	0.0000991	0.5868055	0.8133981	0.8876466	0.2452306	0.8529688	0.6859946	0.0046558	0.4042234	0.6064929	0.7341371	0.2863847	0.5453540	0.4828986
0.4478034	0.8166995	0.7624123	1.0810292	0.7895563	0.5283319	0.9575969	0.5346535	0.5569148	0.0033646	0.2969893	1.0136953	1.1058139	0.9595335	0.0049751	0.0565647	0.8908007	1.0318958	1.0095990	1.0502771	0.8973095	0.8604052	0.6116917	1.1557169	0.2335291	0.0005908	0.6873053	0.7172795	0.7478431	0.1545989	0.1389854	0.4286946	0.9937939	1.0241900	0.3060219	0.9164696	0.0045870	0.8129777	0.9548224	0.6451367	0.2084783	1.0985549	0.4524911	0.0020937	0.3284505	0.7067174	0.5568324	0.5167406	0.3222470	0.5867393
