YGL013C	YBL005W	YOR140W	YPL038W	YPL248C	YGL035C	YGR044C	YCL066W	YML051W	YDR146C	YLR013W	YGL209W	YJL056C	YCR097W	YCR018C	YCL067C	YCR040W	YHR006W	YOR032C	YOL089C	YMR280C	YCR096C	YKL020C	YBL103C	YKL185W	YCR039C	YMR240C	YOR148C	YCL074W	YAR003W	YER134C	YDL114W	YBR070C	YDR397C	YJL188C	YDR469W	YFL064C	YLR467W	YDR343C	YGL001C	YNL253W	YFL063W	YDR544C	YHR092C	YOL083W	YIL128W	YLR360W	YER078C	YMR193W	YDL082W
0.2200818	0.3341412	0.3555564	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788117	0.0102505	0.1068813	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.9400816	0.4887268	0.3043515	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.0824069	0.1811617	0.0543716	0.4891770	0.7101063	0.6076923	0.2180105	0.9996791	0.1947909	0.0015668	0.0908872	0.8157096	0.0066328	0.4272433	0.5388552	0.8631347
0.4401635	0.3250278	0.3558142	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788117	0.0102505	0.1068813	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.4820365	0.2077186	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.1696047	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.0888172	0.6761248	0.0561682	0.4272433	0.5388550	0.6541925
0.4401635	0.6500503	0.1779270	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788116	0.0102505	0.1068813	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832846	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4272433	0.5388567	0.6541925
0.6130955	0.7782911	0.3560298	0.5000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788117	0.0102505	0.1068813	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.4809497	0.6933812	0.1817523	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.5239144	0.9595593	0.0543716	0.5830699	0.7101063	0.6076923	0.2180105	0.9996791	0.4157410	0.0015668	0.1592499	0.5931160	0.1601846	0.4272433	0.5388568	0.5178389
0.4401635	0.6500503	0.3553760	1.0000000	0.3188820	0.5666158	0.5689200	0.3888839	0.9146497	0.0370991	0.0827045	1.0000000	1.0000000	0.8788117	0.0102505	0.1072818	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.5466791	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832846	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3319723	0.0015668	0.1447697	0.6761248	0.0561682	0.4271783	0.5388568	0.6541925
0.4401635	0.6500503	0.3563931	1.0000000	0.8586762	0.2833080	0.5691271	0.4201120	0.5164287	0.0371268	0.0827996	1.0000000	1.0000000	0.8788117	0.0102505	0.1068324	0.7898975	0.9999998	1.0000000	1.0000000	0.8142091	0.9102786	1.0000000	1.0000000	0.0545979	0.0000026	0.6799251	0.6518164	0.2080003	0.1416336	0.1710108	0.2024257	0.9999714	0.9717230	0.3175635	0.8832846	0.0543716	0.5072165	0.7101270	0.6076923	0.2180105	0.9996781	0.3324163	0.0045780	0.1447697	0.6761248	0.0561806	0.4273013	0.5388568	0.6541927
0.4401635	0.6500503	0.1310849	1.0000000	0.6377600	0.5666158	0.2845148	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788117	0.0102505	0.1068813	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832846	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.1776793	0.5388568	0.6541925
0.4401635	0.6500503	0.3558140	1.0000000	0.6377600	0.5666158	0.5690296	0.2046259	0.6778957	0.0370991	0.0827045	1.0000000	1.0000000	0.8788116	0.0102505	0.1068813	0.7898889	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.2262650	0.1710109	0.2022446	0.9999714	0.9717972	0.3175635	0.8832847	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447698	0.6761248	0.0561682	0.4272432	0.5388567	0.6541925
0.4401635	0.6500503	0.3558141	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.3389489	0.0370991	0.0827045	1.0000000	1.0000000	0.8788116	0.0102505	0.1068813	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.2262652	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832847	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4272433	0.5388567	0.6541925
0.4401635	0.6500503	0.3241025	1.0000000	0.6377600	0.5666158	0.5257294	0.3920753	0.6778958	0.0185496	0.0283935	1.0000000	1.0000000	0.8788117	0.0102483	0.1112408	0.7854906	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0517033	0.0000015	0.6799251	0.6518164	0.0854783	0.2262653	0.1710108	0.0971720	0.9999968	0.9976883	0.3175635	0.8832846	0.0543715	0.1289693	0.7004523	0.6076923	0.2180105	0.9999820	0.3343479	0.0015668	0.1447697	0.6761246	0.0505673	0.3995447	0.5388568	0.6541641
0.4401635	0.6500503	0.3550291	1.0000000	0.6377600	0.5666158	0.5679038	0.3958935	0.6778958	0.0370991	0.0413523	1.0000000	1.0000000	0.8788116	0.0102505	0.1109119	0.7864292	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000017	0.6799251	0.6518164	0.1031496	0.2262653	0.1710108	0.1299737	0.9999714	0.9717972	0.3175635	0.8832846	0.0543715	0.2885772	0.7101063	0.6076923	0.2180105	0.9998824	0.3342134	0.0015668	0.1447697	0.6761248	0.0561682	0.4265733	0.5388567	0.6541654
0.4401635	0.6500503	0.3563404	1.0000000	0.8109514	0.2496217	0.5692110	0.4187739	0.5484684	0.0371534	0.0828910	0.5000000	1.0000000	0.8788117	0.0102505	0.1068207	0.7899056	0.9999998	1.0000000	1.0000000	0.7067077	0.9102786	1.0000000	1.0000000	0.0546040	0.0000026	0.6799251	0.6518164	0.2082706	0.1551824	0.3312990	0.2025994	0.9999713	0.9716517	0.3175635	0.8832846	0.0543716	0.5073048	0.3057453	0.6076923	0.2180105	0.9996771	0.3324063	0.0853704	0.2851347	0.6761248	0.0561926	0.4273513	0.5388568	0.6541928
0.4401635	0.6500503	0.3553849	1.0000000	0.6377600	0.5666158	0.5684110	0.4338359	0.6778958	0.0370991	0.0827045	1.0000000	0.5000014	0.8788117	0.0102505	0.1091175	0.7144686	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000291	0.6799251	0.6518164	0.2077186	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.1487184	0.8832846	0.0543716	0.5071239	0.7101063	0.6076923	0.3967165	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4268760	0.5388568	0.6541925
0.4401635	0.6500503	0.3283966	1.0000000	0.6377600	0.5666158	0.5309706	0.4057419	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.4394436	0.0102505	0.1068813	0.7220275	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000051	0.6799251	0.6518164	0.2077186	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832846	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4032151	0.5388568	0.6541925
0.4401635	0.6500503	0.3558141	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788116	0.0051255	0.1068813	0.7898889	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.2262652	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832847	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4272433	0.5388567	0.6541925
0.4401635	0.6500503	0.3631337	1.0000000	0.6377600	0.5666158	0.5796615	0.4284991	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788116	0.0102505	0.0534406	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.2262652	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832847	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4334504	0.5388567	0.6541925
0.4401635	0.6500503	0.3558141	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788116	0.0102505	0.1068813	0.3949466	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.2262652	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832847	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4272433	0.5388567	0.6541925
0.4401635	0.6500503	0.3558141	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788116	0.0102505	0.1068813	0.7889700	0.5000153	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000147	0.6799251	0.6518164	0.2077186	0.2262652	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832847	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4272433	0.5388567	0.6541925
0.4401635	0.6500503	0.3558140	1.0000000	0.6377600	0.5666158	0.5690296	0.4092497	0.6778957	0.0370991	0.0827045	1.0000000	1.0000000	0.8788116	0.0102505	0.1068813	0.7898889	0.9999876	0.5000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.2262650	0.1710109	0.2022446	0.9999714	0.9717972	0.3175635	0.8832847	0.0543716	0.5071239	0.7101063	0.6218004	0.2180105	0.9996791	0.3324024	0.0015668	0.1447698	0.6761248	0.0561682	0.4272432	0.5388567	0.6541925
0.4401635	0.6500503	0.3542781	1.0000000	0.6377600	0.5666158	0.5668018	0.4092018	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8571930	0.0102505	0.1068813	0.8378548	0.9999998	1.0000000	0.5000001	0.8960382	0.7056743	1.0000000	1.0000000	0.0545916	0.0000026	0.6799251	0.6518164	0.2077186	0.2262653	0.4061877	0.2022446	0.9999714	0.9717972	0.3175635	0.8832846	0.0543716	0.5071239	0.7101063	0.7156295	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4259219	0.5388568	0.6541925
0.4401635	0.6500503	0.3558141	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788116	0.0102505	0.1068813	0.7898890	0.9999998	1.0000000	1.0000000	0.4480894	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.2262652	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832847	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4272433	0.5388567	0.6541925
0.4401635	0.6500503	0.3558141	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788116	0.0102505	0.1068813	0.9002643	0.9999998	1.0000000	1.0000000	0.8960382	0.4551522	1.0000000	1.0000000	0.0545916	0.0000028	0.6799251	0.6518164	0.2077186	0.2262652	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832847	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4272433	0.5388567	0.6541925
0.4401635	0.6500503	0.3558142	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788117	0.0102505	0.1068813	0.8368124	0.9999998	1.0000000	1.0000000	0.8960382	0.7166516	0.5000000	1.0000000	0.0545916	0.0000026	0.6799251	0.6925374	0.2077186	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832846	0.0543716	0.5071239	0.7101063	0.5920097	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4272433	0.1884350	0.6541925
0.4401635	0.6500503	0.3495809	1.0000000	0.6377600	0.5666158	0.5599216	0.4090154	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.7881752	0.0102505	0.1068813	0.8265369	0.9999998	1.0000000	1.0000000	0.8960382	0.7243961	1.0000000	0.5000004	0.0545916	0.0000027	0.6799251	0.6518164	0.2077186	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832846	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4218089	0.5545104	0.6541925
0.4401635	0.6500503	0.3558142	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788116	0.0102505	0.1068813	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0272958	0.0000025	0.6799251	0.6518164	0.2077186	0.2262653	0.1710108	0.2022446	0.9999984	0.9717972	0.3175635	0.8832846	0.0543716	0.5071239	0.6205903	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0149778	0.4272433	0.5388567	0.6541925
0.4401635	0.6500528	0.3558061	1.0000000	0.6377619	0.5666158	0.5690275	0.4092529	0.6778775	0.0370991	0.0827046	1.0000000	1.0000000	0.8788083	0.0102505	0.1068811	0.7898859	0.9999998	1.0000000	1.0000000	0.8960377	0.9102786	1.0000000	1.0000000	0.0545917	0.0000014	0.6799247	0.6518208	0.2077203	0.2262277	0.1710166	0.2022503	0.9999714	0.9717967	0.3175636	0.8833042	0.0543716	0.5071258	0.7101071	0.6076923	0.2180106	0.9996791	0.3324030	0.0015668	0.1447718	0.6761247	0.0561685	0.4272407	0.5388533	0.6541898
0.4401635	0.6500503	0.3558141	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788116	0.0102505	0.1068813	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.3399644	0.6518164	0.2077186	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832846	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4272433	0.5388567	0.6541925
0.4401635	0.6500503	0.3558140	1.0000000	0.6377600	0.5666158	0.5690296	0.4092497	0.6778957	0.0370991	0.0827045	1.0000000	1.0000000	0.8788116	0.0102505	0.1068813	0.7898889	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.3259165	0.2077186	0.2262650	0.1710109	0.2022446	0.9999714	0.9717972	0.3175635	0.8832847	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447698	0.6761248	0.0561682	0.4272432	0.5388567	0.6541925
0.4401635	0.6500503	0.3558141	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788116	0.0102505	0.1068813	0.7898889	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.1038593	0.2262652	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832847	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4272433	0.5388567	0.6541925
0.4401635	0.6500503	0.3558141	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788116	0.0102505	0.1068813	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.1131482	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832846	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4272433	0.5388567	0.6541925
0.4401635	0.6500503	0.3558141	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788116	0.0102505	0.1068813	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.2262653	0.0855567	0.2022446	0.9999714	0.9717972	0.3175635	0.8832846	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4272433	0.5388567	0.6541925
0.4401635	0.6500503	0.3558141	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788116	0.0102505	0.1068813	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.2262652	0.1710108	0.1011267	0.9999714	0.9717972	0.3175635	0.8832847	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4272433	0.5388567	0.6541925
0.4401635	0.6500503	0.3558141	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788116	0.0102505	0.1068813	0.7898889	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.2262652	0.1710108	0.2022446	0.4999900	0.9717972	0.3175635	0.8832847	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4272433	0.5388567	0.6541925
0.4401635	0.6500503	0.3558142	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788116	0.0102505	0.1068813	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.2262653	0.1710108	0.2022446	0.9999714	0.4859021	0.3175635	0.8832846	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4272433	0.5388567	0.6541925
0.4401635	0.6500503	0.3558139	1.0000000	0.6377600	0.5666158	0.5690296	0.4092497	0.6778956	0.0370991	0.0827045	1.0000000	1.0000000	0.8788116	0.0102505	0.1068813	0.7898889	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.2262646	0.1710110	0.2022446	0.9999714	0.9717972	0.1587823	0.8832849	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447698	0.6761248	0.0561682	0.4272432	0.5388567	0.6541925
