YGL013C	YBL005W	YOR140W	YPL038W	YPL248C	YGL035C	YGR044C	YCL066W	YML051W	YDR146C	YLR013W	YGL209W	YJL056C	YCR097W	YCR018C	YCL067C	YCR040W	YHR006W	YOR032C	YOL089C	YMR280C	YCR096C	YKL020C	YBL103C	YKL185W	YCR039C	YMR240C	YOR148C	YCL074W	YAR003W	YER134C	YDL114W	YBR070C	YDR397C	YJL188C	YDR469W	YFL064C	YLR467W	YDR343C	YGL001C	YNL253W	YFL063W	YDR544C	YHR092C	YOL083W	YIL128W	YLR360W	YER078C	YMR193W	YDL082W
0.0000000	0.0233325	0.3554267	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788117	0.0102505	0.1068813	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	1.0000000	0.1460448	0.7551625	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.0197022	0.1046603	0.0543716	0.4887443	0.7101063	0.6076923	0.2180105	0.9996791	0.0260601	0.0015668	0.0070980	1.0000000	0.0018579	0.4272433	0.5265121	0.9999991
0.4401635	0.0000022	0.3558142	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788117	0.0102505	0.1068813	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.1143896	0.2077186	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.1046604	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.0030173	0.6761248	0.0561682	0.4272433	0.5256643	0.6541925
0.4401635	0.6500503	0.0000004	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788117	0.0102505	0.1068813	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832846	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4272433	0.5388568	0.6541925
0.9999999	0.9003159	0.3564289	0.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788117	0.0102505	0.1068813	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.2813931	0.7252602	0.1591451	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.8007704	0.9836850	0.0543716	0.8705103	0.7101063	0.6076923	0.2180105	0.9996791	0.5485676	0.0015668	0.1704521	0.4617641	0.5218095	0.4272433	0.5388568	0.3229812
0.4401635	0.6500503	0.0687611	1.0000000	0.0000000	0.5666158	0.1853072	0.0772041	1.0000000	0.0370991	0.0827045	1.0000000	1.0000000	0.8788117	0.0102505	0.9681814	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.9999999	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832846	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.0260577	0.0015668	0.1447697	0.6761248	0.0561682	0.0792662	0.5388568	0.6541925
0.4401635	0.6500503	0.5921032	1.0000000	0.9822732	0.0000000	0.9984293	0.5264775	0.4420144	0.9967936	0.9642021	1.0000000	1.0000000	0.8788117	0.0865088	0.0140562	0.8597281	0.9999998	1.0000000	1.0000000	0.4596618	0.9102786	1.0000000	1.0000000	0.9015815	0.0000213	0.6799251	0.6518164	0.5178715	0.1142163	0.1710108	0.8244022	0.0400863	0.2366935	0.3175635	0.8832846	0.9720482	0.5250215	0.9745220	0.6076923	0.2180105	0.1801660	0.0358473	0.9999999	0.1447697	0.9306402	0.9555068	0.8297749	0.5388568	0.8815966
0.4401635	0.6500503	0.0295625	1.0000000	0.6377600	0.5666158	0.0000000	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788117	0.0102505	0.1068813	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832846	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.0054471	0.5388568	0.6541925
0.4401635	0.6500503	0.3558141	1.0000000	0.6377600	0.5666158	0.5690297	0.0000000	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788116	0.0102505	0.1068813	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832846	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4272433	0.5388567	0.6541925
0.4401635	0.6500503	0.3558142	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.0000000	0.0370991	0.0827045	1.0000000	1.0000000	0.8788117	0.0102505	0.1068813	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832846	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4272433	0.5388568	0.6541925
0.4401635	0.6500503	0.3154438	1.0000000	0.6377600	0.5666158	0.5144477	0.3863247	0.6778958	0.0000000	0.0032533	1.0000000	1.0000000	0.8788117	0.0102482	0.1113718	0.7840771	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0509949	0.0000014	0.6799251	0.6518164	0.0742840	0.2262653	0.1710108	0.0560670	1.0000000	0.9999999	0.3175635	0.8832846	0.0543715	0.0652654	0.6980653	0.6076923	0.2180105	1.0000000	0.3343986	0.0015668	0.1447697	0.6761246	0.0492354	0.3917054	0.5388568	0.6541638
0.4401635	0.6500503	0.3549338	1.0000000	0.6377600	0.5666158	0.5677721	0.3860228	0.6778958	0.0370991	0.0000000	1.0000000	1.0000000	0.8788117	0.0102505	0.1113719	0.7839878	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000014	0.6799251	0.6518164	0.0742449	0.2262653	0.1710108	0.0778393	0.9999714	0.9717972	0.3175635	0.8832846	0.0543715	0.0652624	0.7101063	0.6076923	0.2180105	1.0000000	0.3343986	0.0015668	0.1447697	0.6761248	0.0561682	0.4264942	0.5388568	0.6541638
0.4401635	0.6500503	0.3556585	1.0000000	0.5365439	0.0369402	0.5690221	0.4006680	0.7587742	0.0370984	0.0827027	0.0000000	1.0000000	0.8788117	0.0102505	0.1069185	0.7898896	0.9999998	1.0000000	1.0000000	0.1357811	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077279	0.2923932	0.9999603	0.2022715	0.9999714	0.9717963	0.3175635	0.8832846	0.0543716	0.5071344	0.2451796	0.6076923	0.2180105	0.9996790	0.3323691	0.9999994	0.5586938	0.6761248	0.0561696	0.4272446	0.5388568	0.6541926
0.4401635	0.6500503	0.3549337	1.0000000	0.6377600	0.5666158	0.5677721	0.4795401	0.6778958	0.0370991	0.0827045	1.0000000	0.0000010	0.8788117	0.0102505	0.1113719	0.6038320	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0319180	0.6799251	0.6518164	0.2077186	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.0197022	0.8832846	0.0543716	0.5071239	0.7101063	0.6076923	0.9999466	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4264942	0.5388568	0.6541925
0.4401635	0.6500503	0.3168349	1.0000000	0.6377600	0.5666158	0.5157515	0.3880327	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.0000015	0.0102505	0.1068813	0.4750643	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0425633	0.6799251	0.6518164	0.2077186	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832846	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.3927477	0.5388568	0.6541925
0.4401635	0.6500503	0.3558141	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788116	0.0000001	0.1068813	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.2262652	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832847	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4272433	0.5388567	0.6541925
0.4401635	0.6500503	0.3652741	1.0000000	0.6377600	0.5666158	0.5827099	0.4361709	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788116	0.0102505	0.0000000	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832846	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4352001	0.5388567	0.6541925
0.4401635	0.6500503	0.3558142	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788117	0.0102505	0.1068813	0.0000000	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832846	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4272433	0.5388568	0.6541925
0.4401635	0.6500503	0.3558142	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788117	0.0102505	0.1068813	0.7839878	0.0000001	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000257	0.6799251	0.6518164	0.2077186	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832846	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4272433	0.5388568	0.6541925
0.4401635	0.6500503	0.3558142	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788117	0.0102505	0.1068813	0.7840041	0.0122449	0.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000257	0.6799251	0.6518164	0.2077186	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832846	0.0543716	0.5071239	0.7101063	0.9749099	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4272433	0.5388568	0.6541925
0.4401635	0.6500503	0.3251718	1.0000000	0.6377600	0.5666158	0.5267370	0.4037621	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.3696859	0.0102505	0.1068813	0.8772468	0.9999998	1.0000000	0.0000000	0.8960382	0.0491814	1.0000000	1.0000000	0.0545916	0.0036138	0.6799251	0.6518164	0.2077186	0.2262653	0.9999767	0.2022446	0.9999714	0.9717972	0.3175635	0.8832846	0.0543716	0.5071239	0.7101063	0.8411703	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4003437	0.5388568	0.6541925
0.4401635	0.6500503	0.3558142	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788117	0.0102505	0.1068813	0.7898890	0.9999998	1.0000000	1.0000000	0.0000011	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832846	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4272433	0.5388568	0.6541925
0.4401635	0.6500503	0.3558142	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788117	0.0102505	0.1068813	0.9337062	0.9999998	1.0000000	1.0000000	0.8960382	0.0000002	1.0000000	1.0000000	0.0545916	0.0425633	0.6799251	0.6518164	0.2077186	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832846	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4272433	0.5388568	0.6541925
0.4401635	0.6500503	0.3558142	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788117	0.0102505	0.1068813	0.9336647	0.9999998	1.0000000	1.0000000	0.8960382	0.0491819	0.0000000	1.0000000	0.0545916	0.0000477	0.6799251	1.0000000	0.2077186	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832846	0.0543716	0.5071239	0.7101063	0.0007211	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4272433	0.0450501	0.6541925
0.4401635	0.6500503	0.3448988	1.0000000	0.6377600	0.5666158	0.5536048	0.4087697	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.7228556	0.0102505	0.1068813	0.9226225	0.9999998	1.0000000	1.0000000	0.8960382	0.0491825	1.0000000	0.0000000	0.0545916	0.0001261	0.6799251	0.6518164	0.2077186	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832846	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4178498	0.9710841	0.6541925
