YGL013C	YBL005W	YOR140W	YPL038W	YPL248C	YGL035C	YGR044C	YCL066W	YML051W	YDR146C	YLR013W	YGL209W	YJL056C	YCR097W	YCR018C	YCL067C	YCR040W	YHR006W	YOR032C	YOL089C	YMR280C	YCR096C	YKL020C	YBL103C	YKL185W	YCR039C	YMR240C	YOR148C	YCL074W	YAR003W	YER134C	YDL114W	YBR070C	YDR397C	YJL188C	YDR469W	YFL064C	YLR467W	YDR343C	YGL001C	YNL253W	YFL063W	YDR544C	YHR092C	YOL083W	YIL128W	YLR360W	YER078C	YMR193W	YDL082W
0.3944129	0.6336262	0.4531932	1.0000000	0.6580080	0.5972801	0.5862096	0.9711710	0.3579974	0.0000006	0.0000000	0.8919258	1.0000000	0.8271702	0.2967509	0.1113668	0.8255893	0.9877554	0.9497299	1.0000000	0.7935022	0.8783123	1.0000000	0.7046365	0.0000000	0.0000014	0.7416207	0.6146916	0.1507214	0.2157104	0.1882748	0.0000007	0.8979639	0.8362752	0.4290082	0.8603802	0.2300567	0.0102654	0.8212626	0.2885564	0.2180105	0.8327480	0.2827567	0.0002856	0.2874605	0.7016136	0.0000000	0.4317584	0.5241982	0.6550249
0.4280575	0.6144801	0.3765592	1.0000000	0.7033928	0.6595800	0.6459841	0.4689598	0.6267898	0.0000003	0.0000000	0.9611806	1.0000000	0.9966715	0.0000000	0.0000376	0.6674376	0.9877555	1.0000000	0.8594215	0.8055191	0.8050104	0.9666433	0.9195523	0.1585372	0.0000013	0.6859887	0.6390282	0.2007944	0.1943890	0.2043821	0.0000007	1.0000000	0.9954875	0.2826211	0.7368677	0.0000000	0.0158665	0.8941718	0.6848737	0.1711586	1.0000000	0.3017312	0.0001109	0.1436532	0.6827095	0.3808910	0.4622944	0.5075217	0.6100154
0.3533225	0.5264399	0.6887735	0.9265915	0.3602246	0.5296757	0.9186891	0.1567288	0.5268035	0.0000011	0.0000000	1.0000000	0.7590123	0.9976899	0.0980934	0.1116387	0.8555794	0.9877532	0.6620127	0.7893590	0.7944872	0.8465653	0.9176060	1.0000000	0.1626539	0.0000024	0.7964936	0.5875087	0.3463798	0.4347570	0.1168674	0.3056998	1.0000000	0.9825652	0.1346125	0.5666752	0.2060669	0.0056821	0.9413859	0.5086302	0.2783655	1.0000000	0.3661775	0.0016358	0.1242968	0.7259700	0.3027727	0.5456842	0.4864321	0.6062245
0.4401635	0.6267195	0.3583227	1.0000000	0.7351490	0.4378327	0.3840135	0.0999583	0.3152774	0.0021895	0.0006218	0.8340321	1.0000000	0.9977433	0.0867895	0.1113521	0.8163783	0.9999998	1.0000000	0.9583605	0.7608699	0.8535524	1.0000000	1.0000000	0.0442807	0.0000011	0.6799251	0.4812273	0.0487072	0.0973382	0.2064980	0.2626984	1.0000000	0.8228996	0.2978613	0.7526965	0.3843789	0.3580911	0.5963029	0.6291371	0.2180105	1.0000000	0.3083549	0.0026603	0.2866967	0.6761246	0.0356024	0.6955981	0.5177243	0.6541637
0.4590239	0.7217378	0.4924217	0.8690050	0.7889782	0.3573449	0.9000712	0.6899335	0.5638071	0.0000085	0.0000000	0.5451047	1.0000000	0.8578786	0.2314400	0.0000266	0.8851964	0.9999615	0.3833947	1.0000000	0.7616904	0.9359124	1.0000000	0.8771562	0.2003265	0.0000005	0.6550006	0.5325320	0.0568710	0.1139143	0.3034361	0.0000025	1.0000000	1.0000000	0.3216331	0.9088957	0.0000000	0.0228935	0.9183641	0.1837521	0.2180105	1.0000000	0.3184638	0.0124769	0.3291340	0.5952231	0.6547394	0.5419992	0.9853847	0.3729278
0.5371157	0.7644534	0.4656389	0.6795836	0.9040260	0.5296757	0.7820903	0.7177759	0.3512276	0.2215490	0.6590491	1.0000000	1.0000000	0.8379488	0.0037592	0.0078421	0.5850408	0.9877552	0.8865082	1.0000000	0.9039499	0.9097975	0.8511851	0.7620310	0.2725084	0.0000185	0.4357177	0.5108171	0.6635601	0.1303780	0.1710108	0.5938858	0.2441257	0.2643233	0.5068143	0.8881802	0.3004562	0.5105548	0.9475436	0.7073456	0.1937016	0.4549348	0.0387300	0.0002534	0.1548328	0.6283894	0.7761960	0.5275270	0.4981422	0.6038277
0.4401635	0.6267195	0.6300669	1.0000000	0.7030579	0.4878963	0.5690851	0.0000000	0.5565837	0.0000017	0.0000000	0.6153557	1.0000000	0.9914895	0.0000000	0.1113574	0.8121438	0.9999998	1.0000000	1.0000000	0.7655028	0.9409116	1.0000000	1.0000000	0.4670701	0.0000008	0.6661797	0.6431236	0.0689572	0.1508725	0.1823743	0.0000005	1.0000000	0.8102241	0.2978613	0.9351730	0.3749475	0.0850302	0.9874057	0.2213212	0.2180105	1.0000000	0.3083514	0.0028865	0.2888115	0.6761246	0.8408801	0.7227808	0.5177241	0.3376955
0.5098235	0.7334122	0.7873012	0.7572580	0.8181199	0.6130890	0.9875007	0.3395640	0.5434932	0.2882128	0.7833758	1.0000000	0.9491288	0.9653981	0.0101363	0.0000033	0.9348643	0.9877555	1.0000000	1.0000000	0.9653767	0.8421500	0.8998553	1.0000000	0.5960012	0.0000177	0.3273688	0.5871128	0.2972937	0.1529657	0.1710108	0.8195103	0.0447706	0.2474186	0.3664912	0.8374060	0.4978654	0.5910936	0.9694449	0.8295334	0.1991980	0.6223291	0.2310971	0.0001555	0.1928618	0.4682758	0.9389744	0.7908582	0.4784001	0.7318514
0.3491596	0.5208509	0.3267917	0.9247552	0.5744666	0.5296758	0.5696179	0.1078559	0.6382290	0.0000011	0.2322402	1.0000000	1.0000000	0.8732128	0.0215694	0.0158786	0.8027635	0.9999999	1.0000000	0.7903661	0.9722988	0.7306937	0.7561317	1.0000000	0.0000000	0.0000000	0.8019273	0.6080187	0.3918252	0.2298536	0.2190542	0.3245129	1.0000000	0.8192150	0.1864572	0.5523941	0.3387884	0.7164595	0.7111500	0.6983259	0.2180105	1.0000000	0.2084221	0.0016358	0.8393932	0.7285216	0.0000000	0.4221707	0.3930188	0.6221501
0.4816176	0.6648838	0.6115905	0.8469218	0.8045404	0.3330022	0.6921077	0.6346525	0.5529342	0.0846327	0.2663573	0.6719275	0.6106626	0.9141414	0.0000710	0.0641568	0.5505882	0.9999975	0.6445105	1.0000000	0.7016590	0.8588582	0.9866424	1.0000000	0.1375998	0.0000001	0.6258870	0.6397509	0.2881230	0.1571859	0.1787286	0.6292155	0.8282885	0.4981360	0.2032695	0.9036621	0.1359887	0.4890389	0.7254260	0.4258147	0.3385422	0.9223483	0.2420034	0.0077863	0.2206176	0.6544141	0.7968588	0.4831818	0.5132618	0.6221454
