YGL013C	YBL005W	YOR140W	YPL038W	YPL248C	YGL035C	YGR044C	YCL066W	YML051W	YDR146C	YLR013W	YGL209W	YJL056C	YCR097W	YCR018C	YCL067C	YCR040W	YHR006W	YOR032C	YOL089C	YMR280C	YCR096C	YKL020C	YBL103C	YKL185W	YCR039C	YMR240C	YOR148C	YCL074W	YAR003W	YER134C	YDL114W	YBR070C	YDR397C	YJL188C	YDR469W	YFL064C	YLR467W	YDR343C	YGL001C	YNL253W	YFL063W	YDR544C	YHR092C	YOL083W	YIL128W	YLR360W	YER078C	YMR193W	YDL082W
0.2200818	0.3341473	0.3555564	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788117	0.0102505	0.1068813	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.9400612	0.4887396	0.3043506	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.0824070	0.1812083	0.0543716	0.4891771	0.7101063	0.6076923	0.2180105	0.9996791	0.1948076	0.0015668	0.0909006	0.8157081	0.0066331	0.4272433	0.5388552	0.8631072
0.4401635	0.3250306	0.3558142	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788116	0.0102505	0.1068813	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.4820427	0.2077186	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.1696270	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.0888245	0.6761248	0.0561682	0.4272433	0.5388550	0.6541925
0.4401635	0.6500503	0.1780408	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788116	0.0102505	0.1068813	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.2262652	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832847	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4272433	0.5388567	0.6541925
0.6130913	0.7782542	0.3560295	0.5000002	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788117	0.0102505	0.1068813	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.4812172	0.6933558	0.1817568	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.5239015	0.9595130	0.0543716	0.5830115	0.7101063	0.6076923	0.2180105	0.9996791	0.4156151	0.0015668	0.1592248	0.5931452	0.1601194	0.4272433	0.5388568	0.5180735
0.4401635	0.6500503	0.3553779	1.0000000	0.3188911	0.5666158	0.5689202	0.3888853	0.9145805	0.0370991	0.0827045	1.0000000	1.0000000	0.8788116	0.0102505	0.1072814	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.5464731	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832846	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3319739	0.0015668	0.1447697	0.6761248	0.0561682	0.4271794	0.5388568	0.6541925
0.4401635	0.6500503	0.3563910	1.0000000	0.8586473	0.2833081	0.5691270	0.4201089	0.5165944	0.0371268	0.0827996	1.0000000	1.0000000	0.8788117	0.0102505	0.1068325	0.7898974	0.9999998	1.0000000	1.0000000	0.8142155	0.9102786	1.0000000	1.0000000	0.0545979	0.0000026	0.6799251	0.6518164	0.2079992	0.1417039	0.1710108	0.2024248	0.9999714	0.9717234	0.3175635	0.8832846	0.0543716	0.5072160	0.7101269	0.6076923	0.2180105	0.9996781	0.3324164	0.0045776	0.1447697	0.6761248	0.0561806	0.4273009	0.5388568	0.6541927
0.4401635	0.6500503	0.1311274	1.0000000	0.6377600	0.5666158	0.2845148	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788116	0.0102505	0.1068813	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832846	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.1776931	0.5388568	0.6541925
0.4401635	0.6500503	0.3558137	1.0000000	0.6377600	0.5666158	0.5690296	0.2046939	0.6778953	0.0370991	0.0827045	1.0000000	1.0000000	0.8788115	0.0102505	0.1068813	0.7898889	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799249	0.6518164	0.2077186	0.2262646	0.1710109	0.2022446	0.9999714	0.9717971	0.3175635	0.8832848	0.0543716	0.5071240	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447698	0.6761248	0.0561682	0.4272431	0.5388567	0.6541924
0.4401635	0.6500503	0.3558141	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.3390395	0.0370991	0.0827045	1.0000000	1.0000000	0.8788116	0.0102505	0.1068813	0.7898889	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.2262652	0.1710108	0.2022446	0.9999714	0.9717971	0.3175635	0.8832847	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4272432	0.5388567	0.6541925
0.4401635	0.6500503	0.3241121	1.0000000	0.6377600	0.5666158	0.5257294	0.3920758	0.6778958	0.0185496	0.0283936	1.0000000	1.0000000	0.8788117	0.0102483	0.1112407	0.7854908	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0517033	0.0000015	0.6799251	0.6518164	0.0854802	0.2262653	0.1710108	0.0971777	0.9999968	0.9976867	0.3175635	0.8832846	0.0543715	0.1290120	0.7004526	0.6076923	0.2180105	0.9999819	0.3343476	0.0015668	0.1447697	0.6761246	0.0505677	0.3995478	0.5388568	0.6541641
0.4401635	0.6500503	0.3550395	1.0000000	0.6377600	0.5666158	0.5679041	0.3958952	0.6778958	0.0370991	0.0413523	1.0000000	1.0000000	0.8788116	0.0102505	0.1109115	0.7864295	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000017	0.6799251	0.6518164	0.1031567	0.2262653	0.1710108	0.1299887	0.9999714	0.9717972	0.3175635	0.8832846	0.0543715	0.2886888	0.7101063	0.6076923	0.2180105	0.9998824	0.3342116	0.0015668	0.1447697	0.6761248	0.0561682	0.4265782	0.5388567	0.6541655
0.4401635	0.6500503	0.3563380	1.0000000	0.8109256	0.2496223	0.5692109	0.4187705	0.5485923	0.0371534	0.0828908	0.5000000	1.0000000	0.8788117	0.0102505	0.1068209	0.7899056	0.9999998	1.0000000	1.0000000	0.7067214	0.9102786	1.0000000	1.0000000	0.0546040	0.0000026	0.6799251	0.6518164	0.2082681	0.1552366	0.3312955	0.2025975	0.9999713	0.9716525	0.3175635	0.8832846	0.0543716	0.5073036	0.3057455	0.6076923	0.2180105	0.9996771	0.3324065	0.0853525	0.2851344	0.6761248	0.0561924	0.4273504	0.5388568	0.6541928
0.4401635	0.6500503	0.3553931	1.0000000	0.6377600	0.5666158	0.5684116	0.4338341	0.6778958	0.0370991	0.0827045	1.0000000	0.5000052	0.8788116	0.0102505	0.1091165	0.7144867	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000291	0.6799251	0.6518164	0.2077186	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.1487238	0.8832846	0.0543716	0.5071239	0.7101063	0.6076923	0.3964876	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4268805	0.5388567	0.6541925
0.4401635	0.6500503	0.3286014	1.0000000	0.6377600	0.5666158	0.5309843	0.4057505	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.4395843	0.0102505	0.1068813	0.7221730	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000051	0.6799251	0.6518164	0.2077186	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832846	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4033253	0.5388567	0.6541925
0.4401635	0.6500503	0.3558139	1.0000000	0.6377600	0.5666158	0.5690296	0.4092497	0.6778956	0.0370991	0.0827045	1.0000000	1.0000000	0.8788116	0.0051296	0.1068813	0.7898889	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799250	0.6518164	0.2077186	0.2262650	0.1710109	0.2022446	0.9999714	0.9717971	0.3175635	0.8832847	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447698	0.6761248	0.0561682	0.4272432	0.5388567	0.6541925
0.4401635	0.6500503	0.3629889	1.0000000	0.6377600	0.5666158	0.5796573	0.4284791	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788116	0.0102505	0.0534513	0.7898889	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.2262652	0.1710108	0.2022446	0.9999714	0.9717971	0.3175635	0.8832847	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4333835	0.5388567	0.6541925
0.4401635	0.6500503	0.3558139	1.0000000	0.6377600	0.5666158	0.5690296	0.4092497	0.6778956	0.0370991	0.0827045	1.0000000	1.0000000	0.8788116	0.0102505	0.1068813	0.3950815	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799250	0.6518164	0.2077186	0.2262650	0.1710109	0.2022446	0.9999714	0.9717971	0.3175635	0.8832847	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447698	0.6761248	0.0561682	0.4272432	0.5388567	0.6541925
0.4401635	0.6500503	0.3558141	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788116	0.0102505	0.1068813	0.7889774	0.5002174	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000146	0.6799251	0.6518164	0.2077186	0.2262652	0.1710108	0.2022446	0.9999714	0.9717971	0.3175635	0.8832847	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4272432	0.5388567	0.6541925
