YGL013C	YBL005W	YOR140W	YPL038W	YPL248C	YGL035C	YGR044C	YCL066W	YML051W	YDR146C	YLR013W	YGL209W	YJL056C	YCR097W	YCR018C	YCL067C	YCR040W	YHR006W	YOR032C	YOL089C	YMR280C	YCR096C	YKL020C	YBL103C	YKL185W	YCR039C	YMR240C	YOR148C	YCL074W	YAR003W	YER134C	YDL114W	YBR070C	YDR397C	YJL188C	YDR469W	YFL064C	YLR467W	YDR343C	YGL001C	YNL253W	YFL063W	YDR544C	YHR092C	YOL083W	YIL128W	YLR360W	YER078C	YMR193W	YDL082W
0.0000000	0.0233341	0.3554267	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788117	0.0102505	0.1068813	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.9999959	0.1460523	0.7551619	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.0197022	0.1046604	0.0543716	0.4887443	0.7101063	0.6076923	0.2180105	0.9996791	0.0260741	0.0015668	0.0071025	0.9999991	0.0018579	0.4272433	0.5265175	0.9999897
0.4401635	0.0000044	0.3558142	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788117	0.0102505	0.1068813	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.1143947	0.2077186	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.1046607	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.0030193	0.6761248	0.0561682	0.4272433	0.5256665	0.6541925
0.4401635	0.6500503	0.0000034	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788117	0.0102505	0.1068813	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832846	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4272433	0.5388568	0.6541925
0.9999977	0.9003057	0.3564287	0.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788117	0.0102505	0.1068813	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.2814714	0.7252539	0.1591461	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.8007675	0.9836796	0.0543716	0.8704782	0.7101063	0.6076923	0.2180105	0.9996791	0.5484904	0.0015668	0.1704453	0.4617768	0.5217546	0.4272433	0.5388568	0.3231033
0.4401635	0.6500503	0.0688036	1.0000000	0.0000000	0.5666158	0.1853075	0.0772045	1.0000000	0.0370991	0.0827045	1.0000000	1.0000000	0.8788117	0.0102505	0.9681810	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.9999997	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832846	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.0260598	0.0015668	0.1447697	0.6761248	0.0561682	0.0792874	0.5388568	0.6541925
0.4401635	0.6500503	0.5920895	1.0000000	0.9822729	0.0000000	0.9984293	0.5264772	0.4420176	0.9967932	0.9642019	1.0000000	1.0000000	0.8788117	0.0865086	0.0140564	0.8597276	0.9999998	1.0000000	1.0000000	0.4596620	0.9102786	1.0000000	1.0000000	0.9015808	0.0000213	0.6799251	0.6518164	0.5178714	0.1142179	0.1710108	0.8243984	0.0400864	0.2367100	0.3175635	0.8832846	0.9720259	0.5250215	0.9745217	0.6076923	0.2180105	0.1801807	0.0358679	0.9999992	0.1447697	0.9306352	0.9554979	0.8297641	0.5388568	0.8815361
0.4401635	0.6500503	0.0295769	1.0000000	0.6377600	0.5666158	0.0000000	0.4092497	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788117	0.0102505	0.1068813	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832846	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.0054515	0.5388568	0.6541925
0.4401635	0.6500503	0.3558141	1.0000000	0.6377600	0.5666158	0.5690297	0.0000025	0.6778958	0.0370991	0.0827045	1.0000000	1.0000000	0.8788116	0.0102505	0.1068813	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.2262652	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832847	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4272433	0.5388567	0.6541925
0.4401635	0.6500503	0.3558142	1.0000000	0.6377600	0.5666158	0.5690297	0.4092497	0.0000027	0.0370991	0.0827045	1.0000000	1.0000000	0.8788116	0.0102505	0.1068813	0.7898890	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0545916	0.0000025	0.6799251	0.6518164	0.2077186	0.2262653	0.1710108	0.2022446	0.9999714	0.9717972	0.3175635	0.8832846	0.0543716	0.5071239	0.7101063	0.6076923	0.2180105	0.9996791	0.3324024	0.0015668	0.1447697	0.6761248	0.0561682	0.4272433	0.5388568	0.6541925
0.4401635	0.6500503	0.3154685	1.0000000	0.6377600	0.5666158	0.5144478	0.3863253	0.6778958	0.0000001	0.0032533	1.0000000	1.0000000	0.8788116	0.0102482	0.1113717	0.7840774	0.9999998	1.0000000	1.0000000	0.8960382	0.9102786	1.0000000	1.0000000	0.0509949	0.0000014	0.6799251	0.6518164	0.0742854	0.2262653	0.1710108	0.0560790	1.0000000	0.9999961	0.3175635	0.8832846	0.0543715	0.0652890	0.6980660	0.6076923	0.2180105	1.0000000	0.3343980	0.0015668	0.1447697	0.6761246	0.0492363	0.3917126	0.5388568	0.6541638
