YGL013C	YBL005W	YOR140W	YPL038W	YPL248C	YGL035C	YGR044C	YCL066W	YML051W	YDR146C	YLR013W	YGL209W	YJL056C	YCR097W	YCR018C	YCL067C	YCR040W	YHR006W	YOR032C	YOL089C	YMR280C	YCR096C	YKL020C	YBL103C	YKL185W	YCR039C	YMR240C	YOR148C	YCL074W	YAR003W	YER134C	YDL114W	YBR070C	YDR397C	YJL188C	YDR469W	YFL064C	YLR467W	YDR343C	YGL001C	YNL253W	YFL063W	YDR544C	YHR092C	YOL083W	YIL128W	YLR360W	YER078C	YMR193W	YDL082W
0.0000000	0.0144070	0.1722775	0.7473814	0.5694803	0.3399700	0.3301432	0.3560412	0.5145010	0.0201053	0.0634861	0.7322309	0.7410020	0.6323033	0.0203578	0.1217216	0.5418125	0.8818212	0.8222817	0.7719983	0.6867190	0.6342096	0.7533038	0.6754008	0.0444631	0.0034540	0.6562030	0.0736920	0.6015884	0.1548496	0.1078994	0.1027569	0.6334324	0.6678819	0.0556603	0.0603859	0.0200259	0.3102043	0.5866480	0.3044836	0.1537484	0.8531533	0.0342890	0.0222617	0.0061147	0.8170341	0.0046338	0.2786724	0.4185291	0.9071982
0.3413498	0.0000000	0.2171643	0.8273919	0.4188820	0.4707770	0.4998777	0.3202568	0.4646626	0.0704366	0.1033035	0.6966974	0.6774334	0.6841366	0.0038719	0.0519309	0.5476655	0.6578562	0.7449502	0.7601585	0.7593112	0.6606926	0.8440579	0.8987587	0.0489370	0.0001466	0.5536776	0.0875154	0.1382255	0.1986583	0.1174386	0.0970378	0.7889863	0.7172771	0.3089844	0.1293718	0.0534854	0.3116209	0.7220030	0.4603648	0.1060970	0.9088936	0.2549380	0.0008896	0.0033382	0.5926272	0.0745419	0.4020276	0.4424065	0.5142125
0.3712553	0.5139004	0.0000000	0.7511730	0.3660122	0.4634327	0.3397184	0.3031688	0.4348756	0.0234183	0.0579987	0.6942170	0.7527091	0.5579004	0.0049625	0.0886251	0.5046214	0.8959781	0.7184984	0.7706257	0.6337216	0.5860411	0.6935680	0.6271958	0.0335733	0.0038452	0.4883940	0.4678035	0.2110368	0.1775706	0.1458720	0.2501173	0.6328990	0.7536344	0.1918313	0.6387214	0.0484237	0.3935625	0.5580093	0.3833948	0.1169007	0.8604646	0.2375620	0.0020159	0.1284360	0.5869207	0.0424559	0.3144779	0.4005429	0.5271496
0.7422416	0.6892754	0.3338988	0.0000000	0.6014914	0.4237521	0.4939738	0.2649951	0.4630997	0.0330454	0.0728282	0.6319313	0.7030794	0.6543500	0.0024765	0.0538562	0.6513258	0.6652406	0.7718256	0.9181845	0.5553321	0.6570065	0.6238033	0.7049541	0.0334830	0.0011805	0.2167270	0.6357444	0.0343574	0.1978146	0.1224982	0.0966505	0.7294656	0.7843376	0.5759868	0.8323597	0.0288369	0.6958842	0.5485341	0.3802878	0.1348932	0.6977107	0.4300120	0.0051806	0.0991175	0.2684520	0.5176695	0.2862495	0.3658126	0.2452575
0.3014057	0.4131371	0.0115904	0.6127760	0.0000000	0.3157439	0.1268315	0.0302214	0.7612468	0.0086407	0.0586101	0.6783182	0.7273811	0.7325395	0.0094830	0.6631357	0.4386149	0.6637002	0.6726738	0.8179561	0.5967193	0.5407947	0.7449010	0.7712034	0.0454498	0.0009674	0.4447595	0.4770601	0.1000357	0.7251372	0.1433932	0.2067700	0.7670634	0.7668812	0.2748787	0.6572868	0.0333259	0.3563654	0.4873945	0.4546001	0.1233544	0.8116991	0.0105670	0.0186710	0.1132371	0.6123644	0.0442542	0.0190297	0.4232280	0.5741644
0.3418045	0.5067882	0.5136551	0.8086072	0.7752615	0.0000000	0.8992163	0.5300927	0.2904304	0.8306668	0.7655318	0.8733342	0.7019456	0.5376880	0.0521255	0.0166790	0.5868046	0.8343733	0.6414598	0.7933956	0.3819218	0.5395973	0.7856271	0.7631396	0.6972416	0.0019110	0.5098425	0.4690721	0.3687503	0.1239332	0.1010283	0.5255802	0.0488813	0.2018545	0.2533349	0.6068988	0.6496825	0.3896832	0.8112607	0.4267721	0.1798018	0.1294832	0.0511934	0.6972173	0.1102741	0.6479885	0.7660026	0.7013050	0.3431992	0.6405200
0.3119008	0.4302816	0.0158807	0.6833479	0.4026899	0.4399241	0.0000000	0.2869131	0.5251561	0.0261967	0.0600868	0.6718645	0.6728030	0.5676283	0.0012966	0.0950903	0.5485652	0.8158954	0.7718532	0.8909712	0.6535181	0.9029413	0.7940878	0.7375205	0.0720951	0.0017592	0.5629047	0.4162975	0.1596231	0.1646602	0.1249480	0.1958841	0.7143460	0.6049778	0.1832458	0.6986399	0.0845292	0.4194306	0.4557923	0.4406129	0.1432574	0.5327652	0.2509767	0.0012691	0.1122209	0.5604624	0.0277632	0.0192190	0.4181307	0.5030300
0.3279164	0.5487317	0.2179471	0.5927361	0.4044003	0.5430212	0.3724171	0.0000000	0.6324090	0.0486525	0.1201628	0.6477024	0.5633243	0.7369835	0.0082634	0.0589428	0.6214154	0.7518230	0.8226539	0.6350933	0.7631103	0.6054292	0.7205951	0.7599233	0.0848870	0.0015884	0.5112527	0.4293910	0.3541168	0.1999742	0.1853813	0.2347516	0.7478732	0.8350260	0.2775139	0.5988560	0.0279136	0.3082709	0.6871453	0.4192957	0.1844827	0.8339202	0.2694643	0.0008624	0.0786467	0.6176951	0.0848699	0.2830731	0.3833297	0.4782232
0.3438623	0.4534905	0.3886806	0.6839627	0.4182511	0.4332589	0.4859462	0.2427023	0.0000000	0.0543411	0.1316194	0.7242445	0.7685763	0.6412627	0.0137803	0.0938466	0.5276768	0.6486354	0.7531193	0.8414015	0.6408034	0.6664206	0.6461303	0.7179140	0.0251304	0.0010887	0.5643648	0.4593614	0.3939154	0.1950617	0.1346180	0.2398991	0.6484734	0.7498428	0.2283204	0.6229084	0.0386195	0.3405671	0.5194747	0.4404027	0.1854454	0.7482916	0.2537600	0.0010162	0.1088807	0.5394287	0.0755932	0.3197155	0.3890210	0.4796555
0.4124106	0.5400175	0.2863098	0.9054932	0.4477533	0.3528137	0.3245367	0.2648182	0.7243343	0.0000000	0.0109056	0.8555085	0.8337617	0.7058202	0.0140104	0.0508396	0.5310553	0.7647872	0.8535325	0.7981682	0.5746479	0.6606968	0.6999735	0.8380687	0.0252930	0.0003633	0.3548229	0.5339453	0.0581326	0.2078316	0.2042956	0.0345156	0.6326271	0.7607444	0.3375899	0.7673324	0.0589320	0.0555158	0.4691918	0.4174761	0.1138965	0.6342883	0.3126777	0.0057690	0.1677328	0.3866731	0.0814329	0.2937618	0.3157621	0.4283265
