YGL013C	YBL005W	YOR140W	YPL038W	YPL248C	YGL035C	YGR044C	YCL066W	YML051W	YDR146C	YLR013W	YGL209W	YJL056C	YCR097W	YCR018C	YCL067C	YCR040W	YHR006W	YOR032C	YOL089C	YMR280C	YCR096C	YKL020C	YBL103C	YKL185W	YCR039C	YMR240C	YOR148C	YCL074W	YAR003W	YER134C	YDL114W	YBR070C	YDR397C	YJL188C	YDR469W	YFL064C	YLR467W	YDR343C	YGL001C	YNL253W	YFL063W	YDR544C	YHR092C	YOL083W	YIL128W	YLR360W	YER078C	YMR193W	YDL082W
0.3014918	0.5090940	0.3463731	0.7368043	0.5898671	0.3790844	0.4706189	0.6456609	0.3068429	0.0010108	0.0019550	0.6121652	0.7807731	0.5909981	0.2095140	0.0717617	0.5799548	0.6687028	0.6109235	0.8290784	0.6062985	0.6555423	0.7854736	0.5501166	0.0005526	0.0003625	0.5323683	0.3849500	0.1182720	0.1516653	0.1996765	0.0018835	0.6920346	0.5756630	0.2773365	0.5578693	0.2457298	0.0000552	0.7323003	0.2157239	0.2395502	0.7397497	0.1838558	0.0006326	0.2057976	0.5460197	0.0036310	0.3822002	0.3588791	0.4407363
0.2704536	0.4175427	0.3485898	0.7589830	0.4130754	0.4989432	0.6197664	0.3062114	0.5670661	0.0012628	0.0077307	0.7518524	0.5802361	0.6778148	0.0027598	0.0003671	0.4389780	0.7923479	0.7086358	0.6689906	0.5652800	0.6417888	0.7988453	0.5935023	0.1143659	0.0011062	0.5354439	0.3789038	0.1106965	0.1602041	0.1369691	0.0010670	0.7850082	0.7636234	0.2796584	0.4099504	0.0004998	0.0253220	0.6273831	0.5348168	0.1279385	0.6559093	0.2401610	0.0005126	0.1141187	0.4490536	0.3269385	0.3503842	0.3595565	0.3937272
0.2866973	0.3292008	0.4618761	0.6634497	0.2389828	0.3884040	0.6660256	0.0991337	0.3279476	0.0008889	0.0051756	0.6445918	0.7245677	0.7952679	0.0681208	0.1007138	0.6417150	0.8400982	0.5154774	0.6145933	0.5604861	0.8008732	0.7061037	0.6230026	0.1153885	0.0059393	0.6786774	0.4248481	0.2383858	0.3398493	0.1282691	0.2465831	0.6745558	0.6920932	0.1138212	0.1933406	0.1563833	0.0044267	0.6639661	0.4158031	0.2122601	0.8155121	0.2626560	0.0020391	0.0982659	0.5460462	0.2395306	0.3896360	0.5054369	0.4584550
0.3211518	0.3679711	0.2497465	0.6606754	0.5334260	0.3230677	0.2614173	0.0726240	0.2911716	0.0015087	0.0032616	0.7518062	0.8094655	0.7949584	0.0479185	0.0946765	0.6964241	0.7431205	0.6902577	0.8605190	0.5192441	0.7645097	0.6633758	0.7632856	0.0199237	0.0007383	0.5221214	0.2856201	0.0363455	0.0947275	0.1626404	0.1740960	0.7515318	0.6039729	0.2046959	0.3821022	0.1950052	0.2540745	0.4708518	0.3815902	0.1600200	0.6669205	0.3807781	0.0065348	0.2302649	0.4578746	0.0541113	0.5714956	0.4435624	0.4467973
0.3561387	0.5774170	0.4757375	0.6350442	0.6928864	0.2945700	0.6776135	0.3574094	0.4062675	0.0024336	0.0016468	0.4748117	0.8409319	0.6453501	0.1717204	0.0028897	0.7039727	0.9081304	0.3515215	0.7508303	0.5938204	0.6653815	0.8041828	0.5965948	0.1845962	0.0004489	0.5506690	0.3408693	0.0378022	0.0596423	0.1650702	0.0063735	0.8208681	0.7348321	0.2117296	0.6250278	0.0006332	0.0210205	0.7214390	0.1084227	0.1214739	0.8078825	0.2497550	0.0030170	0.2200125	0.4344083	0.5567867	0.5360673	0.7938848	0.2883224
0.3039196	0.6180062	0.2689218	0.5110044	0.6827308	0.4081882	0.5319580	0.5238508	0.2986293	0.1891025	0.5001491	0.6936739	0.7462906	0.6430921	0.0071054	0.0077186	0.4307519	0.7705754	0.7677710	0.7447846	0.7447607	0.6405750	0.7027352	0.5957983	0.1372561	0.0009369	0.3242875	0.4450662	0.5337523	0.1424862	0.1487580	0.5070159	0.2307916	0.2081054	0.4144820	0.5832154	0.2321046	0.4097798	0.7034561	0.4979410	0.1427972	0.3415049	0.0192525	0.0032736	0.1471368	0.4686006	0.5871863	0.2979648	0.4348837	0.4679751
0.2887911	0.5154739	0.5467532	0.7046425	0.4983702	0.2988004	0.4889062	0.0011039	0.4081033	0.0011308	0.0005623	0.4707455	0.7119570	0.6722632	0.0002934	0.0692510	0.7143423	0.7548673	0.8335731	0.8003376	0.5587937	0.7528182	0.7268484	0.7531487	0.2954074	0.0002326	0.3048349	0.5803831	0.0513342	0.1410626	0.1605005	0.0024877	0.7618075	0.6390839	0.3107921	0.6587922	0.2138219	0.1108424	0.7750350	0.1841092	0.1893884	0.7180955	0.2984654	0.0207354	0.1127433	0.4688502	0.6964537	0.5631397	0.2873544	0.1922505
0.4116233	0.5104582	0.5506583	0.5381626	0.7102489	0.5585421	0.7926101	0.2835535	0.4352039	0.1799031	0.6049034	0.7535544	0.7486183	0.8472297	0.0117894	0.0001712	0.6123899	0.6644206	0.8903880	0.7082209	0.7683216	0.6627333	0.6885287	0.8219628	0.5192827	0.0028079	0.1779921	0.5897005	0.1754007	0.0899332	0.1678574	0.5860552	0.0442363	0.2205645	0.3702087	0.7187596	0.3548613	0.3911727	0.7625676	0.5339604	0.0998770	0.4771049	0.1100187	0.0000848	0.1437970	0.4672414	0.6527115	0.7222455	0.3404996	0.5848161
0.2996323	0.4074809	0.2816827	0.7140590	0.4688991	0.2738740	0.4229006	0.0716574	0.5259776	0.0037913	0.1924362	0.5341809	0.5709624	0.5847645	0.0096632	0.0187516	0.5937385	0.7382352	0.8034714	0.5819272	0.7370809	0.5233528	0.6592021	0.7952073	0.0013076	0.0000130	0.5873091	0.4688796	0.3662381	0.1940619	0.2434973	0.2231547	0.6934259	0.5396195	0.2359086	0.3431814	0.2546241	0.4827373	0.6122359	0.4733625	0.1518377	0.7085966	0.1695292	0.0017430	0.6760203	0.5648314	0.0002779	0.3243776	0.3766016	0.4336270
0.3314198	0.4709598	0.5833747	0.4775240	0.4546443	0.3277085	0.4352444	0.5488421	0.4141980	0.0607628	0.1926470	0.5461248	0.4228743	0.7703019	0.0025037	0.0279578	0.3632289	0.9077924	0.4896608	0.7692271	0.6012522	0.6807770	0.6239392	0.7390258	0.0628119	0.0064348	0.4292313	0.4550317	0.1287554	0.1757344	0.1508370	0.4628755	0.5884136	0.3667125	0.1603971	0.6309910	0.0789301	0.3312160	0.4668320	0.2523567	0.3113172	0.7031943	0.1352194	0.0008292	0.1173192	0.4678611	0.6188370	0.4221661	0.3338168	0.4253421
