YMR037C	YGL162W	YMR070W	YPL177C	YIL101C	YCR096C	YML113W	YGR249W	YDR123C	YMR021C	YBR297W	YJL110C	YMR042W	YER045C	YDR520C	YCL066W	YMR019W	YCL067C	YKL043W	YPR199C	YNL167C	YOR113W	YCR097W	YOL067C	YGL254W	YGL231C	YJR150C	YMR135WA	YMR169C	YNL001W	YLR042C	YMR136W	YLR171W	YJR044C	YAL062W	YLR023C	YCR107W	YDR309C	YPR123C	YDR544C	YER189W	YMR170C	YER145C	YAR050W	YGR073C	YJR050W	YBR013C	YBR292C	YGR136W	YGL001C
0.0419489	0.7873842	0.6174973	0.0366685	0.5828161	0.6118110	0.6445667	0.4011721	0.7826828	0.5762844	0.0855390	0.7717741	0.6639810	0.0909568	0.3478761	0.0543289	0.8795469	0.1687721	0.7872733	0.7459328	0.7489247	0.7388678	0.8336851	0.7560861	0.4055971	0.0126041	0.1152542	0.2543638	0.1089421	0.7310782	0.7329336	0.4045043	0.1996047	0.4433912	0.2986659	0.5462691	0.7334912	0.3725201	0.6018376	0.4133091	0.7888183	0.0503520	0.5217812	0.0451879	0.4651426	0.8128756	0.0112819	0.2262367	0.5015770	0.3275573
0.4930060	0.3924985	0.6666247	0.0375781	0.6821504	0.4768861	0.7617508	0.4778745	0.7861794	0.8015680	0.0359505	0.6644831	0.6637926	0.1750373	0.2778921	0.0554850	0.7578955	0.0643789	0.8189840	0.6449829	0.8864004	0.7581092	0.8310167	0.6640008	0.4796405	0.3798713	0.1167844	0.2289670	0.3848294	0.3766072	0.1760553	0.5616237	0.1831371	0.3853583	0.1551127	0.6530470	0.6911051	0.2164608	0.8811104	0.4349215	0.5919182	0.6178457	0.5983151	0.0729118	0.6614561	0.7544001	0.0363143	0.4365785	0.2829722	0.2763844
0.0761405	0.8495291	0.2391291	0.0546412	0.7348368	0.6808499	0.7523731	0.4242721	0.6477525	0.6976413	0.0733855	0.7766351	0.7876623	0.0634843	0.2720866	0.0344644	0.7120895	0.0567408	0.7006210	0.8215046	0.6089241	0.8029839	0.7547677	0.9205244	0.3257969	0.0376487	0.1799441	0.2506719	0.1041623	0.6161865	0.6577468	0.3541730	0.1604050	0.3612216	0.1682762	0.4217904	0.6820734	0.2622346	0.7535127	0.3678348	0.7519620	0.0469807	0.5986459	0.0646613	0.5434238	0.6385694	0.0043665	0.2777176	0.2715034	0.3179866
0.1167913	0.7062570	0.5683360	0.0340138	0.7699229	0.5522958	0.7906331	0.2882034	0.8712077	0.6463106	0.0797315	0.8638683	0.7166021	0.0666647	0.2979285	0.0510892	0.8877378	0.1076921	0.7145811	0.7496681	0.6219811	0.8296310	0.8188996	0.7064598	0.5158686	0.0219346	0.1869504	0.2170083	0.1027097	0.5767299	0.5917590	0.3544188	0.1348709	0.3604526	0.2129661	0.4755661	0.6405295	0.2039670	0.8560721	0.5013499	0.9471243	0.0142523	0.5111898	0.0696564	0.5403286	0.7797019	0.0020830	0.3359914	0.4146496	0.3085313
0.1078324	0.6976952	0.6056572	0.0355118	0.3317730	0.6788931	0.7608978	0.3491051	0.7906168	0.7791803	0.0840012	0.6720207	0.7572910	0.0447348	0.3551783	0.0544352	0.7990302	0.0823535	0.6204447	0.7235449	0.7149757	0.7078173	0.6377987	0.8837106	0.6046261	0.0271742	0.0991129	0.1976532	0.1531880	0.6176607	0.6615224	0.3540964	0.1374245	0.3646889	0.1674013	0.4982039	0.6316794	0.3924306	0.8066763	0.5031813	0.8672756	0.0383361	0.4603659	0.0672627	0.5451426	0.7836188	0.0116928	0.2152609	0.3398649	0.3456603
0.0836526	0.6858029	0.5565951	0.0698254	0.8392002	0.3315467	0.7251698	0.3383162	0.7815989	0.7236166	0.0494483	0.7885285	0.6658429	0.0743836	0.3555990	0.0513892	0.7477625	0.0858985	0.7546481	0.7245208	0.8576175	0.8188881	0.7789381	0.7384579	0.4299998	0.0359955	0.1979613	0.2738553	0.2588497	0.5581630	0.7018893	0.3399425	0.1917783	0.4217348	0.2127930	0.5035539	0.6633051	0.2374593	0.6437081	0.3957005	0.7747938	0.0547318	0.5767374	0.0877785	0.5419134	0.6348298	0.0014812	0.4311726	0.3732291	0.3078487
0.1054604	0.6932531	0.6574924	0.0729157	0.7919007	0.6916949	0.3752459	0.3869442	0.7590156	0.6385300	0.0872386	0.7382116	0.6441617	0.0689298	0.6521467	0.0712666	0.8941554	0.1664473	0.7084995	0.7374574	0.6918686	0.7853590	0.7183510	0.6664485	0.4633908	0.0212887	0.1358350	0.1939701	0.2114646	0.5505833	0.6861273	0.3372748	0.1507254	0.3401567	0.1991799	0.5159679	0.7764590	0.2769770	0.7145728	0.3423532	0.6830197	0.0399988	0.4077080	0.0942113	0.4395626	0.6439769	0.0040989	0.4081593	0.3652401	0.3585796
0.1345063	0.7461046	0.6804778	0.0552034	0.7112631	0.5291794	0.7508179	0.1988162	0.7353103	0.8270945	0.0323466	0.7635067	0.6859427	0.1160148	0.3782142	0.0537957	0.7062271	0.1274720	0.8068441	0.7754142	0.7069708	0.7688556	0.7264551	0.6668373	0.5383695	0.0629850	0.2084201	0.2299466	0.2576783	0.6139619	0.5968086	0.3482032	0.1104016	0.2931895	0.1616291	0.5626890	0.7370458	0.3494963	0.8006639	0.3820529	0.6206104	0.0509443	0.4910132	0.0717884	0.1077577	0.6923844	0.0025838	0.3377151	0.3529791	0.4774113
0.0817349	0.6830721	0.6081212	0.0459614	0.7158567	0.8049753	0.7256195	0.3444158	0.3705423	0.8595080	0.0539161	0.7231875	0.8074541	0.0827635	0.3919595	0.0401469	0.9602220	0.1051715	0.6721949	0.7303996	0.6736034	0.7697046	0.8751002	0.6606767	0.4445692	0.0434481	0.1807768	0.2452360	0.1889082	0.4721478	0.6563240	0.3759416	0.7278011	0.4026187	0.3184186	0.4325268	0.7244722	0.2935631	0.7925900	0.4973723	0.7195626	0.0263702	0.4873770	0.0513715	0.5430422	0.7478902	0.0089057	0.2942425	0.3268991	0.4118360
0.0463273	0.6655360	0.6616143	0.1105160	0.7198291	0.5708296	0.7504974	0.3752793	0.6896774	0.4899473	0.2230636	0.6549053	0.6352258	0.0599974	0.3174741	0.0422357	0.6995978	0.1965023	0.7841421	0.7054018	0.7181100	0.6729206	0.6382029	0.8408645	0.5450908	0.0246575	0.1581698	0.1671965	0.1331283	0.6933802	0.6356882	0.3957293	0.1648040	0.5106090	0.3866461	0.4188994	0.6327077	0.2847913	0.5115546	0.4315661	0.5952713	0.0302787	0.2665312	0.0626087	0.4627398	0.8204371	0.0272019	0.3458358	0.4558314	0.3188066
0.1051103	0.9586697	0.4563123	0.0360102	0.7474725	0.6231429	0.7057095	0.3837699	0.7925149	0.8366444	0.0451169	0.7426336	0.7821637	0.0613013	0.3887395	0.0308567	0.7955616	0.1019607	0.7676418	0.7293685	0.7608031	0.7694833	0.8327739	0.6302250	0.3951192	0.0315595	0.1020600	0.2489473	0.1644782	0.6467597	0.7162289	0.3883896	0.1869776	0.4505463	0.0746674	0.4452630	0.7210775	0.2368265	0.6007742	0.3892737	0.7945273	0.0235334	0.4581476	0.0872658	0.4331718	0.7655473	0.0191850	0.3419579	0.3354296	0.4131620
0.0941081	0.8167452	0.7198137	0.0554086	0.7875204	0.6405648	0.7486635	0.3846751	0.7623355	0.8325297	0.0631845	0.4401012	0.6662357	0.0693731	0.3191568	0.2071244	0.7743503	0.6494747	0.6227594	0.7195323	0.7730234	0.6949368	0.7885228	0.8003277	0.4525168	0.0435441	0.1978721	0.2764822	0.1786705	0.6089119	0.6911388	0.3004617	0.1144696	0.4011406	0.2107882	0.2066651	0.6996231	0.1867119	0.8651421	0.3550342	0.7598648	0.0277658	0.7210042	0.0651114	0.4215345	0.7765492	0.0024891	0.2441855	0.2847882	0.4272746
0.0751776	0.7351997	0.5848176	0.0227539	0.7929211	0.7310044	0.7039162	0.3340490	0.8829300	0.6974783	0.0655668	0.8983033	0.3988442	0.0626166	0.3524114	0.0312077	0.6430076	0.1438317	0.7309681	0.6453582	0.7535181	0.7650751	0.7535349	0.7951170	0.4416982	0.0466429	0.1751251	0.2136854	0.2545340	0.6440315	0.6882458	0.3099195	0.1351685	0.2714414	0.2257751	0.4739912	0.7326288	0.2552324	0.6792138	0.5789853	0.8535135	0.0428680	0.5634747	0.0488556	0.5346733	0.7785188	0.0228263	0.2264921	0.3043434	0.3948680
0.0879989	0.6653419	0.5979041	0.0529769	0.7529713	0.5145173	0.9226395	0.2856021	0.6685809	0.8961959	0.0675649	0.8068830	0.7805091	0.0243543	0.3399681	0.0494682	0.7809094	0.0868120	0.8360375	0.7019811	0.7085108	0.6745126	0.8574335	0.6726314	0.4016908	0.0420180	0.1323327	0.1964856	0.2077119	0.6031013	0.5343549	0.3491184	0.1788689	0.3594650	0.1733322	0.4879809	0.7246171	0.2846785	0.7298013	0.3742177	0.6785650	0.0563996	0.5170642	0.0400710	0.5476906	0.6819648	0.0146538	0.3787386	0.2688116	0.3956705
0.1015702	0.6818646	0.5891189	0.0709115	0.6845149	0.5864450	0.7149755	0.3377081	0.7024959	0.7388640	0.0743475	0.8193511	0.7899443	0.1020488	0.2188215	0.0554011	0.7962597	0.1373229	0.6372908	0.7052674	0.7741670	0.7583497	0.7822258	0.7702308	0.5771901	0.0324422	0.1544628	0.2757189	0.2681898	0.6584988	0.6406454	0.3360115	0.2538835	0.3828883	0.2250567	0.4284445	0.7935825	0.3174162	0.7449604	0.4500316	0.8054470	0.0531447	0.5234862	0.0620641	0.5248660	0.8735423	0.0072886	0.3368197	0.3799880	0.3380359
