YMR037C	YGL162W	YMR070W	YPL177C	YIL101C	YCR096C	YML113W	YGR249W	YDR123C	YMR021C	YBR297W	YJL110C	YMR042W	YER045C	YDR520C	YCL066W	YMR019W	YCL067C	YKL043W	YPR199C	YNL167C	YOR113W	YCR097W	YOL067C	YGL254W	YGL231C	YJR150C	YMR135WA	YMR169C	YNL001W	YLR042C	YMR136W	YLR171W	YJR044C	YAL062W	YLR023C	YCR107W	YDR309C	YPR123C	YDR544C	YER189W	YMR170C	YER145C	YAR050W	YGR073C	YJR050W	YBR013C	YBR292C	YGR136W	YGL001C
0.0000000	0.8001572	0.6294010	0.0345653	0.6400811	0.6182553	0.6370665	0.4221577	0.9203763	0.8088549	0.0951540	0.6514633	0.7615095	0.0711679	0.3300113	0.0492945	0.6822628	0.1155311	0.7746461	0.7532773	0.8841790	0.7042952	0.6503428	0.7545953	0.4709617	0.0058438	0.1764737	0.1637468	0.0224717	0.6144123	0.6932074	0.3975415	0.1517596	0.4122639	0.5066947	0.4186704	0.8331511	0.3179231	0.6619077	0.3650277	0.7248351	0.0270028	0.4714456	0.0625706	0.3767059	0.7067699	0.0030963	0.2370826	0.3383556	0.2956441
0.6975343	0.0000000	0.7562313	0.0167671	0.6722746	0.4394974	0.7821662	0.3935595	0.6070736	0.7192765	0.0735102	0.8414536	0.7043909	0.3357091	0.4898593	0.0779270	0.4041600	0.0866884	0.7736026	0.6826623	0.7283991	0.6433551	0.7487247	0.7072099	0.4387842	0.4910018	0.7501950	0.1941012	0.6311105	0.3998539	0.1944596	0.6688913	0.1519645	0.3788420	0.2108798	0.5151413	0.7149809	0.2869930	0.7128813	0.4872739	0.9151006	0.7919057	0.5936954	0.0401094	0.7028339	0.5719927	0.1841976	0.5800365	0.3646912	0.1261889
0.0741327	0.6453944	0.0000000	0.0499713	0.7102311	0.6832853	0.7150697	0.3143850	0.7511602	0.8173528	0.0568047	0.8240719	0.7689971	0.0720226	0.2907633	0.0445186	0.6463321	0.0744440	0.7294063	0.6402132	0.7455323	0.7088860	0.6902760	0.7054194	0.5118792	0.0224530	0.1990164	0.2367648	0.2464885	0.6259193	0.6050128	0.3705865	0.1218527	0.4280523	0.2891445	0.4057824	0.7804229	0.2879826	0.7866539	0.5066140	0.9875368	0.0327514	0.6028697	0.6805971	0.4404317	0.8079600	0.0129061	0.2563961	0.2952144	0.3417305
0.0809486	0.7223655	0.5117332	0.0000000	0.7347219	0.6062351	0.6711687	0.3704345	0.6540612	0.8137418	0.0661987	0.6104349	0.7319826	0.0635877	0.3293250	0.0643361	0.7686325	0.1300385	0.8383400	0.8339406	0.7350253	0.7698746	0.8000398	0.6964303	0.4905927	0.0209460	0.1496576	0.1480823	0.1308675	0.7749999	0.7190725	0.3887835	0.1396502	0.3404431	0.2293859	0.4755751	0.6947385	0.2298093	0.6670922	0.3824551	0.7157150	0.0201726	0.5104421	0.0460697	0.6393495	0.6681073	0.0026039	0.3360962	0.2818768	0.3368410
0.0863799	0.7072469	0.6331148	0.0497668	0.0000000	0.7304040	0.7733950	0.3602475	0.8029152	0.7813364	0.1021956	0.7250583	0.7851837	0.0302397	0.2875052	0.0313282	0.7827103	0.0960985	0.6529777	0.6996216	0.8314941	0.8223528	0.7161326	0.6989562	0.5679084	0.0520279	0.1484901	0.0100748	0.1566660	0.6690999	0.7531436	0.3097031	0.1838548	0.3272427	0.1391833	0.4300271	0.6369723	0.8234198	0.7213089	0.8509848	0.3910058	0.0393723	0.5154552	0.0721115	0.4658428	0.8156496	0.0113423	0.3149522	0.3031932	0.3670538
0.0742699	0.7468524	0.6199413	0.0262473	0.7256214	0.0000000	0.8570743	0.3395688	0.8248732	0.6667350	0.1007829	0.7184874	0.7809613	0.0654083	0.3054289	0.0374451	0.7048255	0.0780323	0.6027080	0.7766748	0.6746899	0.6826745	0.5806010	0.7582857	0.5266639	0.0697895	0.1622767	0.2065008	0.1923341	0.6943054	0.7405753	0.3286787	0.1628892	0.4289870	0.1096653	0.5215961	0.7145443	0.3438400	0.8460122	0.5009197	0.5613629	0.0538213	0.5425791	0.0498242	0.5667063	0.8067590	0.0171096	0.3233354	0.3622818	0.4278965
0.0868812	0.7951727	0.6438381	0.0328401	0.6777648	0.5575787	0.0000000	0.4105658	0.7163942	0.7563254	0.0605855	0.7703419	0.7533483	0.0481406	0.7428168	0.0490902	0.8082132	0.0657386	0.7943220	0.8870280	0.6946535	0.7851738	0.7047183	0.8092982	0.3356431	0.0373255	0.1133617	0.2262672	0.1466055	0.5817001	0.7201108	0.3345470	0.1903877	0.4697852	0.2088830	0.4425758	0.7933394	0.2033031	0.8069760	0.0902361	0.4593375	0.0236038	0.4491355	0.0704560	0.5232668	0.6524936	0.0018205	0.3026584	0.2917472	0.6730558
0.0641371	0.7648870	0.5047094	0.0689180	0.7836696	0.6697680	0.8599361	0.0000000	0.6563092	0.6282388	0.0687623	0.6888828	0.6415471	0.0689516	0.3147578	0.0521116	0.8132581	0.1829905	0.8295102	0.6583121	0.7792897	0.7508864	0.8002935	0.7135590	0.5565082	0.0117960	0.1730177	0.2806725	0.2118595	0.6866873	0.8520272	0.2957733	0.2146855	0.2893053	0.2768293	0.5224700	0.7326444	0.2743725	0.6226299	0.4549414	0.6504576	0.0213571	0.5335642	0.0957350	0.0078401	0.7281816	0.0163257	0.3742259	0.4336777	0.3280729
0.0605664	0.7567800	0.3825035	0.0573913	0.6745802	0.5754412	0.7778076	0.3849595	0.0000000	0.7417628	0.0426077	0.7639914	0.6368277	0.0861672	0.3699405	0.0641457	0.6038191	0.0567074	0.7571625	0.8311315	0.6634990	0.8275849	0.7820116	0.7760267	0.4524415	0.0307729	0.1491939	0.2534720	0.1180150	0.5905748	0.6297194	0.2782609	0.7163567	0.3342863	0.1996907	0.4443402	0.6676153	0.2774221	0.8156374	0.5439933	0.7931370	0.0225019	0.5524255	0.0768982	0.5929751	0.7013386	0.0100132	0.3312726	0.3596470	0.2842647
0.1014452	0.6433940	0.4938683	0.2119943	0.4463998	0.7088671	0.7745826	0.3431428	0.6331753	0.0000000	0.8002279	0.7881776	0.8152928	0.0377158	0.2892679	0.0898681	0.6161889	0.1355431	0.6549693	0.7498799	0.7518953	0.7531679	0.7502289	0.8093027	0.3476146	0.0207420	0.2022310	0.0589481	0.1733597	0.5920473	0.7095708	0.4472896	0.1871038	0.6430129	0.4359153	0.4445635	0.7789436	0.3640817	0.0075592	0.4859897	0.4312182	0.0277971	0.2811436	0.0524271	0.4038231	0.0238308	0.0008580	0.3435381	0.8164151	0.2949865
0.1047876	0.7100627	0.6867977	0.0638861	0.7588336	0.5178102	0.5157752	0.3379047	0.9082332	0.7065669	0.0000000	0.6784757	0.6966533	0.0571341	0.3078900	0.1052441	0.8613359	0.0954012	0.6614809	0.6664443	0.8727535	0.6658168	0.7206766	0.5307111	0.5332809	0.0544456	0.1207696	0.4613848	0.1530369	0.6985484	0.6309181	0.3274032	0.1433883	0.4642902	0.0771296	0.5328932	0.8155267	0.2664235	0.6535359	0.4052646	0.7812486	0.0873396	0.5255071	0.0380338	0.5662962	0.8284291	0.0490631	0.2230231	0.3715903	0.2984189
0.0813865	0.7531420	0.6038013	0.0470915	0.7650618	0.7286581	0.8194520	0.4284090	0.9059082	0.7630319	0.0513550	0.0000000	0.8032605	0.0645856	0.2617538	0.3758928	0.7470025	0.6748297	0.6308249	0.8325186	0.8760075	0.7465582	0.8449885	0.7270458	0.5348845	0.0179354	0.1650351	0.1838568	0.1862805	0.5063485	0.6544657	0.2655310	0.1461643	0.4362695	0.1851853	0.1470860	0.7861519	0.2253442	0.8798731	0.0702482	0.4504499	0.0384210	0.4524718	0.1201113	0.5350172	0.8149064	0.0067168	0.2982242	0.3195081	0.2846154
0.1129530	0.6977973	0.4967745	0.0308229	0.6451900	0.6240696	0.7881304	0.3727991	0.8906742	0.7713168	0.0825554	0.8000464	0.0000000	0.0873761	0.3173988	0.0575387	0.7385164	0.0896598	0.7140027	0.7645138	0.7317333	0.7217633	0.7014798	0.7198880	0.5848451	0.0389863	0.1041680	0.2906320	0.1262644	0.5889249	0.6246303	0.3415325	0.2405263	0.4183523	0.1467196	0.4089367	0.6659234	0.2452578	0.7071365	0.3895170	0.7079730	0.0189222	0.5855496	0.0540387	0.5619217	0.8513277	0.0122720	0.3289462	0.2596445	0.2720987
