YMR037C	YGL162W	YMR070W	YPL177C	YIL101C	YCR096C	YML113W	YGR249W	YDR123C	YMR021C	YBR297W	YJL110C	YMR042W	YER045C	YDR520C	YCL066W	YMR019W	YCL067C	YKL043W	YPR199C	YNL167C	YOR113W	YCR097W	YOL067C	YGL254W	YGL231C	YJR150C	YMR135WA	YMR169C	YNL001W	YLR042C	YMR136W	YLR171W	YJR044C	YAL062W	YLR023C	YCR107W	YDR309C	YPR123C	YDR544C	YER189W	YMR170C	YER145C	YAR050W	YGR073C	YJR050W	YBR013C	YBR292C	YGR136W	YGL001C
0.0641952	0.9634145	0.9201552	0.0705052	0.9163277	0.8853552	0.9647844	0.5533778	0.9682780	0.9536008	0.1152525	1.0694172	1.0543045	0.0833671	0.4737996	0.0793319	1.0154727	0.1339930	1.0272398	1.0204253	1.0096692	1.0132084	1.0334564	1.0216033	0.6466603	0.0148074	0.1868807	0.2514039	0.1387655	0.8703515	0.9707796	0.4811137	0.2313910	0.5618647	0.4559792	0.6962313	0.9935081	0.3783188	0.9597575	0.6488451	1.0031541	0.0373917	0.7166541	0.0778162	0.6805779	1.0120583	0.0156062	0.3426275	0.5499065	0.5197360
0.5358947	0.4854195	0.9049506	0.0505795	1.0449032	0.6456809	1.0668158	0.6760013	1.0751744	1.0215640	0.0732885	0.9793982	0.9272528	0.3045378	0.4247467	0.0665035	0.8772803	0.1098286	1.0271571	0.9880880	1.0586065	1.1194547	1.0323768	1.0543504	0.5832998	0.4967453	0.2370239	0.2926061	0.6676629	0.5073745	0.3244797	0.7361387	0.2168967	0.5147724	0.2547603	0.6255909	1.0110416	0.3839200	1.0224902	0.5740707	1.0015935	0.8231937	0.8462259	0.0878333	0.9290806	0.9680751	0.0559478	0.5827662	0.3904024	0.3827151
0.1252113	1.0205166	0.3682403	0.0596189	1.0647359	0.8907936	1.0184375	0.4934434	0.9636198	1.0340744	0.1213934	0.9884334	1.0284954	0.1018780	0.3604471	0.0611552	0.9946814	0.1168456	0.9852758	1.0623199	0.9848956	1.0457643	1.1218000	1.0721944	0.4839784	0.0505316	0.2627885	0.3531744	0.1623856	0.8803862	0.9527478	0.4381484	0.2349395	0.4782940	0.2875017	0.6648533	1.0306385	0.3952275	1.0161820	0.5787924	0.9941948	0.0500289	0.6827622	0.1345290	0.6668537	0.9664284	0.0132412	0.3957544	0.4128309	0.4885572
0.1437696	0.9911068	0.8468262	0.0481808	0.9722018	0.8051334	0.9993428	0.4345844	1.0840032	0.9148325	0.0957678	0.9607170	1.0970737	0.0922848	0.4303408	0.0777280	1.0627702	0.1263461	0.9530474	0.9989342	0.9953262	0.9425547	0.9553672	0.9837493	0.7054144	0.0395901	0.2121365	0.3112348	0.2030615	0.8405010	0.8943574	0.4815505	0.2071088	0.5323227	0.3132532	0.6737159	0.9937877	0.3094984	1.0680901	0.6109649	1.0890152	0.0562323	0.7169886	0.1038446	0.6817366	1.0087828	0.0039034	0.4016076	0.4957930	0.4852261
0.1080448	0.9647444	0.8437431	0.0472337	0.4787143	0.8740213	1.0989104	0.5087230	1.0913620	0.9364708	0.1166408	0.9653171	1.0338012	0.0605128	0.4008124	0.0947937	1.0077362	0.1482689	0.9072022	1.0190050	0.9375735	0.9683425	0.9546715	1.0714081	0.6823750	0.0263483	0.2248792	0.3151606	0.2226905	0.8866477	0.9007886	0.4690040	0.2124610	0.5132757	0.2543138	0.6792647	0.9455068	0.5055297	0.9772606	0.7825304	0.9963393	0.0326897	0.6013117	0.0895649	0.6843376	1.0408485	0.0115176	0.4026059	0.4563230	0.4258792
0.1002168	0.9918855	0.7935095	0.0722963	1.1180272	0.4569416	1.0405262	0.4613640	1.0445236	1.0391580	0.1100021	0.9560147	0.9885788	0.0802614	0.5129559	0.0681306	1.0085287	0.1333402	1.0295645	0.9173123	1.0184157	0.9569819	1.0254582	0.9984741	0.6130099	0.0612024	0.2478293	0.3500692	0.2819526	0.7869552	0.8871968	0.4654514	0.2602089	0.5543025	0.2693105	0.6624123	0.9783510	0.3805910	1.0106107	0.5588825	1.0191136	0.0541251	0.7112935	0.1116589	0.6681664	1.0655517	0.0038013	0.5792689	0.4776616	0.4424703
0.1141828	0.9545418	0.8965434	0.0737704	0.9591813	0.8501502	0.4855339	0.4861365	1.0859236	0.9689649	0.1069893	1.0285147	1.0648054	0.0740643	0.9290268	0.0957807	1.0216827	0.1517324	1.0049640	1.0262541	1.0889114	1.0268518	0.9790322	0.8891838	0.4738458	0.0545626	0.1941833	0.3064098	0.2674825	0.7732553	0.8461853	0.4641420	0.1710917	0.4806308	0.2695783	0.6370056	1.0016642	0.3811872	0.9795649	0.4709402	0.9480105	0.0434976	0.6430195	0.1076609	0.5681107	0.9372570	0.0081277	0.5563126	0.5269795	0.5301225
0.1696772	1.0185556	0.8031470	0.0481916	1.0386977	0.8186840	0.9338221	0.2428422	1.0223307	0.9771734	0.0931003	0.9974356	1.0542467	0.1237666	0.5016566	0.0634530	1.0364968	0.1136929	1.0772763	1.1127017	1.0035545	0.9989045	1.0309574	0.9956158	0.6489176	0.1126140	0.2426623	0.3177637	0.2995587	0.8759992	0.8402845	0.4533883	0.2299034	0.5019613	0.2479525	0.6595650	1.0619524	0.3670926	0.9872896	0.5782513	0.9312390	0.0740649	0.7082564	0.1028281	0.1628164	1.0336125	0.0064269	0.4662031	0.4770002	0.5080954
0.1311530	1.0112031	0.6353934	0.0636132	1.0332036	0.8637483	1.0526205	0.5043673	0.4948156	1.0575949	0.0987958	1.1233655	1.0795867	0.0803068	0.5061984	0.0547407	1.0716426	0.1136088	1.0083975	0.9720582	0.9697134	1.0303017	1.0683435	1.0608854	0.5547767	0.0512832	0.2359982	0.3385552	0.2372814	0.7480064	0.8653176	0.4480976	0.9577474	0.5215676	0.3533681	0.6965320	1.0251381	0.4240781	0.9818847	0.6156898	0.9911267	0.0383548	0.6452230	0.0890371	0.7679232	1.0225882	0.0179430	0.4291253	0.4859068	0.4812325
0.1187339	0.9543545	0.8985451	0.1635420	0.9731337	0.9058408	0.9722989	0.5036054	1.0925767	0.5393089	0.3513140	1.0151778	0.9769669	0.0917279	0.4477271	0.0579176	0.9054819	0.1917790	1.0551124	1.0566721	0.9910816	0.9778168	0.9195609	1.0323768	0.6619510	0.0462644	0.2236679	0.1234735	0.1631607	0.8478993	0.9602466	0.4411645	0.2011032	0.5848364	0.5954707	0.5806593	1.0270514	0.3933761	0.7253612	0.5704121	0.9968589	0.0294739	0.3426631	0.1023320	0.6199411	1.0148601	0.0184097	0.3880169	0.5623871	0.4349302
