YMR037C	YGL162W	YMR070W	YPL177C	YIL101C	YCR096C	YML113W	YGR249W	YDR123C	YMR021C	YBR297W	YJL110C	YMR042W	YER045C	YDR520C	YCL066W	YMR019W	YCL067C	YKL043W	YPR199C	YNL167C	YOR113W	YCR097W	YOL067C	YGL254W	YGL231C	YJR150C	YMR135WA	YMR169C	YNL001W	YLR042C	YMR136W	YLR171W	YJR044C	YAL062W	YLR023C	YCR107W	YDR309C	YPR123C	YDR544C	YER189W	YMR170C	YER145C	YAR050W	YGR073C	YJR050W	YBR013C	YBR292C	YGR136W	YGL001C
0.0000000	0.9838623	0.8718600	0.0548012	0.9473944	0.9636718	0.9984289	0.5028286	1.0706465	1.0313118	0.1396297	0.9601403	0.9195891	0.1058886	0.4754341	0.0765593	0.9795905	0.2044793	1.0165333	1.0198842	1.0505273	0.9931509	0.9566046	1.0014682	0.6367538	0.0087953	0.2594193	0.2838396	0.0482159	0.9685771	0.9115925	0.4913782	0.2200547	0.5109765	0.7949648	0.5514009	1.0318857	0.3769267	0.9315450	0.6125238	0.9938552	0.0346439	0.6588658	0.0964019	0.5888253	1.0235287	0.0083645	0.3993929	0.4493295	0.4772568
0.9623721	0.0000000	0.9718200	0.0379364	0.9515987	0.6474670	1.0386930	0.5736641	0.9405543	1.0189947	0.1229697	1.0025032	0.9782840	0.5020410	0.6132212	0.0893002	0.5887292	0.1139513	1.0172335	1.0190722	0.9886585	1.0102610	1.0000974	1.0027337	0.5724727	0.7221049	1.0461116	0.2793350	0.7175530	0.4988920	0.2422196	1.0004471	0.2538875	0.5096503	0.2833252	0.7177960	1.0361026	0.3488068	0.9424090	0.5509775	0.9551898	1.0167828	0.8060405	0.0776694	0.8966329	0.9500884	0.2411999	0.7119185	0.5061709	0.2008607
0.1412141	0.9686254	0.0000000	0.0445091	0.9881621	0.8359154	1.0363481	0.4876639	1.0324446	1.1008714	0.1244123	1.0458797	1.0555453	0.0846396	0.4617254	0.0691240	0.9634039	0.1174925	1.0575340	1.0186250	1.0420004	1.0332037	1.0705251	0.9400571	0.6720883	0.0754435	0.2009246	0.2911220	0.2984255	0.8210525	0.8945644	0.4788481	0.1465347	0.5363421	0.3470240	0.6715368	1.0695083	0.3668096	0.9494970	0.5664638	1.0617774	0.0467623	0.7495163	0.9724617	0.6335316	1.0345058	0.0113988	0.3804320	0.4523916	0.4894084
0.1168382	1.0313659	0.7840274	0.0000000	1.0935695	0.8967825	1.0342139	0.4937560	0.9779830	1.1168679	0.1080719	0.9129852	1.0636128	0.0964918	0.4080950	0.0755901	1.0385964	0.1313619	0.9932472	0.9786637	1.0376277	1.0160256	1.1395937	1.0312448	0.6281410	0.0340693	0.2242900	0.2366783	0.1713452	0.9188601	1.0130505	0.5230958	0.2112403	0.4904622	0.3298588	0.7068409	0.9946251	0.3236729	0.9294788	0.5817859	0.9944944	0.0307693	0.6534282	0.0618782	0.7577353	0.9926841	0.0047051	0.4705139	0.4463081	0.4556097
0.1307724	0.9402981	0.7734364	0.0405857	0.0000000	0.9159226	0.9166951	0.4563415	1.0339764	1.0681381	0.1122802	1.0289882	1.0825914	0.0417084	0.3851471	0.0661770	0.9702134	0.1459530	0.9265478	0.9876691	1.0289844	1.0931352	1.0054116	1.0288216	0.7607298	0.0620286	0.2183381	0.0201949	0.2347695	0.8508092	1.0467034	0.4423402	0.2632572	0.4623583	0.2591613	0.6113757	0.8717037	0.9681308	1.0263868	1.0273998	0.5489771	0.0567809	0.6976765	0.0693744	0.5984343	1.0175440	0.0151567	0.4433292	0.4620662	0.5061912
0.1275220	0.9916115	0.8370322	0.0357263	0.9293312	0.0000000	1.0591390	0.4857001	1.0484169	0.9066007	0.1049472	1.0558635	0.9899488	0.0786837	0.4376924	0.0728980	0.9893975	0.1280261	0.9202753	1.0274041	1.0379330	0.9890907	0.9103551	1.0103963	0.7076190	0.0781839	0.2318276	0.3694282	0.2145796	0.8158433	0.9192950	0.4741273	0.2342491	0.5641458	0.2172698	0.7005900	1.0260359	0.4029186	1.0040432	0.5977384	0.8861541	0.0489213	0.7089739	0.0648341	0.7128915	1.0555972	0.0088250	0.4837598	0.4720394	0.5372939
0.1209245	1.0332543	0.8337716	0.0612434	0.9924519	0.8616957	0.0000000	0.4840262	0.9925746	0.9763642	0.0714278	1.1471610	1.0327462	0.0711360	1.1240320	0.0766835	1.0580567	0.1015907	1.0506199	1.0835795	0.9978022	1.0117006	0.9622617	0.9596485	0.4427663	0.0551355	0.2092499	0.3141527	0.1742137	0.8007480	0.9683280	0.4970807	0.2728825	0.5605346	0.2812535	0.6747517	1.0759702	0.3291067	0.9916553	0.1030183	0.5207550	0.0383124	0.6457302	0.0845977	0.6726469	0.9945399	0.0045220	0.3943794	0.4262156	0.8714002
0.1189323	0.9689812	0.7833292	0.0831309	0.9828662	0.8580180	1.0886808	0.0000000	0.9888515	0.9586853	0.0864119	1.0064873	1.0382652	0.0533124	0.3335218	0.0884386	0.9895567	0.2099690	1.0499269	0.9738380	1.0171835	0.9950362	0.9966411	1.0519588	0.6577676	0.0298126	0.2326866	0.3343032	0.1764633	0.7473394	1.0825477	0.4208825	0.2537419	0.4855154	0.3184134	0.6743383	0.9697653	0.3793135	0.9815302	0.5924496	0.9666758	0.0369408	0.7122377	0.0994159	0.0087359	0.9820578	0.0247988	0.4781620	0.4913576	0.4959656
0.0883577	0.9234119	0.5854566	0.0601641	0.9576957	0.8064999	1.0572854	0.4748575	0.0000000	1.0621175	0.0888190	1.0283351	0.9604885	0.0816394	0.5116859	0.0753448	0.9790745	0.1204976	1.0773738	1.0227761	0.9005767	1.1352359	1.1276125	0.9884238	0.6001724	0.0501440	0.2010193	0.3284458	0.1849052	0.8840636	0.8733376	0.4180182	1.0668772	0.4440498	0.2725086	0.7201517	0.9717845	0.3829948	1.0100310	0.5857849	1.1022476	0.0229502	0.6870867	0.0961761	0.7401773	0.9499571	0.0188458	0.3741222	0.4720040	0.4479433
0.1133942	0.9801061	0.6808538	0.3315962	0.5255141	0.8836281	0.9651691	0.4524030	0.9997711	0.0000000	0.9364168	0.9790813	1.0250327	0.0473942	0.4494326	0.0784338	0.9458249	0.1505324	0.9392320	1.0417114	1.0611721	0.9915717	0.9866883	0.9770157	0.6210025	0.0510013	0.2109988	0.0748438	0.2196219	0.7905705	0.9337898	0.5042053	0.2152373	0.8550372	0.7208561	0.7165830	0.9308128	0.4786774	0.0124662	0.6403633	0.7090084	0.0404734	0.3449248	0.0928907	0.6953968	0.0252521	0.0055850	0.4016867	1.1052022	0.4552987
