YMR037C	YGL162W	YMR070W	YPL177C	YIL101C	YCR096C	YML113W	YGR249W	YDR123C	YMR021C	YBR297W	YJL110C	YMR042W	YER045C	YDR520C	YCL066W	YMR019W	YCL067C	YKL043W	YPR199C	YNL167C	YOR113W	YCR097W	YOL067C	YGL254W	YGL231C	YJR150C	YMR135WA	YMR169C	YNL001W	YLR042C	YMR136W	YLR171W	YJR044C	YAL062W	YLR023C	YCR107W	YDR309C	YPR123C	YDR544C	YER189W	YMR170C	YER145C	YAR050W	YGR073C	YJR050W	YBR013C	YBR292C	YGR136W	YGL001C
0.1289966	0.9186064	0.9328496	0.0167927	1.0427404	0.9217123	1.1299124	0.4841867	0.8650855	0.5796137	0.1969978	0.6423338	0.5263160	0.0841758	0.3441748	0.4673387	1.1173579	0.5838256	0.8432360	1.0016532	0.9252819	0.9194334	0.9807221	0.8632674	0.4843157	0.0521448	0.0002599	0.3233996	0.6175498	0.7511272	0.7597098	0.2105537	0.3273241	0.6863131	0.4198490	0.1145182	0.9554433	0.2287727	0.9226212	0.6857786	1.0601578	0.0248826	0.3741109	0.0171241	0.8415754	1.0362598	0.0036923	0.4977343	0.5198290	0.5742428
0.1153099	0.9927122	0.4909070	0.0151304	0.9873665	0.8758186	0.9427756	0.7306052	0.6844973	1.1445040	0.0781021	1.0425278	0.9972246	0.3168872	0.3660140	0.0368029	0.6656267	0.0603817	1.0105381	0.5872913	0.6725803	0.6549071	1.0188763	0.9739471	0.6079434	0.0310284	0.1320472	0.3790156	0.1100841	0.7167544	0.7608759	0.4137102	0.6355643	0.3819593	0.1657191	0.7302904	0.5733971	0.4957175	1.0377924	0.8170390	0.9500173	0.0845237	0.8354821	0.0197155	0.8998645	0.9301309	0.0000462	0.7432439	0.4675709	0.3938495
0.3773030	0.6303719	0.6191850	0.0100558	0.4458549	0.8094917	0.9880912	0.7581669	0.5407129	1.0370724	0.0515552	0.7029963	1.0996454	0.6532272	0.2603576	0.0506283	0.9471390	0.3603704	0.4653024	1.0234370	1.0019661	1.0063732	0.7176637	0.9884638	0.6154914	0.3523909	0.2199461	0.6306487	0.5362004	0.6616333	0.5791470	0.5416996	0.6235822	0.8594597	0.3840910	0.4201170	0.8337581	0.2990363	1.0289896	0.6576611	0.9756800	0.6488269	0.3572845	0.5907889	0.9742765	0.9410730	0.1868775	0.5109510	0.2405531	0.3424804
0.0520733	1.0212827	0.8737052	0.2080491	0.7047542	0.6639513	0.5169792	0.2617048	0.9497347	0.8543014	0.1057936	0.9858848	0.8379478	0.0109232	0.8126494	0.2135693	1.0124033	0.1253743	1.0351699	0.6722618	0.8377338	0.9623341	0.9688251	0.9462766	0.6357015	0.0124553	0.1947155	0.1800444	0.2177952	0.8869722	0.9568418	0.1206287	0.2055759	0.3826401	0.8967297	0.7022551	0.9338210	0.4305753	0.9745782	0.4635550	0.9804926	0.0010415	0.5431166	0.0979012	0.0771529	1.0343914	0.0005773	0.2033167	0.4981233	0.7038936
0.2683975	0.7524112	0.6713166	0.0341156	1.0902087	0.7353843	1.0716422	0.6201869	0.7998355	1.0564812	0.0816032	0.6795322	0.9491386	0.3168569	0.3840550	0.0810485	0.9459837	0.5431528	0.9681107	1.0960047	1.0317073	0.9851254	0.9959369	1.0894337	0.7833247	0.1469962	0.0001660	0.6237163	0.4922308	0.8609327	0.6433517	0.3972296	0.3416024	0.4567562	0.3455920	0.0705566	1.0471841	0.4618280	0.9947472	0.5253791	0.9201495	0.2060021	0.8359915	0.0693397	0.8339172	0.9295308	0.0014991	0.2324687	0.4157092	0.3823382
0.2448389	0.6723635	0.5308364	0.0803905	1.0273050	0.5268795	0.9700133	0.7260312	0.8495287	0.9022325	0.1120277	0.4238514	0.9734938	0.5227751	0.4649542	0.4153697	0.8887583	0.9535805	0.8959386	0.9192995	1.0205345	0.9261441	0.3108020	0.9344929	0.8147214	0.0540734	0.0020505	0.3593487	0.4507782	0.5296914	0.5570710	0.2044054	0.2873441	0.7060762	0.2463536	0.2479624	0.9176486	0.2831185	0.9508607	0.6834944	0.9778610	0.0498912	0.6030359	0.0180019	0.8752022	0.9825318	0.4432304	0.4075045	0.4192675	0.4177131
0.0722517	1.0346954	0.9230204	0.0351155	0.6752152	0.8111838	0.9936673	0.2800844	0.9669019	0.9631959	0.1023973	0.7539675	0.8793014	0.0187121	0.4316529	0.0231305	1.0300326	0.1879512	0.9980545	0.9879674	1.0396189	0.9760019	1.0692990	0.9170991	0.4643797	0.1434471	0.2208240	0.2076539	0.5010518	0.8960763	0.9673701	0.4516152	0.1992133	0.5548904	0.5023401	0.4525221	1.0422831	0.3530505	0.9712021	0.7119312	1.0236092	0.0069958	0.7402821	0.0113159	0.4365681	1.0203981	0.1987619	0.3300958	0.2644690	0.6748836
0.1260587	1.0430396	0.7952064	0.3299661	0.2410184	1.0285432	0.6652052	0.5220672	0.9402041	1.0391655	0.0706517	1.0896147	0.7525246	0.1000701	0.7839506	0.1585617	0.8674251	0.1780893	0.7943206	0.9922299	0.9099747	0.9841182	0.9002213	0.8593921	0.3168926	0.0789278	0.1247322	0.5298977	0.2337585	0.4523811	0.9500866	0.4116051	0.2198903	0.5187248	0.3741390	0.4999041	1.0034095	0.5484099	1.0494200	0.9899640	0.9454565	0.1356140	0.8141324	0.1049832	0.7535214	0.9521327	0.0008190	0.3887365	0.3690197	0.5113690
0.1521262	0.9103213	0.7716253	0.0794915	1.0013662	0.7951004	0.8958710	0.5049128	1.0807714	0.5064118	0.2475801	0.7170512	0.8790651	0.5255339	0.5114949	0.3745840	1.1149710	0.4012346	0.7860497	0.9652483	1.0645113	0.7223636	0.9393563	0.9586357	0.6094878	0.0316136	0.2220582	0.1193707	0.1435096	0.5827766	0.9113566	0.5410945	0.2545617	0.6302201	0.2928977	0.4819625	1.0171585	0.2843920	0.6670495	0.7142177	1.0175592	0.0393738	0.2494360	0.1287386	0.7637775	0.9773036	0.3130377	0.2028639	0.5987865	0.5948583
0.1242267	0.9665987	0.5934055	0.0061622	1.0627535	0.6936745	1.1259832	1.0523859	0.7260285	0.9956703	0.0851611	0.7825055	0.8761858	0.1562084	0.4517074	0.0717857	0.9209142	0.3825096	0.8008067	0.9204599	0.9601994	0.7936322	0.8390968	0.7253101	0.2403345	0.3121048	0.0001411	0.3282772	0.4517444	0.6439255	0.8856594	0.4609400	0.5699331	0.5629881	0.2422704	0.5833121	0.7083636	0.4835795	0.9752504	0.5793589	1.0056483	0.0831961	0.9360342	0.0718810	0.9329297	1.0579642	0.0105084	0.2236524	0.4456172	0.7120126
