YMR037C	YGL162W	YMR070W	YPL177C	YIL101C	YCR096C	YML113W	YGR249W	YDR123C	YMR021C	YBR297W	YJL110C	YMR042W	YER045C	YDR520C	YCL066W	YMR019W	YCL067C	YKL043W	YPR199C	YNL167C	YOR113W	YCR097W	YOL067C	YGL254W	YGL231C	YJR150C	YMR135WA	YMR169C	YNL001W	YLR042C	YMR136W	YLR171W	YJR044C	YAL062W	YLR023C	YCR107W	YDR309C	YPR123C	YDR544C	YER189W	YMR170C	YER145C	YAR050W	YGR073C	YJR050W	YBR013C	YBR292C	YGR136W	YGL001C
0.0000000	0.9843964	0.8145062	0.0527312	0.9101749	0.9682160	0.9754246	0.4490685	1.0486847	0.9776676	0.1169717	0.9025647	0.9733563	0.0860987	0.4864963	0.0702380	0.9660062	0.1483646	1.0181643	1.0114271	1.0335907	0.9080108	1.0133866	0.9813430	0.6410610	0.0076733	0.2329728	0.2739281	0.0319696	1.0457597	0.9284418	0.4952358	0.2346921	0.5733729	0.6720875	0.6182353	0.9504067	0.3752559	0.9918438	0.5965177	0.9955988	0.0324231	0.6832856	0.0691873	0.5840196	1.0558013	0.0141819	0.3858649	0.4886013	0.4985974
0.8558608	0.0000000	0.9102827	0.0591739	0.9227788	0.6202535	0.8856013	0.6397014	0.9549915	0.9620519	0.1068123	1.0919449	0.9463671	0.5032954	0.6077904	0.1008465	0.6260810	0.1253059	1.0072541	1.0885161	1.0365891	1.0160229	0.9873331	0.9490265	0.5455161	0.7945854	0.9441438	0.2798041	0.7398210	0.4450438	0.1878450	0.9058841	0.2000600	0.5274725	0.3218616	0.7284171	1.0131910	0.4131576	0.9243238	0.5436234	0.9976103	0.9565066	0.8158147	0.0850282	0.8000349	0.8813422	0.3099540	0.8105241	0.5292296	0.1875744
0.1413048	1.0817932	0.0000000	0.0400422	1.0104169	0.7934348	0.9280812	0.4265211	1.1267444	1.0991651	0.1305172	1.0497908	0.9376557	0.1172184	0.3680841	0.0896339	1.0307951	0.1496105	1.1098956	1.1246103	0.9870113	1.0258105	1.0529080	0.9230064	0.7230702	0.0483645	0.1968713	0.2300139	0.2829801	0.9276000	0.8724810	0.5356785	0.1801735	0.5006496	0.2510134	0.6265671	1.0719184	0.4281831	1.0392697	0.5352588	1.0530188	0.0366243	0.6496366	1.0545218	0.7442098	1.0987594	0.0084354	0.4496529	0.4643144	0.4226902
0.1029934	1.0673447	0.8606789	0.0000000	1.1105051	0.9489718	1.0281082	0.5320221	0.9780460	1.0027912	0.1006172	0.9735283	0.9812775	0.0923312	0.5279725	0.0746589	0.9776235	0.1050706	1.0163901	1.0953775	0.9602377	0.9872438	1.1025538	1.0452016	0.5794131	0.0361906	0.2634476	0.2370881	0.2094732	0.8365716	0.9938860	0.4759760	0.2628707	0.6185961	0.3426792	0.5934672	0.9862836	0.3584741	0.9338580	0.5589836	1.0271735	0.0431640	0.6406490	0.0811683	0.7683745	0.9801701	0.0152651	0.4457603	0.4712607	0.5064469
0.1199963	0.9953692	0.8351540	0.0525236	0.0000000	0.9152745	0.9572316	0.4553515	0.9606222	1.0107447	0.1126082	1.0480111	1.0759608	0.0529619	0.3863829	0.0872785	0.9751581	0.1352666	1.0124487	1.1727822	1.1323282	1.1242802	1.0772196	1.1334100	0.6963249	0.0592449	0.2033809	0.0324527	0.2947875	0.8125451	1.0043625	0.5161361	0.2150171	0.5421365	0.2767246	0.6400217	0.8247296	1.0158944	0.8947295	1.0561202	0.5686405	0.0483584	0.8013846	0.0886043	0.6948349	0.9374118	0.0108645	0.3878737	0.4327677	0.5173851
0.1502074	1.0275475	0.7953093	0.0415229	0.8675455	0.0000000	1.0374716	0.4575962	1.0027434	0.8673494	0.0805436	1.0909133	0.9776343	0.0604493	0.4344605	0.1052510	0.9638842	0.1352177	0.9455160	1.0157044	1.0700711	0.9239447	0.9068017	1.0695701	0.6763895	0.0798806	0.2316309	0.3905528	0.2149758	0.8226854	0.9918821	0.4339423	0.2394651	0.5337939	0.2187024	0.6337406	1.0824083	0.3899662	0.9487432	0.5932343	1.0111631	0.0476855	0.7090482	0.0806205	0.7669579	1.1001777	0.0041028	0.4789830	0.4729794	0.4979741
0.1147014	1.0927210	0.7894952	0.0503376	0.9233027	0.8806375	0.0000000	0.4925143	0.9980938	0.9970694	0.0792411	1.0895896	1.1030868	0.0913691	1.1559721	0.1065053	1.0467998	0.1078004	1.0392419	1.0378542	1.0415760	0.9992464	0.8587315	0.9382296	0.4563671	0.0560961	0.1335090	0.3861354	0.1681133	0.7523370	0.9603004	0.4689354	0.2374747	0.6525817	0.2516187	0.6901582	1.0045215	0.4060246	1.0329280	0.0879831	0.5322539	0.0242944	0.7112349	0.0781215	0.6992532	1.0471338	0.0135160	0.3975690	0.4705045	0.9236963
0.1023539	1.0420422	0.8350674	0.0854551	0.9759748	0.7751287	1.1629053	0.0000000	1.0148520	0.9918039	0.0841274	0.9178205	0.9472989	0.0505564	0.3560232	0.0629435	1.0107854	0.2107607	1.1938120	0.8891324	1.0334057	0.9779104	0.9210785	0.9360463	0.6481557	0.0417421	0.2264384	0.2519486	0.1938161	0.6994280	1.0366048	0.3886829	0.1830769	0.5335595	0.3077907	0.6001774	1.0354665	0.3743353	0.9408209	0.5291430	0.9859610	0.0416716	0.6929690	0.0887886	0.0090270	0.9607330	0.0278173	0.4649933	0.5269809	0.5233594
0.1090994	1.0448604	0.6246588	0.0688588	0.9814580	0.8808616	0.9741931	0.5507364	0.0000000	1.0388643	0.0918142	1.0868946	1.0459641	0.1071592	0.5116431	0.0637789	0.9823330	0.1406668	1.0631485	0.9961735	0.9441156	1.0280655	1.0466714	0.9455707	0.6209682	0.0864583	0.2015558	0.3085048	0.2264836	0.8234530	0.8148531	0.4438705	1.1166139	0.4831319	0.3012810	0.7017412	1.0550247	0.3671998	0.9862699	0.5438757	1.1521904	0.0249083	0.6973712	0.1245107	0.6612143	0.9819793	0.0170897	0.4121495	0.5241728	0.4707709
0.1247679	1.1325430	0.6935786	0.3490714	0.5653408	0.9011791	1.0236112	0.4587702	0.9941625	0.0000000	0.9805422	1.0623215	1.0467549	0.0480267	0.4579015	0.0665509	0.9927107	0.1348286	0.9838756	1.0965208	1.0188593	1.0093629	1.0353005	0.9666792	0.6349204	0.0299080	0.1944134	0.0632048	0.2303299	0.8096382	1.0403655	0.4978191	0.1961637	0.8544032	0.7901597	0.6614641	0.9183213	0.4920090	0.0139751	0.6812077	0.7589420	0.0507604	0.3404810	0.0892975	0.6843005	0.0421949	0.0083706	0.4617163	1.0702952	0.4699891
