YMR037C	YGL162W	YMR070W	YPL177C	YIL101C	YCR096C	YML113W	YGR249W	YDR123C	YMR021C	YBR297W	YJL110C	YMR042W	YER045C	YDR520C	YCL066W	YMR019W	YCL067C	YKL043W	YPR199C	YNL167C	YOR113W	YCR097W	YOL067C	YGL254W	YGL231C	YJR150C	YMR135WA	YMR169C	YNL001W	YLR042C	YMR136W	YLR171W	YJR044C	YAL062W	YLR023C	YCR107W	YDR309C	YPR123C	YDR544C	YER189W	YMR170C	YER145C	YAR050W	YGR073C	YJR050W	YBR013C	YBR292C	YGR136W	YGL001C
0.1312335	0.9004504	0.7764786	0.0213218	1.0882335	1.0545378	1.0935981	0.5526693	0.8563607	0.6746196	0.1667511	0.6366512	0.4987336	0.0774211	0.3538913	0.4788947	0.9570419	0.5704197	0.9675643	1.0208194	0.9582918	0.9576848	1.0090547	0.9053123	0.4666928	0.0708370	0.0009881	0.2984362	0.5494837	0.7994635	0.8345757	0.2316943	0.4247195	0.7773330	0.4412384	0.1016720	1.0208356	0.2991848	0.9685837	0.5970771	1.0298260	0.0170376	0.3245607	0.0202153	0.7476774	0.9497805	0.0044680	0.4701880	0.5862705	0.5140997
0.1096661	1.0567889	0.4172520	0.0236474	0.9666678	0.9076154	0.9653666	0.6671530	0.6679755	1.1941798	0.0813988	1.0951186	0.9328164	0.3122231	0.2942431	0.0363962	0.6807000	0.0744966	0.9796781	0.5820460	0.6751648	0.6728708	0.9885796	0.8894668	0.6424704	0.0215405	0.1151031	0.3469319	0.1296980	0.6925626	0.7743861	0.4791642	0.5748946	0.3847713	0.1934747	0.6731167	0.5576795	0.4328694	0.9727402	0.7701864	0.9556849	0.0981004	0.8578743	0.0234362	0.9102968	0.9794271	0.0000723	0.6902690	0.4297712	0.4544275
0.4065870	0.6137776	0.6214928	0.0138570	0.4260737	0.8244221	1.0214244	0.7534674	0.7023935	1.0395366	0.0433917	0.6917786	1.0777355	0.6428545	0.2536912	0.0657621	0.9425346	0.4243012	0.4831130	0.9448389	0.9256271	0.9826799	0.8157767	1.0625241	0.5974131	0.2793950	0.2122468	0.5966072	0.5173448	0.7625394	0.6391000	0.5772471	0.6107896	0.8892487	0.4053572	0.4427791	0.8778414	0.3259961	0.9557894	0.6644322	0.9156228	0.6099158	0.3293300	0.5543347	0.9882782	0.9619673	0.2187994	0.5045683	0.2477922	0.3637547
0.0430391	0.9933972	0.9028549	0.2131522	0.5727836	0.6586233	0.5419629	0.2114428	1.0387821	0.8836581	0.0935597	0.9413185	0.8353752	0.0078479	0.8911604	0.2829164	1.0979997	0.0784595	1.0020959	0.6801289	0.8365399	0.9775909	1.0087779	0.9252145	0.6308116	0.0149140	0.2327263	0.1772919	0.1793011	0.7788180	0.9165605	0.1406237	0.2333061	0.4149509	0.8173298	0.6887268	0.9105115	0.4754111	0.9423090	0.4617493	1.0357142	0.0025758	0.5569588	0.0881052	0.0845775	0.9389909	0.0022715	0.2257028	0.4137979	0.6436400
0.2302712	0.7857956	0.7364291	0.0260928	1.0329515	0.8512947	1.0605720	0.7061205	0.8017770	1.0926081	0.0836934	0.7094931	0.9673687	0.3552598	0.3906134	0.0812012	0.9133759	0.5714868	0.9639859	1.1060107	0.9611644	1.0782401	1.0073002	1.0872602	0.7171068	0.1534319	0.0006508	0.6069026	0.4815363	0.7963927	0.5581804	0.4248137	0.3959507	0.4621404	0.3762277	0.0947229	1.0651166	0.4820633	1.0264836	0.4633293	1.0009995	0.1894587	0.7917599	0.0775125	0.7711665	1.0120238	0.0066363	0.2205632	0.3934811	0.4243310
0.1659131	0.7069044	0.4828169	0.0518515	1.1083112	0.5612590	0.9987926	0.7508058	0.9153615	0.8357601	0.0977799	0.4196971	0.9387628	0.5603516	0.4968720	0.4174264	1.0261534	0.8965277	1.0004180	0.9746534	1.1376360	0.9973066	0.3937014	1.0022611	0.8365086	0.0708374	0.0006467	0.2907663	0.4791401	0.4756901	0.5728303	0.1577716	0.3153537	0.6676554	0.2362980	0.2576854	0.8691413	0.3277546	1.0427987	0.6303489	0.9481268	0.0582034	0.5754561	0.0139899	0.9657206	0.9925054	0.4823198	0.4093336	0.4866993	0.3730112
0.0838559	1.0551252	0.8382109	0.0380091	0.7142239	0.7899727	1.0064576	0.2910566	1.0238465	0.9831345	0.1477937	0.8409825	0.9621593	0.0191157	0.4308195	0.0258243	1.0678392	0.1580717	1.0966376	0.9775041	1.0592663	1.0536795	1.1552275	0.8465119	0.4992334	0.1726678	0.2471994	0.1986289	0.4839961	0.9239924	1.0206155	0.4087672	0.2141277	0.5004426	0.4512677	0.5070400	1.0410334	0.3148157	1.0046890	0.7902266	1.0378148	0.0023279	0.7117724	0.0122578	0.4184441	0.9340868	0.2295593	0.3321752	0.3086760	0.6343151
0.1629202	1.0299291	0.8121859	0.3741196	0.2662866	1.0586569	0.6235435	0.5007290	0.9893842	0.9010813	0.0768651	1.0695124	0.8175622	0.1099343	0.7762467	0.1625636	0.8375182	0.1849351	0.8452054	1.0467160	0.9486651	1.0911662	0.9935137	0.7978814	0.3905614	0.0675298	0.1257358	0.4665975	0.2171068	0.4188333	0.9731291	0.4772259	0.1926736	0.5137409	0.3609785	0.4567038	1.0250352	0.5402499	1.0171401	0.9657588	0.9368195	0.0998888	0.7886634	0.1159284	0.8416317	0.9077922	0.0022509	0.3476633	0.3537488	0.5145169
0.1564582	0.9182444	0.8249074	0.0709627	0.9171753	0.7332676	0.8477078	0.5230228	1.0222621	0.4898639	0.3002364	0.6771175	0.8351873	0.5643541	0.4742531	0.3838670	1.0284223	0.4078551	0.8713058	0.9762765	1.1017702	0.7004892	1.0518650	0.9998206	0.6000180	0.0329962	0.2441487	0.1271127	0.1483040	0.5790392	0.9546943	0.5340621	0.2292159	0.5933658	0.3356501	0.5124131	0.8742305	0.2653996	0.6937964	0.7127082	1.0246515	0.0403694	0.1835119	0.1579888	0.7362712	0.9573081	0.3461027	0.2321505	0.5947310	0.6166593
0.1398758	0.9691817	0.5477853	0.0060531	1.0870512	0.6930034	0.9938919	1.0341820	0.6830700	1.1216462	0.1004178	0.8619474	0.7819060	0.1722987	0.5210320	0.0766546	1.0495785	0.3424697	0.7961214	0.9473975	0.9234478	0.8147631	0.8006342	0.7904235	0.2324670	0.3638129	0.0004515	0.3462240	0.4551982	0.6211278	0.9083514	0.4047677	0.5898965	0.6254203	0.2513969	0.5340860	0.6426550	0.4473790	1.0510747	0.5574848	1.0470823	0.0815674	0.9111198	0.0800136	0.8823525	1.0192172	0.0226669	0.2560266	0.4621602	0.7461333
