YMR037C	YGL162W	YMR070W	YPL177C	YIL101C	YCR096C	YML113W	YGR249W	YDR123C	YMR021C	YBR297W	YJL110C	YMR042W	YER045C	YDR520C	YCL066W	YMR019W	YCL067C	YKL043W	YPR199C	YNL167C	YOR113W	YCR097W	YOL067C	YGL254W	YGL231C	YJR150C	YMR135WA	YMR169C	YNL001W	YLR042C	YMR136W	YLR171W	YJR044C	YAL062W	YLR023C	YCR107W	YDR309C	YPR123C	YDR544C	YER189W	YMR170C	YER145C	YAR050W	YGR073C	YJR050W	YBR013C	YBR292C	YGR136W	YGL001C
0.0584222	1.0000000	0.7966022	0.0588760	0.9994764	0.9026954	1.0000000	0.4729419	1.0000000	1.0000000	0.0955747	1.0000000	1.0000000	0.0836034	0.4414171	0.0688220	0.9998299	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6117518	0.0180939	0.2071629	0.3013610	0.1167240	0.8743969	0.9813425	0.4769097	0.2151384	0.5181910	0.3738403	0.6492373	0.9993908	0.3583991	0.9870307	0.5748745	0.9996625	0.0241448	0.6947709	0.0869590	0.6397062	0.9957630	0.0113525	0.4132824	0.4582335	0.4777064
0.5508847	0.5000000	0.8221757	0.0432041	0.9995518	0.6532177	1.0000000	0.6769083	1.0000000	1.0000000	0.0955747	1.0000000	1.0000000	0.2661803	0.4414171	0.0688220	0.7864671	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6117518	0.5612961	0.2072780	0.3013610	0.6816583	0.5617932	0.3000081	0.7347360	0.2151384	0.5181910	0.2492274	0.6492373	0.9997267	0.3583811	0.9870307	0.5748619	0.9996625	0.8322305	0.7986222	0.0865426	0.8786235	0.9957630	0.0565345	0.6276121	0.4582335	0.3752077
0.1168443	1.0000000	0.3983011	0.0588760	0.9994764	0.8763049	1.0000000	0.4899659	1.0000000	1.0000000	0.0955747	1.0000000	1.0000000	0.0836034	0.4414171	0.0688220	0.9983799	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6117518	0.0465864	0.2071629	0.3013610	0.2092904	0.8203441	0.9086594	0.4708245	0.2151384	0.5181910	0.2658831	0.6492373	0.9994330	0.3583991	0.9870307	0.5748745	0.9996625	0.0367688	0.6947709	0.1053621	0.6708518	0.9957630	0.0113567	0.4145257	0.4582335	0.4777064
0.1168443	1.0000000	0.7966022	0.0294393	0.9995658	0.8763049	1.0000000	0.4899665	1.0000000	1.0000000	0.0955747	1.0000000	1.0000000	0.0836079	0.4414171	0.0688220	0.9983799	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6117518	0.0465864	0.2071629	0.3013610	0.2092904	0.8203440	0.9086579	0.4708245	0.2151384	0.5181910	0.2658831	0.6492373	0.9994333	0.3583778	0.9870307	0.5748597	0.9996625	0.0367688	0.6947709	0.0869590	0.6708529	0.9957630	0.0113624	0.4145257	0.4582335	0.4777064
0.1168443	1.0000000	0.7966022	0.0588760	0.4997382	0.8763049	1.0000000	0.4787051	1.0000000	1.0000000	0.0955747	1.0000000	1.0000000	0.0514003	0.4414171	0.0688220	0.9983799	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6117518	0.0465864	0.2071629	0.3007104	0.2092904	0.8203441	0.9231555	0.4708245	0.2151384	0.5181910	0.2658831	0.6492373	0.9803878	0.5382470	0.9870307	0.7579895	0.9996619	0.0367688	0.6947709	0.0869590	0.6506396	0.9957630	0.0113624	0.4145257	0.4582335	0.4777064
0.1168443	1.0000000	0.7966022	0.0588760	0.9994764	0.4381671	1.0000000	0.4899659	1.0000000	1.0000000	0.0955747	1.0000000	1.0000000	0.0836034	0.4414171	0.0688220	0.9983799	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6117518	0.0465864	0.2071629	0.3013610	0.2092904	0.8203440	0.9086594	0.4708245	0.2151384	0.5181910	0.2658831	0.6492373	0.9994330	0.3583991	0.9870307	0.5748745	0.9996625	0.0367688	0.6947709	0.0869590	0.6708518	0.9957630	0.0113624	0.4145257	0.4582335	0.4777064
0.1168443	1.0000000	0.7966022	0.0588760	0.9994764	0.8339133	0.5000006	0.4899659	1.0000000	1.0000000	0.0955747	1.0000000	1.0000000	0.0836034	0.9208014	0.0688220	0.9983799	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6117518	0.0465864	0.2071629	0.3013610	0.2092904	0.8203441	0.9086594	0.4708245	0.2151384	0.5181910	0.2658831	0.6492373	0.9994330	0.3583991	0.9870307	0.5060382	0.9996619	0.0367688	0.6947709	0.0869590	0.6708518	0.9957630	0.0113624	0.4145257	0.4582335	0.5418408
0.1168443	1.0000000	0.7966022	0.0588760	0.9994764	0.8763049	1.0000000	0.2449830	1.0000000	1.0000000	0.0955747	1.0000000	1.0000000	0.0836034	0.4414171	0.0688220	0.9983799	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6117518	0.0465864	0.2071629	0.3013610	0.2092904	0.8203441	0.9086594	0.4708245	0.2151384	0.5181910	0.2658831	0.6492373	0.9984371	0.3583991	0.9870307	0.5748745	0.9996625	0.0367688	0.6947709	0.0869590	0.1236094	0.9957630	0.0113624	0.4145257	0.4582335	0.4777064
0.1168443	1.0000000	0.6080392	0.0588760	0.9994764	0.8763049	1.0000000	0.4899659	0.5000001	1.0000000	0.0955747	1.0000000	1.0000000	0.0836034	0.4414171	0.0688220	0.9983799	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6117518	0.0465864	0.2071629	0.3013610	0.2092904	0.8203441	0.9086594	0.4708245	0.8592834	0.5181910	0.2658831	0.6492373	0.9994330	0.3583991	0.9870307	0.5748745	0.9996625	0.0367688	0.6947709	0.0916484	0.6708518	0.9957630	0.0113599	0.4145257	0.4582335	0.4777064
0.1168443	1.0000000	0.7966022	0.1516219	0.9702606	0.8763049	1.0000000	0.4897435	1.0000000	0.5000008	0.3257539	1.0000000	1.0000000	0.0821014	0.4414171	0.0688220	0.9983799	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6117518	0.0465864	0.2071629	0.1340772	0.2092904	0.8203441	0.9091345	0.4708245	0.2151384	0.6313799	0.5761216	0.6492373	0.9985269	0.3654434	0.6781809	0.5798704	0.9791021	0.0367688	0.4088702	0.0869590	0.6704840	0.9751060	0.0113624	0.4145257	0.6255213	0.4777064
0.1168443	1.0000000	0.7966022	0.0588760	0.9998414	0.8763049	1.0000000	0.4899685	1.0000000	1.0000000	0.0477874	1.0000000	1.0000000	0.0836217	0.4414171	0.0688220	0.9983799	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6117518	0.0465864	0.2071629	0.4203891	0.2092904	0.8203441	0.9086535	0.4708245	0.2151384	0.5088782	0.1657182	0.6492373	0.9994369	0.3583122	0.9870307	0.5748139	0.9998569	0.0367688	0.6947709	0.0869590	0.6708564	0.9957630	0.0113624	0.4145257	0.4582335	0.4777064
0.1168443	1.0000000	0.7966022	0.0588760	0.9994764	0.8983382	1.0000000	0.4899659	1.0000000	1.0000000	0.0955747	0.5000000	1.0000000	0.0836034	0.4414171	0.2598940	0.9983799	0.8183611	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6117518	0.0465864	0.2071629	0.3013610	0.2092904	0.8203441	0.9086594	0.4708245	0.2151384	0.5181910	0.2658831	0.3299519	0.9978817	0.3583991	0.9870307	0.5438965	0.9990954	0.0367688	0.6947709	0.0869590	0.6708518	0.9957630	0.0113624	0.4145257	0.4582335	0.4752607
0.1168443	1.0000000	0.7966022	0.0428408	0.9995524	0.8763049	1.0000000	0.4899664	1.0000000	1.0000000	0.0955747	1.0000000	0.5000005	0.0836072	0.4414171	0.0688220	0.9983799	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6117518	0.0465864	0.2071629	0.3013610	0.2092904	0.8203441	0.9086581	0.4708245	0.2151384	0.5181910	0.2658831	0.6492373	0.9994332	0.3583811	0.9870307	0.5748620	0.9996625	0.0367688	0.6947709	0.0869590	0.6708527	0.9957630	0.0113624	0.4145257	0.4582335	0.4777064
0.1168443	1.0000000	0.7966022	0.0588760	0.9994764	0.8763049	1.0000000	0.4899659	1.0000000	1.0000000	0.0955747	1.0000000	1.0000000	0.0418020	0.4414171	0.0688220	0.9983799	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6117518	0.0465864	0.2071629	0.3013610	0.2092904	0.8203439	0.9086594	0.4708245	0.2151384	0.5181910	0.2658831	0.6492373	0.9994330	0.3583991	0.9870307	0.5748745	0.9996625	0.0367688	0.6947709	0.0869591	0.6708518	0.9957630	0.0113624	0.4145257	0.4582335	0.4777064
